# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\gog4oxc8.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120210_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0606286
# Diagonal elements of inverse mass matrix:
# 32277.2, 0.000253797, 0.0012813, 0.00118819, 0.00331918, 0.00364354, 0.00767019, 0.00563287
-579.473,0.989823,0.0606286,6,63,0,582.53,4334.68,0.335407,0.184528,0.216267,0.392178,0.121824,0.254331,187.784
-579.89,0.991357,0.0606286,5,63,0,582.034,4276.84,0.325352,0.128197,0.282826,0.42673,0.144352,0.27993,190.508
-578.791,0.999021,0.0606286,6,63,0,580.897,4275.2,0.313566,0.199733,0.235317,0.39498,0.185623,0.32796,194.602
-580.511,0.948467,0.0606286,6,63,0,583.533,4424.91,0.314436,0.186774,0.278681,0.329173,0.151362,0.172249,195.165
-579.626,0.997238,0.0606286,6,63,0,583.029,4586.2,0.318653,0.114298,0.184029,0.348911,0.193741,0.205665,185.81
-580.867,0.821543,0.0606286,6,63,0,585.27,4136.49,0.337304,0.185864,0.270608,0.388638,0.160576,0.322582,211.703
-582.698,0.981358,0.0606286,5,63,0,585.39,4025.69,0.33617,0.236947,0.297648,0.423871,0.159684,0.334678,197.902
-580.273,0.999972,0.0606286,6,63,0,585.227,4328.88,0.307191,0.188606,0.208441,0.369723,0.243725,0.274541,199.085
-584.624,1,0.0606286,5,31,0,585.96,4337.35,0.305144,0.18737,0.190195,0.286102,0.303067,0.48214,205.876
-580.734,0.999998,0.0606286,6,63,0,586.435,4229.06,0.306216,0.190057,0.205064,0.421994,0.241564,0.384736,206.181
-578.532,0.987543,0.0606286,6,63,0,582.208,4149.66,0.342195,0.190532,0.240393,0.429521,0.165809,0.336846,190.595
-579.613,0.895371,0.0606286,5,63,0,584.586,4503.16,0.314903,0.196291,0.181452,0.333058,0.157372,0.279012,198.271
-580.913,0.900577,0.0606286,6,63,0,583.716,4167.47,0.333192,0.146218,0.292391,0.446204,0.165066,0.273571,178.225
-581.396,0.999773,0.0606286,6,63,0,584.933,4272.14,0.302893,0.203347,0.266595,0.411975,0.111579,0.295421,177.52
-584.602,0.895553,0.0606286,6,63,0,589.295,4309.32,0.300139,0.170702,0.220129,0.303263,0.348223,0.345502,223.969
-582.758,0.989622,0.0606286,5,31,0,586.043,4308.44,0.303793,0.176394,0.232576,0.319491,0.302224,0.353097,224.72
-580.769,0.959347,0.0606286,6,63,0,587.794,4627.06,0.32432,0.144718,0.194661,0.378312,0.0941822,0.165671,172.988
-578.985,1,0.0606286,6,63,0,583.005,4430.58,0.329904,0.189935,0.232371,0.35622,0.120679,0.220825,180.63
-581.792,0.992067,0.0606286,6,63,0,582.895,4372.65,0.324381,0.115964,0.199285,0.467834,0.0977678,0.348058,201.177
-584.151,0.972585,0.0606286,6,63,0,587.089,4557.49,0.333346,0.119309,0.201606,0.402607,0.0416538,0.31063,225.823
-583.478,0.942779,0.0606286,6,63,0,586.658,4176.25,0.318391,0.200537,0.261131,0.359867,0.275835,0.241676,169.092
-579.895,0.992397,0.0606286,5,63,0,587.537,4663.67,0.317448,0.113218,0.200917,0.32039,0.104589,0.24822,197.706
-579.56,0.956804,0.0606286,6,63,0,584.562,4300.95,0.332865,0.151327,0.223892,0.421147,0.228218,0.228512,183.324
-580.897,0.997991,0.0606286,6,63,0,582.094,4566.91,0.317907,0.186536,0.225191,0.254913,0.153032,0.265539,202.926
-585.408,0.986316,0.0606286,5,31,0,590.407,4664.49,0.325235,0.160133,0.241341,0.174151,0.143814,0.268514,189.171
-578.775,0.999983,0.0606286,5,31,0,586.49,4551.64,0.301492,0.162733,0.226443,0.330015,0.15075,0.229132,198.082
-578.824,0.999565,0.0606286,6,63,0,579.877,4494.23,0.313175,0.144665,0.206424,0.367671,0.189002,0.233187,208.028
-579.354,0.969358,0.0606286,6,63,0,581.594,4287.95,0.314848,0.132707,0.245114,0.392435,0.23698,0.338213,191.723
-578.523,0.983512,0.0606286,6,63,0,581.159,4216.79,0.329974,0.164161,0.223338,0.463398,0.166758,0.313286,187.951
-579.148,0.999147,0.0606286,6,63,0,581.045,4160.33,0.318414,0.22207,0.242032,0.394161,0.206785,0.349564,194.132
-581.447,0.977691,0.0606286,6,127,0,584.415,4725.63,0.317346,0.0712131,0.190162,0.345717,0.175024,0.133663,192.678
-579.419,0.996006,0.0606286,6,63,0,582.656,4322.53,0.314344,0.217436,0.241416,0.343618,0.147579,0.314749,190.953
-583.015,0.966309,0.0606286,6,63,0,586.654,4154,0.328193,0.160003,0.295772,0.39309,0.150258,0.350913,166.443
-582.147,0.928131,0.0606286,6,63,0,586.874,4255.06,0.324933,0.201614,0.208731,0.361184,0.28998,0.240581,217.232
-580.104,0.998895,0.0606286,6,95,0,585.022,4570.65,0.322605,0.167232,0.215869,0.286965,0.196484,0.14492,209.2
-581.467,0.943637,0.0606286,6,63,0,586.771,4470.93,0.338874,0.135207,0.268004,0.297473,0.133153,0.175011,202.555
-579.796,0.986663,0.0606286,6,63,0,585.316,4394.36,0.307615,0.168089,0.212216,0.403746,0.237432,0.204799,187.608
-578.669,0.9219,0.0606286,6,63,0,583.034,4239.55,0.33883,0.180179,0.252233,0.4053,0.111869,0.310847,200.725
-578.615,0.984321,0.0606286,6,63,0,581.851,4416.49,0.319572,0.165472,0.231929,0.382713,0.179957,0.157267,179.535
-581.55,0.958141,0.0606286,6,63,0,583.529,4544.13,0.304259,0.174685,0.207133,0.270316,0.196198,0.355639,209.276
-584.334,0.900126,0.0606286,6,63,0,588.178,4276.16,0.316165,0.175855,0.293397,0.29833,0.24759,0.193624,202.657
-581.035,0.978591,0.0606286,6,63,0,587.683,4239.11,0.327133,0.172375,0.308512,0.341672,0.209349,0.201612,191.536
-582.026,0.999249,0.0606286,6,63,0,585.776,4255.4,0.317521,0.223806,0.26273,0.273585,0.243062,0.339923,188.35
-578.649,0.962403,0.0606286,5,63,0,585.714,4369.6,0.326994,0.157239,0.259645,0.374147,0.122439,0.280948,184.793
-578.396,0.99583,0.0606286,6,63,0,580.746,4422.39,0.332645,0.141713,0.202697,0.392074,0.193726,0.221759,197.033
-579.009,0.994459,0.0606286,5,47,0,582.732,4481.14,0.330631,0.18688,0.220247,0.336,0.101367,0.216632,188.605
-581.346,0.999797,0.0606286,6,63,0,582.809,4494.97,0.316173,0.120978,0.215194,0.286542,0.291963,0.248842,199.673
-581.797,0.992194,0.0606286,6,63,0,585.452,4643.8,0.31447,0.167475,0.198815,0.389001,0.0348089,0.156197,184.435
-581.795,0.815365,0.0606286,6,63,0,587.594,4669.89,0.316831,0.161094,0.180322,0.382786,0.0421136,0.161513,183.515
-582.345,0.966479,0.0606286,6,63,0,584.828,4079.33,0.329685,0.175938,0.29573,0.335271,0.286843,0.363243,205.95
-583.534,0.999688,0.0606286,6,63,0,586.505,4147.5,0.298194,0.199399,0.272619,0.510162,0.0903478,0.346712,210.198
-579.744,0.999979,0.0606286,6,63,0,585.384,4159.45,0.333749,0.203225,0.275991,0.444165,0.0925232,0.277373,190.036
-579.587,0.929399,0.0606286,6,63,0,583.778,4417.73,0.316557,0.139926,0.219852,0.344814,0.253263,0.273443,206.758
-580.361,0.999848,0.0606286,6,63,0,582.449,4278.6,0.308768,0.181069,0.272089,0.359177,0.155087,0.37384,210.276
-579.689,0.993485,0.0606286,6,63,0,582.113,4240.59,0.30998,0.141607,0.251763,0.412387,0.201304,0.374477,201.545
-579.168,0.999703,0.0606286,6,63,0,581.363,4229.64,0.318596,0.150677,0.249993,0.401408,0.196603,0.395423,198.59
-581.517,0.957031,0.0606286,5,63,0,589.513,4289.71,0.319094,0.136534,0.219493,0.413266,0.257776,0.330197,218.181
-584.914,0.999997,0.0606286,5,31,0,586.251,4308.2,0.301308,0.134675,0.18437,0.403602,0.279209,0.436904,224.502
-580.64,0.992547,0.0606286,6,63,0,587.534,4343.3,0.321237,0.180521,0.253857,0.347242,0.106086,0.394703,197.693
-580.086,1,0.0606286,6,63,0,582.692,4107.06,0.32758,0.16366,0.262368,0.485866,0.215702,0.274159,198.609
-579.603,0.963674,0.0606286,6,63,0,583.463,4615.77,0.323653,0.166773,0.182839,0.302255,0.153395,0.244941,194.177
-579.395,0.999538,0.0606286,6,63,0,580.537,4573.69,0.323837,0.14416,0.182584,0.326323,0.132204,0.281538,188.118
-578.077,0.999867,0.0606286,6,63,0,580.122,4339.36,0.32126,0.158491,0.246016,0.386445,0.211025,0.210738,184.302
-582.084,0.965611,0.0606286,6,63,0,583.969,4546.68,0.320346,0.0847615,0.21719,0.453261,0.0742481,0.183088,194.344
-580.296,0.977997,0.0606286,5,31,0,584.331,4515.01,0.324529,0.104242,0.206387,0.450119,0.114067,0.186969,194.736
-586.268,0.98068,0.0606286,5,31,0,588.972,4661.16,0.299919,0.101462,0.243637,0.44747,-0.0135055,0.155992,195.025
-580.726,0.982617,0.0606286,6,63,0,587.843,4349.68,0.346537,0.174157,0.224564,0.321718,0.243257,0.213794,207.753
-579.407,0.997978,0.0606286,6,63,0,582.361,4527.99,0.311407,0.12791,0.204332,0.389482,0.142186,0.268693,172.365
-578.339,0.995014,0.0606286,6,63,0,583.68,4365.18,0.327443,0.174097,0.229746,0.387391,0.114964,0.28384,175.899
-578.207,0.999328,0.0606286,6,63,0,579.209,4351.6,0.325671,0.154896,0.235497,0.380939,0.207068,0.230591,203.447
-581.08,0.925164,0.0606286,6,63,0,583.097,4482.19,0.315121,0.164084,0.213389,0.362668,0.251581,0.094258,193.404
-580.786,0.999955,0.0606286,5,63,0,583.281,4411.5,0.315476,0.164887,0.224421,0.337232,0.285615,0.155935,184.48
-582.315,0.943133,0.0606286,6,63,0,585.414,4329.44,0.333241,0.169537,0.249499,0.282208,0.311133,0.209033,199.697
-583.229,0.961283,0.0606286,6,63,0,586.838,4251.55,0.332104,0.169603,0.220488,0.517027,0.0258255,0.309686,191.268
-581.273,0.988612,0.0606286,6,63,0,585.477,4214.25,0.329419,0.163741,0.292839,0.327515,0.264469,0.237656,202.428
