# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\gog4oxc8.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120210_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0602755
# Diagonal elements of inverse mass matrix:
# 34710.1, 0.000281731, 0.00130746, 0.00131465, 0.00342392, 0.00326613, 0.00772751, 0.00548784
-585.442,0.721563,0.0602755,6,63,0,589.191,4559.58,0.309249,0.106472,0.245922,0.353354,0.194464,0.217918,229.106
-584.353,0.98109,0.0602755,6,63,0,591.131,4188.06,0.327156,0.241435,0.233568,0.402044,0.119344,0.338353,165.101
-578.988,0.993844,0.0602755,5,31,0,586.807,4277.11,0.328202,0.152348,0.244709,0.455301,0.131813,0.29232,199.064
-577.807,0.947338,0.0602755,6,63,0,580.426,4346.94,0.332093,0.178542,0.228351,0.362579,0.175259,0.274045,181.601
-580.516,0.972234,0.0602755,5,63,0,583.727,4370.22,0.351497,0.173917,0.21678,0.371777,0.162569,0.158691,211.116
-578.843,0.991655,0.0602755,6,63,0,581.498,4299.59,0.332304,0.16926,0.223779,0.417349,0.170147,0.235726,209.304
-580.184,0.999723,0.0602755,6,63,0,581.157,4244.4,0.343258,0.123981,0.214484,0.442252,0.184171,0.344099,201.406
-580.834,0.962091,0.0602755,6,63,0,585.65,4327.6,0.326818,0.215493,0.27566,0.308154,0.135695,0.257844,193.013
-582.608,0.993837,0.0602755,5,63,0,585.16,4414.3,0.314882,0.217855,0.258344,0.297077,0.116582,0.262925,173.963
-581.339,1,0.0602755,6,63,0,584.663,4353.04,0.331623,0.110481,0.217062,0.414211,0.267898,0.201689,195.639
-580.837,0.991844,0.0602755,6,63,0,586.151,4556.66,0.317712,0.142235,0.190704,0.344266,0.0995115,0.374768,199.073
-580.191,0.958651,0.0602755,6,63,0,585.905,4333.29,0.342388,0.160974,0.269544,0.357594,0.149224,0.227073,209.714
-582.966,0.935403,0.0602755,6,63,0,587.019,4523.37,0.272369,0.186914,0.203408,0.316097,0.246567,0.29443,197.922
-585.462,0.99451,0.0602755,6,63,0,588.912,3860.39,0.386135,0.17199,0.301834,0.506721,0.131062,0.292194,202.728
-587.455,0.902276,0.0602755,6,63,0,592.626,4721.83,0.260174,0.169221,0.164676,0.277899,0.245648,0.253348,192.302
-583.491,0.979712,0.0602755,6,63,0,591.438,4542.12,0.360634,0.0953513,0.199429,0.363234,0.128761,0.217349,215.56
-580.545,0.964859,0.0602755,5,31,0,585.543,4495.01,0.343863,0.148058,0.204124,0.386632,0.102842,0.23539,196.472
-581.77,0.856461,0.0602755,6,63,0,586.001,4579.01,0.306011,0.179417,0.220348,0.367001,0.117613,0.163995,211.166
