# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8w354slr.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120338_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0948744
# Diagonal elements of inverse mass matrix:
# 2186.48, 4.23451e-005, 0.000127859, 0.000136782, 0.000323356, 0.000384104, 0.000725751, 0.000507993
-5822.41,0.989088,0.0948744,5,31,0,5823.39,5039,0.300453,0.0209808,0.188004,0.250044,0.165718,0.139967,200.291
-5818.35,0.938049,0.0948744,5,31,0,5824.42,5056.05,0.301817,0.0510472,0.188813,0.238802,0.12981,0.106727,204.506
-5818.01,0.999806,0.0948744,4,31,0,5821.19,5058.59,0.302489,0.0511144,0.185329,0.233441,0.130061,0.110756,204.011
-5822.17,0.455053,0.0948744,5,31,0,5828.41,4986.09,0.307571,0.0317209,0.193967,0.266657,0.132589,0.124895,198.092
-5824.51,0.982477,0.0948744,4,15,0,5827.06,5013.52,0.300914,0.0270918,0.205274,0.276065,0.122689,0.116346,196.728
-5822.08,0.873715,0.0948744,5,31,0,5828.84,4980.24,0.301829,0.0355239,0.206161,0.276771,0.135073,0.104232,198.689
-5823.6,0.996332,0.0948744,6,63,0,5825.76,5101.88,0.297503,0.0323266,0.193013,0.245118,0.0898513,0.132116,199.437
-5819.63,0.963144,0.0948744,5,31,0,5829.19,5061.52,0.300156,0.0520206,0.1832,0.255906,0.126111,0.0871174,206.721
-5819.85,0.969537,0.0948744,5,63,0,5824.05,5103.98,0.300805,0.0401308,0.177385,0.249099,0.107346,0.106388,202.329
