# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8w354slr.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120338_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0692224
# Diagonal elements of inverse mass matrix:
# 2155.27, 4.29689e-005, 0.000145786, 0.000134029, 0.00033039, 0.000378574, 0.000673964, 0.000572676
-5822.98,0.995358,0.0692224,6,63,0,5828.22,5041.99,0.319521,0.0574601,0.186479,0.208731,0.140726,0.0776727,207.223
-5819.15,0.998935,0.0692224,6,63,0,5827.84,5013.91,0.305486,0.0399314,0.177528,0.259065,0.147239,0.140559,197.379
-5822.47,0.953108,0.0692224,5,63,0,5824.9,5000.87,0.313446,0.0414764,0.184574,0.282923,0.134138,0.0688177,209.866
-5822.04,0.996751,0.0692224,6,63,0,5826.9,4963.48,0.306078,0.0430139,0.197387,0.243144,0.168468,0.151663,194.2
-5823.62,0.997115,0.0692224,6,63,0,5826.6,4960.44,0.314376,0.0535545,0.201657,0.271691,0.135618,0.0576478,211.053
-5820.67,0.978824,0.0692224,6,63,0,5826.48,5025.74,0.309832,0.0473124,0.199981,0.254049,0.120497,0.0671145,207.408
-5821.08,0.991432,0.0692224,6,63,0,5825.12,4981.26,0.311713,0.0360123,0.187597,0.262621,0.13273,0.149572,195.082
-5821.93,0.992184,0.0692224,6,63,0,5825.4,5096.81,0.299024,0.053198,0.181737,0.219387,0.149922,0.0688796,210.285
-5821.68,0.896128,0.0692224,6,63,0,5828.02,5070.85,0.311107,0.0305919,0.176595,0.23885,0.115635,0.126212,196.005
