# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\e3170ghe.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120215_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0751252
# Diagonal elements of inverse mass matrix:
# 11878.9, 0.000173369, 0.000615378, 0.0005949, 0.0015066, 0.00224511, 0.00375916, 0.00230697
-1171.33,0.998115,0.0751252,6,63,0,1174.24,5142.92,0.309129,0.0265777,0.156297,0.235733,0.0956581,0.172313,215.274
-1174.61,0.793086,0.0751252,6,63,0,1180.71,4841.23,0.334898,0.0530937,0.152237,0.278573,0.250454,0.204432,202.847
-1171.64,0.989893,0.0751252,6,63,0,1176.99,5127.06,0.302619,0.0220394,0.149011,0.243206,0.140795,0.15313,217.321
-1172.12,0.998354,0.0751252,5,63,0,1175.24,4968.27,0.315549,-0.000615268,0.139011,0.284449,0.22592,0.222649,209.613
-1170.93,0.998686,0.0751252,5,63,0,1178.68,4823.58,0.31465,0.0651555,0.158033,0.300838,0.225104,0.213576,202.053
-1172.5,0.954955,0.0751252,6,63,0,1175.48,4858.63,0.303964,0.0703435,0.17392,0.31545,0.222526,0.107007,201.902
-1176.37,0.996961,0.0751252,6,63,0,1179.07,4757.91,0.339599,0.0283051,0.156475,0.361933,0.114641,0.323541,224.798
-1172.9,0.949868,0.0751252,5,63,0,1182.27,4965.19,0.319815,0.0527884,0.173004,0.221584,0.126824,0.249149,225.129
-1170.94,0.989049,0.0751252,6,63,0,1175.41,4898.58,0.311575,0.0383834,0.169117,0.331131,0.179904,0.131318,199.99
-1171.84,0.955769,0.0751252,6,63,0,1176.86,4858.38,0.323562,0.0398409,0.174701,0.340569,0.132597,0.145467,201.849
