# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\e3170ghe.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120215_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0591774
# Diagonal elements of inverse mass matrix:
# 15099.2, 0.000166506, 0.000705949, 0.000686643, 0.00200534, 0.00224877, 0.00337869, 0.00244028
-1174.31,0.999715,0.0591774,6,63,0,1178.5,4710.24,0.335593,0.0585088,0.164533,0.278644,0.267221,0.286512,199.702
-1171.47,0.982733,0.0591774,6,63,0,1177.22,5087.92,0.302173,0.0210533,0.168193,0.260651,0.122645,0.142855,211.527
-1171.88,0.999708,0.0591774,5,63,0,1178.68,5037.29,0.312838,0.0353305,0.166203,0.286657,0.0684592,0.175176,208.703
-1171.13,0.957831,0.0591774,5,63,0,1173.51,5019.08,0.317854,0.0235465,0.159664,0.280285,0.100328,0.182294,210.342
-1170.62,0.999472,0.0591774,5,63,0,1174.45,5006.36,0.327235,0.0254439,0.157731,0.22974,0.165185,0.235959,208.297
-1170.32,0.953113,0.0591774,6,63,0,1173.81,4888.39,0.312495,0.0520049,0.16689,0.30824,0.178564,0.177456,194.442
-1171.15,0.999935,0.0591774,6,63,0,1172.19,4910.41,0.316461,0.0306414,0.180931,0.286142,0.159209,0.203275,186.908
-1173.7,0.962953,0.0591774,6,63,0,1175.2,4976.67,0.316036,0.0522291,0.16211,0.208918,0.23408,0.159352,229.876
-1172.33,0.998128,0.0591774,6,63,0,1176.3,4964.05,0.298949,0.0142868,0.201044,0.248267,0.196929,0.197132,211.155
-1172.11,0.998814,0.0591774,6,63,0,1174.63,5091.01,0.328448,0.0468517,0.128483,0.240783,0.111838,0.172843,188.317
-1174.9,0.878937,0.0591774,6,63,0,1179.84,5021.11,0.312469,0.065256,0.168127,0.164597,0.225339,0.141196,208.454
-1174.21,0.995554,0.0591774,6,63,0,1179.26,4809.61,0.3397,0.0273888,0.145816,0.37823,0.171274,0.125971,210.372
-1172.35,0.999994,0.0591774,6,63,0,1176.65,5071.5,0.300884,0.0538606,0.162143,0.188043,0.167199,0.227517,202.068
-1171.62,0.999483,0.0591774,6,63,0,1174.36,4972,0.334117,0.00911195,0.148774,0.313971,0.151937,0.11451,210.137
-1171.85,0.990551,0.0591774,6,63,0,1173.83,5009.11,0.328855,-0.00752033,0.152413,0.262265,0.203722,0.140793,210.825
-1171.96,0.992544,0.0591774,6,63,0,1175.22,4989.99,0.312184,0.0681415,0.190547,0.223164,0.151257,0.120949,212.835
-1177.18,0.764764,0.0591774,6,63,0,1180.51,4923.4,0.326599,-0.0189346,0.131377,0.300605,0.187247,0.283935,216.675
