# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\qjk5bwed.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120221_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0782359
# Diagonal elements of inverse mass matrix:
# 9031.47, 0.000122048, 0.000463938, 0.000402058, 0.00127805, 0.00153692, 0.002767, 0.00161509
-1762.13,0.732939,0.0782359,5,43,0,1767.36,5081.46,0.294806,0.0037555,0.209303,0.233952,0.198628,0.0538202,196.65
-1759.69,0.984719,0.0782359,5,63,0,1763.37,5066.48,0.289817,0.000391812,0.193987,0.251317,0.218455,0.0892332,213.041
-1759.92,0.999219,0.0782359,6,63,0,1761.36,5082.67,0.282063,0.0335695,0.157555,0.286545,0.198815,0.0901468,202.737
-1760.25,0.999971,0.0782359,6,63,0,1761.93,5018.49,0.293042,-0.00413589,0.190035,0.295375,0.21308,0.0746423,199.351
-1763.58,0.949894,0.0782359,5,63,0,1765.44,5001.5,0.310356,0.0324283,0.175147,0.251418,0.193224,0.110583,232.996
-1761.4,0.979723,0.0782359,5,31,0,1765.21,5034.63,0.305868,0.0406072,0.16658,0.237427,0.195326,0.126258,219.333
-1761.39,0.920575,0.0782359,5,31,0,1765.35,5096.46,0.306344,0.0218986,0.150081,0.23878,0.186855,0.122344,217.858
-1761.59,0.986931,0.0782359,5,63,0,1764.04,5026.62,0.28717,0.0292102,0.171972,0.313627,0.211804,0.0400335,194.332
-1761.74,0.863759,0.0782359,6,63,0,1764.77,5060.88,0.297802,0.0165501,0.190901,0.218422,0.234331,0.0948089,222.092
