# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\qjk5bwed.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120221_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0803635
# Diagonal elements of inverse mass matrix:
# 8471.52, 0.000120841, 0.000417016, 0.000344515, 0.00135079, 0.00125325, 0.00257208, 0.00195123
-1761.78,0.98137,0.0803635,5,31,0,1764.28,5105.03,0.303174,0.0150972,0.170637,0.254703,0.153377,0.0936273,224.914
-1760.35,0.992845,0.0803635,6,63,0,1765.33,5036.83,0.286117,0.0115132,0.16937,0.280011,0.258213,0.0662258,199.766
-1761.65,0.998248,0.0803635,6,63,0,1762.39,5202.66,0.293087,0.0143096,0.157289,0.239007,0.138497,0.0727462,218.901
-1763.23,0.999609,0.0803635,6,63,0,1764.93,5216.89,0.281958,0.0206857,0.162136,0.230213,0.123541,0.136458,208.94
-1761.11,0.978564,0.0803635,6,63,0,1766.02,5050.98,0.284197,0.0131845,0.149527,0.318531,0.21995,0.110593,218.943
-1760.15,0.982656,0.0803635,5,31,0,1762.01,5039.57,0.288591,0.0191271,0.153464,0.32468,0.202113,0.082677,214.488
-1762.44,0.989291,0.0803635,5,63,0,1764.51,5113.16,0.284095,0.0225667,0.152083,0.328066,0.182718,0.00308607,218.735
-1762.97,0.989018,0.0803635,6,63,0,1765.67,5264.93,0.29026,-0.00573733,0.147174,0.196719,0.196478,0.0983141,205.098
-1763.33,0.996489,0.0803635,5,63,0,1766.11,5315.73,0.274492,0.00829286,0.144867,0.193061,0.192767,0.0580682,211.996
-1762.31,0.981776,0.0803635,5,63,0,1767.42,5168.12,0.279862,0.00736521,0.156028,0.211939,0.243248,0.121287,218.998
-1761.96,0.999893,0.0803635,6,63,0,1763.89,5132.04,0.292994,0.00377105,0.19046,0.281631,0.156165,-0.015378,202.295
-1761.82,0.93884,0.0803635,6,63,0,1763.83,5115.63,0.293953,0.00555736,0.191883,0.289351,0.155917,-0.00218353,202.991
-1761.14,0.999997,0.0803635,6,63,0,1764.52,4982.35,0.289846,0.0442423,0.1679,0.331153,0.198486,0.0597158,207.431
-1762.76,0.973118,0.0803635,6,63,0,1764.96,4986.95,0.29097,0.0575079,0.186043,0.311475,0.175056,0.0175861,205.405
-1765.4,0.922988,0.0803635,5,63,0,1770.49,5105.91,0.274027,0.0392733,0.187566,0.314068,0.132359,0.0206422,201.171
-1766.63,0.981256,0.0803635,6,63,0,1772.07,5145.09,0.322445,0.00432348,0.149388,0.18936,0.204222,0.088481,212.006
-1761,0.894956,0.0803635,5,31,0,1769.1,5012.25,0.294325,0.025994,0.155251,0.305665,0.215157,0.0611475,211.951
-1761.83,0.943808,0.0803635,6,63,0,1768.11,5200.75,0.28329,-0.00122002,0.186057,0.218941,0.195622,0.0658222,211.561
-1766.19,0.935271,0.0803635,5,31,0,1770.82,5196.64,0.26739,-0.0200874,0.186752,0.305091,0.115393,0.0716929,217.024
-1766.19,0.985563,0.0803635,6,63,0,1775.36,5307.7,0.289291,-0.0361252,0.128916,0.227961,0.224815,0.025263,215.634
-1761.92,0.990513,0.0803635,5,31,0,1767.87,5196.27,0.273401,0.0177711,0.160028,0.269981,0.172089,0.0308396,219.392
-1761.94,0.84669,0.0803635,6,63,0,1766.25,5195.36,0.283108,0.00927246,0.150386,0.265429,0.187318,0.0101428,216.23
-1760.34,0.958972,0.0803635,6,63,0,1764.42,5069.09,0.293749,0.0417213,0.177524,0.22265,0.206806,0.0868975,202.669
-1761,0.998355,0.0803635,5,31,0,1763.48,5035.75,0.299452,0.0269203,0.16511,0.228233,0.221,0.157241,213.413
-1761.27,0.964065,0.0803635,6,63,0,1763.22,5073.17,0.290547,0.0226279,0.175676,0.313997,0.190322,-0.0128745,211.376
-1759.92,0.947463,0.0803635,6,63,0,1763.42,5020.71,0.285915,0.0315857,0.179999,0.257708,0.208012,0.141409,205.858
-1761.86,0.95794,0.0803635,5,63,0,1763.26,5044.37,0.307857,0.0278924,0.18328,0.259501,0.204208,0.012905,223.636
-1762.42,0.843665,0.0803635,6,63,0,1766.99,5117.86,0.296554,-0.00946009,0.192525,0.245895,0.213106,0.0561041,213.307
-1762.23,0.992746,0.0803635,6,63,0,1766.55,4959.47,0.290694,0.0502475,0.149931,0.332496,0.242448,0.0574265,209.552
-1766.8,0.86538,0.0803635,5,63,0,1769.62,4958.41,0.313837,0.0466296,0.153761,0.290654,0.201785,0.0633347,236.324
-1761.8,0.956526,0.0803635,5,31,0,1769.66,5158.2,0.28496,0.0102857,0.158026,0.26479,0.167307,0.0573616,208.842
-1759.46,0.862583,0.0803635,4,31,0,1765.89,5099.7,0.284598,0.0136101,0.168942,0.300908,0.18438,0.0457557,209.851
-1759.84,0.933347,0.0803635,6,63,0,1763.14,5010.95,0.2936,0.0268342,0.178033,0.2492,0.240706,0.124638,215.178
-1761.36,0.999774,0.0803635,5,31,0,1762.67,4921.71,0.311646,0.0266267,0.164508,0.31404,0.202952,0.118763,215.994
-1759.56,0.998726,0.0803635,6,63,0,1764.15,5093.32,0.283513,0.00953161,0.184262,0.253525,0.236349,0.0414552,206.128
-1761.41,0.999348,0.0803635,6,63,0,1762.37,5082.9,0.293508,-0.011473,0.199951,0.286096,0.174575,0.0321985,217.908
-1764.24,0.960999,0.0803635,6,63,0,1767.64,4874.36,0.299739,0.0590775,0.200972,0.248766,0.28744,0.0601104,205.702
-1761.98,0.948347,0.0803635,5,31,0,1766.21,4893.86,0.301354,0.0451902,0.187563,0.266128,0.234459,0.134091,217.845
-1766.59,0.99746,0.0803635,6,63,0,1769.03,5246.13,0.297237,-0.037279,0.169799,0.21911,0.157061,0.122919,202.721
-1766.45,0.843976,0.0803635,5,31,0,1770.83,5203.3,0.290722,-0.0283163,0.163772,0.222435,0.160104,0.13786,204.762
-1769.62,0.992079,0.0803635,5,31,0,1773.36,5231.82,0.293817,-0.00197857,0.143695,0.241074,0.0799627,0.161385,211.694
-1766.11,0.970332,0.0803635,6,63,0,1777.62,5160.72,0.28558,0.0432735,0.185706,0.253614,0.203681,-0.0739301,220.987
-1763.94,0.985104,0.0803635,5,31,0,1768.33,5180.21,0.282362,0.030453,0.171865,0.218261,0.18617,0.0127957,222.32
-1765.92,0.892852,0.0803635,6,63,0,1770.39,4904.89,0.308266,0.0207636,0.158015,0.280411,0.234957,0.185519,204.373
-1766.59,0.984054,0.0803635,6,63,0,1770.94,4776.18,0.303498,0.0375757,0.196221,0.294075,0.248199,0.201705,214.268
-1762.13,0.998655,0.0803635,5,63,0,1767.9,5008.76,0.297541,0.0116234,0.17567,0.290946,0.212657,0.135605,219.49
-1762.97,0.971485,0.0803635,6,63,0,1768.23,5015.32,0.292139,0.0448066,0.187041,0.238958,0.207939,0.064462,216.091
-1760.62,0.99756,0.0803635,6,63,0,1766.56,5007.56,0.294698,0.00707035,0.155559,0.316774,0.234654,0.112939,207.557
-1762.89,0.890808,0.0803635,6,63,0,1767.28,5085.91,0.28941,0.039,0.197048,0.242851,0.19264,0.0254306,228.242
-1760.53,0.99337,0.0803635,5,63,0,1767.35,5048.74,0.283467,0.00145922,0.181653,0.29049,0.208523,0.0947357,221.87
-1759.62,0.983692,0.0803635,6,63,0,1761.89,5088.3,0.285842,0.0164741,0.153893,0.302743,0.208724,0.0586436,204.281
-1760.47,0.9727,0.0803635,6,63,0,1762.51,5163.95,0.298027,0.019607,0.162077,0.222352,0.17977,0.0649005,216.984
-1760.78,0.798171,0.0803635,6,63,0,1765.31,4949.69,0.293655,0.00782427,0.184177,0.296725,0.241685,0.106287,201.182
-1759.99,0.988172,0.0803635,5,63,0,1765.47,5009.42,0.293237,0.0166461,0.192733,0.251411,0.207104,0.142188,205.561
-1759.53,0.999886,0.0803635,5,63,0,1761.27,5172.76,0.286769,0.0172701,0.165851,0.246467,0.19711,0.0185822,211.569
-1760.55,0.972402,0.0803635,5,31,0,1762.4,5058.15,0.297053,-0.00418884,0.191046,0.273322,0.173849,0.116493,205.438
-1761.12,0.998713,0.0803635,6,63,0,1762.99,4957.46,0.293601,0.0512496,0.161222,0.298665,0.256441,0.0705224,214.829
-1761.78,0.996225,0.0803635,5,31,0,1764.89,4939.28,0.291888,0.0532679,0.153858,0.300663,0.265486,0.0987978,205.746
-1761.71,0.998379,0.0803635,6,63,0,1766.34,5124.89,0.286656,-0.0231028,0.199077,0.278609,0.168692,0.0572462,213.044
-1762,0.978848,0.0803635,6,63,0,1767.18,5117.28,0.28937,-0.0199569,0.202789,0.28278,0.166073,0.0440787,210.812
-1762.36,0.976338,0.0803635,6,63,0,1766.46,5023.27,0.289565,0.0585701,0.150081,0.244086,0.250196,0.105604,206.075
-1762.69,0.941528,0.0803635,6,63,0,1766.68,5084.14,0.305039,-0.00975176,0.191644,0.270457,0.163969,0.0817758,219.479
-1766.45,0.975039,0.0803635,6,63,0,1769,4941.52,0.273247,0.0423735,0.211275,0.324975,0.17567,0.139796,215.674
-1770.01,0.998886,0.0803635,5,31,0,1771.24,4957.02,0.26521,0.0576823,0.213491,0.327642,0.156405,0.129271,214.697
-1770.04,0.975177,0.0803635,6,63,0,1776.09,4970.23,0.326853,-0.00345825,0.135042,0.269001,0.301442,0.117859,212.977
-1763.04,0.940798,0.0803635,5,31,0,1773.08,5105.73,0.296475,-0.00599042,0.137555,0.276112,0.251067,0.111623,217.698
-1760.81,0.911526,0.0803635,6,63,0,1765.71,5126.45,0.283626,0.0393476,0.178174,0.234477,0.188541,0.0366078,203.965
-1761.35,0.851319,0.0803635,5,31,0,1766.41,5146.3,0.285502,0.00626928,0.149906,0.277274,0.236809,0.0304798,198.416
-1760.76,0.950588,0.0803635,6,63,0,1763.47,4975.56,0.291155,0.0398069,0.195857,0.295172,0.170894,0.0841785,206.497
-1760.54,0.99639,0.0803635,6,63,0,1762.44,5132.9,0.29706,-0.00662758,0.178181,0.236032,0.229388,0.02855,213.555
-1760.79,0.99938,0.0803635,5,63,0,1763.28,5183.97,0.281857,0.0177947,0.179833,0.249876,0.184435,-0.00910288,215.329
-1759.8,0.955761,0.0803635,5,63,0,1762.97,5112.44,0.283721,0.0196125,0.173048,0.278445,0.198045,0.0189185,215.219
-1760.35,0.986691,0.0803635,6,63,0,1761.83,5002.82,0.299939,0.0441184,0.174944,0.243457,0.210208,0.128842,214.726
-1759.38,0.985124,0.0803635,6,63,0,1761.39,5096.51,0.284474,0.0237859,0.162664,0.289839,0.202826,0.0497122,204.279
-1760.78,0.828004,0.0803635,6,63,0,1762.75,5020.55,0.288117,0.0248355,0.185791,0.302676,0.211012,0.0546198,218.804
-1759.95,0.990773,0.0803635,6,63,0,1762.71,5083.42,0.295351,0.0146174,0.18797,0.222659,0.224354,0.0691437,202.52
-1759.33,0.95678,0.0803635,6,63,0,1763.51,5034.7,0.287327,0.0252921,0.168955,0.30991,0.198763,0.0655404,211.445
-1760.58,0.975651,0.0803635,5,31,0,1761.41,5130.18,0.294785,-0.00521726,0.158966,0.244363,0.196811,0.138215,212.773
-1759.33,0.948793,0.0803635,5,31,0,1762.06,5105.08,0.290594,0.0210645,0.164437,0.271292,0.184431,0.0678851,217.706
-1762.55,0.864682,0.0803635,5,31,0,1765.14,4939.8,0.301026,0.0314791,0.159639,0.269847,0.294896,0.111729,200.586
-1761.54,0.956956,0.0803635,5,31,0,1764.82,4981.18,0.302338,0.0395834,0.164566,0.251139,0.256062,0.0868659,221.831
-1760.96,0.991532,0.0803635,6,63,0,1766.17,4981.11,0.283854,0.0137106,0.190297,0.327562,0.191987,0.10847,203.923
-1763.09,0.958023,0.0803635,6,63,0,1765.49,5190.28,0.303428,0.0150311,0.145358,0.216387,0.218553,-0.00489799,212.118
-1763.96,0.999211,0.0803635,6,63,0,1767.61,5184.21,0.299571,-0.00532215,0.177081,0.204621,0.189078,0.0480636,229.551
-1761.67,0.924684,0.0803635,5,31,0,1766.76,5194.13,0.285644,0.000465157,0.152267,0.239582,0.192879,0.0632716,204.474
-1766.1,0.948117,0.0803635,6,63,0,1767.55,5147.64,0.292509,-0.00825196,0.219985,0.252298,0.153724,0.0146567,216.813
-1765.22,0.9478,0.0803635,5,63,0,1772.11,5030.63,0.303915,0.0017058,0.21299,0.307074,0.108073,0.0460901,212.348
-1763.23,0.982355,0.0803635,5,63,0,1767.93,4938.31,0.300206,0.031018,0.198613,0.336167,0.145069,0.0563447,212.473
-1764.67,0.820523,0.0803635,6,63,0,1769.55,5128.24,0.282257,0.00263775,0.137807,0.240488,0.252634,0.125948,211.911
-1762.13,0.978923,0.0803635,6,63,0,1767.18,5160.73,0.278956,0.0233933,0.157581,0.220512,0.247022,0.0988987,206.578
-1765.64,0.999594,0.0803635,5,31,0,1768.18,5185.17,0.267834,0.00535548,0.165194,0.217382,0.299766,0.0273386,206.944
-1767.6,0.952015,0.0803635,5,63,0,1774.2,5189.37,0.252771,0.0281431,0.132278,0.284634,0.242523,0.0834129,214.693
-1759.04,0.996037,0.0803635,5,31,0,1769.19,5079.73,0.29282,0.0164672,0.165499,0.25471,0.236571,0.0562459,208.258
-1761.09,0.999118,0.0803635,4,31,0,1763.12,5106.45,0.290699,0.0186992,0.15414,0.233777,0.267573,0.0550244,202.681
-1762.16,0.880889,0.0803635,5,63,0,1765.68,5093.8,0.300964,0.00306535,0.145792,0.296124,0.209132,0.020132,216.027
-1761.03,0.996539,0.0803635,6,63,0,1766.58,5108.81,0.278371,0.0353136,0.175627,0.219348,0.219225,0.110012,206.216
-1762.94,0.9826,0.0803635,5,31,0,1765.95,5090.71,0.312558,0.00802357,0.167049,0.226677,0.233795,0.0199754,219.691
-1761.05,0.996542,0.0803635,5,31,0,1764.89,5014.4,0.281182,0.0406522,0.187392,0.295119,0.19895,0.0460668,216.414
-1761.96,0.924487,0.0803635,5,63,0,1765.12,5092.16,0.273101,0.0195911,0.187969,0.294678,0.222932,0.00143148,212.188
-1764.75,0.82021,0.0803635,5,31,0,1767.72,4965.61,0.275951,0.015772,0.193127,0.306598,0.267329,0.0324856,212.446
-1768.1,0.997102,0.0803635,6,63,0,1771.98,5038.71,0.311749,-0.00582446,0.140521,0.27351,0.29124,0.0943598,227.112
-1761.2,0.997258,0.0803635,6,63,0,1770.23,4947.02,0.29017,0.0482702,0.172147,0.2988,0.235024,0.117277,201.747
-1760.75,0.993505,0.0803635,6,63,0,1765.28,5113.89,0.298167,-0.00877376,0.169813,0.26417,0.207341,0.073894,219.666
-1760.64,0.993271,0.0803635,6,63,0,1762.9,5016.67,0.282828,0.0094795,0.196831,0.262622,0.2469,0.0754922,212.288
-1761.52,0.991512,0.0803635,6,63,0,1763.69,5084.46,0.304332,0.0253991,0.142822,0.279843,0.201657,0.0282248,208.432
-1765.48,0.980127,0.0803635,5,63,0,1768.78,5124.96,0.304036,-0.0181057,0.192721,0.288964,0.183159,-0.0375354,203.338
-1764.09,0.934103,0.0803635,6,63,0,1771.62,5011.02,0.303201,0.0409805,0.13521,0.267804,0.24818,0.142604,226.592
-1765,0.977863,0.0803635,6,63,0,1768.86,5101.16,0.268008,-0.017755,0.200903,0.298695,0.230954,0.00325111,211.926
-1764.26,0.99957,0.0803635,6,63,0,1767.86,5006.98,0.316262,0.0568124,0.163568,0.224299,0.182863,0.117485,209.259
-1761.02,0.999928,0.0803635,6,63,0,1768.87,5129.51,0.288747,0.0334454,0.150266,0.250357,0.193741,0.078038,223.229
-1761.11,0.989829,0.0803635,5,31,0,1762.86,5161.37,0.283433,0.0334779,0.135136,0.262847,0.214893,0.0651732,213.369
-1762.82,0.998989,0.0803635,5,31,0,1764.07,5089.63,0.274785,0.0508125,0.142076,0.285669,0.236614,0.048178,212.059
-1760.58,0.839843,0.0803635,6,63,0,1766.97,5060.01,0.291752,0.0009753,0.198636,0.293928,0.170044,0.0364641,212.619
-1761.72,0.995176,0.0803635,6,63,0,1765.4,4948.52,0.293535,0.00638623,0.18482,0.349632,0.182292,0.114317,204.513
-1759.85,0.999331,0.0803635,5,31,0,1763.25,5005.16,0.286179,0.0306539,0.182934,0.29382,0.184894,0.124197,206.015
-1762.75,0.884042,0.0803635,5,31,0,1765.31,5030.72,0.306032,0.0297208,0.186133,0.27758,0.121501,0.117523,211.623
-1759.33,0.999683,0.0803635,5,47,0,1765.58,4983.43,0.294226,0.0234922,0.169086,0.297377,0.2465,0.0834076,209.615
-1759.04,0.998559,0.0803635,5,63,0,1761.92,5063.21,0.29179,0.0127792,0.156708,0.296459,0.217171,0.0746441,208.64
-1761.01,0.84194,0.0803635,5,31,0,1763.52,5038.42,0.295162,0.0242918,0.141504,0.299112,0.191744,0.129246,206.922
-1760.8,0.983424,0.0803635,6,63,0,1762.91,4973.64,0.299924,0.0303649,0.163506,0.267214,0.220838,0.148145,213.565
-1761.53,0.993296,0.0803635,6,63,0,1764.08,4967.77,0.311257,0.00187659,0.186181,0.30655,0.203787,0.0788348,212.993
-1760.87,0.980398,0.0803635,6,63,0,1763.01,5139.17,0.277488,0.0267026,0.167883,0.228271,0.211437,0.0860097,206.716
-1762.99,0.968622,0.0803635,5,31,0,1765.28,5097.85,0.285097,-0.00600572,0.193179,0.253925,0.210917,0.0576386,230.713
-1765.92,0.735969,0.0803635,5,63,0,1772.66,5063.14,0.279368,-0.00194521,0.176533,0.23909,0.2769,0.0867539,202.228
-1763.32,0.999575,0.0803635,5,31,0,1767.02,4965.47,0.30408,0.0449567,0.171451,0.284324,0.18266,0.0747451,210.883
-1760.86,0.992882,0.0803635,6,63,0,1766.86,5144.09,0.285552,0.00535649,0.177923,0.265487,0.212468,-0.0207658,204.829
-1766.87,0.988295,0.0803635,5,31,0,1770.63,5286.52,0.281517,-0.0251987,0.180273,0.191643,0.222304,-0.0139499,195.712
-1763.42,0.999915,0.0803635,6,63,0,1772.59,4969.95,0.288579,0.0623932,0.19317,0.242309,0.196442,0.137949,221.895
-1761.34,0.986874,0.0803635,5,63,0,1765.7,4886.55,0.296735,0.0274458,0.193418,0.307002,0.20276,0.15679,209.087
-1761.33,0.822199,0.0803635,5,63,0,1765.41,4943.54,0.30203,0.00800582,0.181559,0.29761,0.204633,0.155436,198.859
-1760.03,0.919316,0.0803635,5,31,0,1762.9,4962.07,0.301595,0.0242643,0.170001,0.307611,0.201825,0.127715,204.335
-1763.54,0.898779,0.0803635,4,31,0,1766.21,4914.98,0.317104,0.0155988,0.166823,0.29772,0.198778,0.156753,202.459
-1766.74,0.998609,0.0803635,6,63,0,1769.33,4815.79,0.291135,0.0550085,0.217609,0.298128,0.266857,0.0683076,232.673
-1762.49,0.962187,0.0803635,6,63,0,1770.25,4937.81,0.303256,0.0613218,0.156894,0.268192,0.247061,0.100752,219.147
-1762.73,0.998711,0.0803635,6,63,0,1764.91,5173.73,0.295611,-0.0272668,0.194364,0.250889,0.178856,0.0203404,215.532
-1764.59,0.989327,0.0803635,5,31,0,1766.54,5183.78,0.297189,-0.0196564,0.210104,0.22859,0.142313,0.00812107,212.068
-1764.56,0.945876,0.0803635,6,63,0,1770.94,5010.71,0.28735,-0.00202384,0.202361,0.331676,0.133285,0.139518,212.368
-1766.14,0.973568,0.0803635,5,63,0,1771.28,5045.99,0.276729,-0.0140486,0.202177,0.350667,0.173932,0.0347731,198.022
-1759.84,0.999976,0.0803635,5,31,0,1767.04,5014.35,0.302786,0.0319476,0.169035,0.257823,0.199508,0.121916,215.482
-1761.18,0.999255,0.0803635,6,63,0,1762.49,4920.24,0.289471,0.00629073,0.208148,0.298742,0.233914,0.131729,209.091
-1761.9,0.986289,0.0803635,5,63,0,1764.38,5018.56,0.280807,-0.00969933,0.2013,0.283529,0.225804,0.113264,200.852
-1760.54,0.985548,0.0803635,5,31,0,1763.41,5052.34,0.287356,-0.0055291,0.190307,0.293545,0.187892,0.101221,199.791
-1760.91,0.996668,0.0803635,6,63,0,1764.39,5182.04,0.286521,0.0359742,0.146044,0.221172,0.216036,0.0463326,210.332
-1762.8,0.960579,0.0803635,5,63,0,1765.83,5145.44,0.300967,0.0157068,0.153422,0.2303,0.205578,0.0447066,192.588
-1765.24,0.999365,0.0803635,6,63,0,1769.04,5146.29,0.278648,-0.0145608,0.162889,0.270361,0.234219,0.0725215,237.824
-1762.08,0.989972,0.0803635,5,31,0,1768.56,5268.95,0.2957,-0.00137322,0.145632,0.220566,0.18375,0.0125819,207.34
-1762.47,0.999165,0.0803635,5,63,0,1765,5210.21,0.305455,0.0085627,0.155647,0.235018,0.156851,0.0110576,203.759
-1759.2,0.986752,0.0803635,5,31,0,1763.59,5065.85,0.2871,0.0349204,0.176226,0.24847,0.227509,0.0701005,207.237
-1759.47,0.999948,0.0803635,6,63,0,1760.53,5006.12,0.300567,0.00268836,0.179007,0.299375,0.199538,0.085709,211.008
-1759.43,0.999121,0.0803635,6,63,0,1760.59,5113.32,0.287625,0.037459,0.164801,0.241163,0.210356,0.0535242,207.836
-1759.97,0.97294,0.0803635,5,63,0,1762.17,5028.77,0.300907,0.0399386,0.169927,0.27064,0.226243,0.0250812,209.813
-1763.02,0.915581,0.0803635,5,31,0,1765.56,4963.72,0.293113,0.0619414,0.184317,0.289547,0.200199,0.0260979,205.384
-1760.27,0.977517,0.0803635,6,63,0,1765.32,5143.79,0.280851,0.0142487,0.159508,0.241331,0.245746,0.0734573,207.404
-1760.91,0.964198,0.0803635,5,63,0,1762.46,5112.22,0.273485,0.00646508,0.167836,0.278366,0.235873,0.0590187,202.558
-1760.95,0.995305,0.0803635,6,63,0,1764.15,4994.9,0.287037,0.0393204,0.178594,0.291958,0.168168,0.145049,211.477
-1758.93,0.957712,0.0803635,5,63,0,1762.67,5125.57,0.289292,0.0101922,0.166299,0.269336,0.186219,0.0638529,203.472
-1759.69,0.96245,0.0803635,6,63,0,1761.34,4968.34,0.296615,0.0188735,0.189732,0.274368,0.232463,0.120815,206.862
-1759.6,0.999922,0.0803635,6,63,0,1760.61,5008.39,0.295712,0.0411079,0.168723,0.286826,0.223692,0.0581564,207.612
-1761.99,0.999608,0.0803635,5,31,0,1763.29,4995.66,0.290953,0.0548932,0.199854,0.28543,0.179559,0.0362461,210.109
-1763.86,0.989683,0.0803635,5,31,0,1766.14,4952.8,0.291836,0.0715353,0.19371,0.299401,0.190074,0.0369635,206.534
-1761.47,0.999944,0.0803635,5,31,0,1766.87,4988.99,0.312242,0.00198706,0.18825,0.274516,0.198462,0.0741014,206.543
-1761.72,0.984395,0.0803635,5,63,0,1765.67,4887.85,0.297408,0.00338843,0.20021,0.313602,0.242303,0.117079,203.362
-1762.45,0.986623,0.0803635,6,63,0,1768.99,5073.97,0.297008,0.0352591,0.155471,0.260016,0.21205,0.0510728,230.708
-1760.68,0.99871,0.0803635,5,63,0,1764.52,5153.53,0.285553,-0.00233168,0.167053,0.276213,0.220346,0.00939143,216.43
-1765.1,0.98879,0.0803635,5,31,0,1766.59,5267.04,0.277207,-0.00683596,0.189303,0.228328,0.207683,-0.0664082,204.54
-1764.99,0.989439,0.0803635,5,63,0,1773.6,5101.78,0.312621,-0.00383648,0.176939,0.228828,0.262625,-0.0200146,210.062
-1760.88,0.954733,0.0803635,5,63,0,1769.32,5108.46,0.282127,0.0225136,0.184183,0.248969,0.17431,0.125709,206.073
-1763.1,0.729775,0.0803635,4,31,0,1766.7,5094.62,0.297053,0.0192515,0.164512,0.264641,0.226032,0.0688457,209.876
-1762.41,1,0.0803635,3,11,0,1763.62,5058.38,0.293702,0.0171342,0.161988,0.259983,0.229104,0.0524381,210.077
-1762.99,0.916815,0.0803635,3,15,0,1765.5,5044.11,0.289772,0.0188875,0.158987,0.274425,0.241704,0.048951,203.879
-1762.49,0.9597,0.0803635,6,63,0,1765.8,5114.03,0.29179,0.0334722,0.177406,0.216086,0.186829,0.0538038,212.341
-1760.67,0.998743,0.0803635,6,63,0,1765.79,5131.21,0.289306,0.0488573,0.169417,0.232056,0.191988,0.0356876,212.205
-1761.24,0.971399,0.0803635,5,63,0,1763.98,5182.77,0.284753,0.0386868,0.165648,0.227006,0.210693,-0.00439025,211.214
-1761.13,0.871291,0.0803635,6,63,0,1766.37,5120.02,0.290443,-0.0193448,0.173789,0.278391,0.167731,0.105063,208.163
-1760.67,0.999702,0.0803635,6,63,0,1763.8,5012.79,0.297758,0.0225396,0.164648,0.2828,0.255366,0.0240604,207.384
-1762.78,0.999573,0.0803635,6,63,0,1764.83,5119.78,0.288643,0.0406163,0.160538,0.268616,0.1854,0.0167903,229.986
-1760.3,0.955632,0.0803635,6,63,0,1765.14,5010.72,0.307362,0.0259589,0.155672,0.288433,0.207931,0.0982978,204.918
