# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1j3dbu22.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120227_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0659478
# Diagonal elements of inverse mass matrix:
# 5516.71, 8.94034e-005, 0.000339059, 0.000293547, 0.000756539, 0.00115948, 0.00197886, 0.00112451
-2323.24,0.998021,0.0659478,6,63,0,2327.09,4930.26,0.31713,0.0664226,0.237648,0.202717,0.132875,0.0863731,191.744
-2323.44,0.990867,0.0659478,6,63,0,2325.83,4942.11,0.300429,0.0487848,0.207822,0.259967,0.115146,0.167038,199.04
-2322.8,0.999446,0.0659478,6,63,0,2327.84,4960.48,0.315887,0.0504084,0.221625,0.216555,0.129369,0.101263,188.216
-2321.58,0.999658,0.0659478,5,63,0,2324.07,4982.55,0.303273,0.0521852,0.217368,0.214756,0.143633,0.117912,198.108
-2322.44,0.932645,0.0659478,6,63,0,2324.2,4999.15,0.303019,0.0607241,0.224582,0.233652,0.0810524,0.0981825,202.808
-2323.48,0.901554,0.0659478,6,63,0,2325.71,4971.2,0.311136,0.0606482,0.217622,0.231972,0.104987,0.125051,206.525
-2323.34,0.996269,0.0659478,6,63,0,2326.62,4843.13,0.304199,0.0563294,0.250172,0.254611,0.151717,0.106088,192.716
-2321.87,0.992669,0.0659478,5,31,0,2325.81,4901.18,0.312108,0.0663725,0.238205,0.217842,0.135917,0.12565,197.815
-2322.27,0.959999,0.0659478,6,63,0,2323.82,4977.74,0.300253,0.0658682,0.222871,0.230531,0.127432,0.0925096,194.032
-2323.62,0.936629,0.0659478,6,63,0,2325.7,4993,0.301063,0.0429471,0.225596,0.228216,0.14171,0.108172,193.665
-2323.38,0.998504,0.0659478,6,63,0,2326.4,4996.5,0.308208,0.0332624,0.227775,0.224498,0.118366,0.125288,194.679
-2324.69,0.968268,0.0659478,6,63,0,2327.1,4996.07,0.312559,0.0556642,0.220595,0.203484,0.121666,0.0585799,201.268
