# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1j3dbu22.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120227_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0749107
# Diagonal elements of inverse mass matrix:
# 5860.08, 9.12533e-005, 0.000279103, 0.000298527, 0.000828201, 0.00101735, 0.00181819, 0.00127395
-2328.04,0.981427,0.0749107,6,63,0,2331.94,5022.57,0.292856,0.0995423,0.223654,0.177992,0.0888214,0.117091,197.228
-2323.04,0.999599,0.0749107,5,31,0,2328.76,5001.67,0.306844,0.0773618,0.222945,0.186086,0.103691,0.11683,202.322
-2325.26,0.740211,0.0749107,6,63,0,2329.44,4830.7,0.312123,0.0436447,0.240344,0.283903,0.145996,0.135829,196.29
-2324.22,0.985983,0.0749107,6,63,0,2326.53,5013.46,0.306203,0.0725522,0.218359,0.189798,0.119316,0.126422,200.39
-2325.39,0.976439,0.0749107,5,63,0,2328.46,4905.21,0.323031,0.0520322,0.234339,0.19894,0.104235,0.167073,195.236
-2325.08,0.999993,0.0749107,6,63,0,2327.88,4919.61,0.294676,0.0637229,0.226231,0.269442,0.153412,0.0886458,203.593
-2323.43,0.969282,0.0749107,5,63,0,2327.62,4842.12,0.305953,0.0630962,0.226377,0.257669,0.156108,0.180393,200.315
-2325.35,0.99888,0.0749107,5,31,0,2326.38,4808.08,0.318038,0.0388986,0.245292,0.244647,0.13803,0.194471,205.451
-2323.99,0.99631,0.0749107,6,63,0,2327.25,5043.25,0.299173,0.0707481,0.221575,0.189774,0.128805,0.054613,199.079
-2324.5,0.95422,0.0749107,6,63,0,2328.79,4970.23,0.313222,0.0749928,0.225081,0.225404,0.1208,0.0215168,197.234
-2326.28,0.990133,0.0749107,6,63,0,2329.71,5000.43,0.315707,0.0631221,0.235543,0.198201,0.102273,0.0393195,185.846
-2322.79,0.999802,0.0749107,5,63,0,2328.21,5013.14,0.309542,0.0414841,0.20064,0.217523,0.130747,0.135257,201.615
-2324.09,0.932714,0.0749107,5,63,0,2327.28,4894.91,0.312542,0.0515887,0.228149,0.203463,0.134438,0.209517,196.021
-2325.71,0.998216,0.0749107,6,63,0,2329.87,4776.85,0.305597,0.0752509,0.263645,0.276466,0.150542,0.0928921,195.615
-2328.66,0.972469,0.0749107,6,63,0,2332.62,4982.87,0.313277,0.0315806,0.213036,0.196419,0.107455,0.24785,209.56
-2325.7,0.99964,0.0749107,5,63,0,2330.95,4900.45,0.323255,0.0332962,0.217772,0.238305,0.118497,0.199255,205.079
-2325.08,0.975174,0.0749107,6,63,0,2329.32,4890.61,0.320463,0.0420437,0.206555,0.223331,0.152322,0.20359,198.595
-2327.14,0.953884,0.0749107,6,63,0,2331.45,4995.12,0.286466,0.075658,0.245905,0.230408,0.105042,0.0352446,201.696
-2326.38,0.99935,0.0749107,5,31,0,2333.83,5035.09,0.284838,0.0748276,0.211341,0.215945,0.131223,0.0868581,200.439
-2325.75,0.986092,0.0749107,6,63,0,2328.87,4949.72,0.327122,0.0339713,0.232707,0.219811,0.11783,0.0985124,196.794
-2325.33,0.990624,0.0749107,5,63,0,2328.43,4966.22,0.319768,0.036212,0.241846,0.221913,0.110927,0.044875,197.672
-2322.71,0.99869,0.0749107,5,31,0,2326.16,4942.79,0.305253,0.067044,0.210308,0.231873,0.123874,0.165589,203.528
-2324.99,0.989877,0.0749107,5,63,0,2330.54,4969.37,0.317052,0.056449,0.205912,0.244117,0.105462,0.0746224,188.185
-2323.35,0.909092,0.0749107,5,31,0,2329.59,4951.36,0.302101,0.0319488,0.223506,0.230809,0.150557,0.135781,197.844
-2323.76,0.907064,0.0749107,5,63,0,2327.91,4926.7,0.318786,0.0525856,0.234894,0.210505,0.128194,0.13478,192.585
-2324.28,0.990309,0.0749107,6,63,0,2329.1,4918.63,0.317775,0.0330569,0.243782,0.251906,0.0922133,0.102259,201.87
-2324.78,0.960738,0.0749107,6,63,0,2327.07,4950.81,0.2913,0.0898092,0.223117,0.229984,0.131746,0.110989,196.635
-2324.61,0.999501,0.0749107,6,63,0,2327.64,4882.65,0.298089,0.0985739,0.241394,0.23123,0.120979,0.103271,197.849
-2324.53,0.999002,0.0749107,6,63,0,2328.2,4925.55,0.297165,0.0924361,0.241992,0.227111,0.122902,0.0672357,201.142
-2325.66,0.874399,0.0749107,6,63,0,2330.11,4839.24,0.319835,0.0406395,0.22315,0.232949,0.17715,0.20406,202.583
-2324.97,0.951532,0.0749107,6,63,0,2329.7,4978.86,0.301506,0.0819558,0.215356,0.231157,0.119562,0.0492975,206.956
-2323.45,0.99361,0.0749107,5,31,0,2326.19,4971.29,0.297322,0.0764151,0.220086,0.2351,0.112916,0.0813424,201.763
-2324.94,0.99246,0.0749107,5,31,0,2326.55,4942.37,0.299128,0.0880102,0.206618,0.249015,0.123616,0.0882096,198.818
-2323.81,0.966361,0.0749107,5,31,0,2326.98,4949.02,0.294755,0.0802278,0.220709,0.218437,0.144869,0.108718,199.125
-2323.78,0.999993,0.0749107,5,63,0,2326.95,4903.04,0.307087,0.0648248,0.227786,0.265197,0.0834705,0.151378,207.892
-2323.93,0.957792,0.0749107,6,63,0,2326.68,4930.1,0.29581,0.0632404,0.253307,0.226606,0.137555,0.0908882,191.683
-2322.89,0.997068,0.0749107,5,31,0,2326.88,4926.84,0.295989,0.0683384,0.246183,0.230274,0.125468,0.0931964,194.716
-2326.81,0.941405,0.0749107,6,63,0,2328.7,4988.12,0.327042,0.059749,0.19881,0.194649,0.139313,0.109768,193.234
-2327.52,0.994474,0.0749107,5,31,0,2328.88,4980.7,0.326067,0.055358,0.191679,0.191908,0.140876,0.120092,192.906
-2324.76,1,0.0749107,5,31,0,2328.21,5017.66,0.316868,0.0537702,0.200684,0.198274,0.13736,0.112579,191.058
-2322.32,1,0.0749107,5,31,0,2325.51,4997.64,0.309454,0.0584623,0.211849,0.196074,0.130942,0.130571,193.039
-2324.62,0.983136,0.0749107,5,63,0,2327.61,4894.42,0.301335,0.0497781,0.235251,0.211982,0.19781,0.135799,204.954
-2324.19,0.948414,0.0749107,6,63,0,2326.69,4915.19,0.315647,0.0722518,0.228577,0.253181,0.0688862,0.117167,192.373
-2325.22,0.990867,0.0749107,6,63,0,2330.45,4984.64,0.307013,0.0251797,0.214333,0.232791,0.125125,0.166842,212.614
-2322.2,0.998875,0.0749107,5,31,0,2327.17,4901.76,0.299668,0.0504642,0.245647,0.233081,0.130422,0.151141,196.346
-2324.43,0.996238,0.0749107,5,31,0,2325.98,4964,0.321857,0.0332009,0.22996,0.213529,0.0960114,0.149152,197.352
-2329.2,0.986136,0.0749107,5,63,0,2332.88,4902.69,0.311484,0.0595492,0.258318,0.219075,0.145461,0.0318639,221.227
-2328.22,0.967368,0.0749107,5,31,0,2331.11,4902.52,0.313909,0.0604437,0.260363,0.214942,0.147268,0.0374847,217.667
-2325.85,0.905025,0.0749107,6,63,0,2332.62,4785.92,0.302936,0.0627296,0.241205,0.261475,0.14397,0.219217,190.554
-2324.48,0.994389,0.0749107,6,63,0,2329.29,5001.2,0.308548,0.072122,0.211485,0.235578,0.0852202,0.0764954,210.515
-2323.51,0.87896,0.0749107,6,63,0,2327.68,4975.33,0.301766,0.0352558,0.2318,0.216162,0.142576,0.11251,190.618
-2323.52,0.96355,0.0749107,6,63,0,2326.05,4996.1,0.310289,0.0509522,0.212854,0.20875,0.12115,0.154817,193.39
-2327.5,0.99553,0.0749107,5,31,0,2328.93,5030.89,0.299782,0.0502915,0.228386,0.183632,0.0989848,0.191691,214.18
-2324.41,0.981039,0.0749107,6,63,0,2329.91,4913.19,0.302306,0.0453581,0.230088,0.235583,0.106316,0.194361,197.575
-2326.69,0.846004,0.0749107,5,31,0,2330.81,4937.5,0.295505,0.0434567,0.230195,0.272505,0.0937988,0.179924,191.387
-2324.62,0.999679,0.0749107,6,63,0,2330.78,4935.25,0.293261,0.0680861,0.21171,0.247417,0.168863,0.119388,203.55
-2324.6,0.999897,0.0749107,6,63,0,2329.34,4888.92,0.303393,0.0801376,0.204314,0.258005,0.158538,0.130112,205.427
-2326.29,0.96138,0.0749107,5,31,0,2328.68,4888.01,0.300776,0.0815677,0.197194,0.25971,0.157674,0.13667,206.75
-2326.04,0.995258,0.0749107,6,63,0,2328.75,4956.07,0.316576,0.0317929,0.257145,0.206062,0.0986166,0.11932,192.371
-2326.09,1,0.0749107,6,63,0,2329.46,4982.5,0.294514,0.0754973,0.196887,0.235634,0.110675,0.187574,202.527
-2323.84,0.999422,0.0749107,6,63,0,2331.53,4909.77,0.296392,0.076529,0.25378,0.221331,0.131873,0.0877622,203.882
-2327.49,0.975498,0.0749107,5,31,0,2330.4,4914.35,0.31423,0.0759231,0.23651,0.272106,0.062474,0.0344624,196.253
-2324.02,0.940471,0.0749107,5,31,0,2330.8,4890.13,0.305399,0.0617736,0.264422,0.220308,0.125606,0.102074,207.958
-2327.48,0.957744,0.0749107,5,31,0,2329.96,4883.04,0.31334,0.0634449,0.272643,0.196182,0.125943,0.0989159,215.184
