# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\c0gvoi7e.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120235_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0956211
# Diagonal elements of inverse mass matrix:
# 4851.42, 9.1094e-005, 0.000278613, 0.000306051, 0.000694327, 0.000876867, 0.00174489, 0.000921122
-2932.06,0.998018,0.0956211,5,63,0,2933.83,5026.7,0.283832,0.0549981,0.175741,0.257247,0.172001,0.165082,211.736
-2929.6,0.943098,0.0956211,5,31,0,2934.55,4934.55,0.30023,0.0502857,0.203061,0.229744,0.193454,0.184683,209.984
-2928.72,0.999984,0.0956211,5,31,0,2930.24,4928.74,0.298384,0.0373847,0.205285,0.253689,0.195607,0.175692,208.388
-2929.47,0.997415,0.0956211,5,31,0,2932.58,4937.9,0.300774,0.0224781,0.21206,0.262711,0.202756,0.130814,209.66
-2930.79,0.982949,0.0956211,5,31,0,2931.36,5017.79,0.288589,0.0576975,0.201345,0.235288,0.145478,0.147974,210.426
-2931.03,0.968641,0.0956211,5,63,0,2933.94,4883.56,0.303412,0.034752,0.211864,0.275341,0.191209,0.153422,197.25
-2930.32,0.999603,0.0956211,5,31,0,2933.33,4902.98,0.298265,0.0287436,0.215517,0.258277,0.204081,0.180707,220.492
-2929.92,0.782725,0.0956211,6,63,0,2935.28,4883.96,0.294505,0.0365374,0.202916,0.271554,0.213503,0.202533,213.251
-2930.31,0.994904,0.0956211,6,63,0,2936.64,4870.77,0.300083,0.0562654,0.2334,0.267946,0.17798,0.116817,203.799
-2931.18,0.935544,0.0956211,6,63,0,2933.88,4980.38,0.29569,0.0302976,0.190619,0.243147,0.182741,0.194855,218.125
