# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\c0gvoi7e.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120235_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0728556
# Diagonal elements of inverse mass matrix:
# 4835.53, 7.8086e-005, 0.000282852, 0.000282846, 0.000905788, 0.000846206, 0.00168304, 0.000869954
-2932.75,0.978916,0.0728556,5,31,0,2936.54,4938.81,0.306509,0.0578278,0.186163,0.261076,0.136712,0.211215,213.521
-2934.28,0.961198,0.0728556,6,63,0,2936.61,4839.28,0.294499,0.0313409,0.254664,0.281452,0.2251,0.0783786,210.726
-2932.12,0.955837,0.0728556,6,63,0,2942.26,4929.53,0.291705,0.0699059,0.220897,0.271477,0.142126,0.125713,202.359
-2933.95,0.986495,0.0728556,6,63,0,2941.53,5029.25,0.296609,-0.000315608,0.188686,0.231138,0.221246,0.163847,214.493
-2936.05,0.999586,0.0728556,6,63,0,2940.96,4759.8,0.291505,0.0867911,0.248601,0.303668,0.186855,0.123791,214.392
-2936.74,0.894684,0.0728556,6,63,0,2943.38,4685.76,0.314045,0.0342864,0.235578,0.320173,0.224166,0.206748,202.909
-2932.76,0.967518,0.0728556,6,63,0,2938.84,5033.85,0.28878,0.057848,0.207705,0.231169,0.150035,0.1041,222.187
-2931.52,0.96826,0.0728556,6,63,0,2936.72,4876.34,0.303936,0.0201932,0.210162,0.280471,0.204965,0.178435,200.438
-2933.82,0.921247,0.0728556,5,31,0,2936.38,4914.03,0.300736,0.0078569,0.204104,0.306063,0.17662,0.168583,200.919
