# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\g05e6k3i.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120244_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0855273
# Diagonal elements of inverse mass matrix:
# 3653.5, 5.98317e-005, 0.000245182, 0.000217863, 0.000552853, 0.000673585, 0.00131341, 0.000796932
-3507.87,0.895082,0.0855273,5,63,0,3510.43,5053.91,0.305584,0.0452352,0.190423,0.267301,0.117643,0.0116298,208.99
-3506.8,0.999728,0.0855273,5,31,0,3508.74,5033.66,0.317507,0.0435648,0.187086,0.261014,0.122482,0.0423675,205.779
-3508.52,0.999856,0.0855273,5,31,0,3509.87,5116.89,0.313165,0.0506652,0.160325,0.220599,0.133132,0.0492332,206.629
-3510.42,0.900393,0.0855273,5,63,0,3514.64,5093.42,0.328308,0.0416652,0.164666,0.236323,0.119294,0.0190213,208.808
-3512.2,0.997588,0.0855273,6,63,0,3516.47,4989.68,0.317256,0.0259368,0.175304,0.260677,0.18043,0.0872062,220.04
-3509.23,0.890547,0.0855273,5,63,0,3516.62,5061.6,0.31199,0.0559225,0.166544,0.25492,0.0943756,0.0884689,214.222
-3511.48,0.898348,0.0855273,6,63,0,3516.5,5136.45,0.307908,0.0582674,0.185411,0.207782,0.094628,0.0664685,215.998
-3509.36,0.994681,0.0855273,5,31,0,3513.02,5087.89,0.309283,0.0653447,0.188908,0.213493,0.0970691,0.0474699,208.271
-3511.97,0.999053,0.0855273,5,63,0,3515.55,5066.3,0.316924,0.0382993,0.175486,0.279776,0.0721667,0.0739904,220.847
