# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\g05e6k3i.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120244_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0882692
# Diagonal elements of inverse mass matrix:
# 4326.76, 6.78204e-005, 0.000202142, 0.000208959, 0.000625655, 0.000792481, 0.00135993, 0.000883414
-3510.13,1,0.0882692,5,31,0,3512.06,5000.68,0.312783,0.0689097,0.196516,0.226183,0.135345,0.0874214,218.232
-3510.88,0.942525,0.0882692,6,63,0,3513.22,5075.19,0.312014,0.0303367,0.18456,0.279522,0.121275,0.00614326,197.139
-3510.15,0.995715,0.0882692,4,15,0,3512.18,5063.95,0.311163,0.0318141,0.182205,0.274219,0.123329,0.00350812,197.942
-3509.4,0.99642,0.0882692,5,63,0,3513.63,4949.34,0.32353,0.0673695,0.19061,0.26222,0.116987,0.0887431,206.374
-3509.46,0.994959,0.0882692,5,63,0,3513.12,5041.5,0.298493,0.0408965,0.202272,0.249414,0.152716,0.0293707,213.087
-3509.92,1,0.0882692,5,31,0,3512.66,5023.27,0.312834,0.0531423,0.204462,0.221492,0.164263,0.00353428,216.458
-3510.54,0.985145,0.0882692,6,63,0,3513.57,5069.93,0.311071,0.0583149,0.156115,0.280369,0.0934052,0.0753436,202.127
-3507.78,0.975946,0.0882692,5,31,0,3512.42,4970.99,0.314244,0.055331,0.204298,0.261366,0.142815,0.0136204,212.525
-3508.9,0.964989,0.0882692,5,31,0,3511.45,4895.5,0.319485,0.0570352,0.197469,0.279835,0.161598,0.0581806,201.374
