# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ud3sgcjz.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120256_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0926294
# Diagonal elements of inverse mass matrix:
# 3500.68, 5.67665e-005, 0.000196824, 0.000200568, 0.000529253, 0.00061586, 0.00104356, 0.000804139
-4079.58,0.970575,0.0926294,5,31,0,4085.66,4925.91,0.312494,0.0337191,0.206621,0.236396,0.201714,0.13806,211.266
-4081.29,0.840454,0.0926294,5,63,0,4084.22,4887.03,0.306474,0.0496588,0.208993,0.274749,0.197203,0.1191,208.724
-4079.67,0.998526,0.0926294,6,63,0,4084.19,5018.68,0.313706,0.0451385,0.190573,0.199763,0.151793,0.18141,200.169
-4079,0.999416,0.0926294,5,31,0,4083.14,5021.12,0.309883,0.0461359,0.190667,0.191145,0.170986,0.176578,204.542
-4078.46,0.997057,0.0926294,5,31,0,4080.44,5013.28,0.304013,0.0612196,0.200661,0.216599,0.143794,0.131863,202.155
-4082.52,0.991953,0.0926294,5,63,0,4084.97,4893.83,0.315301,0.0709047,0.223951,0.238907,0.12524,0.127856,196.979
-4086.2,0.957309,0.0926294,4,15,0,4086.93,4896.69,0.314218,0.0754395,0.227687,0.243194,0.110166,0.139213,192.983
-4079.17,0.827987,0.0926294,5,31,0,4091.06,4977.06,0.303967,0.0555077,0.191027,0.201354,0.177408,0.206851,201.033
-4077.66,0.897976,0.0926294,5,31,0,4080.51,5003.51,0.307584,0.0445064,0.187045,0.226875,0.161283,0.167124,206.085
-4077.09,0.999904,0.0926294,5,31,0,4078.55,4959.8,0.30677,0.044263,0.19725,0.236483,0.176961,0.160047,203.137
