# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:02:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ud3sgcjz.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120256_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0719646
# Diagonal elements of inverse mass matrix:
# 3244.65, 5.97043e-005, 0.000173953, 0.000211213, 0.000528809, 0.000614036, 0.000853926, 0.000630427
-4080.12,0.986508,0.0719646,6,63,0,4083.73,5047.29,0.306404,0.0499737,0.198065,0.191368,0.131697,0.18123,202.92
-4080.34,0.999557,0.0719646,6,63,0,4083.42,5002.33,0.305405,0.0274967,0.2072,0.196677,0.187166,0.166256,204.352
-4079.06,0.999999,0.0719646,6,63,0,4083.52,4896.96,0.311641,0.0542771,0.20747,0.243234,0.166106,0.174967,214.89
-4079.29,0.980598,0.0719646,6,63,0,4080.86,4984.19,0.313725,0.0452026,0.187318,0.243091,0.148095,0.137867,194.497
-4078.59,0.996723,0.0719646,6,63,0,4082,4909.16,0.304552,0.0566395,0.204083,0.224866,0.184222,0.209367,205.738
-4078.8,0.965929,0.0719646,6,63,0,4080.43,5002.7,0.312104,0.0395104,0.193052,0.242263,0.152801,0.104435,200.737
-4077.26,0.999627,0.0719646,6,63,0,4079.89,4943.87,0.311027,0.0508413,0.199106,0.215814,0.185355,0.16951,202.254
-4078.34,0.865143,0.0719646,5,63,0,4081.9,4938.91,0.310694,0.056217,0.198352,0.215429,0.177523,0.16037,205.589
-4081.06,0.947449,0.0719646,6,63,0,4083.26,4871.97,0.304652,0.047974,0.202034,0.246262,0.204629,0.196002,196.359
-4078.5,0.984059,0.0719646,6,63,0,4083.17,4993.36,0.309025,0.0649354,0.189416,0.214151,0.145594,0.152008,206.801
-4078.94,0.951404,0.0719646,6,63,0,4082.23,4931.04,0.303071,0.0585933,0.212328,0.23981,0.163167,0.125112,203.023
-4078.21,0.99991,0.0719646,5,63,0,4081.34,4926.32,0.310128,0.0525862,0.205592,0.247806,0.150267,0.138247,201.916
-4077.74,0.990583,0.0719646,6,63,0,4079.78,4908.55,0.309619,0.0574423,0.197867,0.226251,0.1889,0.1803,205.793
-4077.45,0.999349,0.0719646,6,63,0,4080.06,4982.02,0.306673,0.0510044,0.195552,0.232863,0.140021,0.161583,204.593
-4079.19,0.991012,0.0719646,5,63,0,4081.38,4957.24,0.298427,0.0570775,0.199267,0.25614,0.14561,0.170832,201.493
-4079.9,0.942065,0.0719646,6,63,0,4081.28,4923.54,0.319896,0.0485068,0.194471,0.211698,0.175913,0.185199,204.797
-4077.37,0.991521,0.0719646,6,63,0,4082.83,4917.69,0.305166,0.0567068,0.210172,0.252021,0.158738,0.146683,203.564
-4082.16,0.958805,0.0719646,6,63,0,4084.87,5112.62,0.306469,0.0307459,0.171492,0.206143,0.147731,0.150931,210.935
-4078.62,0.99052,0.0719646,6,63,0,4084.81,4878.69,0.308395,0.0581588,0.21404,0.241488,0.179056,0.178873,197.567
-4080.78,0.953222,0.0719646,5,31,0,4082.44,4872.41,0.314481,0.0435828,0.205253,0.251768,0.211373,0.152704,195.098
-4082.14,0.951959,0.0719646,6,63,0,4087.05,4865.58,0.29724,0.0651956,0.217142,0.266262,0.169113,0.182117,213.306
-4077.56,0.997998,0.0719646,5,31,0,4083.11,4931.37,0.303579,0.0642377,0.199038,0.241311,0.161154,0.163267,205.129
-4085.3,0.994811,0.0719646,5,63,0,4088.49,4861.14,0.307791,0.0494202,0.232706,0.22032,0.157335,0.234319,216.441
-4085.44,0.9897,0.0719646,6,63,0,4086.67,4858.16,0.308041,0.0493963,0.232088,0.219867,0.158212,0.235481,216.088
-4080.05,0.999706,0.0719646,6,63,0,4087.51,4889.76,0.314787,0.0444187,0.194823,0.279766,0.188631,0.127573,205.664
-4080.36,0.996129,0.0719646,6,63,0,4086.68,4968.99,0.315113,0.0369963,0.17958,0.253589,0.190368,0.124433,201.502
-4079.33,0.871163,0.0719646,5,63,0,4085.73,4987.41,0.312019,0.0469704,0.203938,0.217156,0.143571,0.13667,212.415
-4080.34,0.930249,0.0719646,6,63,0,4083.83,5018.37,0.305451,0.0505985,0.184533,0.196067,0.196449,0.15327,196.934
