# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\molt5qzn.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120309_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0714306
# Diagonal elements of inverse mass matrix:
# 2676.01, 5.3558e-005, 0.000146681, 0.000159126, 0.000380107, 0.000511737, 0.000954867, 0.000601497
-4669.46,0.99786,0.0714306,6,63,0,4673.33,4842.02,0.303954,0.0684234,0.240667,0.261433,0.133884,0.158307,200.25
-4669.03,0.999994,0.0714306,6,63,0,4672.63,4872.3,0.303221,0.0623281,0.226062,0.279672,0.103953,0.182108,208.914
-4668.84,0.978638,0.0714306,5,63,0,4673.25,4868.42,0.310451,0.0439815,0.209104,0.277004,0.153213,0.141965,207.666
-4666.33,0.999191,0.0714306,5,63,0,4670.96,4929.73,0.308224,0.0601028,0.209489,0.242959,0.133766,0.138192,207.99
-4665.79,0.98725,0.0714306,6,63,0,4667.16,4946.54,0.299493,0.0524886,0.20929,0.251029,0.146521,0.133464,207.736
-4671.16,0.915461,0.0714306,5,47,0,4672.69,4863.68,0.293014,0.0811009,0.221931,0.261687,0.112847,0.205335,207.307
-4671.08,0.998502,0.0714306,6,63,0,4675.27,4961.89,0.296717,0.0246724,0.211233,0.253107,0.179087,0.122371,207.556
-4671.72,0.928844,0.0714306,6,63,0,4677.19,4930.85,0.313711,0.0694784,0.208771,0.214819,0.105401,0.190281,207.793
-4669.19,0.995559,0.0714306,5,63,0,4675.4,4882.08,0.310654,0.0713028,0.217676,0.226659,0.126114,0.209325,202.831
-4670.42,0.999086,0.0714306,6,63,0,4672.44,4975.2,0.292984,0.04248,0.216686,0.266398,0.149279,0.0854289,211.717
-4668.21,0.933354,0.0714306,6,63,0,4677.29,4903.57,0.301697,0.0668521,0.218034,0.231434,0.118148,0.215502,204.159
-4670.3,0.99897,0.0714306,6,63,0,4673.8,4922.46,0.30871,0.0395479,0.227148,0.213272,0.155229,0.169348,198.233
-4669.72,1,0.0714306,6,63,0,4674.29,4799.21,0.296886,0.0675524,0.211957,0.293816,0.17955,0.189021,212.41
-4667.43,0.999974,0.0714306,6,63,0,4672.86,4894.09,0.311388,0.0467862,0.21038,0.246558,0.148056,0.191347,211.64
-4668.05,0.950809,0.0714306,6,63,0,4671.59,4916.39,0.306579,0.0484098,0.208937,0.269132,0.104435,0.177321,201.663
-4667.3,0.995787,0.0714306,6,63,0,4671.39,4939.44,0.308344,0.0522454,0.195737,0.262641,0.120655,0.173849,207.418
-4666.17,0.994066,0.0714306,6,63,0,4669.94,4879.96,0.306621,0.0538831,0.21724,0.237694,0.165987,0.182315,203.255
-4666.55,0.98588,0.0714306,5,63,0,4669.4,4881.96,0.299293,0.0496519,0.231254,0.242607,0.161041,0.180286,203.978
-4666.58,0.873761,0.0714306,6,63,0,4669.92,4945.99,0.306111,0.0475223,0.212534,0.240471,0.155791,0.129597,204.355
-4669.1,0.998907,0.0714306,5,63,0,4674.87,4921.51,0.314101,0.0444639,0.209145,0.268023,0.127454,0.120708,211.792
-4671.66,0.925746,0.0714306,6,63,0,4674.32,4883.5,0.286296,0.0627505,0.238143,0.24455,0.158474,0.165883,208.549
-4670.12,0.998717,0.0714306,6,63,0,4673.73,4915.08,0.291424,0.0720438,0.228835,0.235561,0.164533,0.145189,206.451
-4667.34,0.977258,0.0714306,5,63,0,4673.62,4814.71,0.303243,0.0749627,0.224546,0.273617,0.146704,0.186871,208.39
-4667.25,0.999982,0.0714306,6,63,0,4669.96,4808.66,0.303656,0.0733378,0.226295,0.272682,0.144017,0.190412,209.224
-4665.78,0.993654,0.0714306,6,63,0,4668.48,4931.05,0.301968,0.0401717,0.214295,0.258261,0.136859,0.17163,205.803
-4666.24,0.934264,0.0714306,5,31,0,4669,4901.23,0.30328,0.0512257,0.214676,0.280864,0.124232,0.143429,206.686
-4668.2,0.93235,0.0714306,5,63,0,4671.82,4974.19,0.299438,0.0487323,0.19909,0.227802,0.170016,0.172572,205.24
-4667.56,0.989925,0.0714306,6,63,0,4670.25,4956.19,0.295882,0.0399812,0.209519,0.234703,0.170431,0.17629,208.274
-4669.3,0.998632,0.0714306,6,63,0,4671.96,4942.87,0.306939,0.0676929,0.205701,0.262402,0.0871226,0.15138,210.185
-4667.84,0.864329,0.0714306,5,31,0,4672.11,4914.53,0.301046,0.0598102,0.217613,0.265317,0.112713,0.137749,206.273
-4668.81,0.998366,0.0714306,5,31,0,4670.39,4957.37,0.295292,0.0684846,0.223577,0.250735,0.10848,0.133642,206.365
-4668.49,0.99989,0.0714306,6,63,0,4673.17,4840.96,0.310255,0.0381539,0.212176,0.26937,0.166487,0.199236,206.61
-4668.23,0.992673,0.0714306,6,63,0,4670.66,4857,0.297366,0.076336,0.229887,0.269773,0.142728,0.128567,207.766
-4670.13,0.998693,0.0714306,5,63,0,4675.5,4900.97,0.297712,0.0389653,0.225381,0.282973,0.137707,0.144324,217.967
-4669.56,0.94045,0.0714306,6,63,0,4675.2,4898.49,0.300541,0.0378478,0.218477,0.279381,0.139657,0.159193,218.346
-4673.75,0.990379,0.0714306,5,31,0,4676.5,4880.33,0.302797,0.0296044,0.231991,0.286375,0.167322,0.106754,218.275
-4671.4,0.978689,0.0714306,6,63,0,4681.83,4972.87,0.297658,0.0685657,0.208047,0.238927,0.0878631,0.194333,195.706
-4671.84,0.951888,0.0714306,5,31,0,4676.87,4994.27,0.295695,0.0539807,0.2038,0.251674,0.106495,0.167621,190.901
-4669.93,0.90209,0.0714306,5,31,0,4674.79,4966.84,0.301222,0.0563775,0.206485,0.252873,0.103026,0.161714,192.719
-4667.98,0.998155,0.0714306,6,63,0,4673.34,4899.17,0.299016,0.0386464,0.235363,0.249957,0.137159,0.18512,210.746
-4669.42,0.961733,0.0714306,6,63,0,4671.75,4911.5,0.305441,0.0691424,0.189594,0.267423,0.120575,0.190557,200.314
-4669.32,0.979209,0.0714306,6,63,0,4672.92,4931.62,0.295882,0.0537815,0.199317,0.290086,0.11976,0.153688,199.017
