# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\molt5qzn.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120309_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0766307
# Diagonal elements of inverse mass matrix:
# 3438.74, 4.72193e-005, 0.000156687, 0.000171685, 0.00047119, 0.000647894, 0.00106582, 0.000690127
-4672.3,0.999831,0.0766307,6,63,0,4677.87,4994.94,0.298498,0.0240829,0.199482,0.252035,0.186884,0.116417,207.932
-4667.5,0.862257,0.0766307,5,31,0,4675.44,4933.68,0.297052,0.0373159,0.221082,0.250366,0.166333,0.154853,205.862
-4666.63,0.997028,0.0766307,6,63,0,4669.52,4884.12,0.305487,0.05426,0.224033,0.276571,0.130825,0.125479,206.028
-4670.63,0.97074,0.0766307,5,31,0,4671.78,4908.09,0.296071,0.0608707,0.209727,0.227863,0.162043,0.233444,215.522
-4667.51,0.99512,0.0766307,5,31,0,4673.15,4928.75,0.308513,0.0505269,0.196865,0.261468,0.13163,0.178053,211.398
-4668.49,0.848797,0.0766307,5,63,0,4671.72,4925.32,0.287994,0.0604503,0.226924,0.254294,0.127022,0.167957,205.809
-4668.16,0.860702,0.0766307,6,63,0,4671.73,4906.14,0.312712,0.0487681,0.203584,0.236325,0.156198,0.175229,204.577
-4668.7,0.993274,0.0766307,6,63,0,4671.17,4868.16,0.292233,0.0750887,0.211998,0.27179,0.166033,0.176086,204.269
-4668.87,0.947546,0.0766307,6,63,0,4672.41,4889.74,0.314312,0.0413542,0.219713,0.255598,0.133927,0.143224,208.399
-4667.08,0.999531,0.0766307,6,63,0,4670.78,4929.17,0.302156,0.0479858,0.228715,0.229407,0.145244,0.14206,204.452
-4669.82,0.977806,0.0766307,5,63,0,4671.91,4944.49,0.309073,0.0328708,0.203355,0.256857,0.164723,0.111097,203.318
-4668.57,0.939909,0.0766307,6,63,0,4672.97,4862.8,0.309564,0.0742636,0.224585,0.237964,0.136076,0.184857,203.478
-4666.84,0.997419,0.0766307,6,63,0,4671.62,4954.92,0.305343,0.0375128,0.214662,0.251979,0.140953,0.1283,203.807
-4667.52,0.977443,0.0766307,6,63,0,4671.84,4838.31,0.30085,0.0750882,0.212622,0.262533,0.148874,0.209948,208.58
-4667.43,0.827061,0.0766307,6,63,0,4671.03,4956.02,0.302665,0.0427381,0.220082,0.243185,0.146157,0.132777,201.906
-4668.19,0.965671,0.0766307,6,63,0,4670.22,4862.09,0.302964,0.0647416,0.208756,0.253489,0.141029,0.217026,206.568
-4669.97,0.992213,0.0766307,6,63,0,4672.49,4927.99,0.291584,0.0343456,0.219484,0.264799,0.158791,0.151307,202.035
-4669.98,0.945913,0.0766307,6,63,0,4674.12,4901.39,0.309678,0.0754043,0.216122,0.235544,0.108036,0.162115,209.994
-4665.78,0.999767,0.0766307,5,31,0,4670.7,4892.52,0.300412,0.0639091,0.204865,0.266434,0.150481,0.178095,204.651
