# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1pxsmdyq.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120322_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0739681
# Diagonal elements of inverse mass matrix:
# 2382.16, 4.23148e-005, 0.000124385, 0.000173477, 0.000347377, 0.000379162, 0.000800075, 0.00059973
-5198.07,0.996662,0.0739681,6,63,0,5200.87,4978.13,0.287679,0.0574624,0.198118,0.300272,0.149226,0.0803907,198.559
-5197.35,0.958401,0.0739681,6,63,0,5201.55,5013.32,0.294289,0.0635083,0.21176,0.212885,0.184384,0.0642755,189.021
-5196.34,0.999326,0.0739681,6,63,0,5200.33,4996.09,0.291842,0.0635857,0.188884,0.276796,0.168601,0.0565223,190.677
-5196.18,1,0.0739681,6,63,0,5199.03,4984.13,0.294223,0.0677646,0.192054,0.263758,0.165378,0.094917,199.719
-5194.97,0.98907,0.0739681,6,63,0,5197.69,5046.3,0.293316,0.0522068,0.192194,0.251423,0.168915,0.0606355,195.916
-5195.24,0.993778,0.0739681,6,63,0,5196.91,4976.97,0.288906,0.0637854,0.219978,0.25124,0.170688,0.0763598,189.15
-5199.07,0.999711,0.0739681,6,63,0,5201.13,5095.13,0.286121,0.0652899,0.182769,0.233609,0.158439,0.0730831,203.167
-5196.73,0.971824,0.0739681,6,63,0,5203.44,4965.21,0.294528,0.0509429,0.224093,0.251188,0.185439,0.0536136,187.246
-5195.43,0.883532,0.0739681,5,63,0,5199.87,4963.81,0.292196,0.0667263,0.209557,0.252334,0.190937,0.0764432,190.704
-5198.77,0.999657,0.0739681,5,31,0,5199.62,4918.85,0.304607,0.0607028,0.199774,0.268033,0.18918,0.0771638,189.676
-5196.04,0.999679,0.0739681,6,63,0,5202,4992.73,0.291777,0.0583696,0.206368,0.2828,0.149526,0.0526918,197.928
-5197.15,0.96698,0.0739681,6,63,0,5200.88,5100.95,0.281193,0.0515624,0.204075,0.225191,0.164056,0.0446908,189.404
-5200.26,0.937598,0.0739681,5,31,0,5202.1,5116.74,0.284293,0.0584802,0.192211,0.223929,0.183355,0.0170088,186.824
-5199.58,0.999828,0.0739681,6,63,0,5203.13,4893.71,0.29723,0.0705424,0.219728,0.281299,0.142556,0.128982,196.836
-5198.09,0.999934,0.0739681,6,63,0,5203.24,4921.04,0.292124,0.0788646,0.207456,0.294287,0.164196,0.0645624,190.656
-5196.93,0.958957,0.0739681,6,63,0,5201.3,5059.6,0.290362,0.0403627,0.211835,0.217136,0.171853,0.0827501,197.061
-5196.52,0.99948,0.0739681,6,63,0,5201,4948.48,0.287618,0.0627841,0.202418,0.266608,0.187267,0.118452,189.527
-5199.51,0.88089,0.0739681,5,63,0,5206.11,5073.84,0.288095,0.0389907,0.193448,0.247263,0.183799,0.064659,203.214
-5197.63,0.997026,0.0739681,6,63,0,5202.55,4967.34,0.294926,0.0729476,0.215405,0.248836,0.156074,0.0841879,184.612
-5200.18,0.874931,0.0739681,6,63,0,5203.63,5054.09,0.288838,0.0470387,0.193282,0.241207,0.192738,0.0764524,205
-5197.57,0.996203,0.0739681,5,63,0,5201.65,5062.29,0.286603,0.0529088,0.190584,0.246072,0.181859,0.0485808,203.115
-5198.85,0.982277,0.0739681,5,31,0,5201.07,5062.48,0.288278,0.0514829,0.179079,0.254443,0.187759,0.0592681,202.572
-5197.38,0.999943,0.0739681,5,31,0,5200.43,5057.71,0.292333,0.053968,0.18267,0.251905,0.172933,0.0586794,202.136
-5198.54,0.963422,0.0739681,6,63,0,5203.06,5088.06,0.282825,0.045542,0.18554,0.270356,0.159848,0.0538274,190.618
-5196.48,0.976368,0.0739681,6,63,0,5201.21,5096.92,0.291908,0.040303,0.197176,0.242561,0.148576,0.0520233,192.35
-5196.52,0.956909,0.0739681,6,63,0,5200.02,4999.77,0.290862,0.0639471,0.214986,0.252284,0.139569,0.0988024,195.338
-5197.33,0.963766,0.0739681,6,63,0,5202.24,4941.46,0.290638,0.0704556,0.20446,0.256109,0.208504,0.0656886,192.406
-5198.45,0.978131,0.0739681,6,63,0,5201.87,4966.3,0.292336,0.043179,0.216804,0.273771,0.149927,0.115804,187.845
-5198.72,0.997375,0.0739681,5,31,0,5200.52,4960.39,0.292354,0.0426354,0.20804,0.283263,0.160488,0.114012,186.426
-5200.03,0.954441,0.0739681,5,31,0,5201.85,4944.15,0.291646,0.0468873,0.205467,0.286403,0.168067,0.121558,183.977
-5204.2,0.97102,0.0739681,6,63,0,5206.98,5124.35,0.286157,0.0706376,0.205571,0.2046,0.164398,-0.0225841,201.526
-5194.91,0.999691,0.0739681,5,31,0,5205.67,5033.17,0.290896,0.0578593,0.197608,0.244266,0.150076,0.0948284,189.242
-5197.21,0.984221,0.0739681,5,63,0,5199.7,4940.23,0.290478,0.0648119,0.223282,0.267898,0.168537,0.0675456,184.447
-5197.51,0.879426,0.0739681,6,63,0,5202.08,4926.08,0.30165,0.0565189,0.212577,0.250392,0.18293,0.114753,189.767
-5195.39,0.862823,0.0739681,5,31,0,5201.21,4968.7,0.290943,0.0536882,0.199012,0.273346,0.186059,0.0919073,196.492
-5197.67,0.934685,0.0739681,5,31,0,5199.2,4961.58,0.294898,0.0556618,0.231707,0.262392,0.154976,0.056224,190.112
-5197.22,0.999932,0.0739681,5,63,0,5202.67,5066.29,0.287321,0.0402243,0.211741,0.223736,0.165165,0.0926393,190.493
-5199.44,0.92541,0.0739681,5,31,0,5203.06,5093.81,0.291439,0.0299934,0.191034,0.234037,0.157575,0.0903841,187.996
-5197.24,0.994096,0.0739681,6,63,0,5201.53,4980.91,0.286724,0.0776828,0.218113,0.242096,0.183162,0.0370264,195.105
-5198.01,0.998827,0.0739681,5,31,0,5202.66,4987.07,0.28633,0.0777572,0.221709,0.236752,0.186562,0.0336091,195.357
-5196.03,0.996721,0.0739681,6,63,0,5200.26,4926.74,0.296613,0.0518463,0.216181,0.27434,0.170143,0.102465,195.725
-5195.32,0.994434,0.0739681,6,63,0,5199.61,5065.08,0.283856,0.0557273,0.205834,0.25217,0.151767,0.0378807,195.826
-5200.3,0.997629,0.0739681,6,63,0,5202.62,4993.48,0.290697,0.0721273,0.195347,0.270661,0.128257,0.110232,183.999
-5195.96,0.986498,0.0739681,5,31,0,5201.88,5031.72,0.28701,0.065052,0.197417,0.25074,0.151795,0.0839216,185.709
-5199.44,0.817985,0.0739681,5,31,0,5202.51,5046.1,0.285665,0.0518033,0.206521,0.24397,0.148908,0.107676,183.085
-5200.54,0.999859,0.0739681,6,63,0,5207.79,4942.95,0.298555,0.0755498,0.230782,0.238352,0.178661,0.0210513,191.694
-5200.58,0.984211,0.0739681,6,63,0,5205.12,5096.99,0.2824,0.0382461,0.183002,0.256982,0.145582,0.114362,196.125
-5200.24,0.998722,0.0739681,6,63,0,5206.66,4944.94,0.301368,0.0892304,0.211024,0.235884,0.177007,0.0475076,194.72
-5196.08,0.997086,0.0739681,6,63,0,5202.3,4959.13,0.285245,0.0591679,0.222184,0.251354,0.19551,0.0791974,193.34
-5196.78,0.894011,0.0739681,6,63,0,5200.17,5032.73,0.292464,0.0594833,0.184866,0.260908,0.185726,0.0394746,197.208
-5201.16,0.956728,0.0739681,5,63,0,5204.53,4994.4,0.283264,0.0847476,0.204894,0.258115,0.193125,0.00969451,198.894
-5195.03,0.999576,0.0739681,5,31,0,5202.48,4960.55,0.292713,0.0512335,0.218565,0.264723,0.166893,0.0826865,197.409
-5197.32,0.919839,0.0739681,5,31,0,5198.44,4967.37,0.29359,0.0498,0.212217,0.259772,0.171554,0.0875306,204.152
-5195.64,0.903824,0.0739681,5,63,0,5200.5,5025.15,0.287354,0.0571627,0.211668,0.24662,0.155114,0.0813298,200.861
-5198.96,0.887285,0.0739681,5,31,0,5201.8,4992.79,0.298703,0.0460004,0.203143,0.270693,0.144123,0.0649318,199.681
-5197.39,0.943513,0.0739681,6,63,0,5201.58,5035.68,0.282725,0.0696074,0.20896,0.226949,0.179308,0.0751117,188.24
-5198.27,0.999203,0.0739681,5,63,0,5202.63,4991.7,0.299965,0.0570132,0.192478,0.25771,0.189773,0.0387219,187.168
-5198.22,1,0.0739681,6,63,0,5200.97,4983.31,0.283415,0.0627155,0.225521,0.256927,0.13621,0.108058,198.24
-5198.27,0.847908,0.0739681,5,63,0,5204.27,5045.48,0.294132,0.0396569,0.215237,0.255264,0.149528,0.0488111,195.237
-5199.87,0.958367,0.0739681,6,63,0,5201.89,4978.01,0.283639,0.071405,0.217597,0.238727,0.187893,0.105726,191.084
-5197.78,0.999715,0.0739681,6,63,0,5201.86,4933.77,0.300714,0.0607604,0.206375,0.262702,0.190734,0.0543006,196.631
-5197.02,0.860893,0.0739681,6,63,0,5201.42,4951.04,0.296512,0.0648308,0.199218,0.252354,0.179249,0.0987434,194.545
-5197.81,0.971125,0.0739681,5,31,0,5201.93,5022.74,0.292496,0.0798966,0.188276,0.223993,0.173697,0.0957629,194.005
-5195.73,0.915395,0.0739681,5,31,0,5199.59,5031.53,0.287141,0.0607679,0.199883,0.239981,0.171716,0.0980955,195.549
-5198.35,0.998712,0.0739681,5,31,0,5199.36,5039.88,0.298936,0.0632823,0.208596,0.250098,0.122256,0.0424059,191.082
-5196.09,1,0.0739681,5,31,0,5200.3,5066.73,0.286248,0.054004,0.212146,0.24904,0.127335,0.0603207,193.997
-5198.61,0.998737,0.0739681,6,63,0,5201.12,5027.09,0.278573,0.0459638,0.2099,0.270678,0.153975,0.0873314,187.938
-5201.49,0.738592,0.0739681,6,63,0,5206.48,5090.11,0.297362,0.0476137,0.197111,0.205015,0.163217,0.0446765,200.156
-5202.15,0.974041,0.0739681,6,63,0,5210.43,4948.07,0.277557,0.0556903,0.212338,0.278122,0.184285,0.105882,199.01
-5199.92,0.942789,0.0739681,3,7,0,5203.83,4951.06,0.277174,0.0552281,0.21576,0.281838,0.188059,0.104669,198.472
-5197.73,0.999917,0.0739681,6,63,0,5203.28,4997.83,0.302528,0.0423038,0.191881,0.253377,0.174949,0.0973972,196.478
-5199.98,0.895444,0.0739681,5,31,0,5203.21,4990.29,0.302967,0.0465313,0.189519,0.250709,0.156437,0.137834,194.606
-5199.31,0.994249,0.0739681,6,63,0,5204.09,5041.95,0.278041,0.0751213,0.213414,0.235521,0.180732,0.024522,193.67
-5194.02,0.999938,0.0739681,5,31,0,5200.21,4996.47,0.28649,0.0624573,0.212588,0.258177,0.162788,0.0688094,192.203
-5195.44,0.884218,0.0739681,5,31,0,5199.94,4996.96,0.287953,0.0638532,0.212575,0.257818,0.167976,0.0546397,185.913
