# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1pxsmdyq.json
# init = 2 (Default)
# random
#   seed = 1356
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120322_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0729541
# Diagonal elements of inverse mass matrix:
# 2151.39, 4.46494e-005, 0.000140737, 0.000130474, 0.000327409, 0.000346624, 0.000815072, 0.000611379
-5195.77,0.910177,0.0729541,6,63,0,5196.75,4986.63,0.293532,0.0588153,0.205304,0.248072,0.182999,0.0919116,189.303
-5196.59,0.985903,0.0729541,6,63,0,5198.64,4964.8,0.292901,0.057781,0.218941,0.279035,0.160599,0.0523054,196.877
-5195.57,0.998855,0.0729541,6,63,0,5198.47,5022.68,0.290726,0.0601783,0.196376,0.236566,0.181149,0.0966441,190.333
-5199.04,0.927816,0.0729541,5,31,0,5202.37,5043.66,0.28825,0.0520831,0.201439,0.213935,0.204812,0.0961262,192.305
-5197.63,0.981134,0.0729541,6,63,0,5202.09,4964.73,0.29486,0.0603099,0.209675,0.288971,0.1325,0.0632569,197.415
-5198.26,0.879974,0.0729541,6,63,0,5205.17,5051.02,0.295081,0.0615598,0.205429,0.243731,0.14021,0.0528067,201.605
-5195.62,0.906206,0.0729541,5,47,0,5201.78,4948.85,0.289494,0.0559225,0.218896,0.261935,0.178434,0.0804508,194.423
-5199.13,0.970162,0.0729541,5,31,0,5201.26,4926.93,0.303079,0.0560069,0.215154,0.266848,0.159894,0.113543,193.299
-5196.78,0.977398,0.0729541,5,31,0,5201.82,4973.3,0.290645,0.0587103,0.215099,0.254149,0.180749,0.0848099,202.014
-5195.79,0.952956,0.0729541,6,63,0,5201.47,5006.63,0.295715,0.0662239,0.199915,0.257828,0.153455,0.0495411,187.187
-5195.13,0.998058,0.0729541,6,63,0,5198.01,4979.81,0.288685,0.0527311,0.213912,0.26607,0.161324,0.0862168,188.033
-5194.95,0.999537,0.0729541,5,63,0,5199.84,4997.17,0.287609,0.0506837,0.211627,0.273429,0.168273,0.0474742,192.777
-5198.77,0.971154,0.0729541,6,63,0,5201.48,4917.15,0.289478,0.0644892,0.237196,0.250332,0.180981,0.0963687,198.997
