# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\zl59nica.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121226_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.07344
# Diagonal elements of inverse mass matrix:
# 38564.2, 0.000306001, 0.00124112, 0.00115665, 0.0040779, 0.00344564, 0.00827468, 0.00499842
-578.365,0.927384,0.07344,6,63,0,579.941,4458.93,0.313813,0.161524,0.204434,0.400567,0.11994,0.275379,185.715
-579.575,0.971032,0.07344,6,63,0,581.381,4518.93,0.323345,0.117237,0.218892,0.324384,0.238256,0.18135,183.781
-580.106,0.984061,0.07344,6,63,0,582.065,4260.47,0.311984,0.176626,0.248602,0.444824,0.0978658,0.374843,202.244
-582.084,0.990291,0.07344,6,63,0,585.795,3978.44,0.322542,0.211963,0.277569,0.413797,0.296944,0.358151,215.61
-579.789,0.977346,0.07344,6,63,0,583.936,4212.87,0.330326,0.16583,0.249048,0.426125,0.120634,0.384728,211.731
-579.271,0.976826,0.07344,6,63,0,582.215,4365.58,0.321602,0.182181,0.241918,0.36718,0.195655,0.163967,176.212
-579.18,0.912825,0.07344,6,63,0,582.206,4504.18,0.328534,0.113948,0.223927,0.374607,0.130663,0.268791,185.792
-578.72,0.991569,0.07344,6,63,0,580.395,4293.89,0.314763,0.190503,0.259014,0.351523,0.184093,0.27782,197.173
-584.392,0.625867,0.07344,5,63,0,589.715,4349.03,0.325559,0.188892,0.253041,0.387672,0.139756,0.276483,175.711
-583.305,0.993367,0.07344,6,63,0,586.674,4114.08,0.30999,0.182251,0.266903,0.438371,0.197357,0.302837,202.816
-583.809,0.997984,0.07344,6,63,0,586.469,4209.93,0.328945,0.209325,0.280106,0.349202,0.164987,0.205701,198.627
-586.086,0.983843,0.07344,6,63,0,588.99,4086.02,0.339853,0.225237,0.271036,0.311679,0.241954,0.316743,229.775
-582.208,0.966224,0.07344,6,63,0,588.186,4194.81,0.346538,0.20051,0.277338,0.307572,0.219948,0.307258,209.191
-579.148,0.988915,0.07344,6,63,0,586.391,4353.85,0.311969,0.140836,0.220492,0.415048,0.159494,0.327556,189.201
-579.964,0.998199,0.07344,6,63,0,584.468,4111.72,0.343943,0.206855,0.279593,0.411228,0.184045,0.212014,195.511
-579.997,0.999213,0.07344,6,63,0,582.902,4734.98,0.306619,0.12848,0.163931,0.316851,0.149507,0.225648,184.985
-579.045,0.800922,0.07344,6,63,0,583.566,4128.96,0.336065,0.18668,0.280926,0.385923,0.195878,0.299751,199.792
-580.072,0.999774,0.07344,6,63,0,582.195,4695.99,0.302527,0.136665,0.178402,0.325251,0.17343,0.197787,175.203
-582.493,0.968413,0.07344,5,31,0,583.768,4692.86,0.318655,0.104223,0.195489,0.280513,0.21095,0.202262,166.287
-583.33,0.848603,0.07344,6,63,0,587.987,4716.49,0.310301,0.146463,0.204475,0.305231,0.0992535,0.191706,158.567
-580.657,0.999646,0.07344,6,63,0,584.815,4161.78,0.34053,0.144093,0.242817,0.451246,0.214421,0.273654,217.641
-580.538,0.98079,0.07344,6,63,0,583.357,4302.6,0.317725,0.155251,0.23154,0.447352,0.206897,0.171648,206.787
-580.877,0.999293,0.07344,5,63,0,584.142,4321.07,0.301972,0.151769,0.256111,0.443207,0.1921,0.178786,198.588
-583.805,0.92643,0.07344,6,63,0,588.075,4521.44,0.34363,0.148355,0.197806,0.270769,0.12073,0.341733,183.446
-581.79,0.99979,0.07344,5,31,0,585.094,4471.97,0.312335,0.172212,0.179301,0.437725,0.179727,0.195348,200.571
-580.263,0.999862,0.07344,6,63,0,585.015,4197.18,0.335213,0.147584,0.28387,0.356258,0.201397,0.354684,190.157
-580.978,0.999438,0.07344,6,63,0,584.959,4259.41,0.321775,0.199961,0.204193,0.475429,0.137927,0.274599,212.451
-580.094,0.966241,0.07344,5,63,0,581.917,4441.86,0.327107,0.12845,0.254828,0.301252,0.20763,0.254409,177.729
-579.117,0.999238,0.07344,5,31,0,581.211,4470.94,0.333631,0.132459,0.22111,0.318844,0.211608,0.234603,177.911
-580.259,0.972481,0.07344,6,63,0,582.69,4167.54,0.318899,0.199574,0.238239,0.490701,0.144963,0.279379,205.855
-580.493,0.963474,0.07344,6,63,0,584.5,4738.5,0.327774,0.106186,0.196102,0.277072,0.158575,0.146755,180.614
-580.557,0.939522,0.07344,6,63,0,582.77,3990.28,0.321825,0.193245,0.273546,0.495044,0.198966,0.379363,202.745
-579.672,0.880151,0.07344,6,63,0,582.408,4136.14,0.341465,0.186146,0.258198,0.430473,0.143494,0.360196,208.951
-579.353,0.996126,0.07344,6,63,0,582.024,4362.25,0.323641,0.141197,0.260423,0.350967,0.216033,0.193028,181.789
-579.203,0.978892,0.07344,5,63,0,582.173,4367.63,0.31739,0.160898,0.196762,0.39441,0.208687,0.346295,192.18
-581.469,0.990319,0.07344,5,31,0,584.107,4510.58,0.311533,0.157788,0.255347,0.318709,0.22837,0.0886482,183.439
-579.807,0.997201,0.07344,6,63,0,592.605,4331.36,0.331298,0.144826,0.242861,0.439826,0.0655948,0.318229,203.508
-578.526,0.999638,0.07344,6,63,0,581.705,4468.92,0.324462,0.16251,0.220005,0.313052,0.21804,0.206137,179.574
-579.177,0.909662,0.07344,6,63,0,581.454,4327.43,0.322695,0.162499,0.230515,0.456113,0.109543,0.280345,203.135
-579.264,0.999491,0.07344,6,63,0,580.743,4230.43,0.355634,0.162421,0.254788,0.410613,0.127079,0.242752,195.996
-578.131,0.947722,0.07344,6,63,0,581.148,4280.33,0.32003,0.173656,0.237946,0.402047,0.196904,0.257836,179.859
-578.081,0.99501,0.07344,6,63,0,579.76,4555.71,0.31465,0.149939,0.215259,0.316307,0.165334,0.250818,190.282
-580.188,0.818478,0.07344,5,31,0,582.311,4376.89,0.304152,0.18539,0.225765,0.32687,0.282125,0.239733,199.778
-578.626,0.996687,0.07344,6,63,0,582.308,4460.99,0.329923,0.157764,0.222288,0.29588,0.208822,0.242563,187.1
-582.642,0.859746,0.07344,5,31,0,584.303,4306.68,0.31398,0.167823,0.22069,0.345364,0.323752,0.218008,190.104
-582.242,0.99615,0.07344,6,63,0,585.236,4328.5,0.314951,0.124116,0.230319,0.37691,0.297208,0.222612,203.974
-579.473,0.935016,0.07344,5,31,0,585.114,4352.98,0.341848,0.161026,0.212675,0.362843,0.218562,0.208768,205.628
-579.887,0.975309,0.07344,6,63,0,584.637,4346.69,0.301213,0.171486,0.264564,0.345361,0.158835,0.364544,190.98
-577.542,0.966456,0.07344,5,47,0,580.869,4292.3,0.329746,0.173588,0.246019,0.392291,0.15908,0.254669,191.987
-581.048,0.911773,0.07344,5,63,0,582.935,4510.49,0.303734,0.148684,0.223977,0.295916,0.27777,0.241045,185.74
-580.104,0.999063,0.07344,6,63,0,582.216,4216.48,0.346726,0.185038,0.246342,0.440869,0.061626,0.318173,197.509
-583.023,0.91016,0.07344,5,31,0,584.245,4232.78,0.359679,0.176128,0.207139,0.431953,0.065632,0.360897,209.587
-581.571,0.966209,0.07344,6,63,0,587.832,4568.08,0.336475,0.0853983,0.201889,0.387339,0.183655,0.161283,185.565
-584.002,0.993516,0.07344,6,63,0,588.621,4535.66,0.324047,0.134753,0.198261,0.466568,0.047335,0.181042,167.642
-584.791,0.966116,0.07344,6,63,0,587.31,4455.4,0.309379,0.170704,0.252162,0.221296,0.301937,0.269458,224.921
-582.029,0.899576,0.07344,5,63,0,593.392,4548.02,0.308754,0.192141,0.197456,0.286114,0.14254,0.308719,219.235
-583.606,0.980842,0.07344,5,63,0,586.76,4383.47,0.330328,0.220226,0.203637,0.329655,0.0767253,0.401849,214.413
-584.139,0.985846,0.07344,5,63,0,587.289,4495.08,0.334558,0.204414,0.188607,0.275956,0.0972037,0.402455,199.643
-580.508,0.998974,0.07344,5,31,0,585.167,4375.87,0.328738,0.185985,0.211576,0.323741,0.142603,0.388899,207.821
-580.189,0.992227,0.07344,6,63,0,582.603,4592.92,0.306564,0.130925,0.207692,0.351583,0.22181,0.118273,183.782
-580.238,0.734172,0.07344,6,63,0,586.042,4463.01,0.33093,0.149804,0.208519,0.321569,0.126161,0.338335,197.51
-580.161,0.982372,0.07344,6,63,0,582.325,4528.98,0.309878,0.138189,0.202408,0.432993,0.115113,0.213075,202.526
-581.484,0.950569,0.07344,5,31,0,586.729,4497.76,0.307715,0.132225,0.18861,0.451766,0.10138,0.250204,200.763
-581.245,0.889703,0.07344,5,63,0,584.579,4561.47,0.307874,0.162017,0.203085,0.389928,0.0629956,0.299736,201.57
-581.214,0.986991,0.07344,6,63,0,585.231,4381.31,0.327402,0.154899,0.22852,0.323758,0.288565,0.165306,185.139
-583.776,0.975243,0.07344,5,31,0,587.174,4318.32,0.343463,0.164688,0.244649,0.267008,0.257203,0.340083,178.565
-581.386,0.988845,0.07344,6,63,0,587.213,4177.79,0.337491,0.163634,0.256286,0.378275,0.243559,0.278407,168.479
-578.492,1,0.07344,5,31,0,582.839,4268.16,0.340233,0.153735,0.227639,0.435806,0.139004,0.311279,181.543
-581.038,0.989457,0.07344,5,31,0,582.521,4205.99,0.323862,0.193789,0.246735,0.46727,0.0554268,0.370742,193.143
-582.125,0.994935,0.07344,5,31,0,583.327,4241.88,0.319423,0.21984,0.233452,0.451627,0.048487,0.361626,200.749
-580.815,0.97656,0.07344,5,31,0,584.537,4366.35,0.314403,0.170573,0.228529,0.439074,0.0955308,0.258724,218.709
-579.782,0.956127,0.07344,6,63,0,583.456,4410.61,0.338599,0.139332,0.217874,0.354713,0.185434,0.23596,168.042
-583.842,0.999302,0.07344,5,31,0,586.303,4283.12,0.347781,0.131826,0.207685,0.395662,0.237126,0.316783,164.311
-584.341,0.783886,0.07344,4,15,0,585.935,4253.84,0.3443,0.138685,0.203267,0.395295,0.235985,0.310998,166.051
-580.346,1,0.07344,5,31,0,584.792,4331.26,0.343437,0.141033,0.201138,0.384119,0.203457,0.323005,173.614
-580.017,0.996322,0.07344,5,31,0,583.578,4483.76,0.297192,0.184648,0.246998,0.365891,0.117597,0.207937,192.244
-582.112,0.746492,0.07344,6,63,0,586.948,4187.64,0.353081,0.14125,0.236518,0.376605,0.222595,0.318403,186.563
-582.643,0.991385,0.07344,5,31,0,586.135,4232.62,0.299559,0.185522,0.220253,0.507963,0.153072,0.342151,194.669
-580.594,0.995792,0.07344,6,63,0,587.784,4484.55,0.328705,0.156351,0.247288,0.272641,0.131556,0.298073,187.409
-581.769,0.851775,0.07344,6,63,0,586.979,4176.27,0.332984,0.146284,0.250641,0.476072,0.227708,0.250119,210.135
-581.172,0.904,0.07344,5,63,0,586.426,4051.43,0.316542,0.226207,0.29122,0.399116,0.241254,0.309243,186.115
-584.006,0.901243,0.07344,6,63,0,586.899,4528.86,0.355604,0.0956649,0.157312,0.402373,0.167101,0.25221,200.505
-583.346,0.815935,0.07344,6,63,0,589.454,4306.35,0.291957,0.17962,0.307551,0.338232,0.176518,0.337536,197.26
-579.243,1,0.07344,5,63,0,585.343,4273.78,0.340583,0.182158,0.255622,0.338834,0.207777,0.218419,193.731
-579.664,0.942236,0.07344,6,63,0,581.043,4593.1,0.301651,0.132883,0.19064,0.366417,0.126779,0.291726,186.561
-583.18,0.997516,0.07344,5,31,0,585.042,4721.2,0.314158,0.0983347,0.133305,0.354525,0.155415,0.280047,183.594
-583.942,0.997602,0.07344,6,63,0,587.795,4808.3,0.31272,0.130356,0.232262,0.303622,0.0910281,-0.00958658,185.016
-583.122,0.85646,0.07344,5,31,0,588.763,4705.19,0.304926,0.108055,0.210554,0.290182,0.0868142,0.28902,186.365
-584.014,0.985332,0.07344,5,63,0,593.018,4731.38,0.29874,0.101217,0.215876,0.252392,0.128054,0.347743,189.6
-582.677,0.908053,0.07344,6,63,0,588.321,4242.06,0.32741,0.217086,0.201399,0.42601,0.247295,0.189972,181.21
-580.204,0.999329,0.07344,5,31,0,584.468,4282.13,0.327793,0.166337,0.236384,0.366952,0.142545,0.427912,206.995
-579.619,0.936563,0.07344,5,31,0,582.421,4256.28,0.3157,0.143683,0.266124,0.438715,0.141843,0.283243,198.923
