# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\zl59nica.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121226_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0760785
# Diagonal elements of inverse mass matrix:
# 33714.2, 0.000291598, 0.00119863, 0.00127838, 0.00410496, 0.0033468, 0.00796549, 0.00500251
-585.121,0.985177,0.0760785,5,63,0,589.376,4700.22,0.293411,0.135086,0.226782,0.237426,0.279419,0.0764624,218.13
-584.087,0.95236,0.0760785,6,63,0,587.15,4684.12,0.304812,0.116968,0.215472,0.240546,0.292937,0.131436,216.739
-582.914,0.977487,0.0760785,5,63,0,589.092,4523.86,0.293444,0.126986,0.217128,0.377004,0.271304,0.136869,210.334
-580.345,0.971353,0.0760785,6,63,0,585.32,4611.66,0.336338,0.158122,0.219396,0.27817,0.0966803,0.20118,188.244
-580.861,0.970955,0.0760785,6,63,0,584.123,4118.93,0.304787,0.176744,0.241701,0.4459,0.263121,0.380669,193.33
-579.728,0.961369,0.0760785,6,63,0,584.059,4392.46,0.321393,0.154217,0.265016,0.394737,0.0686243,0.241846,190.458
-580.039,0.997805,0.0760785,5,63,0,583.763,4200.1,0.340767,0.201823,0.213455,0.461799,0.153612,0.238943,199.677
-585.478,0.65596,0.0760785,5,31,0,587.189,4114.34,0.346915,0.213967,0.213157,0.449996,0.188033,0.214852,210.721
-582.806,0.998128,0.0760785,5,31,0,586.886,4224.01,0.346686,0.153001,0.270592,0.399269,0.17456,0.313688,189.975
-581.922,0.994387,0.0760785,6,63,0,585.799,4153.99,0.343587,0.1626,0.271373,0.379173,0.193014,0.273157,187.62
