# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\5m6lwnk1.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121345_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.10646
# Diagonal elements of inverse mass matrix:
# 1887.29, 4.17473e-005, 0.00012544, 0.000131381, 0.000314697, 0.000322408, 0.00083552, 0.000525604
-5819.9,0.950679,0.10646,5,31,0,5824.2,5073.66,0.301384,0.0572242,0.192474,0.230063,0.122149,0.0793428,204.383
-5821.61,0.865782,0.10646,5,31,0,5824.1,5114.3,0.310009,0.0315787,0.160985,0.225498,0.132524,0.136436,201.448
-5821.77,0.964646,0.10646,5,31,0,5825.8,4995.17,0.30078,0.0624661,0.201002,0.256153,0.147775,0.0645074,203.741
-5823.29,0.988264,0.10646,5,31,0,5826.51,4959.55,0.301867,0.0552657,0.218902,0.245086,0.143025,0.106664,207.571
-5819.96,0.888447,0.10646,4,31,0,5825.85,4975.39,0.311817,0.0484328,0.204687,0.23777,0.151205,0.114778,205.352
-5819.79,0.959296,0.10646,5,31,0,5822.52,5030.99,0.308139,0.0425283,0.18648,0.244199,0.155513,0.0742071,209.724
-5821.16,0.935253,0.10646,6,63,0,5826.06,5037.42,0.313546,0.0535908,0.192359,0.239037,0.105376,0.100518,197.152
-5820.28,1,0.10646,5,31,0,5823.52,5063.47,0.29574,0.0431156,0.178722,0.253893,0.133089,0.12595,207.1
-5819.34,0.897191,0.10646,5,31,0,5822.07,5017.35,0.317568,0.0460823,0.186265,0.246343,0.132114,0.0900261,201.542
-5820.1,0.998604,0.10646,5,31,0,5822.61,5041.16,0.308482,0.0361811,0.204601,0.241702,0.125441,0.0767344,200.255
-5822.65,0.990051,0.10646,5,31,0,5824.66,5113.5,0.306121,0.055589,0.16385,0.217505,0.106761,0.145253,206.123
-5817.92,0.995857,0.10646,5,31,0,5824.14,5025.46,0.309151,0.0449994,0.177763,0.261306,0.138051,0.102201,201.809
-5819.31,0.969599,0.10646,5,31,0,5820.37,5025.46,0.311462,0.0292199,0.180627,0.245497,0.165973,0.114599,202.219
-5821.75,0.943514,0.10646,5,31,0,5824.02,5086.64,0.302197,0.0586258,0.15785,0.252376,0.137488,0.0965809,204.426
-5819.74,1,0.10646,5,31,0,5824.17,5048.17,0.302918,0.0488507,0.17323,0.245866,0.157925,0.0946805,209.356
-5821.12,0.996297,0.10646,5,31,0,5823.84,5065.75,0.303075,0.0658236,0.185585,0.2123,0.143076,0.0841998,204.51
-5818.39,0.918329,0.10646,5,31,0,5822.86,5020.96,0.313045,0.041625,0.182626,0.239705,0.142599,0.131654,202.133
-5819.1,0.996364,0.10646,5,31,0,5821.78,5034.92,0.300671,0.0432967,0.198505,0.241874,0.135331,0.100649,202.064
-5820.22,0.999998,0.10646,5,31,0,5822.22,5005.21,0.311017,0.0543608,0.195364,0.260246,0.108645,0.087746,202.97
-5824.73,0.988774,0.10646,4,15,0,5825.95,4987.04,0.31845,0.0538337,0.20079,0.256701,0.084197,0.118179,205.851
-5825.8,0.716553,0.10646,5,31,0,5828.85,4988.76,0.319627,0.0538976,0.200799,0.259845,0.0866474,0.109787,205.317
-5821.12,1,0.10646,4,15,0,5826.83,4985.1,0.317826,0.0517318,0.195178,0.258772,0.110974,0.103933,203.826
-5821.98,0.998885,0.10646,5,31,0,5824.07,4951.17,0.317048,0.0611235,0.197239,0.249022,0.117268,0.139068,205.999
-5823.11,0.996793,0.10646,5,63,0,5828.5,5034.88,0.299998,0.0470358,0.204664,0.217093,0.142581,0.131205,193.776
-5821.1,0.943605,0.10646,5,31,0,5825.4,5058.72,0.30392,0.0527633,0.191806,0.208503,0.147301,0.1094,195.253
-5823.45,0.518544,0.10646,5,31,0,5828.72,5069.14,0.302117,0.0534047,0.186101,0.222154,0.166361,0.0826958,210.679
-5818.11,0.917766,0.10646,5,31,0,5825.58,5038.49,0.303869,0.0535225,0.181869,0.246997,0.131255,0.113577,206.513
-5818.83,0.985544,0.10646,5,31,0,5822.44,5022.21,0.302554,0.0459771,0.193495,0.243499,0.157835,0.0955858,198.081
-5819.02,0.999892,0.10646,5,31,0,5819.98,5016.77,0.300988,0.0462169,0.192357,0.241413,0.164472,0.110212,199.119
-5819.43,0.999899,0.10646,5,63,0,5822.81,4985.84,0.301624,0.0474845,0.189761,0.260674,0.170829,0.108452,200.787
-5818.19,0.999443,0.10646,5,31,0,5821.26,5024.4,0.311091,0.0500712,0.17829,0.244274,0.14772,0.103524,207.182
-5823.6,0.934355,0.10646,4,31,0,5828.12,5086.34,0.299132,0.039249,0.156483,0.23865,0.177609,0.127767,206.99
-5817.92,0.898735,0.10646,5,31,0,5824.86,5072.87,0.305451,0.0405073,0.187343,0.237894,0.125253,0.0934669,204.301
-5818.98,0.940116,0.10646,5,31,0,5821.5,5079.88,0.306623,0.0423263,0.18632,0.232383,0.138539,0.071981,207.026
-5823.47,0.935317,0.10646,5,31,0,5827.43,4981.85,0.308172,0.0227853,0.182471,0.2828,0.174738,0.115802,208.132
-5822.82,0.804123,0.10646,5,31,0,5827.51,5032.19,0.30835,0.0667339,0.19191,0.235609,0.0996932,0.0974123,199.556
-5823.49,0.988012,0.10646,5,31,0,5827.35,5035.53,0.300372,0.0650491,0.197571,0.243778,0.100283,0.101261,197.824
-5820.6,0.804416,0.10646,5,31,0,5826.7,5033.87,0.305272,0.0377568,0.198407,0.238719,0.126353,0.104245,206.664
-5821.62,0.886557,0.10646,5,31,0,5825.12,5067.1,0.30255,0.0282851,0.197596,0.229035,0.137822,0.134044,204.76
-5823.4,0.992599,0.10646,5,31,0,5826.84,5134.46,0.301397,0.0261541,0.18688,0.222343,0.128277,0.100263,210.858
-5822.2,0.996474,0.10646,5,31,0,5826.89,5020.43,0.314413,0.0547438,0.177875,0.227924,0.141398,0.127834,191.954
-5822.08,0.999628,0.10646,5,31,0,5827.02,5030.79,0.302926,0.0368558,0.178843,0.280922,0.154851,0.0655509,199.064
-5824.42,0.996216,0.10646,5,31,0,5825.64,4980.93,0.313245,0.0599688,0.189474,0.205636,0.15742,0.173183,206.882
-5825.86,0.896963,0.10646,5,31,0,5833.92,4962.68,0.300173,0.0500284,0.19954,0.266103,0.120434,0.183407,213.744
-5821.42,0.862306,0.10646,5,31,0,5833.06,4966.79,0.320479,0.0472691,0.18499,0.261121,0.154913,0.0805411,199.497
-5823.02,0.92913,0.10646,5,31,0,5827.51,4896.55,0.319752,0.0498072,0.193073,0.263769,0.174972,0.139114,205.672
-5823.34,0.991815,0.10646,5,31,0,5826.23,4901.14,0.312288,0.0426296,0.195271,0.271864,0.171166,0.149875,211.052
-5820.05,0.988102,0.10646,5,31,0,5826.74,4976.66,0.302333,0.0403908,0.194153,0.26133,0.152377,0.138737,198.639
-5821.36,0.981245,0.10646,5,31,0,5824.01,5058.32,0.308252,0.057304,0.182984,0.230323,0.14572,0.0494049,207.403
-5818.96,0.935652,0.10646,5,47,0,5824.2,4965.3,0.314414,0.0452986,0.184805,0.263385,0.148541,0.119283,204.627
-5820.35,0.95544,0.10646,4,31,0,5825.91,4951.02,0.315644,0.0388226,0.197832,0.260798,0.152331,0.108219,206.885
-5822.02,0.905821,0.10646,5,63,0,5825.24,5021.58,0.301113,0.0403108,0.205057,0.223623,0.158565,0.137866,202.388
-5821.18,1,0.10646,5,31,0,5824.25,5021.86,0.315139,0.0446032,0.185169,0.26652,0.110347,0.0995253,204.749
-5825.47,0.856964,0.10646,5,31,0,5828.55,5025.69,0.313022,0.0551901,0.175139,0.271187,0.1248,0.0795859,216.071
-5818.38,0.928383,0.10646,4,31,0,5828.84,5021.9,0.30688,0.049303,0.181805,0.262313,0.128928,0.0967557,201.262
-5818.82,0.95545,0.10646,5,31,0,5823.32,5023.25,0.305388,0.0548963,0.174478,0.260066,0.133968,0.109113,205.055
-5822.49,0.997722,0.10646,5,31,0,5824.07,4960.53,0.321011,0.027839,0.192484,0.258281,0.138093,0.144719,204.347
-5818.98,0.999888,0.10646,5,31,0,5824.03,4967.41,0.307612,0.0555665,0.183045,0.254954,0.170235,0.124564,202.596
-5817.62,0.959683,0.10646,5,63,0,5819.96,5039.48,0.305357,0.0463249,0.188395,0.238677,0.134144,0.109718,199.786
-5819.03,0.995807,0.10646,4,31,0,5819.83,5017.33,0.306883,0.0622683,0.188328,0.239319,0.142727,0.088042,199.206
-5822.33,0.98079,0.10646,5,31,0,5823.83,4974.05,0.316965,0.0321443,0.200488,0.245405,0.133397,0.146092,210.663
-5826.56,0.994441,0.10646,5,31,0,5831.04,4906.44,0.304025,0.037134,0.212237,0.262291,0.191473,0.140692,196.258
-5823.71,0.812075,0.10646,5,31,0,5832.57,4989.88,0.305663,0.0280107,0.192967,0.284135,0.167344,0.0840213,207.024
-5823.91,0.94143,0.10646,5,31,0,5827.56,5023.65,0.312711,0.0502807,0.18125,0.217544,0.131875,0.150658,194.474
-5829.11,0.904758,0.10646,4,15,0,5830.53,4997.12,0.318062,0.0604726,0.187207,0.22111,0.133621,0.15689,191.623
-5825.13,1,0.10646,5,31,0,5830.04,4975.79,0.317049,0.0607468,0.193313,0.220283,0.137497,0.151069,193.073
-5820.44,0.985903,0.10646,5,31,0,5826.67,5092.72,0.301802,0.0382395,0.178012,0.2515,0.130963,0.0674638,208.036
-5820.28,0.961802,0.10646,5,63,0,5823.82,5003.15,0.312487,0.0523228,0.175303,0.249276,0.167133,0.101904,197.225
-5820.29,0.770066,0.10646,5,31,0,5823.65,5062.71,0.306966,0.0352659,0.193634,0.237023,0.129356,0.112695,203.327
-5818.28,0.999756,0.10646,5,31,0,5821.12,5031.36,0.306494,0.0542172,0.18204,0.247465,0.145916,0.0966694,204.024
-5817.91,0.887295,0.10646,5,31,0,5820.09,5023.28,0.30568,0.0541498,0.182356,0.250829,0.147887,0.0954711,203.952
-5819.03,0.895378,0.10646,5,31,0,5822.52,5003.38,0.307441,0.0611751,0.188576,0.249864,0.140286,0.104077,202.542
-5818.7,0.922767,0.10646,5,31,0,5821.33,5054.8,0.309413,0.0516894,0.182731,0.243499,0.113355,0.0986528,206.043
-5821.39,0.84898,0.10646,5,31,0,5823.13,5067.72,0.303658,0.0409266,0.17453,0.231285,0.117305,0.173099,202.223
-5821.86,0.916282,0.10646,5,31,0,5827.91,5120.01,0.298262,0.0411269,0.163708,0.237707,0.14909,0.106323,200.441
-5819.61,0.937318,0.10646,5,31,0,5824.19,5034.45,0.313592,0.0494856,0.194344,0.227757,0.119258,0.101028,206.825
-5822.87,0.625646,0.10646,5,31,0,5824.93,5049.6,0.298969,0.0398615,0.175696,0.261416,0.165467,0.110734,200.466
-5825.3,0.990822,0.10646,5,31,0,5830.38,4927.88,0.309174,0.0389113,0.204386,0.244436,0.153795,0.175726,203.608
-5819.6,0.995647,0.10646,5,31,0,5827.87,5076.66,0.304372,0.0571626,0.184685,0.230504,0.12591,0.0742372,198.917
-5824.43,0.990435,0.10646,5,31,0,5827.62,5108.77,0.294796,0.0502086,0.19086,0.23476,0.0985458,0.103415,194.138
-5824.13,0.921998,0.10646,5,31,0,5828.81,5049.11,0.317052,0.0281584,0.17178,0.215235,0.17362,0.121677,209.153
-5820.51,0.969606,0.10646,5,31,0,5826.74,4971.72,0.300679,0.0579815,0.19657,0.245061,0.15303,0.137799,202.816
-5821.76,0.911941,0.10646,5,31,0,5824.95,4996.47,0.314122,0.0519184,0.176256,0.26427,0.117323,0.12599,195.341
-5822.79,0.996145,0.10646,5,31,0,5827.46,4968.48,0.308915,0.0770304,0.187293,0.259422,0.13279,0.102139,197.569
-5821.83,0.981071,0.10646,5,31,0,5825.41,5029.75,0.308416,0.0206362,0.184834,0.248614,0.156735,0.141904,209.878
-5819.78,1,0.10646,5,31,0,5822.26,5009.13,0.309633,0.0272105,0.183119,0.25464,0.155437,0.13854,207.07
-5822.59,0.954207,0.10646,5,31,0,5826.66,4903.49,0.309976,0.0687819,0.202857,0.267163,0.159884,0.10691,201.072
-5822.36,0.879022,0.10646,5,31,0,5825.54,4929.83,0.306253,0.0696217,0.190923,0.247475,0.172367,0.131504,204.47
-5820.33,0.989075,0.10646,5,31,0,5829.11,4975.46,0.312727,0.0315359,0.193175,0.276538,0.133071,0.112996,203.883
-5824.76,0.9977,0.10646,5,31,0,5827.69,4999.17,0.303206,0.0527272,0.215581,0.25031,0.137698,0.0562663,211.682
