# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\5m6lwnk1.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121345_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0900226
# Diagonal elements of inverse mass matrix:
# 2188.22, 3.81776e-005, 0.000143136, 0.000130894, 0.00035571, 0.000479184, 0.000696222, 0.000494376
-5818.22,0.999418,0.0900226,5,31,0,5820.56,5038.65,0.308565,0.0506986,0.185554,0.241018,0.124082,0.116105,198.622
-5822.41,0.842651,0.0900226,5,31,0,5824.17,5129.45,0.302509,0.0486349,0.171596,0.205983,0.121039,0.112132,208.952
-5822.8,0.876613,0.0900226,5,31,0,5827.17,5139.18,0.305394,0.0520576,0.171086,0.206384,0.115766,0.109153,210.368
-5820.23,0.943127,0.0900226,5,31,0,5824.14,5134.41,0.306424,0.0419284,0.168769,0.209104,0.12936,0.104762,204.179
-5822.91,0.958535,0.0900226,6,63,0,5825.03,5117.68,0.292293,0.0512387,0.165618,0.230543,0.138252,0.122897,199.494
-5824.07,0.836204,0.0900226,6,63,0,5828.87,4949.39,0.324184,0.0388552,0.193779,0.254577,0.153044,0.121999,200.932
-5821.13,0.930323,0.0900226,5,31,0,5826.64,5049.33,0.29593,0.0570338,0.179248,0.244125,0.13224,0.124229,204.923
-5822.42,0.812421,0.0900226,6,63,0,5825.03,4995.39,0.317736,0.0343182,0.192336,0.252535,0.153696,0.10404,201.566
-5821.83,0.982349,0.0900226,5,63,0,5827.04,5033.62,0.310947,0.0418006,0.172758,0.218726,0.155035,0.159512,207.133
