# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\_rmnenb1.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121230_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0744446
# Diagonal elements of inverse mass matrix:
# 14205.8, 0.000179085, 0.000728532, 0.00068782, 0.00171125, 0.00185965, 0.00436818, 0.00247037
-1176.75,0.740912,0.0744446,5,31,0,1182.34,5180.74,0.348712,-0.0182322,0.13365,0.224972,0.113586,0.0981766,194.54
-1173.6,0.99114,0.0744446,5,31,0,1180.3,5226.91,0.326431,-0.00239317,0.114042,0.253013,0.110542,0.105319,197.282
-1174.17,0.997342,0.0744446,6,63,0,1176.99,5265.29,0.321892,0.0157246,0.148676,0.195612,0.0808413,0.0660124,208.995
-1174.59,0.917736,0.0744446,5,31,0,1178.19,5263.07,0.327244,0.0194489,0.115806,0.20527,0.0663922,0.124348,203.476
-1176.08,0.994367,0.0744446,5,31,0,1178.56,5286.58,0.332522,0.0278545,0.111656,0.205915,0.037248,0.11935,204.487
-1173.06,0.963784,0.0744446,5,31,0,1179.23,5137.86,0.32331,0.0144491,0.139698,0.273187,0.115777,0.0527432,214.276
-1170.09,0.921581,0.0744446,6,63,0,1175.58,4975.65,0.32261,0.0519686,0.170528,0.234286,0.178236,0.154523,195.945
-1173.22,0.994762,0.0744446,5,63,0,1175.14,5229.04,0.318958,0.0106344,0.122713,0.215927,0.113345,0.135392,189.43
-1170.5,0.996504,0.0744446,6,63,0,1176.04,4931.67,0.323915,0.0596266,0.155036,0.272237,0.188814,0.143549,217.92
-1171.45,0.988101,0.0744446,6,63,0,1173.61,5022.63,0.327459,0.00134135,0.178114,0.269413,0.122068,0.162793,199.477
-1171.19,0.973732,0.0744446,6,63,0,1173.44,4990.91,0.302287,0.0661295,0.159512,0.268256,0.145875,0.205139,205.541
-1172.65,0.967563,0.0744446,6,63,0,1175.92,4769.19,0.335694,0.0327284,0.175147,0.304708,0.24335,0.172016,192.657
-1172.27,0.997553,0.0744446,6,63,0,1176.19,4853.26,0.343933,0.0436426,0.160416,0.261491,0.154215,0.277924,214.399
-1171.08,0.998055,0.0744446,6,63,0,1174.71,5156.86,0.309672,0.0200369,0.138222,0.229656,0.168757,0.107879,202.549
-1170.09,0.996671,0.0744446,5,63,0,1174.56,4943.26,0.318488,0.0214415,0.171245,0.281529,0.189558,0.14665,211.942
-1172.52,0.958241,0.0744446,5,31,0,1173.53,4943.88,0.336919,0.0590573,0.121004,0.2846,0.196545,0.142893,192.295
-1173.59,0.89296,0.0744446,6,63,0,1176.45,4929.96,0.316133,0.0606764,0.126751,0.298328,0.236745,0.171815,200.421
-1173.41,0.978853,0.0744446,6,63,0,1176.6,5020.52,0.329784,0.0118491,0.177228,0.238325,0.109657,0.163102,195.638
-1172.16,0.935531,0.0744446,5,31,0,1176.3,5075.58,0.334306,0.0170562,0.15994,0.211579,0.130879,0.135367,207.544
-1172.2,0.998865,0.0744446,6,63,0,1174.24,5081.69,0.30556,0.0224593,0.147393,0.26519,0.133069,0.231391,217.471
-1174.46,0.997441,0.0744446,6,63,0,1176.97,5171.85,0.288578,0.0119814,0.164045,0.215627,0.134122,0.184548,217.273
-1171.71,0.99397,0.0744446,6,63,0,1177.11,5048.01,0.307029,0.0549051,0.171655,0.275605,0.125733,0.0738986,205.997
-1171.91,0.9846,0.0744446,6,63,0,1175.04,4996.1,0.309962,0.0292643,0.189173,0.255512,0.132957,0.193432,187.028
-1172.9,0.988301,0.0744446,6,63,0,1175.69,5004.89,0.325951,0.0605111,0.10386,0.25777,0.177227,0.206199,218.933
-1172,0.999396,0.0744446,6,63,0,1175.35,4994.3,0.317974,0.0436423,0.193719,0.239041,0.186259,0.0633216,204.532
-1174.83,0.692683,0.0744446,6,63,0,1180.38,4956.49,0.302536,0.060476,0.202966,0.27041,0.181593,0.105751,202.991
-1172.82,0.999387,0.0744446,5,63,0,1175.65,4933.22,0.343987,0.0183427,0.124256,0.261302,0.173293,0.255773,206.817
-1173.98,0.905394,0.0744446,6,63,0,1176.3,5082,0.29387,0.0519627,0.180027,0.258186,0.145389,0.113941,201.451
-1178.27,0.970763,0.0744446,6,63,0,1180.25,4677.06,0.362183,0.0376505,0.164629,0.317068,0.235074,0.262855,217.657
-1174.71,0.997369,0.0744446,5,63,0,1183.08,4991.79,0.324558,0.016177,0.0998605,0.271547,0.21353,0.247769,215.506
-1170.43,0.994107,0.0744446,5,63,0,1177.04,5062.54,0.323842,0.00556495,0.170958,0.22486,0.139481,0.184772,204.213
-1170.69,0.992817,0.0744446,5,63,0,1173.24,5002.47,0.321091,0.0445899,0.142844,0.280486,0.121227,0.189426,218.676
-1173.17,0.953675,0.0744446,5,31,0,1174.92,5015.21,0.33124,-0.00191702,0.133064,0.232488,0.212919,0.243546,191.936
-1170.51,0.983625,0.0744446,5,31,0,1174.8,4998.44,0.314145,0.0522445,0.149218,0.285265,0.104921,0.201034,200.759
-1172.69,0.993555,0.0744446,6,63,0,1174.88,4825.43,0.32717,0.0120709,0.2084,0.27779,0.195254,0.20543,217.908
-1173.23,0.833853,0.0744446,6,63,0,1180.33,4949.04,0.340315,0.00384743,0.12037,0.308516,0.133931,0.265852,209.104
-1170.09,0.999482,0.0744446,5,63,0,1174.58,4979.46,0.324199,0.0506184,0.142167,0.242398,0.169097,0.207056,194.336
-1171.58,0.999035,0.0744446,6,63,0,1173.4,4874.1,0.314907,0.0204934,0.175686,0.324747,0.194358,0.157105,216.842
-1171.38,0.980591,0.0744446,6,63,0,1175.07,4989.53,0.321749,0.051441,0.155099,0.28198,0.103731,0.160266,191.29
-1171.46,1,0.0744446,6,63,0,1174.2,5071.21,0.322626,0.0430647,0.129236,0.246006,0.111537,0.232281,215.803
-1173.13,0.999034,0.0744446,5,63,0,1174.98,4985.9,0.338483,0.0303661,0.153821,0.215247,0.111582,0.301616,201.855
-1176.71,0.936731,0.0744446,6,63,0,1180.69,5109.71,0.320987,0.0111889,0.110965,0.326504,0.170607,0.0209164,195.245
-1172.18,0.999307,0.0744446,5,31,0,1180.83,5069.6,0.310058,0.0299685,0.12123,0.315522,0.158301,0.10609,206.387
-1173.81,0.833332,0.0744446,6,63,0,1178.94,4871.82,0.325161,0.0110427,0.204008,0.238355,0.16083,0.29581,196.641
-1171.4,0.899407,0.0744446,5,63,0,1176.15,4926.12,0.32563,-0.00043404,0.186794,0.26262,0.166631,0.218718,208.529
-1172.4,0.970292,0.0744446,6,63,0,1174.3,4825.59,0.321341,0.0905787,0.148076,0.306604,0.223501,0.137525,202.984
-1171.17,0.964486,0.0744446,6,63,0,1175.65,5002.4,0.316481,-0.00606116,0.160685,0.267691,0.155098,0.250105,202.579
-1172.22,0.931126,0.0744446,5,63,0,1175.4,5007.6,0.339792,0.00999682,0.155125,0.233732,0.160551,0.165374,192.243
-1171.3,0.999966,0.0744446,6,63,0,1174.1,4895,0.316293,0.0661113,0.149214,0.292,0.181832,0.222891,215.866
-1176.71,0.931941,0.0744446,6,63,0,1179.28,5112.74,0.354194,0.0336082,0.129056,0.211726,0.0958579,0.0916015,215.297
-1176.38,0.934301,0.0744446,6,63,0,1180.73,5205.82,0.340926,0.00368221,0.129775,0.213543,0.149012,0.0709047,219.539
-1174.28,0.971439,0.0744446,6,63,0,1181.53,4953.25,0.301759,0.0591617,0.176896,0.225603,0.160748,0.241139,192.726
-1180.94,0.971576,0.0744446,5,31,0,1185.67,4920.08,0.277406,0.0113953,0.222686,0.298582,0.154239,0.249472,191.024
-1174.1,0.999759,0.0744446,5,63,0,1183.35,5012.57,0.294982,0.0250996,0.211772,0.213913,0.141518,0.229484,201.615
-1174.98,0.796951,0.0744446,6,63,0,1185.71,4920.38,0.354884,0.0431513,0.10523,0.271421,0.213513,0.17589,195.901
-1170.46,0.999942,0.0744446,6,63,0,1177.24,4978.56,0.313382,0.0351569,0.149658,0.289447,0.192125,0.146457,191.221
-1170.46,0.954063,0.0744446,6,63,0,1173.25,4895.76,0.334733,0.0314801,0.160957,0.249308,0.222946,0.200852,205.744
-1171.13,0.999568,0.0744446,6,63,0,1172.22,4960.08,0.302529,0.0586272,0.165675,0.292149,0.191907,0.113646,208.251
-1171.65,0.994621,0.0744446,6,63,0,1175.66,4954.28,0.349261,0.0319999,0.141873,0.255181,0.148784,0.198767,209.883
-1172.74,0.993204,0.0744446,6,63,0,1178.32,5129.07,0.287065,0.0375158,0.15296,0.246949,0.159345,0.166876,205.521
