# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\_rmnenb1.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121230_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0780241
# Diagonal elements of inverse mass matrix:
# 12291.6, 0.000169086, 0.000745634, 0.000733693, 0.0019017, 0.00218764, 0.00391557, 0.00271556
-1178.18,0.995186,0.0780241,5,31,0,1182.74,5063.62,0.27352,0.0623738,0.135173,0.288698,0.14232,0.2362,214.789
-1173.13,0.999533,0.0780241,6,63,0,1182.18,4988.43,0.352234,0.0485095,0.13768,0.225346,0.169143,0.145551,210.216
-1172.28,0.999736,0.0780241,6,63,0,1177.28,4977.18,0.321124,0.0761877,0.175204,0.254924,0.137495,0.0801574,197.845
-1172.78,0.914539,0.0780241,6,63,0,1176.41,5087.58,0.335503,-0.00559158,0.109774,0.248693,0.164843,0.230182,202.436
-1174.11,0.968413,0.0780241,5,31,0,1176.87,5087.01,0.338176,-0.0045837,0.0994004,0.243233,0.179578,0.242351,202.143
-1173.83,0.989868,0.0780241,5,31,0,1175.2,5086.66,0.337949,-0.00608125,0.0976572,0.258937,0.159994,0.235558,206.707
-1172.04,0.998485,0.0780241,6,63,0,1177.76,5061.18,0.304742,0.0568458,0.186275,0.241237,0.128065,0.0912894,207.373
-1173.96,0.999194,0.0780241,5,63,0,1176.03,5169.59,0.309843,0.0507473,0.154583,0.219546,0.144488,0.0238806,219.071
-1172.37,0.959181,0.0780241,6,63,0,1177.08,4785.77,0.321353,0.0319201,0.186481,0.315607,0.20289,0.251668,194.77
-1170.75,0.970834,0.0780241,5,31,0,1174,4860.84,0.322939,0.0487334,0.169923,0.275694,0.206721,0.180314,219.856
-1171.16,0.962603,0.0780241,5,63,0,1182.95,4822.45,0.330247,0.0466485,0.154613,0.319681,0.224533,0.168752,213.116
-1170.14,0.988499,0.0780241,5,31,0,1172.6,4885.09,0.313702,0.0633557,0.172476,0.278834,0.203151,0.169339,203.204
-1170.38,0.982375,0.0780241,6,63,0,1171.72,5061.09,0.327579,0.0211563,0.152245,0.245095,0.135611,0.132375,199.365
-1172.26,0.996071,0.0780241,6,63,0,1175.39,4820.82,0.308985,0.0344453,0.17241,0.305078,0.199023,0.306819,207.432
-1172.36,0.996787,0.0780241,6,63,0,1175.35,4777.4,0.340004,0.057549,0.170062,0.308096,0.222007,0.125256,195.317
-1173.18,0.998089,0.0780241,6,63,0,1177.55,5036.58,0.340789,0.0135623,0.129645,0.21109,0.192271,0.217402,221.92
-1174.55,0.996063,0.0780241,6,63,0,1177.61,4922.5,0.29529,0.0287417,0.190656,0.234454,0.276964,0.201638,206.534
-1173.25,0.985095,0.0780241,6,63,0,1178.34,4928.83,0.328342,0.0399374,0.205479,0.272612,0.086291,0.156671,211.896
-1173.45,0.955147,0.0780241,6,63,0,1178.5,4984.69,0.310744,0.0508957,0.16813,0.256551,0.0979667,0.288027,192.156
-1172.03,0.999494,0.0780241,6,63,0,1176.02,4965.25,0.314444,0.0229152,0.163652,0.231835,0.158147,0.321716,200.541
-1176.85,0.779914,0.0780241,6,63,0,1181.18,4950.09,0.339279,0.0768847,0.160978,0.30195,0.133651,0.0311669,203.313
-1175.31,1,0.0780241,5,31,0,1179.25,4966.2,0.34789,0.040375,0.142008,0.285946,0.123043,0.0713153,210.107
-1173.5,0.985731,0.0780241,5,63,0,1178.54,4889.15,0.349952,0.0398219,0.153494,0.274897,0.167168,0.206338,212.941
-1178.39,0.968177,0.0780241,5,31,0,1179.03,4920.41,0.365532,0.0204669,0.150296,0.251272,0.193987,0.162561,223.274
-1179.62,0.951686,0.0780241,6,63,0,1187.88,4889.82,0.298924,0.0462362,0.188375,0.242446,0.194893,0.374547,210.185
-1182.83,0.847696,0.0780241,6,63,0,1185.79,5137.51,0.348574,0.0277018,0.127339,0.243184,0.177716,0.0274958,206.27
-1174.69,1,0.0780241,3,7,0,1182.92,5099.53,0.346674,0.0247521,0.122164,0.23792,0.181093,0.0318401,205.676
-1176.21,0.999331,0.0780241,6,63,0,1181.06,4998.4,0.331621,0.0354142,0.0991457,0.277666,0.105366,0.349146,218.769
-1173.09,0.868943,0.0780241,5,63,0,1181.06,4856.91,0.330446,0.058798,0.181981,0.252699,0.247518,0.116508,219.915
-1170.72,0.973139,0.0780241,5,63,0,1174.59,4888.32,0.320908,0.0638308,0.161305,0.280573,0.16579,0.169307,199.723
-1172.39,0.999937,0.0780241,5,31,0,1174.56,4865.31,0.317696,0.0624737,0.132105,0.357451,0.170213,0.180051,206.249
-1172.38,0.988582,0.0780241,5,63,0,1176.32,4953.76,0.33041,0.072909,0.149698,0.269601,0.119308,0.178993,222
-1175.45,0.881618,0.0780241,5,63,0,1177.69,4948.54,0.313815,0.0367759,0.142333,0.290861,0.257389,0.149286,188.109
-1172.16,0.996217,0.0780241,5,31,0,1177.12,4899.34,0.334612,0.041944,0.159765,0.292662,0.142904,0.138264,203.868
-1173.07,0.988455,0.0780241,5,63,0,1175.58,4868.42,0.323095,0.0333065,0.186254,0.226841,0.205802,0.232091,209.532
-1171.57,0.988866,0.0780241,6,63,0,1174.27,5111.28,0.31413,0.0336352,0.129222,0.285134,0.127137,0.132028,199.922
-1172.42,0.999416,0.0780241,5,31,0,1175.47,5107.27,0.325382,0.0447726,0.120238,0.278119,0.107453,0.127123,194.634
-1174.97,0.892666,0.0780241,6,63,0,1181.61,4818.48,0.305229,0.028588,0.169222,0.377124,0.225809,0.164142,214.765
-1173.58,0.932384,0.0780241,5,31,0,1178.1,4922.22,0.308056,0.015892,0.15339,0.349011,0.186969,0.202988,207.02
-1174.54,0.88874,0.0780241,5,31,0,1176.16,4890.91,0.306761,0.018406,0.150501,0.341681,0.182679,0.195069,207.697
-1172.67,0.987257,0.0780241,5,31,0,1176.33,5029.65,0.334058,0.0434793,0.147303,0.251989,0.134002,0.173581,215.428
-1172.19,0.986355,0.0780241,6,63,0,1174.65,4794.22,0.31603,0.0396023,0.177148,0.304304,0.214532,0.220078,197.605
-1173.76,0.996376,0.0780241,6,63,0,1175.99,4775.39,0.328612,0.034997,0.201283,0.271355,0.250489,0.222798,210.68
-1176.29,0.977916,0.0780241,5,63,0,1187.49,4936.23,0.335324,0.0329222,0.21135,0.196284,0.136271,0.216856,231.318
-1176.26,0.927511,0.0780241,5,31,0,1184.97,4988.04,0.297621,0.0337435,0.171506,0.36271,0.134924,0.0892007,204.871
-1174.53,0.99908,0.0780241,5,31,0,1179.45,4896.38,0.341228,0.0473131,0.153686,0.19583,0.238922,0.252116,196.512
-1170.75,0.99997,0.0780241,5,31,0,1176.53,4908.49,0.325772,0.0424057,0.153834,0.298174,0.213082,0.102228,212.813
-1171.7,0.947384,0.0780241,5,63,0,1174.07,4866.71,0.324429,0.0132159,0.16841,0.266153,0.205794,0.294813,199.46
-1172.11,0.982161,0.0780241,6,63,0,1174.29,4992,0.322233,0.0720254,0.157925,0.281128,0.143359,0.0553398,211.012
-1173.43,0.986655,0.0780241,6,63,0,1175.78,5086.48,0.318352,0.0733346,0.139616,0.263465,0.136761,0.0317179,212.367
-1173.4,0.99298,0.0780241,6,63,0,1177.62,5144.25,0.339204,0.00929552,0.151228,0.200568,0.137616,0.0935583,196.794
-1169.94,0.999885,0.0780241,5,63,0,1174.6,5054.5,0.316421,0.0298437,0.168792,0.235587,0.166094,0.117323,198.155
-1171.89,0.996754,0.0780241,5,31,0,1173.94,4953.04,0.318354,0.053679,0.133649,0.326737,0.153594,0.13591,219.933
-1172.34,0.963654,0.0780241,6,63,0,1176.12,4912.8,0.31905,0.071052,0.166927,0.213952,0.186909,0.257568,195.497
-1175.29,0.717516,0.0780241,5,31,0,1179.8,4908.49,0.322089,0.0954647,0.158269,0.187718,0.189178,0.253738,210.042
-1172.11,0.999721,0.0780241,5,31,0,1177.72,4910.44,0.316955,0.073302,0.170245,0.213404,0.208937,0.203025,213.813
-1173.33,0.996904,0.0780241,5,31,0,1176.35,4929.91,0.33205,0.0230385,0.194199,0.291651,0.133483,0.0938849,193.463
-1173.53,0.857884,0.0780241,5,31,0,1179.34,5075.26,0.316337,0.013722,0.129543,0.246864,0.246303,0.129579,217.678
-1173.34,0.966219,0.0780241,5,63,0,1175.11,5114.45,0.315768,0.0114903,0.124626,0.245474,0.224326,0.13656,213.986
-1173.9,0.997508,0.0780241,6,63,0,1178.55,4838.94,0.323479,0.0733404,0.195558,0.306009,0.112176,0.190698,198.17
-1171.42,0.995205,0.0780241,5,31,0,1175.37,4988.84,0.320729,0.0220344,0.13522,0.272478,0.240505,0.150726,200.995
-1170.75,0.999287,0.0780241,5,31,0,1176.75,5035.65,0.325704,0.00184501,0.163416,0.234564,0.18021,0.172347,213.608
-1172.99,0.96645,0.0780241,5,31,0,1174.97,5090.24,0.320554,0.0827198,0.134498,0.211265,0.137641,0.136657,202.485
-1170.37,0.999368,0.0780241,5,31,0,1173.81,5102.13,0.323648,0.0262064,0.139684,0.214149,0.160754,0.151747,207.306
-1170.66,0.86719,0.0780241,4,23,0,1173.69,5127.61,0.322325,0.0165481,0.137846,0.210734,0.17422,0.15119,209.402
-1171.58,0.894675,0.0780241,5,63,0,1175.78,5114.58,0.322699,0.0127107,0.136574,0.207769,0.180467,0.152554,209.502
-1171.51,0.905516,0.0780241,6,63,0,1175.05,5078.85,0.321648,0.0145991,0.148235,0.228539,0.129234,0.262427,208.338
-1173.58,0.967911,0.0780241,5,31,0,1175.46,5071.25,0.305632,-0.0110208,0.153482,0.28287,0.136733,0.201701,193.4
-1171.96,0.926525,0.0780241,5,31,0,1176.26,5097.8,0.333213,0.0270787,0.146569,0.229645,0.130918,0.157904,202.93
-1174.03,0.859017,0.0780241,6,63,0,1180.63,4826.81,0.317764,0.083724,0.158268,0.266998,0.18592,0.224371,213.7
-1170.98,0.993967,0.0780241,6,63,0,1175.41,5129.06,0.324177,0.00515352,0.146346,0.208779,0.168118,0.149229,198.397
-1173.62,0.934548,0.0780241,6,63,0,1178.04,5147.71,0.290237,0.0578734,0.137753,0.239034,0.143596,0.164054,215.295
-1173.02,0.936728,0.0780241,5,63,0,1178.74,4855.79,0.314478,0.0406809,0.186934,0.260453,0.199765,0.289072,220.233
-1170.4,0.979018,0.0780241,5,63,0,1174.49,4954.97,0.331506,0.0293148,0.158334,0.239935,0.153936,0.225457,202.435
-1170.51,0.982204,0.0780241,5,63,0,1173.3,4977.77,0.332121,0.0407271,0.121456,0.28549,0.165736,0.172296,211.214
-1173.01,0.868987,0.0780241,6,63,0,1176.15,5133.27,0.32417,0.0296993,0.150561,0.198288,0.162155,0.0730864,196.999
-1172.83,0.998578,0.0780241,6,63,0,1177.06,4883.88,0.333037,0.0335149,0.135314,0.32673,0.1823,0.215428,221.856
-1172.55,0.934183,0.0780241,5,31,0,1176.08,4849.2,0.325115,0.0185814,0.172603,0.280118,0.215722,0.220836,225.272
-1171.31,0.983747,0.0780241,6,63,0,1173.93,5047.57,0.317421,0.0208546,0.142284,0.288757,0.152294,0.13912,187.286
-1173.2,0.941405,0.0780241,6,63,0,1175.95,4992.1,0.317949,0.0380129,0.172142,0.210108,0.149283,0.265869,228.896
-1172.46,0.956695,0.0780241,5,63,0,1174.63,4999.05,0.323008,0.0299113,0.168615,0.204096,0.136009,0.283495,218.726
-1171.47,0.975671,0.0780241,5,31,0,1173.47,5003.66,0.32648,0.0245412,0.170588,0.200596,0.157724,0.251333,214.57
-1171.65,0.978776,0.0780241,5,63,0,1172.85,4973.07,0.332122,0.0263907,0.158014,0.221336,0.172274,0.25973,217.773
-1172.21,0.999515,0.0780241,5,31,0,1174.33,4962.75,0.331906,0.0187242,0.159306,0.223005,0.172347,0.261262,222.574
-1172.93,0.997456,0.0780241,5,63,0,1177.98,4889.57,0.323238,0.0778408,0.181698,0.254401,0.133161,0.211171,224.04
-1172.44,0.899598,0.0780241,6,63,0,1177.91,4954.96,0.319678,0.0185699,0.126755,0.289198,0.209527,0.204526,196.056
-1174.57,0.876983,0.0780241,6,63,0,1179.43,4982,0.309751,0.0430034,0.217623,0.220487,0.121501,0.217626,215.209
-1174.49,0.99863,0.0780241,6,63,0,1180.77,4890.56,0.33943,0.0514019,0.0957589,0.314002,0.212405,0.179507,203.032
-1171.21,0.92295,0.0780241,5,63,0,1177.22,4988.97,0.314535,0.0590705,0.142764,0.266187,0.199615,0.156884,212.442
-1170.51,0.994624,0.0780241,5,31,0,1172.49,4988.29,0.326531,0.0422741,0.152517,0.270616,0.135274,0.202097,207.377
-1174.07,0.992118,0.0780241,5,31,0,1174.72,5027.57,0.300291,0.024276,0.127219,0.272513,0.231687,0.166591,211.39
-1174.76,0.995901,0.0780241,6,63,0,1179,5109.6,0.318153,0.0704388,0.160188,0.233777,0.128488,0.00949943,218.889
-1175.13,0.951598,0.0780241,6,63,0,1177.95,5121.82,0.326867,0.0341972,0.16701,0.251748,0.103758,0.00167748,219.747
-1174.86,0.984755,0.0780241,6,63,0,1179.79,5055.5,0.333943,-0.00296638,0.153834,0.268187,0.133184,0.150842,235.67
-1171.69,0.999006,0.0780241,5,31,0,1176.44,5009.04,0.326915,0.0151039,0.158914,0.28849,0.138942,0.14193,223.287
-1171.32,0.797811,0.0780241,5,63,0,1175.69,5112,0.315826,0.0216875,0.153832,0.22066,0.167259,0.170847,201.728
-1173.93,0.943341,0.0780241,5,31,0,1176.59,5078.43,0.323568,0.0589616,0.14236,0.271977,0.142992,0.0608074,202.133
-1172.22,0.959911,0.0780241,5,31,0,1176.77,5004.9,0.308182,0.057126,0.132258,0.268293,0.175339,0.156558,207.522
-1171.76,0.999844,0.0780241,5,63,0,1175.48,5025.94,0.310544,0.0567905,0.133385,0.261124,0.185673,0.191806,206.624
-1176.45,0.981934,0.0780241,5,63,0,1179.42,4926.57,0.34052,0.0288739,0.15449,0.192351,0.265273,0.247405,200.417
-1173.41,0.988692,0.0780241,5,31,0,1179.65,4976.09,0.315306,0.0611672,0.136764,0.219945,0.168142,0.26743,206.264
-1171.44,0.967685,0.0780241,5,63,0,1176.79,5041.69,0.307086,0.0426821,0.15327,0.262363,0.128124,0.175352,189.775
-1170.68,0.999247,0.0780241,6,63,0,1173.76,4955.07,0.310388,0.0401791,0.16959,0.29376,0.124357,0.198496,194.088
-1171.39,0.918711,0.0780241,5,31,0,1174.35,5033.09,0.316231,0.0680795,0.129672,0.226106,0.192495,0.175758,208.617
-1170.89,0.842172,0.0780241,5,31,0,1176.91,5006.83,0.32003,0.0563934,0.13211,0.239645,0.180373,0.171755,208.124
-1174,0.882075,0.0780241,5,63,0,1178.02,4852.96,0.317887,0.0113209,0.157132,0.295253,0.198827,0.282892,211.578
-1172.44,0.994743,0.0780241,6,63,0,1175.37,4819.55,0.320869,0.0140754,0.187973,0.297241,0.201869,0.225013,216.453
-1172.97,0.927846,0.0780241,6,63,0,1175.22,4863.09,0.325283,0.0749736,0.147456,0.285161,0.178165,0.161338,197.766
-1174.59,0.997624,0.0780241,6,63,0,1176.76,4836.5,0.315783,0.0262635,0.20368,0.308365,0.191672,0.214305,223.392
-1174,0.949283,0.0780241,5,31,0,1177.34,4804.21,0.309446,0.0169957,0.190539,0.306878,0.201719,0.278924,223.971
-1172.39,0.997815,0.0780241,5,63,0,1179.41,5152.23,0.302907,0.0230712,0.160287,0.269331,0.119354,0.0680326,206.715
-1171.86,0.997952,0.0780241,6,63,0,1173.62,4788.45,0.325752,0.0217905,0.17605,0.329369,0.172516,0.278381,208.363
-1171.56,0.875563,0.0780241,5,63,0,1178.08,4985.43,0.30767,0.0713146,0.160558,0.246252,0.163855,0.171906,220.084
-1171.98,0.994317,0.0780241,5,63,0,1176.47,4968.79,0.314979,0.0602348,0.174083,0.26385,0.115887,0.174063,223.765
-1175.66,0.854588,0.0780241,5,31,0,1179.66,5173.48,0.290223,0.0567672,0.155686,0.214006,0.182189,0.0968804,212.555
-1170.62,0.992655,0.0780241,5,63,0,1178.01,5047.28,0.317451,0.0266518,0.135239,0.224387,0.185695,0.239398,209.133
-1173.65,0.939145,0.0780241,5,63,0,1175.41,4920.41,0.30941,0.0219607,0.19451,0.240176,0.197535,0.27577,223.562
-1173.84,0.998026,0.0780241,6,63,0,1177.4,5079.18,0.337929,0.0457415,0.112855,0.274099,0.143442,0.0880699,192.338
-1174.74,0.972358,0.0780241,5,63,0,1178.13,4933.59,0.304347,0.0284349,0.205192,0.21404,0.245643,0.211967,221.982
-1173.54,0.996023,0.0780241,6,63,0,1179.07,4948.82,0.332428,-0.00721563,0.192558,0.279839,0.17308,0.100669,211.589
-1172.95,0.975484,0.0780241,5,31,0,1178.74,4835.33,0.323512,0.0231159,0.221662,0.263806,0.190065,0.185034,198.935
-1173.76,0.990869,0.0780241,5,63,0,1175.07,4870.35,0.320008,0.0235064,0.23005,0.239896,0.173616,0.205184,202.158
-1171.13,0.999396,0.0780241,5,31,0,1176.66,4862.45,0.328985,0.046903,0.162692,0.284544,0.221222,0.161421,220.866
-1171.81,0.986725,0.0780241,6,63,0,1173.73,4930.17,0.324389,0.0715977,0.15941,0.312062,0.109332,0.128046,203.816
-1175.35,0.995687,0.0780241,6,63,0,1178.34,5021.96,0.337404,0.0748015,0.136624,0.186782,0.151115,0.195262,228.472
-1174.53,0.972123,0.0780241,5,63,0,1179.65,5047.46,0.353561,0.0369718,0.12725,0.205417,0.169676,0.11275,208.529
-1171.36,0.988979,0.0780241,5,31,0,1175.58,5067.45,0.333768,0.0365338,0.132987,0.21406,0.171417,0.135016,198.7
-1172.28,0.99753,0.0780241,5,63,0,1177.38,4815.34,0.335264,0.0535752,0.185274,0.274281,0.235556,0.0980347,211.373
-1172.09,0.993966,0.0780241,6,63,0,1174.74,5090.74,0.310609,0.0202097,0.189591,0.208541,0.0970476,0.212774,207.912
-1172.99,0.856462,0.0780241,6,63,0,1176.86,4913.71,0.317999,0.0640715,0.134058,0.268812,0.265327,0.120479,212.036
-1172.28,0.997434,0.0780241,5,31,0,1177.46,4931.15,0.325686,-0.00394583,0.191746,0.284893,0.170625,0.143433,203.575
-1172.24,0.999914,0.0780241,6,63,0,1177.57,4957.85,0.341819,0.0565747,0.150453,0.253393,0.107413,0.188852,195.159
-1174.24,0.955484,0.0780241,6,63,0,1178.31,4928.47,0.301628,0.040254,0.149254,0.278751,0.232334,0.254906,226.5
-1172.08,0.928912,0.0780241,6,63,0,1176.84,4784.73,0.322829,0.0679869,0.171654,0.273691,0.204319,0.243842,215.961
-1171.43,0.991471,0.0780241,5,63,0,1173.82,4894.02,0.324459,0.0132859,0.143587,0.33237,0.182104,0.196929,209.406
-1176.62,0.910268,0.0780241,5,31,0,1178.57,4811.6,0.335657,0.0036532,0.142125,0.403519,0.145222,0.202039,202.969
-1173.13,0.938475,0.0780241,5,31,0,1179.57,4903.39,0.323868,0.0498545,0.118571,0.351966,0.145538,0.17671,209.324
-1173.11,0.980189,0.0780241,6,63,0,1177.69,5070.07,0.300069,0.0193109,0.148007,0.221004,0.226639,0.230579,209.706
-1172.54,0.79627,0.0780241,6,63,0,1178.77,4862.82,0.313951,0.0574288,0.141738,0.340398,0.215883,0.169791,213.851
-1172.81,0.999291,0.0780241,6,63,0,1176.28,4873.34,0.338401,0.0458351,0.193482,0.211709,0.171084,0.215232,205.227
-1173.67,0.974725,0.0780241,6,63,0,1176.45,4948.82,0.302901,0.0119568,0.142974,0.326757,0.159847,0.257165,200.903
-1176.68,0.994486,0.0780241,5,31,0,1179.83,4951.47,0.29495,0.0337321,0.142538,0.339229,0.12554,0.315071,220.14
-1177.72,0.989405,0.0780241,5,63,0,1184.26,4939.63,0.318494,0.0368406,0.165082,0.263961,0.0554977,0.393813,200.042
-1172.57,0.891009,0.0780241,5,31,0,1180.53,5009.03,0.310324,0.0248084,0.162604,0.295677,0.179696,0.0649378,215.005
-1173.59,0.998414,0.0780241,6,63,0,1176.09,4982.52,0.310139,0.0343625,0.146361,0.331642,0.152012,0.0965981,222.258
-1173.48,0.998028,0.0780241,5,63,0,1181.54,4992.09,0.308833,0.0270908,0.123453,0.352899,0.169448,0.145719,213.317
