# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\q_a8a08o.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121235_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0761623
# Diagonal elements of inverse mass matrix:
# 9454.11, 0.000126009, 0.000440471, 0.000421031, 0.00125361, 0.00132172, 0.00321493, 0.00170401
-1759.92,0.952127,0.0761623,5,31,0,1761.23,5007.67,0.300287,0.0284336,0.180674,0.248963,0.229011,0.110345,204.178
-1759.88,0.999962,0.0761623,5,63,0,1761.63,4986.99,0.299812,0.00989233,0.166439,0.310386,0.205803,0.105416,215.428
-1759.39,0.995161,0.0761623,5,31,0,1760.79,5046.3,0.300837,0.0245558,0.159156,0.282489,0.196111,0.0859435,215.074
-1758.88,0.944864,0.0761623,6,63,0,1760.36,5051.63,0.294731,0.0165928,0.173049,0.292745,0.189947,0.0596268,211.42
-1760.71,0.970838,0.0761623,5,63,0,1761.38,4964.91,0.299358,0.0101121,0.189408,0.267778,0.265301,0.0919708,202.167
-1761.85,0.980613,0.0761623,5,63,0,1763.35,5046.06,0.291742,0.00407301,0.188458,0.239826,0.263793,0.085923,197.157
-1765.35,0.999828,0.0761623,6,63,0,1771.43,4877.05,0.298472,0.0605595,0.167345,0.334718,0.192358,0.127525,232.238
-1764.86,0.98122,0.0761623,6,63,0,1770.13,4918.89,0.308537,0.0652489,0.157608,0.309406,0.238748,0.00852719,218.138
-1764.84,0.973163,0.0761623,6,63,0,1768.43,4917.41,0.286634,0.00502682,0.202031,0.303523,0.234894,0.18397,196.744
-1762.34,0.918115,0.0761623,5,31,0,1768.07,4860.18,0.293551,0.0222827,0.197666,0.318197,0.239739,0.118534,205.821
-1764.6,0.999427,0.0761623,6,63,0,1766.55,5329.35,0.284646,7.54543e-005,0.133491,0.214509,0.160445,0.0218138,210.254
-1764.1,0.958674,0.0761623,5,31,0,1767.25,5356.91,0.282595,0.00106507,0.134422,0.199353,0.167376,0.0468254,214.417
