# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\q_a8a08o.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121235_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0754451
# Diagonal elements of inverse mass matrix:
# 9318.62, 0.000134306, 0.000466635, 0.000427662, 0.00146195, 0.00147015, 0.00343991, 0.00158
-1762.8,0.994044,0.0754451,5,31,0,1765.87,5021.11,0.281597,0.0385402,0.1665,0.318562,0.228133,0.017867,196.854
-1762.75,0.889294,0.0754451,5,63,0,1764.94,5062.91,0.282862,0.0394774,0.164128,0.306438,0.22208,0.00371085,196.572
-1763.7,0.781118,0.0754451,6,63,0,1768.4,5073.81,0.301044,-0.0173532,0.185857,0.21359,0.225475,0.148544,218.334
-1763.11,0.944432,0.0754451,6,63,0,1772.1,5096.11,0.273549,0.0495792,0.158208,0.28983,0.173661,0.0666704,207.567
-1766.42,0.997445,0.0754451,5,31,0,1769.5,5178.92,0.268431,0.0394707,0.137484,0.26644,0.1663,0.170691,207.349
-1764.49,0.895107,0.0754451,6,63,0,1773.48,4936.77,0.303246,0.0404308,0.226704,0.244591,0.212435,0.0500226,227.744
-1764.28,0.980523,0.0754451,6,63,0,1768.63,5107.78,0.287153,0.0087937,0.128475,0.283713,0.257359,0.101746,193.606
-1764.51,0.957068,0.0754451,5,31,0,1765.74,5120.87,0.287216,0.012617,0.127536,0.270873,0.255556,0.115304,194.513
-1764.76,0.999074,0.0754451,6,63,0,1767.88,5024.61,0.294905,0.0164982,0.225121,0.269969,0.140952,0.0523259,227.226
-1762.63,0.965569,0.0754451,5,63,0,1768.91,5206.87,0.289938,-0.017993,0.167847,0.230257,0.179201,0.0955609,225.274
-1764.5,0.977113,0.0754451,6,63,0,1769.04,4931.17,0.288366,0.0143238,0.188697,0.322417,0.284719,0.0373603,194.846
-1765.9,0.977323,0.0754451,6,63,0,1767.47,4936.23,0.287004,0.0160549,0.192995,0.316031,0.300891,0.0114793,196.572
-1763.05,0.93767,0.0754451,5,31,0,1768.48,4955.59,0.294575,0.0189604,0.196421,0.316142,0.260426,-0.00443862,206.179
-1761.29,0.960259,0.0754451,5,31,0,1768.37,5103.37,0.297241,0.0471025,0.153372,0.263941,0.16267,0.0840054,208.27
-1761.89,0.979257,0.0754451,5,63,0,1763.26,5133.39,0.297487,0.0466534,0.139984,0.248273,0.192592,0.0732643,213.722
-1760.48,0.973808,0.0754451,6,63,0,1765.45,5067.52,0.289845,-0.0133935,0.199486,0.265586,0.199903,0.0903487,206.348
-1762.24,0.881797,0.0754451,6,63,0,1764.47,5017.36,0.304694,0.00431681,0.197131,0.272468,0.23611,0.0247539,217.037
-1765.16,0.974811,0.0754451,5,31,0,1768.79,5037.18,0.273143,0.00934696,0.162612,0.366508,0.216576,0.055938,202.677
-1762.38,0.9974,0.0754451,5,31,0,1766.68,5068.77,0.279304,0.00978129,0.158899,0.345245,0.204747,0.0528163,208.978
-1765.17,0.999299,0.0754451,6,63,0,1768.9,5020.97,0.314325,0.0378968,0.168679,0.205895,0.221382,0.106006,228.919
-1764.23,0.996399,0.0754451,6,63,0,1768.56,5118.99,0.27287,-0.00574871,0.176016,0.330475,0.173387,0.0459303,195.572
-1766.35,0.799738,0.0754451,6,63,0,1770.02,4933.31,0.310694,0.0566432,0.178312,0.229006,0.262436,0.136401,226.997
-1765.06,0.99737,0.0754451,6,63,0,1770.22,4977.09,0.300161,0.05879,0.140576,0.25179,0.239751,0.153359,226.671
-1764.81,0.958251,0.0754451,6,63,0,1769.8,4898.84,0.29863,-0.00897341,0.210477,0.347608,0.225873,0.0858839,212.338
-1761.83,0.990348,0.0754451,6,63,0,1767.48,5025.83,0.292161,-0.0019271,0.215112,0.256184,0.178797,0.10868,212.999
-1763.15,0.999729,0.0754451,5,63,0,1766.48,5239.65,0.281009,-0.00541795,0.135028,0.235442,0.255086,0.0284468,209.073
-1763.23,0.920075,0.0754451,6,63,0,1767.26,4887.76,0.304926,0.0454129,0.188392,0.310756,0.20268,0.12257,226.975
-1762.29,0.986128,0.0754451,6,63,0,1765.93,4996.01,0.291336,0.0320291,0.198578,0.237572,0.269742,0.0766416,202.861
-1762.24,0.959655,0.0754451,5,63,0,1765.1,5011.4,0.30817,0.00931236,0.181011,0.307773,0.17633,0.0781365,209.375
-1761.1,0.927781,0.0754451,6,63,0,1765.11,4997.67,0.279715,0.0386283,0.185539,0.28186,0.199776,0.147798,212.831
-1762.97,0.99916,0.0754451,5,31,0,1765.31,5039.43,0.295675,-0.0234945,0.198766,0.304556,0.223313,0.0126131,203.321
-1762.64,0.937069,0.0754451,5,31,0,1764.66,5053.38,0.297786,-0.0228099,0.193642,0.289645,0.21182,0.022194,204.333
-1762.16,1,0.0754451,6,63,0,1766.02,4986.3,0.29084,0.00989101,0.20516,0.319136,0.15293,0.0869663,203.188
-1764.65,0.730101,0.0754451,6,63,0,1769.8,4987.36,0.296581,0.0299411,0.158912,0.343583,0.202227,-0.00345691,217.772
-1764.06,0.996974,0.0754451,6,63,0,1775.29,5133.17,0.284167,0.00842126,0.187105,0.207736,0.201459,0.167077,212.927
-1760.53,0.999758,0.0754451,6,63,0,1765.47,5120.88,0.291592,-0.0119407,0.159766,0.27887,0.183398,0.0984551,209.198
-1763.01,0.998997,0.0754451,5,31,0,1763.86,5129.69,0.29616,-0.0289944,0.172685,0.303973,0.164484,0.0764497,203.082
