# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ysj2j3eg.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121241_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0862143
# Diagonal elements of inverse mass matrix:
# 5499.98, 8.17337e-005, 0.000299301, 0.000298575, 0.000795413, 0.000971679, 0.00188885, 0.00109325
-2322.64,0.819376,0.0862143,6,63,0,2327.95,4981.07,0.315715,0.0581581,0.200637,0.225663,0.112911,0.122278,196.21
-2325.78,0.99415,0.0862143,5,31,0,2327.88,4930.52,0.323606,0.0692036,0.199528,0.223936,0.0909224,0.184848,196.342
-2322.52,0.893342,0.0862143,5,31,0,2329.16,4979.85,0.311642,0.0545927,0.23321,0.184364,0.118752,0.136571,196.505
-2323.03,0.93229,0.0862143,5,31,0,2323.95,4949.79,0.310743,0.0643429,0.240445,0.188691,0.11958,0.144644,196.121
-2324.87,0.979733,0.0862143,5,31,0,2326.34,4984.51,0.317311,0.0665532,0.222625,0.162466,0.124725,0.152157,196.027
-2327.63,0.942695,0.0862143,5,31,0,2330.33,4978.49,0.322191,0.0792568,0.216298,0.167922,0.108742,0.115745,188.283
-2323.31,0.64527,0.0862143,5,31,0,2333.15,5027.5,0.302133,0.0441755,0.225293,0.240003,0.0872855,0.0691518,203.498
-2322.6,0.961768,0.0862143,5,63,0,2329.64,5049.02,0.302639,0.0470687,0.218904,0.217259,0.0860523,0.0985903,200.683
-2324.06,0.959494,0.0862143,6,63,0,2326.89,4800.19,0.31559,0.0796424,0.248275,0.238854,0.140136,0.153913,206.242
-2325.18,0.995432,0.0862143,5,63,0,2327.8,4858.38,0.316164,0.0681425,0.230813,0.214081,0.164357,0.132571,214.866
-2327.29,0.884913,0.0862143,5,63,0,2331.88,5027.57,0.299778,0.0228946,0.205925,0.267417,0.150262,0.0589264,198.094
-2324.65,0.99995,0.0862143,5,31,0,2330.05,5037.98,0.299796,0.0522259,0.198347,0.209449,0.163433,0.0990704,193.386
