# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ysj2j3eg.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121241_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0848198
# Diagonal elements of inverse mass matrix:
# 4844.01, 8.42176e-005, 0.000271586, 0.000287473, 0.00085247, 0.00116768, 0.00158836, 0.00137371
-2328.77,0.995229,0.0848198,5,31,0,2330.91,4721.74,0.306861,0.0885768,0.246798,0.29521,0.177595,0.0823757,201.866
-2326.06,0.999848,0.0848198,6,63,0,2331.57,5030.3,0.310788,0.0353184,0.220113,0.181246,0.0932611,0.202338,196.793
-2327.48,0.979049,0.0848198,5,63,0,2332.46,4987.63,0.310011,0.0269952,0.232782,0.199224,0.0772107,0.216181,195.295
-2324.48,0.99583,0.0848198,5,63,0,2330.95,4978.46,0.298698,0.0468062,0.235789,0.252546,0.122046,0.040179,206.824
-2324.96,0.980661,0.0848198,5,31,0,2325.81,4986.42,0.296999,0.0463297,0.236684,0.256802,0.116884,0.0357836,206.572
-2322.68,0.988228,0.0848198,5,63,0,2325.94,4914.01,0.314781,0.0662824,0.216008,0.221771,0.130224,0.157753,190.478
-2326.36,0.97157,0.0848198,5,63,0,2328.09,5023.2,0.293472,0.0783802,0.226836,0.178397,0.111829,0.154756,210.196
-2327.84,0.971806,0.0848198,6,63,0,2333.94,5038.59,0.316676,0.0106469,0.198148,0.227665,0.135616,0.0935419,191.048
-2327.64,0.931924,0.0848198,6,63,0,2333.05,4856.34,0.2988,0.103077,0.25464,0.253538,0.0881163,0.123238,202.328
