# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\_2_7rgwu.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121249_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0814137
# Diagonal elements of inverse mass matrix:
# 4812.37, 7.75166e-005, 0.000286084, 0.000346208, 0.000915358, 0.000823014, 0.00150104, 0.000872165
-2936.38,0.923282,0.0814137,6,63,0,2944.28,4983.18,0.286177,-0.000782182,0.197071,0.29193,0.232905,0.0946536,217.899
-2931.6,0.996582,0.0814137,5,31,0,2937.69,4948.8,0.290722,0.010299,0.21499,0.292917,0.192695,0.118933,213.479
-2931.81,0.992294,0.0814137,6,63,0,2935.83,4868.01,0.286188,0.0371738,0.217995,0.299871,0.20262,0.17843,200.836
-2931.78,0.991599,0.0814137,5,31,0,2933.21,4880.06,0.284133,0.0437962,0.209513,0.30674,0.186849,0.171462,202.733
-2931.61,0.985222,0.0814137,6,63,0,2934.48,4961.29,0.311618,0.0345884,0.216743,0.223633,0.180627,0.131012,214.97
-2931.65,0.953562,0.0814137,5,63,0,2936.05,5052.62,0.290919,0.0445369,0.201768,0.223568,0.13067,0.159706,215.392
-2929.93,0.971384,0.0814137,5,31,0,2932.93,4972.04,0.292705,0.0509332,0.216389,0.229465,0.158714,0.158926,209.192
-2930.84,0.999382,0.0814137,6,63,0,2932.92,4832.7,0.299293,0.0368618,0.214039,0.317549,0.20578,0.133935,208.615
-2934.02,0.988754,0.0814137,6,63,0,2936.51,5113.34,0.286501,0.0384193,0.210541,0.181372,0.148401,0.153267,211.352
-2933.84,0.999988,0.0814137,6,63,0,2936.32,5105.95,0.291812,0.0333808,0.189224,0.195478,0.142194,0.192306,209.543
-2933.1,0.968427,0.0814137,6,63,0,2937.92,4840.68,0.298589,0.0482705,0.236282,0.316368,0.175569,0.0833699,216.903
-2936.45,0.996931,0.0814137,5,31,0,2937.98,4860.67,0.291137,0.0404011,0.235944,0.344007,0.15715,0.0638514,216.396
-2931.47,0.990237,0.0814137,5,31,0,2937.31,4875.37,0.288744,0.0496074,0.219819,0.316841,0.178889,0.117233,213.98
-2932.5,0.998422,0.0814137,5,63,0,2936,4981.12,0.299416,0.0496504,0.182514,0.28415,0.128485,0.168437,215.661
-2935.7,0.990443,0.0814137,5,63,0,2940.25,4942.95,0.283063,0.0318011,0.231825,0.236526,0.196067,0.180301,192.632
-2929.72,0.999961,0.0814137,5,31,0,2936.96,4916.76,0.292993,0.0414531,0.193261,0.285926,0.191029,0.170269,212.922
-2930.79,0.952526,0.0814137,5,63,0,2937.2,4888.51,0.299297,0.0464349,0.183436,0.291522,0.203812,0.182245,212.356
-2931.8,0.922258,0.0814137,5,31,0,2933.34,4846.69,0.300961,0.0441095,0.187173,0.312568,0.211673,0.180543,209.683
-2933.9,0.861606,0.0814137,6,63,0,2937.17,5003.33,0.312419,0.0420345,0.186329,0.258775,0.148523,0.111815,214.818
-2934.2,0.971982,0.0814137,6,63,0,2939.08,4898.44,0.278925,0.0501677,0.236699,0.266701,0.177408,0.205487,210.878
-2935.19,0.998889,0.0814137,6,63,0,2940.57,5040.66,0.311587,0.0310672,0.176755,0.248331,0.178261,0.0841205,208.835
-2930.62,0.999776,0.0814137,5,31,0,2936.21,4927.93,0.289959,0.0406456,0.230538,0.226102,0.211428,0.16781,210.363
-2934.48,0.951889,0.0814137,5,47,0,2937.9,4768.25,0.305175,0.0544785,0.233992,0.242257,0.235338,0.216371,220.867
-2933.05,0.997094,0.0814137,6,63,0,2938.38,4854.6,0.313931,0.0496988,0.21744,0.219159,0.222542,0.195728,207.542
-2929.59,0.999983,0.0814137,5,31,0,2934.16,4864.5,0.304747,0.0389245,0.229266,0.272153,0.167077,0.170947,208.21
-2930.17,0.956942,0.0814137,6,63,0,2931.81,4977.16,0.298733,0.0531719,0.187116,0.248308,0.191493,0.126674,212.453
-2930.31,0.99552,0.0814137,5,63,0,2932.07,5015.68,0.294854,0.0503965,0.21249,0.218642,0.167128,0.113706,211.603
-2932.55,0.778768,0.0814137,5,31,0,2934.76,5035.7,0.296565,0.0516224,0.189447,0.235093,0.155906,0.102676,205.696
-2930.99,0.957958,0.0814137,6,63,0,2935.83,4975,0.297856,0.0186088,0.193038,0.253361,0.22427,0.132927,210.345
-2931.14,0.934775,0.0814137,6,63,0,2934.39,4888.58,0.306491,0.0641516,0.220312,0.244263,0.169245,0.165222,204.372
-2933.48,0.995282,0.0814137,5,31,0,2934.41,4868.9,0.309172,0.0700303,0.227711,0.24845,0.152826,0.128412,201.136
-2930.53,0.999661,0.0814137,6,63,0,2934.88,4985.17,0.302363,0.0353759,0.208998,0.208656,0.200463,0.153011,207.267
-2930.51,0.902339,0.0814137,6,63,0,2933.48,4907.78,0.289184,0.0482204,0.217754,0.302747,0.161644,0.131521,213.782
-2933.49,0.955037,0.0814137,5,31,0,2936.72,4828.29,0.314486,0.0282982,0.211079,0.304032,0.174688,0.196022,210.635
-2932.37,0.998348,0.0814137,5,31,0,2936.87,4764.69,0.30603,0.0519571,0.229525,0.263401,0.239153,0.207708,209.573
-2929.99,0.999943,0.0814137,5,31,0,2933.07,4802.24,0.300652,0.0456699,0.227615,0.280767,0.204706,0.194746,209.063
-2929.58,0.976817,0.0814137,5,63,0,2931.58,4896.8,0.289453,0.0444475,0.220242,0.254517,0.210268,0.18036,211.542
-2929.04,0.995393,0.0814137,5,47,0,2934.59,4903.18,0.292077,0.039187,0.206506,0.288085,0.191758,0.16188,211.274
-2929.66,0.926194,0.0814137,5,63,0,2934.19,4921.04,0.290144,0.0313741,0.221575,0.27879,0.184034,0.140169,203.992
-2930.42,0.978268,0.0814137,5,31,0,2935.36,4942.81,0.299223,0.0380814,0.201885,0.228956,0.232663,0.149265,210.931
-2930.44,0.99822,0.0814137,6,63,0,2933.84,5036.09,0.290857,0.0246552,0.211051,0.247059,0.143448,0.140217,206.404
-2929.4,0.998703,0.0814137,6,63,0,2932.38,4904.26,0.294233,0.05591,0.199348,0.276115,0.199055,0.147129,205.62
-2933.95,0.919359,0.0814137,5,31,0,2935.03,4895.36,0.300603,0.0557797,0.167846,0.302934,0.205408,0.177096,207.534
-2934.5,0.996422,0.0814137,5,31,0,2937.49,4904.08,0.298676,0.05092,0.163207,0.308303,0.205979,0.162996,208.181
-2931.53,0.984398,0.0814137,5,63,0,2937.71,4846.17,0.299058,0.0676869,0.218419,0.281518,0.210349,0.114338,204.39
-2932.1,0.892249,0.0814137,6,63,0,2935.3,4876.57,0.303367,0.0234573,0.223008,0.25778,0.170253,0.216218,213.846
-2931.69,0.996802,0.0814137,5,31,0,2934.31,4845.98,0.311495,0.0378491,0.230914,0.27554,0.159469,0.182267,208.195
-2931.68,0.998425,0.0814137,6,63,0,2933.65,4857.33,0.288509,0.0735872,0.202186,0.291612,0.201975,0.171365,212.127
-2937.41,0.666335,0.0814137,5,31,0,2940.59,4898.88,0.317161,0.0167849,0.208851,0.267721,0.18864,0.101964,210.362
-2934.42,0.998547,0.0814137,6,63,0,2941.56,4923.44,0.281893,0.0712501,0.228044,0.236577,0.186398,0.178841,219.564
-2931.99,0.994992,0.0814137,5,63,0,2935.87,4969.09,0.308754,0.0370249,0.188371,0.260459,0.157265,0.135228,213.067
-2932.17,0.86922,0.0814137,6,63,0,2939.24,4884.84,0.286237,0.0539409,0.186754,0.305367,0.207813,0.188257,213.989
-2932.19,0.882936,0.0814137,6,63,0,2935.73,4973.31,0.305123,0.0139247,0.228562,0.214974,0.174167,0.159026,207.799
-2931.21,0.99483,0.0814137,6,63,0,2936.24,4914.94,0.293984,0.0573393,0.203361,0.279051,0.205231,0.0980278,201.553
-2930.42,0.998484,0.0814137,5,31,0,2933.69,4879.09,0.300694,0.0336036,0.209795,0.270165,0.194316,0.197378,220.236
-2929.76,0.857259,0.0814137,6,63,0,2935.44,4926.63,0.301961,0.0487403,0.204528,0.268972,0.180831,0.116951,202.455
-2931.06,0.970212,0.0814137,6,63,0,2933.53,4972.9,0.287002,0.0345448,0.21833,0.242251,0.163611,0.189399,219.619
-2930.43,0.940894,0.0814137,6,63,0,2934.03,4952.58,0.299589,0.046638,0.207266,0.2501,0.186812,0.104762,201.851
-2930.21,0.999346,0.0814137,6,63,0,2932.86,4986.42,0.298458,0.0462159,0.196261,0.234961,0.190576,0.120434,206.527
-2931.9,0.904386,0.0814137,5,63,0,2939.66,4928.82,0.302596,0.0563526,0.205691,0.272657,0.126608,0.183555,204.114
-2930.06,0.999435,0.0814137,5,63,0,2935.77,4885.6,0.28926,0.0414027,0.225528,0.269583,0.185395,0.199853,208.054
-2933.46,0.983317,0.0814137,5,63,0,2935.81,5084.04,0.289021,0.0461811,0.187542,0.256331,0.124306,0.113649,218.905
-2936.2,0.996714,0.0814137,5,63,0,2944.12,4766.9,0.296416,0.0700978,0.234302,0.304691,0.178413,0.192817,194.054
-2931.08,0.993766,0.0814137,6,63,0,2940.15,4954.6,0.302393,0.0267756,0.197372,0.249291,0.204353,0.164157,220.993
-2933.31,0.914127,0.0814137,5,31,0,2936.54,4881.72,0.282014,0.0744532,0.227341,0.280069,0.151464,0.164593,207.98
-2932.6,0.992143,0.0814137,5,63,0,2937.19,4790.02,0.295054,0.0724643,0.222072,0.302434,0.158818,0.217897,213.749
-2932.72,0.994645,0.0814137,6,63,0,2934.85,5050.25,0.284552,0.0213859,0.219108,0.20101,0.202329,0.149788,207.67
-2932.18,0.9648,0.0814137,6,63,0,2936.11,4814.5,0.305002,0.0653696,0.196794,0.299529,0.172587,0.206137,216.021
-2930.59,0.995217,0.0814137,6,63,0,2936.26,4844.02,0.298859,0.0362881,0.241959,0.260227,0.213058,0.146055,206.226
-2932.04,0.988202,0.0814137,5,31,0,2933.3,4820.59,0.312804,0.0384546,0.241828,0.245811,0.210142,0.14676,208.548
-2932.05,0.999786,0.0814137,6,63,0,2936.51,4957.01,0.298543,0.0133212,0.223838,0.248825,0.18625,0.151758,223.671
-2933.56,0.953878,0.0814137,6,63,0,2935.6,4812.31,0.296349,0.0786745,0.203878,0.296632,0.19404,0.181984,198.688
-2933.37,0.768704,0.0814137,5,31,0,2938.33,4809.82,0.289029,0.072189,0.214528,0.295554,0.203674,0.176142,200.363
-2929.61,0.991722,0.0814137,5,31,0,2935.45,4923.91,0.297473,0.0437625,0.220047,0.228617,0.204343,0.152246,209.053
-2933.77,0.999712,0.0814137,5,31,0,2934.75,4870.81,0.316967,0.029974,0.207782,0.288693,0.141808,0.178004,208.906
-2933.16,0.99962,0.0814137,6,63,0,2936.54,4868.09,0.282321,0.0650798,0.220938,0.257993,0.23801,0.14829,213.396
-2932.92,0.897006,0.0814137,5,63,0,2941.53,4912.54,0.296666,0.0559553,0.222085,0.209935,0.219393,0.147981,217.747
-2931.87,0.99684,0.0814137,5,31,0,2934.72,4905.61,0.308743,0.0459741,0.225038,0.208837,0.210089,0.149454,215.873
-2932.21,0.861926,0.0814137,5,63,0,2940.02,4892.23,0.287086,0.0432293,0.209004,0.298858,0.233264,0.113236,211.47
-2937,0.941421,0.0814137,5,31,0,2939.01,4887.49,0.290127,0.0801354,0.204402,0.272125,0.24669,0.0837293,216.524
