# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\_2_7rgwu.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121249_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0806217
# Diagonal elements of inverse mass matrix:
# 4925.28, 7.3376e-005, 0.00022753, 0.000280482, 0.000777737, 0.000912995, 0.00159006, 0.00101449
-2930.81,0.941391,0.0806217,5,31,0,2937.74,4841.04,0.308391,0.0355016,0.221524,0.257095,0.223932,0.180485,211.321
-2930.38,0.974116,0.0806217,6,63,0,2933.12,4961.48,0.288055,0.05449,0.208968,0.280135,0.144624,0.143523,208.67
-2931.63,0.999095,0.0806217,6,63,0,2934.12,4983.11,0.299969,0.0313462,0.21153,0.251941,0.178685,0.0872019,199.242
-2932.03,0.999973,0.0806217,6,63,0,2935.03,5014.59,0.291395,0.0274239,0.225849,0.246311,0.120325,0.158467,216.379
-2931.96,0.972258,0.0806217,6,63,0,2935.84,4998.18,0.290541,0.026293,0.227843,0.256656,0.125048,0.141436,216.554
-2931.29,0.932549,0.0806217,6,63,0,2934.62,4818.92,0.304278,0.0514793,0.220846,0.271468,0.236789,0.153406,209.446
-2933.72,0.967972,0.0806217,6,63,0,2935.8,5048.2,0.287982,0.0154129,0.201575,0.248512,0.134798,0.170935,217.102
-2936.01,0.998761,0.0806217,6,63,0,2938.26,4804.27,0.294462,0.0489379,0.255625,0.318795,0.145642,0.154639,206.411
-2931.76,0.868436,0.0806217,5,31,0,2940.02,4835.34,0.29001,0.0446301,0.236592,0.292095,0.165311,0.189802,216.005
-2936.61,0.949624,0.0806217,5,63,0,2943.47,4849.7,0.277379,0.0424188,0.205875,0.328251,0.230605,0.185742,217.895
-2937,0.999098,0.0806217,6,63,0,2941.32,5047.33,0.31462,0.0394574,0.214049,0.189971,0.138345,0.119841,203.441
-2939.06,0.924752,0.0806217,6,63,0,2946.13,5000.48,0.317476,0.044197,0.227138,0.173006,0.148137,0.107853,208.399
-2933.1,0.98592,0.0806217,4,15,0,2939.85,5018.58,0.310024,0.0414827,0.214923,0.200707,0.163626,0.114152,213.108
-2930.99,0.997167,0.0806217,5,31,0,2934.66,4985.34,0.305572,0.0170808,0.22034,0.232476,0.167883,0.130608,213.071
-2932.54,0.99918,0.0806217,5,63,0,2934.04,4954.04,0.315463,0.0187296,0.203964,0.24495,0.191017,0.127582,213.104
-2932.41,0.99711,0.0806217,6,63,0,2936.15,4987.81,0.310143,0.0131456,0.215978,0.233399,0.16154,0.135025,206.018
-2932.43,0.959178,0.0806217,6,63,0,2936.17,4768.2,0.299643,0.0721155,0.227339,0.277044,0.214331,0.174367,217.237
-2934.77,0.873472,0.0806217,6,63,0,2940.51,5077.7,0.289975,0.0256437,0.187736,0.261133,0.167577,0.0574074,204.089
-2933.03,0.999966,0.0806217,6,63,0,2937.21,4953.67,0.295733,0.0286639,0.213365,0.221106,0.202046,0.223797,220.32
-2930.78,0.952972,0.0806217,5,31,0,2938.41,4971.69,0.295611,0.0207131,0.220915,0.274552,0.156256,0.118386,203.489
-2931.48,0.879972,0.0806217,6,63,0,2935.84,4983.63,0.291601,0.0548583,0.192622,0.222568,0.203622,0.172871,218.642
-2931.19,0.999734,0.0806217,6,63,0,2934.3,4965.41,0.299213,0.0449788,0.225994,0.244412,0.123249,0.155767,216.854
-2934.34,0.95488,0.0806217,6,63,0,2936.64,5032.86,0.283976,0.0177881,0.184466,0.254891,0.224845,0.120938,201.855
-2933.53,0.992487,0.0806217,5,31,0,2936.09,5030.21,0.289536,0.0112149,0.185175,0.262186,0.202179,0.131131,201.271
-2933.53,0.833851,0.0806217,6,63,0,2938.37,4859.84,0.304027,0.0657336,0.23038,0.248151,0.15001,0.162667,221.157
-2932.22,0.971226,0.0806217,6,63,0,2937.03,4890.63,0.294272,0.0288128,0.20346,0.281656,0.221019,0.149902,201.606
-2932.25,0.9323,0.0806217,5,63,0,2934.89,4891.23,0.293982,0.0277762,0.218539,0.299371,0.208523,0.131491,201.758
-2933.04,0.998497,0.0806217,6,63,0,2936.47,4860.78,0.308427,0.0522023,0.224233,0.24507,0.190853,0.19037,223.418
-2936.58,0.99768,0.0806217,5,63,0,2942.47,4799.55,0.293015,0.0842169,0.211882,0.348566,0.149182,0.139957,216.196
-2938.09,0.976427,0.0806217,6,63,0,2945.18,4770.82,0.314205,0.0344667,0.186362,0.327144,0.235142,0.208603,222.116
-2936.93,0.841346,0.0806217,6,63,0,2944.26,5053.77,0.300242,0.0301337,0.208035,0.243181,0.117734,0.0779376,200.002
-2943.34,0.922457,0.0806217,6,63,0,2949.64,4609.91,0.301715,0.0687851,0.236229,0.318846,0.284048,0.236874,228.695
-2934,0.993086,0.0806217,6,63,0,2947.35,4858.31,0.31138,0.0376902,0.220731,0.286484,0.150212,0.145202,198.569
-2936.09,0.999736,0.0806217,5,31,0,2938.06,4906.12,0.309746,0.0312982,0.225653,0.29776,0.130285,0.114486,196.594
-2936.98,1,0.0806217,5,63,0,2940.89,4990.9,0.272875,0.0566842,0.199058,0.229635,0.241784,0.143312,223.11
-2935.25,0.895266,0.0806217,6,63,0,2943.99,5002.47,0.30411,0.0319959,0.191317,0.294866,0.103677,0.144531,207.442
-2930.43,1,0.0806217,5,31,0,2936.55,4955.28,0.301502,0.0468117,0.222501,0.258936,0.132888,0.1303,211.689
-2930.91,0.999225,0.0806217,6,63,0,2936.12,4772.13,0.297684,0.0522213,0.225528,0.301479,0.210087,0.196616,209.709
-2929.89,0.913366,0.0806217,6,63,0,2933.95,4999.45,0.298738,0.0412755,0.208346,0.238016,0.170593,0.128458,211.931
-2931.93,0.764032,0.0806217,4,31,0,2936.45,4982.39,0.297823,0.0450258,0.20568,0.225691,0.185421,0.113241,211.455
-2930.68,0.995729,0.0806217,6,63,0,2933.42,4906.17,0.302473,0.0377296,0.194927,0.271175,0.194831,0.159161,215.426
-2931.27,0.997732,0.0806217,5,31,0,2934.14,4891.22,0.300468,0.0333775,0.195097,0.278996,0.194114,0.193905,219.484
-2931.26,0.997853,0.0806217,6,63,0,2934.52,4917.63,0.292928,0.0581398,0.231986,0.250982,0.179002,0.12689,201.766
-2933.37,0.965513,0.0806217,6,63,0,2935.48,4879.51,0.309769,0.0172243,0.200415,0.288944,0.181852,0.179427,205.822
-2933.76,0.976333,0.0806217,6,63,0,2938.23,4971.11,0.28647,0.0574946,0.223575,0.234855,0.18768,0.120332,226.905
-2933.88,0.999207,0.0806217,5,63,0,2937.46,4992.15,0.272865,0.0392757,0.215696,0.252015,0.196565,0.159073,221.837
-2930.54,0.979019,0.0806217,5,31,0,2936.3,4928.62,0.299639,0.0262763,0.215634,0.245947,0.210781,0.163583,219.64
-2931.89,0.899481,0.0806217,5,31,0,2935.76,5046.58,0.282541,0.0260291,0.21587,0.260718,0.151763,0.114241,208.943
-2930.31,0.97079,0.0806217,6,63,0,2934.43,4948.82,0.289842,0.0242016,0.226417,0.27516,0.177038,0.112499,210.809
-2930.72,0.999397,0.0806217,6,63,0,2933.76,4990.38,0.298474,0.0559004,0.190979,0.225057,0.174985,0.179849,209.608
-2932.19,0.904402,0.0806217,6,63,0,2934.14,4862.07,0.294098,0.03027,0.234439,0.304543,0.19812,0.126593,210.107
-2932.24,0.957783,0.0806217,6,63,0,2937.43,4809.44,0.309431,0.0645596,0.21207,0.27417,0.198844,0.199989,209.757
-2932.86,0.95598,0.0806217,6,63,0,2937.13,5023.58,0.284223,0.0179218,0.216245,0.239976,0.163171,0.148131,206.664
-2932.6,0.99998,0.0806217,6,63,0,2935,5038.45,0.277755,0.0279533,0.211332,0.243787,0.190651,0.106256,208.881
-2934.49,0.999765,0.0806217,6,63,0,2938.05,5052.6,0.298806,0.0622754,0.212476,0.210101,0.125404,0.105625,203.679
-2932.33,0.998568,0.0806217,5,31,0,2937.07,5043.36,0.298074,0.0493499,0.213438,0.225796,0.129421,0.100508,203.715
-2931.69,0.982977,0.0806217,6,63,0,2936.15,4888.22,0.288797,0.0392806,0.191847,0.286436,0.223364,0.205041,216.048
-2933.13,0.877241,0.0806217,5,63,0,2937.03,4943.71,0.288803,0.015086,0.187331,0.301714,0.192875,0.202069,213.294
-2933.31,0.988952,0.0806217,6,63,0,2939.93,4886.18,0.31137,0.0713427,0.221268,0.235583,0.191435,0.0863616,212.267
-2930.49,0.993524,0.0806217,6,63,0,2934.45,4863.76,0.294638,0.0363008,0.215648,0.290281,0.168297,0.21311,211.962
-2930.08,0.898853,0.0806217,6,63,0,2933.14,4960.58,0.30185,0.0537783,0.198834,0.247424,0.188315,0.104463,207.816
-2930.49,0.753207,0.0806217,6,63,0,2934.83,4934.31,0.286049,0.0481333,0.225166,0.282737,0.160221,0.123114,206.467
-2932.29,0.9762,0.0806217,5,63,0,2934.59,5003.98,0.300731,0.0170383,0.191517,0.226724,0.215959,0.173688,215.837
-2929.54,0.970831,0.0806217,5,47,0,2934.21,4930.5,0.289891,0.0434146,0.217132,0.271266,0.170207,0.139783,205.68
-2931.25,0.943327,0.0806217,5,31,0,2932.1,4997.17,0.294708,0.0339603,0.195336,0.221816,0.201676,0.15706,210.856
-2929.78,0.989033,0.0806217,6,63,0,2932.74,4867.96,0.299183,0.0482712,0.225755,0.29457,0.162993,0.140759,209.697
-2931.27,0.995272,0.0806217,5,31,0,2932.15,4853.43,0.300575,0.0477941,0.23347,0.301437,0.148189,0.140672,205.672
-2932.13,0.999942,0.0806217,5,63,0,2933.87,4841.25,0.298101,0.0601205,0.244945,0.290672,0.151363,0.115807,214.315
-2931.4,0.960507,0.0806217,6,63,0,2934.56,4912.24,0.30112,0.0341349,0.193724,0.258441,0.230908,0.177294,202.882
