# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ppf0sojl.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121257_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0822491
# Diagonal elements of inverse mass matrix:
# 4102.66, 6.53477e-005, 0.000208433, 0.000208409, 0.000613552, 0.000754002, 0.00153634, 0.000950416
-3508.68,0.97786,0.0822491,6,63,0,3511.46,5116.62,0.314792,0.0436603,0.170651,0.224034,0.149212,0.00973944,205.466
-3513.99,0.889937,0.0822491,5,31,0,3517.16,5152.79,0.308751,0.0603678,0.166379,0.20007,0.0910912,0.0851045,194.413
-3508.25,1,0.0822491,5,31,0,3515.66,5080.82,0.31756,0.061255,0.164081,0.231017,0.110986,0.0691684,206.891
-3506.79,0.952825,0.0822491,5,31,0,3511.99,5032.45,0.311174,0.0502186,0.197628,0.245861,0.125586,0.0253587,203.461
-3510.77,0.930549,0.0822491,5,31,0,3512.1,5009.01,0.317453,0.0212582,0.188673,0.29691,0.129868,0.0409982,214.599
-3509.28,0.996727,0.0822491,5,31,0,3511.93,5045.52,0.301445,0.0731523,0.190602,0.237665,0.134015,0.0563797,202.809
-3508.6,0.973753,0.0822491,6,63,0,3511.7,5019.66,0.321106,0.0264543,0.189024,0.260639,0.140216,0.0416835,213.894
-3507.53,0.996528,0.0822491,5,63,0,3515.92,5048.19,0.313825,0.0334808,0.190832,0.26803,0.131044,0.00416105,210.13
-3507.59,0.950758,0.0822491,5,63,0,3508.92,4999.51,0.310559,0.0634326,0.178453,0.245675,0.137578,0.0982303,205.826
-3510.25,0.837648,0.0822491,5,63,0,3512.16,4947.46,0.309135,0.0675584,0.18417,0.26055,0.148129,0.0916942,202.078
-3517.39,0.975982,0.0822491,6,63,0,3520.44,4985.3,0.31841,0.0464234,0.211248,0.282444,0.128806,-0.0441404,231.639
-3514.09,0.957036,0.0822491,5,63,0,3520.73,4968.97,0.313518,0.0439205,0.2162,0.276915,0.11619,0.0352045,230.055
-3508.34,0.980919,0.0822491,5,63,0,3517.08,4967.9,0.305665,0.0557539,0.173998,0.290319,0.151527,0.087176,206.961
-3509.43,0.914996,0.0822491,6,63,0,3513.3,5096.19,0.313313,0.0490754,0.16589,0.27078,0.097183,0.00891625,215.618
-3507.29,0.999828,0.0822491,6,63,0,3511.5,4957.5,0.313848,0.0621313,0.196437,0.251065,0.147276,0.0855509,203.492
-3510.09,0.999355,0.0822491,5,31,0,3512,4948.38,0.311915,0.0724568,0.204622,0.250043,0.107864,0.115424,210.862
-3511.04,0.92065,0.0822491,5,31,0,3514.69,4983.99,0.298483,0.0730626,0.2129,0.258094,0.107096,0.0742685,208.79
-3511.02,0.953147,0.0822491,6,63,0,3513.65,5064.41,0.324474,0.0291035,0.166374,0.255835,0.153884,0.0211749,206.55
-3511.12,0.999545,0.0822491,5,63,0,3515.68,5105.98,0.299842,0.0534866,0.169292,0.24131,0.0899658,0.12126,210.017
-3508.34,0.940231,0.0822491,5,31,0,3514.16,5121.29,0.304555,0.0489509,0.176052,0.250462,0.0939187,0.0391809,199.328
-3509.41,0.999217,0.0822491,6,63,0,3511.36,4925,0.315079,0.0445188,0.194033,0.31872,0.126394,0.0532271,210.477
-3510.26,0.943439,0.0822491,6,63,0,3515.57,5150.16,0.306463,0.0431379,0.169139,0.199865,0.153869,0.048564,204.977
-3510.82,0.933686,0.0822491,6,63,0,3513.9,5161.4,0.297622,0.0498073,0.170344,0.225246,0.0995939,0.0568101,214.709
-3511.42,0.870713,0.0822491,6,63,0,3517.63,5002.47,0.32006,0.0678696,0.157453,0.264349,0.165513,0.04357,202.132
-3510.33,0.99871,0.0822491,6,63,0,3514.84,5004.78,0.304488,0.0398459,0.223778,0.25717,0.112831,0.0626696,212.7
-3512.2,0.974845,0.0822491,5,31,0,3516.28,4992.03,0.29832,0.0283677,0.209668,0.26787,0.126613,0.128192,209.116
-3513.65,0.847648,0.0822491,4,15,0,3515.54,5010.09,0.295434,0.0249306,0.211891,0.262365,0.125171,0.124926,206.8
-3514.32,0.946757,0.0822491,5,31,0,3517.02,4996.85,0.299211,0.0170692,0.21839,0.258941,0.13397,0.111466,208.737
-3508.19,1,0.0822491,5,31,0,3516.1,5062.38,0.309351,0.0633705,0.168805,0.240512,0.13204,0.0447209,213.069
-3507.88,0.998929,0.0822491,6,63,0,3509.68,5061.69,0.306888,0.0584232,0.174094,0.232535,0.129167,0.0798629,203.539
-3512.57,0.983643,0.0822491,5,47,0,3522.64,5134.68,0.307299,0.0411196,0.193234,0.247092,0.104459,-0.0323297,222.98
-3510.8,0.810007,0.0822491,6,63,0,3516.94,4949.35,0.313681,0.0645488,0.188468,0.257095,0.142379,0.127755,200.578
-3512.47,1,0.0822491,5,31,0,3516.22,4881.74,0.309278,0.056769,0.194548,0.292409,0.133908,0.148957,209.802
-3513.24,0.999424,0.0822491,5,63,0,3517.61,4982.38,0.325116,0.0602029,0.215755,0.216751,0.145648,-0.0159802,215.132
-3506.49,0.963631,0.0822491,5,31,0,3514.57,5016.92,0.318074,0.0488951,0.196039,0.247706,0.133623,0.0201168,206.443
-3508.32,0.727994,0.0822491,4,31,0,3518.27,5039.83,0.30564,0.0456045,0.19894,0.271937,0.120683,0.00561773,215.448
-3509.02,0.999574,0.0822491,6,63,0,3512.97,5032.05,0.312409,0.0225312,0.182298,0.264288,0.154896,0.0691451,201.278
-3510.19,0.980037,0.0822491,5,63,0,3512,5094.47,0.309147,0.0647038,0.196945,0.237234,0.0869443,-0.0112388,215.447
-3508.82,0.998531,0.0822491,5,31,0,3512.03,5110.7,0.311729,0.0471933,0.195906,0.233048,0.0850366,0.0146184,214.688
-3508.27,0.996154,0.0822491,5,31,0,3512.86,5019.01,0.312607,0.0557442,0.193711,0.272737,0.0788796,0.0664193,204.63
-3508.9,0.966868,0.0822491,6,63,0,3511.41,5083.66,0.310586,0.0441614,0.178613,0.223752,0.173711,0.0204285,209.993
-3510.74,0.997607,0.0822491,6,63,0,3512.75,5031.77,0.30585,0.0536677,0.182823,0.219955,0.193371,0.0505186,215.553
-3509.21,0.991606,0.0822491,6,63,0,3513.99,4991.06,0.311218,0.07079,0.16286,0.26796,0.154853,0.0638097,202.529
-3509.53,0.999976,0.0822491,6,63,0,3514.14,5034.38,0.315381,0.0154113,0.190734,0.281882,0.114928,0.0572002,206.617
-3509.97,0.888551,0.0822491,6,63,0,3514.42,5047.01,0.312037,0.0268191,0.174298,0.273022,0.113285,0.0830872,215.047
-3508.82,0.968786,0.0822491,5,31,0,3512.82,5045.46,0.317073,0.0340946,0.181655,0.266276,0.107204,0.0380104,211.25
-3513.57,0.879565,0.0822491,5,31,0,3515.66,5112.97,0.321441,0.0358437,0.179608,0.263588,0.0907133,-0.00535628,198.824
-3513.78,0.998932,0.0822491,5,31,0,3515.52,5123.64,0.316721,0.0351809,0.184193,0.271291,0.0821464,-0.017276,200.391
-3519.37,0.783648,0.0822491,3,11,0,3520.42,5109.38,0.317465,0.0272691,0.182111,0.266791,0.0741299,-0.0263425,198.701
-3518.92,1,0.0822491,5,63,0,3522.56,5136.41,0.315265,0.025779,0.185677,0.279203,0.0850948,-0.0200633,198.472
-3510.98,0.993284,0.0822491,5,31,0,3522.92,5109.47,0.31,0.0409476,0.192471,0.27416,0.0676075,-0.0186967,208.454
-3510.62,0.982124,0.0822491,6,63,0,3513.81,4974.84,0.312095,0.0569455,0.176286,0.231657,0.186505,0.116046,207.109
-3508.47,0.99556,0.0822491,5,31,0,3514.12,5033.71,0.30831,0.0412451,0.165784,0.257528,0.165801,0.0829088,207.714
-3507.73,0.973432,0.0822491,5,63,0,3510.72,4967.18,0.305942,0.0511681,0.185469,0.294858,0.15047,0.0630892,211.663
-3511.39,0.994489,0.0822491,6,63,0,3513.98,5156.85,0.317887,0.063042,0.161888,0.194785,0.111243,0.0299661,203.297
-3506.6,0.985376,0.0822491,6,63,0,3513.07,5078.19,0.314198,0.0428771,0.186971,0.247027,0.11999,0.0137686,205.547
-3508.5,0.993809,0.0822491,5,31,0,3509.41,5021.46,0.31135,0.0469414,0.175268,0.237492,0.161806,0.107067,209.637
-3507.58,0.970478,0.0822491,5,63,0,3513.6,5031.47,0.310301,0.0453794,0.171693,0.246088,0.161373,0.0852773,207.575
-3511.83,0.988196,0.0822491,5,31,0,3513.94,5005.89,0.31211,0.0653961,0.196099,0.264572,0.160507,-0.0484344,200.035
-3510.02,0.999719,0.0822491,5,31,0,3515.1,4981.62,0.310363,0.0457384,0.191715,0.270762,0.19243,-0.0043872,203.662
-3511.05,0.882415,0.0822491,6,63,0,3515.88,5021.55,0.297816,0.0801557,0.2016,0.248285,0.110887,0.0429757,212.542
-3512.2,0.983725,0.0822491,5,31,0,3516.59,5044.23,0.286838,0.0530516,0.204055,0.253672,0.145362,0.0577152,206.833
-3510.12,0.999244,0.0822491,5,63,0,3519.82,5131.43,0.296871,0.0371313,0.183581,0.226112,0.160256,0.0192494,210.79
-3508.58,0.968165,0.0822491,5,31,0,3513.86,5021.8,0.310557,0.0515296,0.196344,0.289372,0.0903011,0.0218516,210.698
-3511.53,0.87305,0.0822491,5,31,0,3515.58,5057.4,0.318472,0.0469976,0.158143,0.291004,0.0799733,0.0772804,210.153
-3506.36,0.995184,0.0822491,5,31,0,3513.09,5048.55,0.311991,0.0555535,0.175794,0.244576,0.129435,0.0672841,210.214
-3509.14,0.855156,0.0822491,5,31,0,3513.17,4963.29,0.316847,0.0623833,0.184171,0.263946,0.173075,0.0167528,199.091
-3507.3,0.9932,0.0822491,5,31,0,3510.41,4930.73,0.316426,0.0668794,0.193923,0.276922,0.13823,0.0663179,208.707
-3507.21,0.999254,0.0822491,5,63,0,3509.51,5067.51,0.312525,0.0332816,0.189779,0.260414,0.113233,0.0339841,201.757
-3508.82,0.99982,0.0822491,5,31,0,3509.82,5088.45,0.303085,0.0230853,0.183245,0.267226,0.118741,0.0689838,204.104
-3510.92,0.902806,0.0822491,6,63,0,3515.17,5056.5,0.327222,0.0568603,0.168888,0.220669,0.107795,0.065702,212.715
-3510.79,0.966954,0.0822491,5,31,0,3513.35,5076.39,0.324231,0.0651725,0.165138,0.216941,0.108614,0.0656313,215.176
-3508.69,0.883471,0.0822491,5,31,0,3515.74,5120.75,0.303083,0.056628,0.189134,0.218794,0.132769,0.000491216,211.154
-3508.47,0.943217,0.0822491,6,63,0,3516.47,4983.89,0.320103,0.0383634,0.180579,0.291305,0.121739,0.0727573,206.383
-3507.78,0.971039,0.0822491,6,63,0,3510.67,5080.68,0.309752,0.0619974,0.194569,0.222923,0.121398,0.0139345,203.795
-3510.26,0.993633,0.0822491,5,31,0,3512.17,5147.7,0.311979,0.0461187,0.147151,0.257804,0.105351,0.0218354,207.687
-3510.44,0.995811,0.0822491,5,31,0,3513.29,5159.45,0.310946,0.0283994,0.164248,0.243221,0.123925,0.0107323,217.032
-3509.72,0.999356,0.0822491,6,63,0,3513.76,5113.2,0.304602,0.0339107,0.162589,0.258499,0.152161,0.0274339,215.196
-3507.14,0.95195,0.0822491,5,31,0,3512.3,5037.31,0.306337,0.0682666,0.179828,0.239645,0.151292,0.0463752,206.593
-3511.27,0.905547,0.0822491,5,31,0,3512.82,5021.74,0.301378,0.054259,0.177642,0.232536,0.195338,0.0938029,204.383
-3509.08,0.999904,0.0822491,5,31,0,3512.95,5023.21,0.302006,0.0479577,0.186568,0.247841,0.170765,0.0742337,198.541
-3508.83,0.970565,0.0822491,6,63,0,3511.43,5048.86,0.308655,0.0471183,0.175188,0.252709,0.141094,0.0794288,195.965
-3506.68,0.998393,0.0822491,5,31,0,3509.86,4994.72,0.308206,0.0553626,0.190197,0.257836,0.147772,0.0525764,211.665
-3508.37,0.998421,0.0822491,5,31,0,3509.16,5047.41,0.315383,0.0383083,0.164765,0.275502,0.131054,0.066344,204.466
-3507.67,0.999549,0.0822491,6,63,0,3509.28,5023.33,0.309018,0.0614268,0.207605,0.227175,0.13026,0.0382651,208.957
-3508.86,0.905147,0.0822491,6,63,0,3512.62,5057.28,0.313128,0.0409959,0.158855,0.275565,0.130741,0.0470492,206.989
-3508.27,0.996843,0.0822491,5,63,0,3512.65,5000.54,0.309222,0.0774766,0.186855,0.248531,0.133754,0.0328909,205.842
-3507.88,0.989156,0.0822491,6,63,0,3510.51,5030.4,0.316008,0.0459532,0.183065,0.26005,0.113253,0.0829828,212.585
-3508.28,0.999503,0.0822491,5,31,0,3509.47,5009.04,0.318349,0.0411931,0.186179,0.263845,0.10345,0.103626,210.701
-3507.85,0.996154,0.0822491,6,63,0,3510.5,5113.97,0.310692,0.0448791,0.185063,0.247282,0.112413,-0.0107227,205.913
-3509.1,0.784966,0.0822491,5,31,0,3511.39,5116.7,0.312018,0.0461052,0.184743,0.239497,0.115531,0.00817516,209.443
-3507.38,0.99836,0.0822491,6,63,0,3510.72,4999.36,0.310298,0.0567525,0.18277,0.263239,0.142801,0.0838425,205.724
-3507.63,0.979384,0.0822491,5,31,0,3508.79,4986.29,0.310291,0.0564882,0.180471,0.262653,0.144705,0.0679209,207.521
-3507.06,0.885185,0.0822491,4,31,0,3510.91,4986.38,0.31117,0.0576238,0.183166,0.257179,0.144235,0.0693363,207.36
-3507.29,0.974959,0.0822491,5,63,0,3508.56,5041.01,0.31201,0.0470657,0.178717,0.246917,0.117624,0.0835861,209.075
-3507.72,0.99822,0.0822491,5,31,0,3509.73,5027.14,0.318638,0.0562385,0.193573,0.243487,0.127887,-0.00116162,203.675
-3507.89,0.938681,0.0822491,5,63,0,3511.69,5061.02,0.314692,0.0640464,0.179964,0.240544,0.111809,0.015274,203.245
-3507.82,0.984883,0.0822491,6,63,0,3510.09,4985,0.308304,0.0356121,0.190701,0.278419,0.150781,0.0830588,212.728
-3508.77,0.893253,0.0822491,5,63,0,3512.11,4999.93,0.306726,0.0356968,0.18329,0.27664,0.140439,0.0893154,215.012
-3507.89,0.998359,0.0822491,5,63,0,3511.85,5067.14,0.311411,0.053643,0.169302,0.251166,0.1266,0.0653606,215.478
-3508.63,0.994571,0.0822491,5,31,0,3510.77,5085.32,0.314387,0.04101,0.164245,0.271804,0.126506,0.0183963,212.292
-3507.36,0.99458,0.0822491,5,31,0,3510.69,5006.19,0.301115,0.059043,0.191767,0.264507,0.140365,0.0643968,202.104
-3507.54,0.971159,0.0822491,5,63,0,3509.7,5049.98,0.304996,0.0465264,0.203022,0.259954,0.111921,0.017188,204.23
-3507.83,0.988699,0.0822491,5,31,0,3510.18,5032.66,0.319852,0.045894,0.201373,0.22378,0.131963,0.0402523,211.059
-3507.38,0.984526,0.0822491,6,63,0,3508.87,5032.07,0.316273,0.0413316,0.199073,0.225057,0.145152,0.0438424,207.782
-3508.25,0.964635,0.0822491,6,63,0,3511.62,5082.5,0.305777,0.0405854,0.162739,0.261307,0.132342,0.0846306,206.648
-3510.63,0.983047,0.0822491,5,31,0,3515.4,5008.88,0.32122,0.0551838,0.211459,0.251931,0.068994,0.0480728,212.408
-3509.98,0.978216,0.0822491,6,63,0,3514.35,5017.09,0.309254,0.039919,0.166474,0.274834,0.186737,0.0382189,212.538
-3510.84,0.903711,0.0822491,5,31,0,3517.94,5037.02,0.303801,0.0665784,0.202449,0.257014,0.0829179,0.0661717,199.912
-3510.8,0.996873,0.0822491,6,63,0,3515.16,4934.45,0.318824,0.0420944,0.185609,0.278911,0.195555,0.0302925,215.594
-3506.4,0.987992,0.0822491,5,31,0,3513.31,5004.88,0.308621,0.0553794,0.195324,0.242472,0.141834,0.0707781,205.09
-3507.61,0.85107,0.0822491,5,31,0,3509.51,5016.15,0.304834,0.0583815,0.198185,0.240328,0.134966,0.0787516,201.43
-3509.34,0.929773,0.0822491,5,63,0,3513.02,5002.33,0.308926,0.0775747,0.171169,0.282879,0.116387,0.0504018,202.502
-3506.95,0.954537,0.0822491,5,31,0,3510.95,5000.54,0.307603,0.0536969,0.187721,0.265355,0.119464,0.0878604,209.557
-3509.17,0.973168,0.0822491,5,31,0,3510.51,5045.66,0.29828,0.0357887,0.195192,0.252153,0.134042,0.0900237,212.938
-3508.59,0.999375,0.0822491,5,63,0,3511.63,5069.09,0.297502,0.0414399,0.195138,0.251337,0.125774,0.072567,212.601
-3508.72,0.994847,0.0822491,5,31,0,3511.27,5071.28,0.301302,0.0480309,0.202142,0.247252,0.132256,-0.00725526,208.945
-3508.6,0.954841,0.0822491,5,63,0,3510.88,5078.72,0.301392,0.0472718,0.202727,0.246253,0.133715,-0.00416628,208.471
-3510.45,0.934101,0.0822491,5,31,0,3512.78,5086.06,0.29891,0.0455084,0.209618,0.225336,0.146728,0.00193263,204.993
-3510.13,0.999665,0.0822491,6,63,0,3514.45,5017.87,0.319403,0.0197228,0.190136,0.28507,0.1167,0.0490459,215.796
-3507.25,0.99955,0.0822491,6,63,0,3511.76,4983.85,0.317797,0.0461025,0.19152,0.269663,0.128373,0.0600324,215.675
-3507.93,0.996106,0.0822491,6,63,0,3509.53,5097.34,0.304058,0.0593933,0.183164,0.229978,0.132067,0.0247522,200.122
-3509.35,0.996377,0.0822491,5,31,0,3512.21,5088.75,0.315472,0.0325644,0.167899,0.27932,0.119747,0.00198837,205.02
-3511.28,0.995154,0.0822491,5,31,0,3513.2,5071.99,0.308667,0.0175354,0.171249,0.297876,0.133487,0.0176919,208.992
-3510.7,0.993134,0.0822491,6,63,0,3515.14,5025.43,0.310815,0.086543,0.198453,0.214904,0.120884,0.0348251,204.418
-3507.43,0.991903,0.0822491,5,31,0,3512.66,5015.95,0.313391,0.0539595,0.189446,0.225304,0.14007,0.0919746,206.436
-3507.3,0.966258,0.0822491,5,31,0,3510.92,5039.51,0.29971,0.052997,0.192108,0.256569,0.138832,0.0549529,202.792
-3509.65,0.998501,0.0822491,5,31,0,3512.32,4980.64,0.304702,0.0404952,0.197044,0.282876,0.183196,0.0112734,204.931
-3506.84,0.976809,0.0822491,5,31,0,3510.69,4984.94,0.305667,0.0544174,0.193843,0.259513,0.144237,0.0830611,210.752
-3510.9,0.866291,0.0822491,5,31,0,3514.1,4964.38,0.31001,0.0493274,0.181351,0.286799,0.106071,0.141097,213.439
-3509.34,0.953347,0.0822491,5,31,0,3515.68,5032.75,0.302521,0.0614651,0.187486,0.247576,0.179606,0.00836854,203.54
-3510.87,0.80657,0.0822491,5,31,0,3513.48,5025.73,0.29941,0.0604262,0.19272,0.266021,0.176461,-0.00597308,207.461
-3510.46,0.89683,0.0822491,5,31,0,3515.14,4989.09,0.308918,0.0671483,0.171176,0.26331,0.162322,0.0377658,203.832
