# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ppf0sojl.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121257_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0868229
# Diagonal elements of inverse mass matrix:
# 3217.74, 6.50152e-005, 0.000222179, 0.000199579, 0.00046653, 0.000776699, 0.00118546, 0.00108308
-3508.79,0.997359,0.0868229,5,63,0,3513.38,5018.06,0.320428,0.0508694,0.204321,0.225056,0.11455,0.0521197,199.833
-3508.9,0.918903,0.0868229,6,63,0,3512.52,4976.22,0.304508,0.0592209,0.177591,0.303024,0.145146,0.0538901,212.588
-3511.2,0.963899,0.0868229,5,31,0,3514.02,4929.86,0.318235,0.0301884,0.213309,0.263158,0.185954,0.0270308,205.903
-3511.14,0.847081,0.0868229,6,63,0,3517.59,4916.42,0.329867,0.0485512,0.202657,0.260995,0.145741,0.0321217,206.874
-3508.26,0.999655,0.0868229,5,31,0,3515.21,4996.9,0.321879,0.0414789,0.197036,0.242296,0.132307,0.0467252,212.188
-3507.82,0.996815,0.0868229,6,63,0,3510.81,5023.74,0.319113,0.055541,0.183691,0.263352,0.100715,0.0300478,212.199
-3511.07,0.975939,0.0868229,5,31,0,3513.09,5024.67,0.303597,0.0815727,0.178515,0.280585,0.106637,0.0108681,204.627
-3512.89,0.91585,0.0868229,6,63,0,3520.27,4913.01,0.325186,0.0273236,0.208047,0.25867,0.164468,0.114427,212.938
-3509.72,0.945892,0.0868229,5,31,0,3516.08,4994.95,0.309152,0.0314874,0.190106,0.288386,0.138331,0.0906786,206.396
-3509.45,0.895975,0.0868229,2,7,0,3511.96,4996.88,0.309278,0.0288773,0.189891,0.288195,0.137357,0.0913514,205.966
-3508.86,0.999746,0.0868229,5,31,0,3511.06,4990.45,0.304386,0.0306887,0.186242,0.288007,0.14768,0.0914447,205.458
-3509.97,0.999671,0.0868229,5,31,0,3511.47,5024.92,0.302627,0.0197003,0.186806,0.276841,0.152958,0.0869256,206.643
-3509.07,0.967577,0.0868229,5,31,0,3512.36,5017.11,0.30605,0.0225656,0.187242,0.27088,0.15546,0.0901053,206.56
-3509.23,0.99023,0.0868229,5,63,0,3512.77,4910.18,0.319864,0.0524401,0.205942,0.274747,0.114595,0.110923,208.29
-3515.05,0.93304,0.0868229,5,31,0,3521.38,4858.23,0.304831,0.057885,0.23276,0.27727,0.139507,0.112127,219.119
-3512.68,0.995993,0.0868229,5,31,0,3522.7,4953.04,0.31017,0.058772,0.214485,0.235617,0.16182,0.0770366,225.104
