# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\n0il42x4.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121308_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0862805
# Diagonal elements of inverse mass matrix:
# 3606.1, 5.9515e-005, 0.000217336, 0.000197195, 0.000515153, 0.000578061, 0.00104219, 0.000712043
-4079.88,0.769727,0.0862805,5,31,0,4086.38,4930.06,0.30069,0.055764,0.203097,0.222231,0.195775,0.197183,208.707
-4082.28,0.993664,0.0862805,5,31,0,4087.67,4903.16,0.318169,0.0620229,0.168595,0.248872,0.189107,0.205483,203.41
-4082.01,0.999301,0.0862805,6,63,0,4087.32,4865.15,0.308526,0.0594414,0.221746,0.242752,0.19819,0.141673,192.312
-4080.35,0.970333,0.0862805,5,31,0,4084.53,4894.58,0.30938,0.0433013,0.210464,0.24913,0.194232,0.128569,195.709
-4080.56,0.992925,0.0862805,5,63,0,4082.58,4869.21,0.311348,0.0545734,0.219429,0.24516,0.183783,0.138405,192.56
-4079.89,0.981828,0.0862805,5,63,0,4082.42,4952.85,0.309828,0.0533143,0.187651,0.242724,0.14997,0.174464,215.681
-4078.73,0.989028,0.0862805,5,63,0,4082.37,4986.8,0.302453,0.0422853,0.211401,0.207946,0.175989,0.162405,203.807
-4079.5,0.938788,0.0862805,6,63,0,4081.79,4902.54,0.300718,0.0500424,0.209623,0.241669,0.195373,0.159378,201.65
-4080.31,0.97306,0.0862805,5,63,0,4083.84,4977.8,0.297315,0.0607861,0.208074,0.237346,0.157309,0.105853,207.404
-4080.77,0.994616,0.0862805,6,63,0,4083.79,4919.05,0.319476,0.0522119,0.173384,0.253069,0.183878,0.179864,206.995
-4082.43,0.997047,0.0862805,6,63,0,4086.58,4910.76,0.299511,0.0479055,0.229755,0.225867,0.199699,0.122575,200.146
-4079.78,0.788344,0.0862805,5,63,0,4088.24,4998.69,0.300403,0.048875,0.219525,0.208481,0.137635,0.162819,203.355
-4078.25,0.945752,0.0862805,5,31,0,4081.7,4999.31,0.30636,0.0491635,0.206557,0.209849,0.149447,0.137251,203.792
-4079.92,0.962123,0.0862805,6,63,0,4085.05,4859.44,0.309711,0.0575067,0.195468,0.268966,0.187385,0.198126,206.117
-4079.49,0.947327,0.0862805,5,31,0,4082.49,4875.24,0.312413,0.060404,0.202395,0.250614,0.174972,0.196373,202.675
-4082.04,0.750691,0.0862805,3,15,0,4085.03,4849.45,0.312986,0.0576352,0.20546,0.255062,0.178399,0.222771,204.188
-4080.67,0.973463,0.0862805,5,63,0,4086.85,4972.61,0.297796,0.0497202,0.216056,0.213231,0.150117,0.190446,211.368
-4080.72,0.999787,0.0862805,6,63,0,4082.57,4916.53,0.320888,0.0524073,0.177894,0.2558,0.183868,0.14173,198.018
-4079.4,0.937264,0.0862805,6,63,0,4084.17,4977.01,0.313517,0.0606406,0.205651,0.203425,0.135918,0.149664,204.61
-4078.2,0.566515,0.0862805,5,63,0,4087.79,4954.74,0.317869,0.0541667,0.197452,0.220411,0.143391,0.168039,203.154
-4081.64,0.989641,0.0862805,5,31,0,4083.17,4905.05,0.303239,0.0455137,0.209818,0.273475,0.129235,0.197342,198.499
-4080.3,0.826647,0.0862805,5,31,0,4086.81,4956.87,0.313142,0.0742848,0.195441,0.20393,0.151291,0.154822,205.772
-4081.07,0.999901,0.0862805,5,31,0,4084.76,4954.26,0.313176,0.0221849,0.220145,0.218659,0.179773,0.154634,206.83
-4078.95,0.999952,0.0862805,5,31,0,4083.38,4868.74,0.311958,0.0776935,0.205479,0.23363,0.179895,0.170001,203.177
-4078.13,0.955898,0.0862805,5,31,0,4080.35,4893.08,0.306852,0.0614365,0.198132,0.25806,0.175261,0.154828,207.353
-4079.34,0.977965,0.0862805,6,63,0,4080.45,4870.43,0.309182,0.0586863,0.226481,0.252296,0.163871,0.145293,208.071
-4081.52,0.99887,0.0862805,5,31,0,4083.35,4826.27,0.318485,0.0754327,0.192257,0.239861,0.204415,0.187803,202.846
-4079.2,0.977902,0.0862805,5,31,0,4083.93,4882.23,0.313427,0.0623329,0.203287,0.256221,0.158669,0.160041,213.731
-4078.4,0.977205,0.0862805,5,31,0,4081.39,4923.23,0.314936,0.0487581,0.204512,0.22363,0.154088,0.202185,207.011
-4079.67,0.944239,0.0862805,5,31,0,4082.09,4914.12,0.310995,0.0688049,0.19692,0.230919,0.151998,0.191366,213.505
-4079.4,0.981542,0.0862805,6,63,0,4082.51,4974.04,0.312142,0.0415768,0.199292,0.20791,0.150998,0.213989,201.409
-4078.88,0.999388,0.0862805,5,31,0,4083.2,4947.77,0.304681,0.0630227,0.202056,0.26046,0.147732,0.113513,204.82
-4078.91,0.996213,0.0862805,5,31,0,4081.91,4975.96,0.302911,0.0675636,0.201163,0.233144,0.16101,0.107993,201.347
-4080.35,0.986922,0.0862805,5,31,0,4084.2,4977.44,0.31059,0.062345,0.205413,0.206617,0.119716,0.184509,199.36
-4080.41,0.994701,0.0862805,6,63,0,4082.96,5022.86,0.303308,0.0328868,0.180993,0.240575,0.186953,0.123052,209.948
-4079.7,0.803339,0.0862805,4,31,0,4087.77,4983.5,0.316718,0.0595978,0.192896,0.209179,0.138369,0.149456,202.1
