# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\n0il42x4.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121308_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0722449
# Diagonal elements of inverse mass matrix:
# 3178.5, 5.22545e-005, 0.000195935, 0.000198112, 0.000518553, 0.000586879, 0.00110189, 0.000714047
-4079.24,0.774835,0.0722449,5,63,0,4091.04,4926.05,0.322422,0.0543922,0.202718,0.237475,0.143461,0.141808,204.061
-4080.2,0.970697,0.0722449,6,63,0,4082.86,5002.09,0.293876,0.0421186,0.195756,0.232392,0.174701,0.1791,203.58
-4078.03,0.999933,0.0722449,5,31,0,4081.32,4969.74,0.304314,0.0447686,0.194798,0.24854,0.150361,0.157093,207.928
-4077.42,0.996088,0.0722449,5,63,0,4080.46,4931.16,0.30733,0.0482751,0.196179,0.247241,0.163193,0.190223,201.554
-4078.28,0.983548,0.0722449,6,63,0,4081.01,4910.72,0.30662,0.067248,0.213164,0.229688,0.176961,0.135427,207.982
-4078.45,0.959353,0.0722449,6,63,0,4079.99,4908.12,0.307041,0.0631368,0.21411,0.228984,0.179852,0.133636,208.292
-4080.83,0.997653,0.0722449,6,63,0,4084.44,5031.69,0.313193,0.0309883,0.19218,0.207341,0.132336,0.200707,203.274
-4081.19,0.935156,0.0722449,6,63,0,4084.53,4871.34,0.304133,0.0728605,0.205718,0.264287,0.198903,0.10371,205.284
-4079.64,0.999805,0.0722449,6,63,0,4085.74,4940.43,0.316946,0.0335829,0.207171,0.227061,0.145892,0.199906,203.15
-4081.12,0.965354,0.0722449,6,63,0,4086.93,4961.79,0.30028,0.0668597,0.201671,0.249393,0.173365,0.0825533,208.892
-4078.75,0.987627,0.0722449,5,63,0,4084.76,4920.65,0.319473,0.0401691,0.204401,0.248787,0.16068,0.134221,208.294
-4077.85,0.994088,0.0722449,6,63,0,4082.18,4978.9,0.312211,0.0580134,0.189604,0.235546,0.143342,0.144988,206.837
-4081.18,0.988298,0.0722449,5,31,0,4083.27,4984.49,0.317769,0.0421228,0.186054,0.223418,0.134321,0.198372,195.078
-4081.21,0.998222,0.0722449,6,63,0,4083.41,4928.6,0.297956,0.0587557,0.210558,0.245244,0.192296,0.118848,214.218
