# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6wt8q_gk.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121320_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0770291
# Diagonal elements of inverse mass matrix:
# 2984.76, 5.42167e-005, 0.000147626, 0.000174055, 0.000502388, 0.000529203, 0.000925581, 0.000654882
-4667.66,0.999809,0.0770291,6,63,0,4671.1,4817.29,0.303034,0.0679566,0.228579,0.261178,0.149789,0.20817,211.444
-4666.9,0.968211,0.0770291,6,63,0,4669.66,4884.29,0.309591,0.0524081,0.205092,0.256069,0.173949,0.162523,205.154
-4669.92,0.958965,0.0770291,5,31,0,4671.75,4805.15,0.299606,0.0662594,0.216227,0.279455,0.184129,0.17613,196.675
-4670.01,1,0.0770291,6,63,0,4673.94,4949.6,0.310332,0.050496,0.217532,0.236106,0.104663,0.170375,216.409
-4668.8,0.999476,0.0770291,5,63,0,4672.97,4927.73,0.300602,0.0464251,0.21349,0.268001,0.139275,0.128014,217.296
-4670.17,0.999158,0.0770291,5,63,0,4673.56,4833.65,0.311865,0.0584184,0.230754,0.280562,0.143741,0.110684,214.85
-4669.35,0.988333,0.0770291,6,63,0,4673.02,4849.95,0.300933,0.0465708,0.222848,0.242434,0.182112,0.223072,200.099
-4666.4,0.943752,0.0770291,5,63,0,4671.74,4935.08,0.298053,0.0438164,0.217141,0.247277,0.138588,0.193742,206.024
-4666.4,0.999987,0.0770291,6,63,0,4667.52,4893.67,0.300455,0.0733543,0.216876,0.25526,0.147594,0.143893,205.262
-4666.19,0.915912,0.0770291,6,63,0,4669.59,4935.81,0.302811,0.0488443,0.210358,0.259591,0.126409,0.173852,203.241
