# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6wt8q_gk.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121320_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0877241
# Diagonal elements of inverse mass matrix:
# 3217.81, 5.25796e-005, 0.000167496, 0.000180258, 0.000480088, 0.000561164, 0.0009548, 0.000607363
-4668.77,0.999349,0.0877241,6,63,0,4672.27,4875.33,0.312198,0.0722458,0.222701,0.234394,0.15444,0.138691,205.924
-4671,0.998226,0.0877241,5,31,0,4674.19,4994.34,0.282779,0.0562388,0.197332,0.255433,0.142316,0.178371,212.111
-4668.02,0.91992,0.0877241,5,31,0,4673.56,4963.72,0.293801,0.0534649,0.197503,0.260846,0.154524,0.159513,211.073
-4669.56,0.964141,0.0877241,5,31,0,4671.59,4967.44,0.289652,0.0417224,0.212834,0.244617,0.170672,0.161394,211.833
-4665.81,1,0.0877241,5,31,0,4670.1,4965.28,0.304217,0.0480983,0.208737,0.237386,0.132741,0.154857,202.896
-4666.16,0.946032,0.0877241,6,63,0,4667.38,4867.03,0.298534,0.0574434,0.218637,0.261471,0.151744,0.189004,208.911
-4668.63,0.797846,0.0877241,5,31,0,4670.01,4867.79,0.299689,0.0596912,0.224104,0.263628,0.145927,0.200627,208.618
-4665.84,0.995718,0.0877241,6,63,0,4670.33,4936.72,0.304198,0.0476112,0.208068,0.261032,0.145869,0.131224,203.547
-4667.51,0.974629,0.0877241,5,31,0,4667.78,4950.07,0.30398,0.0444441,0.20675,0.268187,0.140757,0.104622,204.285
-4672.23,0.717164,0.0877241,5,31,0,4679.73,4966.67,0.300347,0.0642753,0.194062,0.220753,0.14118,0.194997,193.021
-4666.55,0.979633,0.0877241,5,31,0,4674.14,4910.89,0.301251,0.0443616,0.206914,0.273537,0.158906,0.153143,200.386
-4666.45,0.947981,0.0877241,5,63,0,4668.87,4952.52,0.297331,0.04524,0.202339,0.266992,0.151997,0.145654,204.626
-4669.38,0.810638,0.0877241,5,31,0,4671.34,5007.64,0.296973,0.0447233,0.186626,0.243084,0.145728,0.150797,207.257
-4668.65,0.998239,0.0877241,6,63,0,4672.03,4822.18,0.301999,0.0636255,0.239986,0.260425,0.139276,0.170503,204.317
-4668.18,0.929158,0.0877241,5,31,0,4670.59,4833.73,0.30383,0.0535115,0.220516,0.269446,0.169893,0.15867,204.661
-4666.08,0.997756,0.0877241,6,63,0,4671.17,4914.49,0.299834,0.0581285,0.212064,0.254915,0.12478,0.180545,207.593
-4667.62,0.968221,0.0877241,5,31,0,4669.32,4935.35,0.298034,0.0613248,0.204726,0.270929,0.12313,0.165882,212.314
