# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ap8k1r68.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121332_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0659262
# Diagonal elements of inverse mass matrix:
# 2556.95, 4.2387e-005, 0.000163774, 0.000145683, 0.000398749, 0.000395675, 0.00086207, 0.000620436
-5200.12,0.972165,0.0659262,6,63,0,5203.47,4930.14,0.299597,0.0882595,0.215154,0.251548,0.136332,0.0988704,191.303
-5197.48,0.999149,0.0659262,6,63,0,5202.94,5072.5,0.284851,0.0372785,0.195312,0.2384,0.188133,0.0746622,198.101
-5199.25,0.991091,0.0659262,6,63,0,5203.36,5036.52,0.278882,0.0573938,0.189518,0.242706,0.198813,0.102613,191.412
-5202.41,0.969082,0.0659262,5,63,0,5206.34,4995.02,0.278799,0.0533081,0.18965,0.257703,0.211972,0.126465,189.808
-5201.91,0.999222,0.0659262,6,63,0,5206.92,4981.12,0.302517,0.0666741,0.230532,0.247578,0.128376,0.0286603,200.921
-5202.39,0.98616,0.0659262,5,63,0,5205.4,4987.95,0.299964,0.0651714,0.229234,0.256154,0.127074,0.00768357,200.513
-5199.02,0.982481,0.0659262,5,63,0,5204.73,4991.34,0.29988,0.0631493,0.214444,0.265309,0.123672,0.0414508,199.785
-5198.75,0.999829,0.0659262,6,63,0,5201,4990.92,0.284976,0.0533712,0.203513,0.236208,0.211193,0.105675,188.651
-5197.38,0.899375,0.0659262,6,63,0,5203.51,5024.21,0.297044,0.0535405,0.209031,0.251441,0.154204,0.0179866,191.033
-5195.79,0.999801,0.0659262,6,63,0,5201.55,5008.93,0.284035,0.066374,0.198585,0.246971,0.17132,0.111201,194.529
-5195.33,0.998843,0.0659262,6,63,0,5198.59,5025.85,0.289437,0.0468723,0.220243,0.24634,0.152149,0.0641059,189.926
-5196.69,0.975141,0.0659262,6,63,0,5200.6,4998.7,0.289245,0.0748923,0.188152,0.246052,0.180886,0.103982,194.173
-5197.23,0.999717,0.0659262,6,63,0,5200.66,5110.92,0.288041,0.0501252,0.201132,0.236283,0.120376,0.060755,196.674
-5196.64,0.99144,0.0659262,6,63,0,5200.57,5005.52,0.290593,0.0794743,0.192851,0.237188,0.171547,0.0870851,190.217
-5197.46,0.88962,0.0659262,6,63,0,5200.25,5072.99,0.292585,0.0321314,0.203005,0.247936,0.159518,0.0366741,194.702
-5197.76,0.999555,0.0659262,6,63,0,5201.35,4948.78,0.285648,0.065238,0.208647,0.279753,0.147834,0.125083,193.905
-5199.65,0.952849,0.0659262,5,31,0,5200.96,4941.69,0.28185,0.0680513,0.212034,0.285207,0.146898,0.124595,192.063
-5197.7,0.9992,0.0659262,5,63,0,5204.01,5006.79,0.300969,0.0594786,0.186443,0.252843,0.190753,0.049272,195.689
-5198.07,0.95657,0.0659262,5,31,0,5200.54,4965.62,0.301437,0.0665756,0.187065,0.26423,0.192412,0.0676495,195.097
-5196.89,0.889367,0.0659262,6,63,0,5202.42,4960.91,0.285707,0.066001,0.214832,0.287066,0.166753,0.0540745,197.082
-5197.98,0.9996,0.0659262,6,63,0,5201.14,4994.2,0.289668,0.0768589,0.225702,0.23633,0.166086,0.0356992,196.078
-5197.89,0.914212,0.0659262,5,63,0,5202.86,4999.95,0.297012,0.0368283,0.197488,0.250476,0.189036,0.0896926,198.779
