# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:13:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ap8k1r68.json
# init = 2 (Default)
# random
#   seed = 4250
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121332_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0783542
# Diagonal elements of inverse mass matrix:
# 2694.27, 4.28587e-005, 0.000140357, 0.000163804, 0.000409681, 0.000448138, 0.000749057, 0.000494647
-5200.5,0.680814,0.0783542,5,31,0,5202.94,4958.57,0.296946,0.0563814,0.217315,0.264603,0.134629,0.078283,197.275
-5195.78,0.994368,0.0783542,5,63,0,5203.32,5002.27,0.296585,0.0533744,0.209613,0.262338,0.13535,0.0675564,191.51
-5197.27,0.998193,0.0783542,6,63,0,5199.6,5068.75,0.292246,0.0704153,0.189645,0.214962,0.166523,0.0784075,190.696
-5196.11,0.999991,0.0783542,5,31,0,5198.85,5049.51,0.288259,0.0666021,0.194381,0.22013,0.168547,0.0966228,194.121
-5198.96,0.998515,0.0783542,5,31,0,5201.37,5046.91,0.290338,0.0462734,0.175597,0.261949,0.19447,0.063781,197.789
-5195.86,0.838495,0.0783542,5,31,0,5203.47,4989.88,0.292451,0.063604,0.205281,0.245922,0.181203,0.0882026,198.468
-5196.59,0.985393,0.0783542,6,63,0,5200.28,5032.24,0.287973,0.0475959,0.212075,0.231757,0.157046,0.0972549,190.073
-5195.56,0.996197,0.0783542,5,63,0,5198.5,5010.81,0.288733,0.0497223,0.198413,0.275205,0.17428,0.0673568,194.16
-5195.16,0.998673,0.0783542,6,63,0,5197.33,5001.37,0.294754,0.0638973,0.214358,0.234055,0.165106,0.0754907,192.085
