# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\biijgtbw.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120353_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0788755
# Diagonal elements of inverse mass matrix:
# 31133.1, 0.000305773, 0.00129849, 0.00116797, 0.00358085, 0.0033184, 0.00822359, 0.00500303
-585.973,0.944112,0.0788755,5,31,0,588.946,4268.45,0.313089,0.217256,0.284925,0.314104,0.311255,0.14403,201.256
-585.838,0.935993,0.0788755,5,63,0,591.851,4442.86,0.302664,0.174194,0.256922,0.344626,0.21448,0.0620516,224.564
-581.772,0.97162,0.0788755,6,63,0,588.001,4554.61,0.324555,0.131569,0.159718,0.381611,0.135671,0.291311,170.815
-581.875,0.966349,0.0788755,5,31,0,588.589,4613.23,0.311328,0.140204,0.268366,0.284771,0.106954,0.157608,179.605
-579.693,0.937501,0.0788755,5,31,0,583.531,4628.44,0.319618,0.161332,0.161954,0.331223,0.168207,0.222312,195.053
-583.245,0.998294,0.0788755,5,31,0,584.866,4716.17,0.32313,0.0758024,0.16834,0.324369,0.183684,0.219768,170.622
-580.461,0.949861,0.0788755,6,63,0,584.993,4724.18,0.317688,0.105726,0.184794,0.282031,0.194704,0.162306,192.962
-580.634,0.97665,0.0788755,6,63,0,586.224,4288.75,0.340216,0.169726,0.255296,0.372256,0.090071,0.382099,191.98
-581.469,0.905241,0.0788755,5,63,0,585.954,4423.97,0.313928,0.149121,0.276445,0.304296,0.160061,0.329524,191.561
-582.105,0.99838,0.0788755,5,31,0,584.172,4557.22,0.323871,0.162989,0.161423,0.423077,0.154046,0.152144,189.757
-583.523,0.97164,0.0788755,5,31,0,586.948,4303.68,0.332238,0.186101,0.273027,0.277656,0.17082,0.393973,184.351
-582.374,0.873066,0.0788755,5,63,0,586.189,4509.65,0.297886,0.153142,0.176521,0.432033,0.195486,0.183922,208.551
-581.846,0.952829,0.0788755,5,31,0,585.245,4498.62,0.343285,0.125928,0.257172,0.312991,0.0985118,0.214143,174.415
-579.939,0.97185,0.0788755,5,63,0,584.756,4405.09,0.341334,0.171935,0.254828,0.292845,0.149378,0.24275,188.711
-580.374,0.827005,0.0788755,5,31,0,585.47,4398.79,0.334834,0.170514,0.25644,0.302547,0.147568,0.220286,188.826
-580.076,0.998136,0.0788755,5,63,0,587.046,4047.4,0.349041,0.173276,0.260156,0.428215,0.192855,0.35902,192.799
-579.581,0.9878,0.0788755,5,31,0,583.044,4239.75,0.336073,0.139672,0.260316,0.364703,0.189119,0.367531,194.239
-580.885,0.941021,0.0788755,4,15,0,581.652,4237.27,0.3412,0.133156,0.27045,0.360182,0.178625,0.378887,199.535
-580.296,0.998474,0.0788755,5,63,0,584.458,4213.45,0.335182,0.147817,0.289046,0.360349,0.221557,0.283355,203.198
-583.662,0.947545,0.0788755,5,31,0,585.316,4090.33,0.310669,0.258386,0.262017,0.37001,0.262678,0.271601,209.217
-580.026,0.947458,0.0788755,6,63,0,587.05,4300.79,0.339739,0.114557,0.22562,0.470192,0.121169,0.30201,188.207
-581.097,0.942469,0.0788755,5,63,0,584.572,4594.1,0.322763,0.175322,0.225718,0.241913,0.169168,0.230451,203.726
-578.141,0.959515,0.0788755,5,31,0,582.624,4471.43,0.317006,0.169267,0.22895,0.321467,0.204252,0.195793,191.095
-582.458,0.986603,0.0788755,5,31,0,585.702,4485.87,0.284491,0.210055,0.217257,0.340462,0.225299,0.180907,200.326
-582.648,0.907583,0.0788755,6,63,0,587.661,4680.36,0.322244,0.122791,0.177011,0.318108,0.0633914,0.320053,207.871
-583.59,0.811862,0.0788755,5,31,0,588.447,4614.07,0.334396,0.0982856,0.133513,0.391991,0.16574,0.251836,210.433
-593.713,0.629654,0.0788755,5,31,0,597.737,4658.09,0.324474,0.118851,0.0945004,0.396087,0.173117,0.415922,225.322
-586.879,0.960648,0.0788755,5,31,0,596.731,4658.97,0.315715,0.0987842,0.156539,0.348836,0.115698,0.374,241.373
-586.739,0.999411,0.0788755,5,63,0,591.066,4487.52,0.301904,0.122473,0.173239,0.367128,0.162492,0.50678,230.564
-582.056,0.845098,0.0788755,5,63,0,590.951,4306.63,0.338082,0.169002,0.266776,0.331137,0.260691,0.123459,183.827
-583.58,0.99623,0.0788755,6,63,0,587.061,4367.77,0.296762,0.162809,0.21686,0.439727,0.0807774,0.440439,213.378
-583.52,0.92001,0.0788755,5,63,0,588.495,4467.93,0.295893,0.144124,0.208613,0.446145,0.0863962,0.376441,206.842
-581.836,0.947974,0.0788755,5,63,0,586.999,4255.19,0.324163,0.152133,0.184393,0.454516,0.170593,0.407915,198.301
-581.248,0.9955,0.0788755,5,31,0,587.08,4271.06,0.316343,0.19695,0.197884,0.443098,0.154441,0.334337,217.587
-581.084,0.964498,0.0788755,6,63,0,583.474,4294.07,0.326928,0.202113,0.195535,0.423717,0.139372,0.292805,213.037
-581.453,0.927078,0.0788755,6,63,0,585.47,4388.51,0.320886,0.169852,0.254945,0.336628,0.227735,0.207365,172.547
-579.216,0.732253,0.0788755,5,31,0,584.463,4358.52,0.325054,0.170534,0.239248,0.332749,0.238978,0.220382,174.662
-580.741,0.989048,0.0788755,5,63,0,583.223,4178.02,0.310451,0.176463,0.258372,0.480392,0.107144,0.367746,204.945
-585.13,0.921878,0.0788755,5,63,0,589.379,4175.07,0.289727,0.194057,0.210088,0.438482,0.202153,0.503623,190.014
-586.235,0.996832,0.0788755,5,31,0,591.967,4291.17,0.288055,0.209457,0.194733,0.471569,0.194509,0.276281,180.038
-583.298,0.882314,0.0788755,5,31,0,592.106,4564.7,0.300732,0.165452,0.202234,0.260577,0.158528,0.388493,214.377
-580.915,0.994362,0.0788755,5,63,0,586.144,4396.2,0.290243,0.141625,0.246329,0.405987,0.177131,0.332297,199.184
-581.791,0.978922,0.0788755,5,31,0,585.991,4452.21,0.328208,0.178638,0.212974,0.281207,0.161351,0.356748,219.784
-579.986,0.996487,0.0788755,5,63,0,584.875,4171.17,0.334594,0.187653,0.241474,0.346456,0.228062,0.406843,198.547
-584.134,0.847012,0.0788755,5,63,0,587.329,3961.03,0.31473,0.260682,0.256781,0.399654,0.233596,0.436802,201.652
-583.566,0.905523,0.0788755,5,31,0,586.34,3958.28,0.326676,0.255611,0.253954,0.418957,0.250846,0.442194,208.984
-581.997,0.994762,0.0788755,6,63,0,586.33,4285.64,0.318808,0.220496,0.253769,0.360272,0.180068,0.273005,225.292
-578.115,0.930947,0.0788755,5,63,0,584.416,4431.52,0.325617,0.161722,0.200402,0.372816,0.184685,0.251135,176.27
-581.549,0.978841,0.0788755,6,63,0,584.329,4700.77,0.299697,0.125541,0.210778,0.367273,0.11099,0.112755,210.772
-578.872,0.940628,0.0788755,5,31,0,583.096,4385.47,0.342602,0.129534,0.23155,0.361904,0.15823,0.253975,192.107
-580.712,0.999891,0.0788755,6,63,0,582.521,4063.23,0.315827,0.239784,0.259713,0.446821,0.173714,0.363504,198.234
-578.515,0.994136,0.0788755,5,31,0,581.947,4236.94,0.314976,0.176653,0.237227,0.387206,0.226112,0.34139,198.674
-578.994,0.960201,0.0788755,5,63,0,580.692,4302.7,0.322681,0.172762,0.207329,0.373931,0.237207,0.302811,197.583
-579.509,0.977418,0.0788755,5,31,0,581.514,4366.98,0.318568,0.154709,0.196821,0.355534,0.22904,0.365462,200.341
-580.043,0.998199,0.0788755,6,63,0,581.722,4701.72,0.320535,0.137298,0.213761,0.317718,0.105814,0.0953806,180.515
-581.277,0.925535,0.0788755,6,63,0,583.854,4116.73,0.303466,0.209612,0.292454,0.428364,0.195935,0.3044,211.414
-581.866,0.983086,0.0788755,5,63,0,584.772,4251.17,0.303,0.160796,0.271684,0.342159,0.29881,0.318219,209.809
-584.079,0.992065,0.0788755,5,31,0,585.703,4331.24,0.288723,0.128143,0.28468,0.349261,0.300142,0.269767,194.42
-588.404,0.989263,0.0788755,6,63,0,591.333,4411.98,0.332844,0.06538,0.229794,0.554238,-0.00196724,0.270726,224.572
-585.334,0.70969,0.0788755,5,31,0,595.734,4476.03,0.330789,0.0625398,0.226193,0.487748,0.0724888,0.259174,219.94
-583.464,0.996605,0.0788755,6,63,0,589.43,4567.29,0.312385,0.219639,0.196555,0.256138,0.222962,0.151863,178.558
-586.059,0.972415,0.0788755,5,63,0,590.938,4287.15,0.341727,0.0934317,0.288641,0.499233,-0.007664,0.269777,208.584
-585.043,0.879868,0.0788755,6,63,0,588.974,4410.74,0.319225,0.210177,0.183661,0.270087,0.285305,0.259329,181.886
-581.508,0.999983,0.0788755,5,31,0,588.169,4435.37,0.342168,0.158265,0.20133,0.278262,0.208011,0.307567,185.071
-580.396,0.999551,0.0788755,5,31,0,583.615,4433.21,0.315611,0.140536,0.214857,0.390001,0.244382,0.193066,208.597
-580.698,0.998542,0.0788755,5,63,0,582.188,4522.99,0.312703,0.141316,0.211752,0.375091,0.224274,0.134801,208.358
-580.947,0.997567,0.0788755,6,63,0,584.742,4126.16,0.336026,0.157918,0.25722,0.453201,0.180461,0.312453,167.585
-579.65,0.9584,0.0788755,5,31,0,582.641,4267.85,0.340304,0.162803,0.258697,0.406727,0.161017,0.247877,210.999
-581.706,0.999907,0.0788755,5,31,0,583.122,4312.07,0.3077,0.15786,0.300998,0.368433,0.151917,0.299671,210.854
-581.491,0.97266,0.0788755,5,31,0,585.154,4326.09,0.304948,0.114269,0.287764,0.436629,0.171294,0.228292,197.675
-578.76,0.872736,0.0788755,5,63,0,584.717,4497.17,0.308751,0.171476,0.232922,0.29966,0.169542,0.277158,197.193
-579.623,0.888575,0.0788755,5,63,0,583.206,4441.89,0.306051,0.191257,0.24628,0.342296,0.117524,0.248721,196.495
-579.118,0.954091,0.0788755,5,31,0,584.038,4334.92,0.308217,0.178674,0.222134,0.416476,0.177687,0.24941,196.061
-580.931,0.913792,0.0788755,5,31,0,583.484,4433.43,0.301231,0.188205,0.247439,0.267727,0.249235,0.250228,190.17
-581.281,0.992987,0.0788755,6,63,0,585.447,4482.95,0.316915,0.170392,0.218401,0.334719,0.253153,0.0853304,192.369
-578.769,0.99976,0.0788755,5,31,0,583.092,4599.39,0.316018,0.13766,0.188962,0.31132,0.169323,0.278313,194.254
-582.654,0.684592,0.0788755,5,31,0,585.108,4660.66,0.32357,0.173419,0.195502,0.296923,0.144469,0.0717005,215.862
-578.681,0.994926,0.0788755,6,63,0,588.63,4418.68,0.317616,0.178655,0.242399,0.359395,0.154063,0.192422,174.707
-578.971,0.988549,0.0788755,6,63,0,580.655,4363.78,0.322437,0.184838,0.232725,0.378856,0.16522,0.207919,171.175
-578.656,0.966619,0.0788755,6,63,0,580.845,4306.73,0.31973,0.141885,0.223782,0.427797,0.209249,0.296228,183.428
-579.012,0.999627,0.0788755,6,63,0,580.1,4250.65,0.315634,0.14854,0.249021,0.444208,0.204343,0.252509,184.649
-579.813,0.817139,0.0788755,6,63,0,584.632,4361.63,0.347602,0.189966,0.231251,0.370286,0.0781717,0.264759,191.063
