# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\biijgtbw.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120353_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.052914
# Diagonal elements of inverse mass matrix:
# 41489.4, 0.00034193, 0.00131979, 0.00107271, 0.00452633, 0.00340319, 0.0083333, 0.00547989
-580.707,0.999142,0.052914,6,63,0,582.668,4220.69,0.313976,0.182539,0.246199,0.436621,0.151857,0.358858,222.421
-582.735,0.878756,0.052914,6,63,0,587.547,4136.6,0.35232,0.208359,0.212698,0.397318,0.22156,0.363146,223.796
-582.635,0.992738,0.052914,6,63,0,587.073,4295.34,0.317535,0.144917,0.27355,0.447357,0.089252,0.277167,164.282
-579.925,0.999324,0.052914,6,63,0,586.984,4282.07,0.319673,0.166087,0.256747,0.385005,0.128056,0.3915,177.458
-578.894,0.986981,0.052914,6,63,0,581.356,4194.33,0.326246,0.191872,0.224496,0.433609,0.216218,0.282497,182.797
-581.537,0.929716,0.052914,6,63,0,584.291,4263.63,0.331052,0.122204,0.268573,0.443982,0.076222,0.365769,184.699
-579.675,0.998313,0.052914,6,63,0,582.209,4344.13,0.331234,0.210673,0.211785,0.37196,0.193607,0.181846,189.55
-580.718,0.981432,0.052914,6,63,0,584.277,4202.89,0.31308,0.155167,0.308296,0.424743,0.171382,0.253224,188.716
-581.988,0.997127,0.052914,6,63,0,585.045,4153.49,0.348774,0.138278,0.20142,0.493565,0.183243,0.359991,209.662
-580.912,0.992406,0.052914,6,63,0,584.075,4264.68,0.310775,0.22399,0.275092,0.338267,0.178134,0.283559,179.817
-578.071,0.987865,0.052914,5,31,0,582.108,4350.99,0.319264,0.188197,0.235876,0.385554,0.12712,0.294676,194.325
-578.602,0.953496,0.052914,6,63,0,580.358,4489.91,0.325156,0.126414,0.21863,0.334514,0.218717,0.223268,183.313
