# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6g76pg3o.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120516_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0743138
# Diagonal elements of inverse mass matrix:
# 2128.37, 4.2274e-005, 0.00012352, 0.000167555, 0.000336807, 0.000416879, 0.000833879, 0.000577621
-5820.77,0.985756,0.0743138,6,63,0,5823.02,4977.66,0.304593,0.0528961,0.178645,0.26158,0.16149,0.138195,211.403
-5819.92,0.955695,0.0743138,6,63,0,5822.66,5005.18,0.314818,0.042779,0.195596,0.246467,0.132779,0.101188,196.347
-5823.58,0.996109,0.0743138,5,63,0,5825.31,5016.71,0.296648,0.0563733,0.193208,0.245409,0.144275,0.132481,215.267
-5823.3,0.989096,0.0743138,6,63,0,5827.03,5042.19,0.317556,0.0348988,0.184406,0.236383,0.133473,0.0862975,192.065
-5821.61,0.982045,0.0743138,6,63,0,5826.62,4973.28,0.303822,0.0480722,0.194461,0.239723,0.168533,0.141948,211.882
-5821.18,0.918092,0.0743138,6,63,0,5826.66,5026.93,0.30916,0.0447283,0.183483,0.247168,0.104415,0.168005,199.985
-5819.96,0.933959,0.0743138,5,31,0,5823.23,5034.79,0.310674,0.0390902,0.176436,0.246436,0.1196,0.146852,200.019
-5820.93,0.995285,0.0743138,5,63,0,5823.87,5049.52,0.311556,0.0370187,0.177738,0.24008,0.116364,0.163055,202.715
-5819.76,0.987829,0.0743138,6,63,0,5823.49,5058.97,0.305677,0.042326,0.184255,0.229497,0.13089,0.135841,194.541
