# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6g76pg3o.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120516_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0715019
# Diagonal elements of inverse mass matrix:
# 2122.72, 3.92715e-005, 0.000131547, 0.000144511, 0.000336119, 0.000349458, 0.000741894, 0.000478055
-5820.1,0.999649,0.0715019,6,63,0,5821.97,5018.73,0.31396,0.0341732,0.189359,0.233512,0.144977,0.121066,210.295
-5819.43,0.884712,0.0715019,5,31,0,5823.39,5012.53,0.313777,0.0435624,0.18566,0.235211,0.161763,0.0880584,206.532
-5823.09,0.923741,0.0715019,5,31,0,5825.05,5035.46,0.31359,0.0227194,0.199629,0.242273,0.157515,0.0750324,203.336
-5822.08,1,0.0715019,5,63,0,5825.38,4983.74,0.303595,0.0549501,0.169952,0.272466,0.141535,0.148659,201.836
-5822.05,0.950354,0.0715019,6,63,0,5826.41,5059.74,0.300891,0.0382991,0.18394,0.239248,0.172295,0.100868,201.008
-5819.9,0.999167,0.0715019,6,63,0,5825.95,5045.21,0.304599,0.0429391,0.176603,0.233058,0.174225,0.109346,208.898
-5819.88,0.998251,0.0715019,6,63,0,5823.18,4968.39,0.311059,0.0512678,0.194866,0.263511,0.125609,0.12387,196.987
-5820.87,0.993865,0.0715019,5,63,0,5828.14,5018.37,0.311019,0.0483809,0.191642,0.261236,0.110618,0.086613,195.905
-5821.4,0.976901,0.0715019,6,63,0,5825.22,5007.44,0.311271,0.0269253,0.189242,0.245261,0.13805,0.170948,204.952
-5821.33,0.998796,0.0715019,6,63,0,5825.78,5021.46,0.304488,0.0686657,0.183527,0.253628,0.144997,0.0661052,200.494
-5819.97,0.999752,0.0715019,6,63,0,5824.75,5050.55,0.312707,0.0450309,0.18354,0.225372,0.143555,0.097547,211.38
-5823.69,0.958985,0.0715019,6,63,0,5826.39,4995.49,0.298354,0.0408137,0.195161,0.231773,0.189929,0.150192,200.119
-5824.42,0.999605,0.0715019,5,63,0,5828.48,5035.4,0.318043,0.0526098,0.168352,0.273326,0.0925727,0.0988353,202.84
-5825.56,0.961204,0.0715019,6,63,0,5833.47,5054.84,0.296118,0.0364168,0.198822,0.203201,0.191443,0.113638,204.794
-5826.36,0.997702,0.0715019,6,63,0,5831.35,5108.73,0.301221,0.0415399,0.180831,0.185735,0.192429,0.0885787,201.24
-5825.91,0.992689,0.0715019,6,63,0,5830.1,4994.83,0.314368,0.0428446,0.184614,0.292534,0.0808407,0.121109,205.451
-5822.54,0.727953,0.0715019,5,31,0,5832.2,4994.04,0.306889,0.0597771,0.191321,0.268483,0.106553,0.0944402,203.478
-5820.01,0.999526,0.0715019,6,63,0,5825.87,5054.04,0.300639,0.0592055,0.182128,0.227529,0.125853,0.137559,199.762
-5818.39,0.999808,0.0715019,5,63,0,5822.04,5004.16,0.305479,0.0492762,0.181908,0.243771,0.168226,0.123486,200.715
-5824.43,0.910917,0.0715019,5,31,0,5827.56,5054.12,0.30847,0.0195951,0.191968,0.220552,0.18468,0.107683,200.49
-5818.44,0.999419,0.0715019,5,31,0,5825.75,5037.21,0.305626,0.0406575,0.183896,0.254518,0.133923,0.121063,198.785
-5820.3,0.997144,0.0715019,5,63,0,5821.57,5012,0.310232,0.0388566,0.171389,0.258161,0.167786,0.123803,198.916
-5818.5,0.974376,0.0715019,5,31,0,5825.12,5006.5,0.312614,0.0488007,0.179884,0.251067,0.143881,0.100002,204.737
-5818.41,0.99909,0.0715019,6,63,0,5820.64,5060.13,0.302805,0.0384919,0.190071,0.237933,0.121492,0.12816,203.159
-5819.42,0.992362,0.0715019,6,63,0,5821.36,5017.24,0.309595,0.0601696,0.173507,0.25315,0.124207,0.133285,203.17
-5821.25,0.983187,0.0715019,6,63,0,5823.32,5023.15,0.30534,0.0199345,0.186737,0.259951,0.169917,0.111074,205.152
-5821.21,0.977209,0.0715019,6,63,0,5825.25,5018.16,0.303468,0.0216641,0.187701,0.25851,0.167683,0.114775,205.242
-5822.3,0.997442,0.0715019,6,63,0,5824.66,5049.71,0.31139,0.0710626,0.172678,0.228372,0.114402,0.105094,200.434
-5824.68,0.992323,0.0715019,6,63,0,5829.41,4956.94,0.303281,0.0226262,0.200629,0.271562,0.185179,0.131196,207.534
-5821.78,0.969426,0.0715019,6,63,0,5828.81,4969.69,0.309437,0.0598276,0.189509,0.232704,0.182563,0.0944488,204.504
-5821.71,0.96888,0.0715019,6,63,0,5825.87,4960.56,0.31073,0.0517013,0.186969,0.251121,0.194492,0.0812968,202.286
-5824.64,0.825927,0.0715019,6,63,0,5827.47,4954.73,0.31062,0.0480251,0.187087,0.251516,0.194135,0.0779452,201.645
-5823.71,0.997055,0.0715019,6,63,0,5830.92,4974.38,0.31278,0.0475961,0.184628,0.25841,0.189528,0.0842949,206.64
-5822.92,0.958665,0.0715019,6,63,0,5828.52,4995.91,0.306279,0.0368417,0.209177,0.245706,0.137127,0.140898,203.072
-5819.91,0.998317,0.0715019,6,63,0,5825.44,5028.73,0.311416,0.0582415,0.167229,0.249465,0.153499,0.0836376,203.98
-5822.16,0.99628,0.0715019,5,63,0,5823.87,5049.99,0.30563,0.0473222,0.164645,0.264938,0.157959,0.07141,210.764
-5822.23,0.917876,0.0715019,6,63,0,5825.96,5041.74,0.307837,0.0359863,0.203021,0.208198,0.12974,0.14957,199.23
-5820.5,0.996821,0.0715019,5,31,0,5825.42,5036.83,0.314509,0.0369641,0.184401,0.232556,0.12807,0.139643,195.79
-5821.21,0.714931,0.0715019,6,63,0,5828.95,5084.9,0.305789,0.0336506,0.18518,0.254818,0.12136,0.0840837,205.886
-5824.47,0.999784,0.0715019,6,63,0,5828.19,4968.6,0.322142,0.0492969,0.189815,0.224004,0.140257,0.141857,208.681
-5824.24,0.992566,0.0715019,6,63,0,5832.51,5084.16,0.290731,0.0415521,0.182082,0.265539,0.137812,0.0856649,197.146
-5818.73,1,0.0715019,5,31,0,5825.69,5089.04,0.304814,0.0380361,0.17514,0.227292,0.13448,0.125472,198.824
-5818.58,0.990036,0.0715019,6,63,0,5820.24,5005,0.31035,0.0416642,0.184012,0.254429,0.153125,0.101782,208.409
-5822.75,0.909209,0.0715019,5,31,0,5823.63,4989.91,0.306719,0.0668648,0.197944,0.244601,0.143344,0.0968125,195.664
-5822.45,0.999926,0.0715019,6,63,0,5825.75,4997.01,0.307024,0.0262852,0.182966,0.26992,0.170303,0.0958286,206.086
-5822.63,0.999819,0.0715019,6,63,0,5827.27,5085.86,0.30158,0.0543321,0.171572,0.222791,0.115829,0.170038,203.453
-5822.95,0.97655,0.0715019,6,63,0,5827.42,5067.08,0.306454,0.0402339,0.19999,0.204628,0.111543,0.14184,206.106
-5820.4,0.996923,0.0715019,6,63,0,5825.61,5056.06,0.301609,0.0625011,0.180911,0.224779,0.128076,0.13168,208.024
-5823.16,0.998949,0.0715019,6,63,0,5825.87,5010,0.319865,0.0182898,0.19018,0.26419,0.136619,0.0898959,202.122
-5823.48,0.99509,0.0715019,6,63,0,5828.79,5057.07,0.292715,0.0690624,0.178643,0.227522,0.145744,0.136081,205.671
-5826.29,0.988914,0.0715019,5,31,0,5829.55,5063.22,0.298674,0.0821155,0.163674,0.218397,0.156332,0.113747,207.706
-5827.35,0.980651,0.0715019,6,63,0,5837.53,5031.14,0.310708,0.0200229,0.212086,0.225029,0.128068,0.128117,191.284
-5819.59,0.808013,0.0715019,5,31,0,5832.1,5077.16,0.309906,0.0407021,0.180745,0.226081,0.141434,0.102033,197.663
-5818.29,0.954691,0.0715019,6,63,0,5821.72,5026.18,0.304017,0.0519994,0.181854,0.252819,0.142655,0.101203,207.331
-5819.19,0.936274,0.0715019,5,63,0,5822.11,5049.06,0.306395,0.051788,0.181241,0.242247,0.134289,0.111716,207.972
-5819.71,0.983395,0.0715019,6,63,0,5821.93,5088.67,0.308762,0.0536054,0.173058,0.227676,0.109441,0.118182,201.28
-5819.09,0.95448,0.0715019,5,31,0,5820.94,5077.1,0.307501,0.0523494,0.172388,0.232896,0.117042,0.114894,200.024
-5819.33,0.975548,0.0715019,6,63,0,5821.88,5098.41,0.304401,0.0398513,0.171971,0.22089,0.155094,0.108266,201.826
-5818.39,0.99964,0.0715019,6,63,0,5821.21,5074.57,0.309745,0.0419529,0.179461,0.233374,0.131947,0.0844271,200.285
-5821.79,0.806068,0.0715019,6,63,0,5823.51,4974.15,0.313756,0.0446926,0.189371,0.251583,0.142541,0.110172,205.834
-5819.51,0.998911,0.0715019,6,63,0,5824,5073.89,0.302681,0.0356526,0.190612,0.255048,0.115238,0.0873645,203.017
-5819.33,0.984327,0.0715019,6,63,0,5821.43,5027.44,0.307938,0.0458747,0.183774,0.223781,0.141795,0.157934,201.105
-5824.27,0.951493,0.0715019,5,31,0,5826.58,5023.23,0.29757,0.0520838,0.180718,0.251005,0.123151,0.186657,196.579
-5824.31,0.994885,0.0715019,6,63,0,5829.31,5071.35,0.297994,0.0645089,0.167324,0.235518,0.123623,0.151152,194.81
-5819.08,0.965843,0.0715019,5,31,0,5827.01,5060.42,0.30193,0.0470155,0.182148,0.234343,0.148329,0.112249,196.357
-5824.11,0.870522,0.0715019,6,63,0,5828.18,4931.51,0.316195,0.0433552,0.200846,0.271073,0.153119,0.120417,212.151
-5827.19,0.998158,0.0715019,5,31,0,5829.79,4907.63,0.313502,0.0347771,0.223744,0.254669,0.159796,0.145433,205.59
-5825.58,0.995037,0.0715019,6,63,0,5833.17,4976.09,0.309712,0.060693,0.166349,0.297457,0.124795,0.132986,204.283
-5825.44,0.998795,0.0715019,6,63,0,5828.11,5105.96,0.302713,0.028473,0.202032,0.188936,0.155086,0.0852624,201.396
-5823.61,0.972836,0.0715019,6,63,0,5830.76,5005.59,0.311005,0.063104,0.160968,0.252918,0.13001,0.14724,207.284
-5823.81,0.998625,0.0715019,5,31,0,5826.91,5020.53,0.303488,0.0658612,0.15799,0.266092,0.138385,0.127787,209.847
-5820.36,0.991065,0.0715019,6,63,0,5827.16,5014.95,0.304211,0.0647699,0.174962,0.245149,0.156061,0.115792,196.907
-5822.19,0.992317,0.0715019,5,31,0,5824.42,5009.22,0.30459,0.053458,0.183244,0.245146,0.159388,0.116643,190.137
-5824.88,0.934917,0.0715019,5,63,0,5827.3,5007.99,0.301269,0.0527225,0.180266,0.270426,0.153192,0.104265,189.1
-5823.54,1,0.0715019,6,63,0,5830.73,4951.56,0.31808,0.042831,0.201449,0.230715,0.173278,0.110995,211.506
-5823.78,0.992319,0.0715019,6,63,0,5825.28,5102.08,0.295881,0.0464562,0.168897,0.260773,0.112461,0.111925,194.925
-5824.12,0.782531,0.0715019,6,63,0,5829.37,5062.49,0.316159,0.0361153,0.191584,0.200717,0.156472,0.0906198,212.871
-5822.52,0.955736,0.0715019,6,63,0,5832.79,5069.06,0.3043,0.0469519,0.163988,0.25589,0.112936,0.138642,194.866
-5823.88,0.998888,0.0715019,6,63,0,5826.88,5086.58,0.305535,0.0363868,0.192931,0.193429,0.175204,0.0925007,208.68
-5823.87,0.991609,0.0715019,6,63,0,5827.32,4997.21,0.304894,0.0586884,0.177077,0.281409,0.103429,0.139316,196.508
-5820.04,0.962627,0.0715019,6,63,0,5827.29,5064.57,0.308171,0.0300278,0.193978,0.216312,0.156551,0.0914097,203.117
-5821.72,0.952431,0.0715019,6,63,0,5826.49,5077.63,0.303724,0.0394093,0.161062,0.257734,0.116557,0.142596,203.661
-5818.04,0.999958,0.0715019,6,63,0,5822.43,5058.74,0.307779,0.0330316,0.184344,0.231748,0.141648,0.119745,204.459
-5817.53,0.993318,0.0715019,6,63,0,5821.39,5045.18,0.306124,0.0516519,0.181417,0.244721,0.131545,0.104515,201.728
-5820.34,0.774691,0.0715019,4,19,0,5822.7,5067.78,0.308039,0.0527892,0.17615,0.237428,0.124812,0.118933,200.184
-5819.46,0.948807,0.0715019,6,63,0,5822.84,5031.27,0.307514,0.0581964,0.193544,0.23388,0.127131,0.107686,204.538
-5821.6,0.998468,0.0715019,6,63,0,5824.87,4968.9,0.311171,0.0472043,0.185602,0.231924,0.174572,0.1484,197.92
-5821.21,0.999022,0.0715019,6,63,0,5827.22,5087.37,0.305758,0.0422559,0.187777,0.249218,0.105866,0.0648007,209.285
-5820.03,0.984781,0.0715019,6,63,0,5825.57,5040.32,0.307732,0.0333342,0.185754,0.235988,0.171066,0.085937,197.402
-5820.75,0.998108,0.0715019,6,63,0,5823.69,5057.98,0.307084,0.0507542,0.184479,0.209132,0.131582,0.15118,207.838
-5819.87,0.997861,0.0715019,6,63,0,5823.32,5061.15,0.298209,0.0508193,0.184196,0.242103,0.155849,0.0723394,204.577
-5818.54,0.999919,0.0715019,6,63,0,5821.17,5045.88,0.31244,0.0335747,0.183089,0.251902,0.129459,0.0974715,200.524
-5819.85,0.999134,0.0715019,6,63,0,5821.92,4963.42,0.303846,0.0618256,0.190393,0.251793,0.154486,0.143556,205.283
-5818.91,0.999524,0.0715019,6,63,0,5821.98,4983.07,0.305203,0.0500913,0.183362,0.255185,0.155224,0.147494,205.944
-5819.62,0.994284,0.0715019,5,63,0,5826.09,4987.82,0.303349,0.0481681,0.179604,0.253765,0.171407,0.137837,206.505
-5820.31,0.980971,0.0715019,6,63,0,5822.31,5087.76,0.311034,0.042689,0.18665,0.232981,0.105073,0.0789614,198.392
-5820.04,0.998395,0.0715019,6,63,0,5823.49,4991.91,0.304028,0.0460472,0.181895,0.244111,0.177156,0.141235,207.541
-5821.34,0.994223,0.0715019,5,63,0,5825.74,4998.64,0.307315,0.0545097,0.209892,0.246547,0.109839,0.105061,201.502
-5818.49,0.989268,0.0715019,5,31,0,5823.06,4981.05,0.309314,0.0531783,0.193385,0.252734,0.130409,0.127947,200.515
-5825.68,0.997584,0.0715019,5,31,0,5828.63,4929.64,0.315737,0.055096,0.16963,0.298619,0.167028,0.0896809,198.586
-5818.7,0.991685,0.0715019,5,31,0,5827.94,5017.31,0.308044,0.0528469,0.192778,0.250151,0.134126,0.0826701,198.555
-5819.17,0.98279,0.0715019,6,63,0,5820.3,5032.33,0.306082,0.0338247,0.180126,0.238685,0.152578,0.148829,206.007
-5820,0.989785,0.0715019,6,63,0,5823.39,5046.87,0.308507,0.0334739,0.185003,0.242647,0.116353,0.157183,203.347
-5819.92,0.969126,0.0715019,6,63,0,5822.18,5067.72,0.304601,0.0368405,0.187574,0.243284,0.109174,0.114026,206.858
-5821.69,0.984836,0.0715019,5,31,0,5822.13,5095.34,0.302613,0.0273733,0.187018,0.247525,0.110699,0.121851,207.069
-5822.54,0.988624,0.0715019,5,63,0,5827.48,5011.73,0.299825,0.0233021,0.185603,0.277021,0.14691,0.14833,203.953
-5823.34,0.93426,0.0715019,6,63,0,5828.96,5069.16,0.310427,0.0545808,0.171633,0.258048,0.108589,0.0563235,208.19
-5819.69,0.997006,0.0715019,6,63,0,5826.16,4999.56,0.311561,0.0512785,0.186191,0.222659,0.165319,0.136462,200.975
-5818.84,0.992166,0.0715019,6,63,0,5821.35,4995.77,0.312534,0.0407714,0.195373,0.258079,0.144587,0.0846469,203.28
-5822.52,0.898712,0.0715019,6,63,0,5824.91,5037.04,0.30472,0.0442321,0.176024,0.221202,0.167178,0.139539,211.671
-5823.09,0.998327,0.0715019,6,63,0,5827.36,5058.67,0.305701,0.0391551,0.181934,0.268833,0.10716,0.0769392,196.203
-5819.33,0.999311,0.0715019,5,63,0,5829.35,5034.33,0.309126,0.0481117,0.184924,0.237902,0.129812,0.107537,195.819
-5824.14,0.999319,0.0715019,5,31,0,5827.05,5029.33,0.317033,0.0521753,0.181642,0.214949,0.167544,0.0956456,193.929
-5821.4,0.991988,0.0715019,5,63,0,5827.77,5072.44,0.309254,0.0418347,0.168411,0.217918,0.176449,0.0893939,204.075
-5820.54,0.999581,0.0715019,6,63,0,5824.71,5044.17,0.309145,0.0391466,0.168263,0.232432,0.152888,0.148271,207.821
-5821.72,0.992041,0.0715019,6,63,0,5825.05,5098.49,0.308338,0.0255913,0.188524,0.203093,0.147971,0.120739,206.734
-5818.12,0.998977,0.0715019,5,31,0,5822.43,5039.23,0.308457,0.044808,0.180557,0.258029,0.137412,0.0847408,203.162
-5823.71,0.932037,0.0715019,5,31,0,5824.83,5051.36,0.309627,0.0290029,0.18273,0.276162,0.111757,0.0688843,198.762
-5821.5,0.995425,0.0715019,5,63,0,5830.67,5086.36,0.311012,0.0387918,0.160705,0.220457,0.140682,0.145335,204.751
-5821.21,0.999885,0.0715019,6,63,0,5824.65,5036.74,0.301976,0.045684,0.201414,0.258046,0.122361,0.0640825,199.756
-5818.38,0.9568,0.0715019,5,31,0,5824.97,5062.16,0.308625,0.0472737,0.182781,0.238643,0.121442,0.103314,197.996
-5818.95,0.999977,0.0715019,6,63,0,5820.41,5000.47,0.310722,0.0442931,0.189552,0.23211,0.152436,0.141611,207.181
-5819.96,0.98289,0.0715019,6,63,0,5821.71,5017.33,0.30823,0.0347197,0.197562,0.253181,0.153173,0.0781104,208.147
-5819.67,0.999911,0.0715019,6,63,0,5822.62,5074.78,0.299421,0.0546835,0.172685,0.240337,0.151083,0.082973,202.813
-5820.87,0.890048,0.0715019,6,63,0,5824.63,5045,0.297374,0.0520765,0.177873,0.250779,0.151954,0.0954853,207.929
-5819.66,0.999991,0.0715019,5,63,0,5822.75,4998.73,0.29998,0.0524662,0.191376,0.246354,0.146082,0.133664,202.829
-5819.78,0.982844,0.0715019,6,63,0,5821.63,4984.77,0.316727,0.0433719,0.187073,0.261179,0.143029,0.0851929,204.853
-5821.4,0.998737,0.0715019,6,63,0,5823.79,5006.94,0.302501,0.050681,0.183944,0.257734,0.12252,0.164963,210.238
-5820.5,0.976103,0.0715019,6,63,0,5823.29,5050.88,0.30961,0.0401827,0.180975,0.232854,0.164439,0.07342,195.739
-5820.66,0.999708,0.0715019,6,63,0,5823.21,4967.57,0.301785,0.0504121,0.192505,0.260268,0.157507,0.145122,209.739
-5819.76,0.929149,0.0715019,6,63,0,5822.68,5067.36,0.313955,0.0422131,0.179708,0.232599,0.133766,0.0825099,196.371
-5819.03,0.999246,0.0715019,5,31,0,5821.44,5063.39,0.310919,0.0446228,0.1854,0.219482,0.121928,0.122288,199.459
-5819.65,0.879054,0.0715019,6,63,0,5822,5073.03,0.301832,0.0409815,0.177058,0.238898,0.151066,0.0854055,205.688
-5820.81,0.965846,0.0715019,5,63,0,5824.25,5113.21,0.305163,0.0298174,0.180727,0.219454,0.120917,0.112791,198.332
-5820.6,0.998109,0.0715019,6,63,0,5826.45,5003.86,0.311969,0.0291384,0.181979,0.252383,0.143072,0.163086,206.035
