# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\jncmesen.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120358_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0932366
# Diagonal elements of inverse mass matrix:
# 11715.8, 0.000180058, 0.000644586, 0.000661546, 0.00161879, 0.00206912, 0.00394371, 0.0026727
-1170.73,0.973568,0.0932366,5,31,0,1174.36,4873.3,0.312199,0.0726559,0.152646,0.298383,0.199486,0.186591,201.679
-1170.82,0.968995,0.0932366,5,63,0,1173.6,5018.43,0.30091,0.0214972,0.171849,0.286853,0.134013,0.192867,203.437
-1173.14,0.972955,0.0932366,5,31,0,1175.29,4961.41,0.298236,0.0597432,0.162514,0.337251,0.12435,0.145417,207.387
-1173.76,0.988662,0.0932366,6,63,0,1177.43,5001.93,0.331342,0.0630537,0.134873,0.194398,0.202362,0.19702,225.215
-1173.24,0.944754,0.0932366,5,63,0,1178.73,4816.6,0.340747,0.0481947,0.183589,0.309895,0.191967,0.0665308,205.598
-1175.1,0.928063,0.0932366,6,63,0,1177.82,5010.65,0.316986,0.0579602,0.108627,0.245082,0.160382,0.322132,217.971
-1171.31,0.963955,0.0932366,5,31,0,1178.01,4989.23,0.329221,0.00995355,0.176069,0.275449,0.114549,0.199911,202.735
-1172.29,0.966763,0.0932366,5,31,0,1173.7,5023.99,0.316563,0.0675861,0.12517,0.248095,0.217583,0.132391,204.122
-1172.98,0.997881,0.0932366,5,31,0,1175.61,5080.72,0.31307,0.0667764,0.125987,0.247496,0.203284,0.0787015,205.746
-1178.35,0.626997,0.0932366,5,31,0,1181.8,5079.72,0.321781,0.0286548,0.125971,0.180833,0.240646,0.135099,222.401
-1171.71,0.997714,0.0932366,5,31,0,1179.72,5049.75,0.32224,0.0167994,0.166604,0.205799,0.214772,0.132641,215.599
-1170.6,0.998597,0.0932366,6,63,0,1175.55,4998.61,0.307734,0.0561981,0.164379,0.284509,0.14564,0.11709,197.638
-1171.18,0.914875,0.0932366,6,63,0,1173.69,4891.27,0.335304,0.0266673,0.153162,0.271337,0.203096,0.239091,213.357
-1175.23,0.988685,0.0932366,5,31,0,1177.78,5101.23,0.324588,0.00485556,0.118096,0.32533,0.113528,0.0787835,197.134
-1172.16,0.999933,0.0932366,5,31,0,1177.33,5071.88,0.323564,-0.00328423,0.1643,0.286392,0.138622,0.0974055,205.748
-1174.94,0.978081,0.0932366,5,31,0,1177.71,5128,0.309016,0.0211467,0.169652,0.270906,0.0516094,0.124292,191.428
-1172.89,0.982324,0.0932366,5,31,0,1177.74,5092.72,0.302461,0.0484845,0.163441,0.218075,0.200656,0.113051,216.9
-1174.59,0.992421,0.0932366,6,63,0,1178.1,5208.71,0.330254,0.0247117,0.0999907,0.234373,0.0846069,0.195689,196.544
-1176.71,0.765856,0.0932366,5,31,0,1184.45,5202,0.32999,0.0136364,0.113263,0.230876,0.0233801,0.249102,197.386
-1171.24,0.995122,0.0932366,5,31,0,1177.66,5028.78,0.307822,0.0354574,0.158062,0.232648,0.221792,0.123008,207.398
-1172.35,0.865106,0.0932366,5,63,0,1176.89,4800.34,0.326667,0.0306663,0.159148,0.318367,0.196673,0.227253,204.804
-1174.17,0.996515,0.0932366,5,63,0,1177.84,4953.34,0.314669,0.00157385,0.159823,0.303346,0.21225,0.203848,225.734
-1173.36,0.997932,0.0932366,5,31,0,1175.6,5037.08,0.318511,0.063409,0.151043,0.226078,0.134483,0.144901,187.444
-1174.23,0.911266,0.0932366,5,63,0,1176.68,4848.13,0.321743,0.0213245,0.171664,0.297468,0.211345,0.265725,229.797
-1178.2,0.99982,0.0932366,5,31,0,1182.12,4939.43,0.318069,0.0592849,0.191852,0.313152,0.0857509,0.128242,241.829
-1178.52,0.984113,0.0932366,5,63,0,1181.41,4920.73,0.321322,0.0748491,0.208608,0.264289,0.0817033,0.116889,239.982
-1171.1,0.989836,0.0932366,5,31,0,1182.17,5156.55,0.315226,0.0425403,0.138836,0.235427,0.126268,0.0977197,207.354
-1173.85,0.990701,0.0932366,5,31,0,1175.36,5117.07,0.304331,0.0350578,0.125195,0.306403,0.142153,0.0665608,196.503
-1170.44,0.998665,0.0932366,4,15,0,1174.29,5072.81,0.315168,0.0271051,0.140456,0.272964,0.153236,0.115297,195.388
-1173.29,0.990584,0.0932366,5,31,0,1174.51,5003.58,0.321718,0.0197887,0.142875,0.283753,0.179306,0.144338,178.933
-1175.4,0.444728,0.0932366,5,31,0,1181.05,4958.76,0.331727,0.0257622,0.133864,0.31914,0.163399,0.106826,181.144
-1178.55,0.824455,0.0932366,6,63,0,1183.58,4853.18,0.296811,0.0508686,0.185221,0.256658,0.206175,0.269484,240.474
-1178.61,0.90437,0.0932366,6,63,0,1184.25,5173.76,0.330421,0.0464631,0.0945372,0.223658,0.20402,0.0806604,229.907
-1175.27,0.965059,0.0932366,5,31,0,1182.19,5163.55,0.309235,0.045239,0.160932,0.245894,0.0862196,0.122584,216.917
-1177.46,0.992198,0.0932366,5,31,0,1181.56,5075.21,0.348805,-0.000435697,0.133575,0.215209,0.247316,0.0789905,212.106
-1173.89,0.991423,0.0932366,5,31,0,1178.38,5043.15,0.334125,0.00639247,0.131212,0.250923,0.227715,0.0730114,210.192
-1170.39,0.999955,0.0932366,5,31,0,1174.84,5096.39,0.329138,0.0278329,0.148846,0.208822,0.152288,0.152164,205.908
-1171.77,0.995436,0.0932366,5,31,0,1173.05,5079.4,0.311854,0.0598771,0.149892,0.188901,0.192014,0.164014,201.298
-1170.73,0.99064,0.0932366,5,31,0,1176.25,5067.83,0.31519,0.0587586,0.143605,0.209378,0.154179,0.197723,202.136
-1170.78,0.809341,0.0932366,5,31,0,1175.91,5006.93,0.317313,0.0205546,0.14306,0.284301,0.170805,0.209109,195.486
-1173.61,0.999512,0.0932366,5,31,0,1175.69,5038.07,0.307816,0.0698961,0.179077,0.167988,0.201552,0.161602,205.326
-1175.83,0.976908,0.0932366,5,31,0,1179.64,4939.92,0.326056,0.0218648,0.133226,0.380356,0.109962,0.1302,194.12
-1173.21,0.998489,0.0932366,4,15,0,1177.06,4956.23,0.320293,0.0114503,0.146884,0.355801,0.12111,0.186152,197.83
-1169.31,0.997255,0.0932366,5,31,0,1173.73,4925.24,0.322258,0.0384958,0.154517,0.286247,0.186832,0.175908,210.274
-1173.61,0.993297,0.0932366,5,31,0,1174.51,5083.7,0.310438,0.0407504,0.175953,0.174603,0.224695,0.10006,198.187
-1175.18,0.837211,0.0932366,6,63,0,1179.59,5047.78,0.327541,0.00824504,0.123943,0.303249,0.053768,0.266966,216.745
-1173.28,0.957641,0.0932366,5,51,0,1177.13,4944.23,0.321132,0.0315507,0.144727,0.313467,0.0872107,0.265502,219.13
-1173.08,0.911521,0.0932366,6,63,0,1176.71,4877.86,0.326248,0.0772079,0.176992,0.224221,0.239658,0.125953,196.468
-1172.07,0.814013,0.0932366,5,31,0,1176.6,4963.33,0.321616,0.0312789,0.137868,0.274045,0.135916,0.258662,216.744
-1170.35,0.858115,0.0932366,6,63,0,1176.43,4972.71,0.328192,0.0270564,0.146982,0.28823,0.197098,0.10404,199.743
-1171.01,0.99656,0.0932366,5,31,0,1173.15,4858.03,0.331163,0.0470462,0.148927,0.303397,0.142744,0.266515,212.172
-1172.97,0.849786,0.0932366,5,31,0,1175.11,4821.15,0.3358,0.0415564,0.144395,0.321383,0.134037,0.275829,214.618
-1173.18,0.962768,0.0932366,5,31,0,1177.88,4829.27,0.333485,0.0404399,0.140061,0.321883,0.138423,0.276336,213.887
-1175.62,0.996839,0.0932366,6,63,0,1178.2,5046.51,0.323494,0.051866,0.182813,0.173311,0.201788,0.0516756,217.092
-1173.17,0.986387,0.0932366,5,63,0,1177.63,4957.82,0.324593,0.0487956,0.161625,0.210001,0.256615,0.105983,212.199
-1172.99,0.99858,0.0932366,5,31,0,1175.1,4981.32,0.320078,0.0482421,0.153684,0.235171,0.259625,0.0645366,205.861
-1173.37,0.867247,0.0932366,6,63,0,1177.79,4840.53,0.317879,0.0393946,0.184504,0.307158,0.0996223,0.298709,209.403
-1172.39,0.9989,0.0932366,5,31,0,1176.59,4867.34,0.324796,0.0507731,0.173599,0.299767,0.0989953,0.278942,213.969
-1174.41,0.888031,0.0932366,6,63,0,1178.64,4952.26,0.309376,0.0415918,0.223855,0.233042,0.102998,0.196345,200.53
-1172.34,0.971998,0.0932366,5,31,0,1175.73,5080.36,0.312621,0.0292837,0.113789,0.259683,0.213367,0.127757,207.034
-1172,0.999087,0.0932366,5,31,0,1174.58,4893.33,0.324553,0.0343439,0.206695,0.261742,0.119929,0.219576,200.685
-1172.85,0.871933,0.0932366,5,63,0,1176.75,5185.84,0.292921,0.0455388,0.146095,0.231212,0.138541,0.125328,205.037
-1171.87,0.879492,0.0932366,5,31,0,1174.77,5146.74,0.299356,0.0460991,0.147011,0.253677,0.127845,0.11787,203.924
-1171.77,0.999829,0.0932366,6,63,0,1174.5,5012.51,0.339881,0.0127088,0.148934,0.237395,0.117267,0.245026,211.688
-1170.56,0.963582,0.0932366,5,31,0,1174.45,5059.96,0.306716,0.027366,0.168493,0.251222,0.181433,0.12413,201.718
-1173.34,0.999593,0.0932366,5,31,0,1175.12,5218.39,0.320201,0.018215,0.130694,0.170575,0.185046,0.100004,205.893
-1173.7,0.98232,0.0932366,6,63,0,1177.56,4697.35,0.320544,0.0516252,0.192568,0.36977,0.157485,0.244807,210.893
-1178.6,0.505468,0.0932366,5,31,0,1184.01,4700.36,0.32562,0.0971576,0.172182,0.247397,0.284734,0.199837,218.441
-1174.68,0.999925,0.0932366,5,31,0,1180.46,4780.42,0.317379,0.0939761,0.147382,0.31108,0.257752,0.170333,222.631
-1176.4,0.99941,0.0932366,5,31,0,1178.54,4768.31,0.326444,0.0993861,0.126199,0.323151,0.280537,0.136496,207.21
-1175.13,0.976169,0.0932366,6,63,0,1180.51,4873.17,0.320027,0.0164908,0.224197,0.300907,0.111284,0.157773,216.544
-1175.31,0.99699,0.0932366,5,31,0,1186.25,4881.59,0.325278,0.0049994,0.228345,0.297656,0.128548,0.143827,211.771
-1171.98,0.990874,0.0932366,5,31,0,1179.29,4988.27,0.322704,0.023433,0.168046,0.206216,0.250321,0.163463,206.825
-1170.76,0.885564,0.0932366,5,31,0,1174.81,4972.36,0.318794,0.0307733,0.164822,0.24483,0.210277,0.198092,201.559
-1171.64,0.928382,0.0932366,5,31,0,1174.33,4900.17,0.321615,0.0363369,0.16465,0.29148,0.154808,0.180802,213.466
-1171.89,0.854116,0.0932366,4,31,0,1176.38,4958.02,0.322443,0.039348,0.158647,0.285814,0.156743,0.208963,210.811
-1170.74,0.995119,0.0932366,5,63,0,1173.69,4844.39,0.337138,0.0450422,0.158161,0.26327,0.192941,0.248743,211.569
-1170.53,0.999999,0.0932366,5,31,0,1171.93,4851.25,0.328666,0.0598848,0.168908,0.253061,0.184085,0.244513,210.235
-1172.62,0.983369,0.0932366,4,31,0,1178.73,4962.61,0.323597,0.0840509,0.146186,0.26429,0.14358,0.129373,222.083
-1170.13,0.997058,0.0932366,5,31,0,1174.02,5107.41,0.314939,0.0165662,0.158369,0.221179,0.130731,0.182635,201.972
-1172.77,0.999159,0.0932366,5,31,0,1173.23,5210.93,0.30166,0.0194111,0.12928,0.228876,0.168676,0.106606,214.09
-1174.01,0.998731,0.0932366,5,31,0,1174.76,5205.66,0.290097,0.0242328,0.136592,0.246301,0.167851,0.0906417,212.124
-1173.77,0.981285,0.0932366,5,31,0,1176.45,5205.09,0.289438,0.0285381,0.144865,0.242273,0.158716,0.0821022,207.64
-1176.04,0.986656,0.0932366,5,31,0,1179.69,5071.37,0.349454,0.053481,0.121428,0.181604,0.201057,0.098198,218.983
-1176.15,0.886247,0.0932366,5,31,0,1179.61,5074.07,0.340954,0.0633743,0.115814,0.204736,0.221464,0.0608036,219.941
-1173.39,0.952942,0.0932366,5,31,0,1182.49,4942.37,0.321141,0.0149187,0.147279,0.322424,0.126099,0.218788,187.58
-1169.62,1,0.0932366,5,31,0,1176.14,4931.1,0.326077,0.0604593,0.14807,0.263827,0.178467,0.173484,199.64
-1171.18,0.609386,0.0932366,5,63,0,1175.6,5099.83,0.335299,0.0126435,0.135293,0.24592,0.12427,0.132663,202.264
-1173.08,0.927574,0.0932366,5,31,0,1176.9,4864.59,0.308381,0.0500441,0.158537,0.340354,0.135338,0.225125,196.235
-1176.03,0.98241,0.0932366,5,63,0,1179.72,5067.1,0.346401,0.0141478,0.103613,0.24414,0.189871,0.114127,225.775
-1172.06,0.992539,0.0932366,5,31,0,1178.22,5146.15,0.314064,0.0278511,0.101033,0.258621,0.144972,0.185886,204.097
-1170.71,0.940874,0.0932366,5,31,0,1173.52,4882.39,0.327993,0.0424774,0.192653,0.270194,0.157174,0.14856,205.144
-1173.25,0.933155,0.0932366,5,31,0,1174.84,5208.47,0.312554,0.0175774,0.100049,0.248496,0.109546,0.195825,198.401
-1171.46,0.985972,0.0932366,5,31,0,1174.83,5118.43,0.312222,0.0381938,0.161685,0.214952,0.144607,0.108184,217.453
-1173,0.849498,0.0932366,6,63,0,1175.38,5155.46,0.323965,-0.00010133,0.137132,0.224795,0.127021,0.142772,216.686
-1175.45,0.99974,0.0932366,5,31,0,1177.98,5218.34,0.324403,0.00805179,0.181905,0.149979,0.09759,0.132358,201.199
-1173.8,0.991997,0.0932366,5,31,0,1178.13,5265.19,0.310257,0.0340949,0.145352,0.168935,0.110708,0.122224,216.732
-1172.2,0.944735,0.0932366,5,31,0,1175.35,5182.48,0.313315,0.0151149,0.17369,0.199513,0.116434,0.127643,205.986
-1173.25,0.988068,0.0932366,5,31,0,1175.17,5130.07,0.318116,0.011313,0.109796,0.232439,0.153988,0.272009,198.233
-1173.64,0.999881,0.0932366,6,63,0,1176.04,5166.6,0.326336,0.0115922,0.122909,0.184547,0.132797,0.238547,192.562
-1174.28,0.811287,0.0932366,6,63,0,1177.57,4772.94,0.307379,0.0607124,0.203689,0.336515,0.196911,0.119061,219.064
-1169.59,0.999939,0.0932366,5,31,0,1175.44,4898.72,0.329851,0.0457745,0.149552,0.298694,0.185586,0.158997,206.526
-1172.21,0.916052,0.0932366,5,31,0,1173.31,4909.56,0.345518,0.0151231,0.169901,0.292147,0.15854,0.136799,198.707
-1170.85,0.999792,0.0932366,5,31,0,1174.33,4904.37,0.337613,0.0488759,0.147666,0.298537,0.120157,0.211434,201.888
-1170.95,0.934066,0.0932366,6,63,0,1173.65,4978.54,0.298268,0.0294521,0.172673,0.274374,0.179012,0.218226,201.122
-1171.28,0.827767,0.0932366,5,31,0,1174.17,4957.38,0.309742,0.00477897,0.190889,0.27638,0.169495,0.201848,198.119
-1173.39,0.947387,0.0932366,5,31,0,1176.33,5031.91,0.304309,0.076332,0.15141,0.242969,0.172342,0.132879,226.735
-1173.17,0.995021,0.0932366,6,63,0,1177.9,5048.15,0.332527,0.00689218,0.157944,0.260351,0.0989963,0.195344,185.094
-1169.92,0.999909,0.0932366,5,63,0,1175.27,4918.08,0.313906,0.0444529,0.157601,0.311039,0.181151,0.149365,199.798
-1171.13,0.816686,0.0932366,6,63,0,1173.31,4934.47,0.313677,0.0555076,0.166461,0.292392,0.187431,0.145333,201.152
-1175.49,0.99991,0.0932366,5,31,0,1176.31,4899.6,0.360877,0.0208523,0.163592,0.264133,0.170261,0.160323,217.743
-1172.92,1,0.0932366,5,31,0,1177.8,4990.72,0.315412,0.0157894,0.133944,0.295074,0.213397,0.129533,217.628
-1172.6,0.99339,0.0932366,5,63,0,1175.99,5178.19,0.310614,0.022026,0.138729,0.188488,0.138294,0.180535,198.411
-1174.63,0.999438,0.0932366,5,63,0,1178.74,4924.08,0.300067,0.0701938,0.160077,0.336177,0.179381,0.0969575,225.482
-1175.49,0.999636,0.0932366,6,63,0,1178.59,4851.14,0.351015,0.0158413,0.162168,0.24622,0.176788,0.30963,192.982
-1175.64,0.905657,0.0932366,4,15,0,1177.04,4870.44,0.352752,0.0192927,0.154832,0.252693,0.171172,0.293344,191.809
-1173.45,0.999362,0.0932366,5,31,0,1177.59,4932.18,0.350176,0.0155946,0.148293,0.236507,0.189239,0.226102,192.215
-1174.24,0.841988,0.0932366,5,63,0,1176.63,5007.58,0.292143,0.0432546,0.175577,0.316777,0.120063,0.167325,219.385
-1172.02,0.903987,0.0932366,5,31,0,1176.51,4967.38,0.309013,0.0609159,0.156229,0.238826,0.164568,0.208654,206.391
-1176.79,0.937252,0.0932366,5,31,0,1179.93,4866.63,0.327218,0.0887507,0.19201,0.256176,0.175025,0.0464125,195.579
-1173.19,0.992544,0.0932366,6,63,0,1180.42,5035.38,0.314424,0.0369979,0.207158,0.216792,0.142672,0.0827652,201.95
-1175.28,0.992173,0.0932366,5,31,0,1177.79,5118.29,0.325972,0.0172638,0.196383,0.190919,0.159744,0.0354912,210.411
-1172.62,0.945794,0.0932366,5,31,0,1177.84,5052.35,0.304375,0.0319937,0.124057,0.292368,0.209908,0.146884,207.238
-1172.23,0.998868,0.0932366,5,31,0,1176.44,5032.9,0.328996,0.0480757,0.14303,0.223315,0.202426,0.123911,189.056
-1171.71,0.999976,0.0932366,6,63,0,1175.11,4933,0.313787,0.0228612,0.182149,0.305623,0.114164,0.230532,215.987
-1171.46,0.935517,0.0932366,5,31,0,1173.2,4908.72,0.313556,0.0419084,0.182974,0.306913,0.107915,0.208062,213.87
-1173.53,0.794345,0.0932366,5,63,0,1177.67,4980.44,0.317231,-0.00752956,0.189972,0.307849,0.11839,0.157131,196.144
-1173.32,0.907052,0.0932366,5,63,0,1177.94,5105.67,0.334972,0.0406356,0.127548,0.207738,0.0927697,0.232227,218.846
-1171.71,0.999156,0.0932366,5,31,0,1176.05,5104.96,0.329993,0.0174071,0.127504,0.286243,0.100913,0.119205,201.069
-1172.27,0.974393,0.0932366,5,63,0,1176.06,4932.03,0.324841,0.0122332,0.194727,0.236896,0.135066,0.281509,210.37
-1172.21,0.876961,0.0932366,5,31,0,1174.59,5100.02,0.311069,0.0384304,0.133515,0.256402,0.199175,0.10128,203.191
-1172.34,0.991093,0.0932366,5,63,0,1175.03,4996.27,0.321992,0.0687394,0.132247,0.268191,0.172874,0.0867671,205.985
-1171.92,0.937192,0.0932366,5,31,0,1174.91,5009.91,0.319945,0.0494857,0.126134,0.280711,0.177281,0.1866,198.847
