# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:03:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\jncmesen.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120358_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.079043
# Diagonal elements of inverse mass matrix:
# 11947.9, 0.000195329, 0.000595057, 0.000607285, 0.00174097, 0.00190846, 0.00352963, 0.00233094
-1172.87,0.996391,0.079043,6,63,0,1175.74,5004.13,0.297979,0.033461,0.160933,0.227102,0.241012,0.222711,213.081
-1174.24,0.998007,0.079043,5,31,0,1178.15,5066.19,0.328355,7.10403e-005,0.18322,0.259417,0.133161,0.0656677,192.036
-1174.95,0.955565,0.079043,5,31,0,1177.86,5074.54,0.330601,0.00315762,0.179607,0.259791,0.114016,0.0646924,189.797
-1173.4,0.996078,0.079043,5,63,0,1179.31,4868.98,0.338238,0.0488513,0.110796,0.315629,0.21082,0.209888,221.694
-1170.58,0.999521,0.079043,5,31,0,1173.96,4951.32,0.332198,0.0390532,0.124546,0.279754,0.180968,0.209583,213.37
-1171.95,0.985834,0.079043,5,63,0,1173.49,4952.94,0.299572,0.0584487,0.191032,0.276343,0.124645,0.202833,209.927
-1171.94,0.966247,0.079043,6,63,0,1175.38,5037.08,0.299007,0.0508083,0.140741,0.28271,0.179957,0.161876,213.259
-1171.01,1,0.079043,5,31,0,1172.19,5015.41,0.300792,0.0475351,0.143646,0.274762,0.184791,0.165211,211.108
-1171.64,0.912286,0.079043,6,63,0,1175.05,5004.99,0.335592,0.0173959,0.171478,0.257452,0.123786,0.175328,200.245
-1171.66,0.999195,0.079043,6,63,0,1175,4962.4,0.308358,0.0671563,0.130518,0.284454,0.198404,0.186861,198.445
-1172.65,0.931517,0.079043,6,63,0,1175.59,5016.42,0.288407,0.0243734,0.191693,0.264179,0.164394,0.186851,208.023
-1171.65,0.939344,0.079043,5,63,0,1175.21,5048.41,0.32971,0.0575721,0.137674,0.222239,0.123164,0.164934,202.899
-1170.66,0.991858,0.079043,6,63,0,1173.37,4927.13,0.309931,0.012543,0.169197,0.303675,0.194916,0.198494,206.135
-1171.88,0.999639,0.079043,6,63,0,1172.68,4770.67,0.34284,0.0711823,0.164777,0.293275,0.186268,0.198112,199.873
-1172.27,0.988465,0.079043,6,63,0,1177.41,4892.77,0.299291,0.0578886,0.163572,0.31132,0.21024,0.174226,217.789
-1172.65,0.996641,0.079043,6,63,0,1176.89,5083.44,0.333096,0.000216903,0.172735,0.19474,0.126451,0.206517,198.454
-1169.97,0.961859,0.079043,5,31,0,1174.66,5025.13,0.316685,0.0101984,0.171021,0.243092,0.157975,0.197365,197.146
-1175.61,0.902221,0.079043,5,31,0,1178.57,4826.36,0.324063,0.0970638,0.195337,0.247319,0.22517,0.0978989,194.465
-1173.96,0.883205,0.079043,5,31,0,1179.21,4803.98,0.326854,0.0143627,0.148336,0.377958,0.187123,0.20622,218.353
-1171.26,0.999796,0.079043,6,63,0,1176.59,4822.58,0.317112,0.0326364,0.202847,0.278629,0.183852,0.249029,202.27
-1171.85,0.95442,0.079043,5,63,0,1177.23,4879.65,0.32042,0.0401484,0.179935,0.325296,0.113931,0.183946,194.641
-1173.15,0.918041,0.079043,6,63,0,1176.41,4862.74,0.323892,0.0616224,0.187754,0.278492,0.196745,0.0723903,218.15
-1171.91,0.940161,0.079043,6,63,0,1176.46,4900.48,0.320242,0.0273524,0.156896,0.351085,0.151667,0.178669,203.336
-1174.05,0.994802,0.079043,5,63,0,1177.2,5012.01,0.322244,0.00197736,0.181942,0.213097,0.132077,0.278727,226.342
-1171.49,0.959223,0.079043,6,63,0,1176.77,5133.18,0.316742,0.017784,0.118532,0.237188,0.175943,0.152747,195.216
-1172.49,0.964684,0.079043,5,31,0,1174.08,5146.18,0.320968,0.0216984,0.125511,0.238343,0.152877,0.13504,185.07
-1172.77,0.735978,0.079043,5,63,0,1177.54,4972.19,0.315725,0.0202882,0.165975,0.286551,0.119639,0.269882,223.326
-1171.59,0.99678,0.079043,6,63,0,1176.05,5061.73,0.325458,0.0460085,0.134733,0.235099,0.181316,0.0971918,191.663
-1172.63,0.972471,0.079043,6,63,0,1175.48,5171.34,0.313723,0.00191812,0.136408,0.261059,0.072244,0.18512,200.371
-1171.88,0.96303,0.079043,6,63,0,1176.1,5144.6,0.324732,-0.00788163,0.147138,0.251765,0.0916863,0.18509,205.104
-1171,0.987936,0.079043,6,63,0,1178.58,4837.6,0.322522,0.0537716,0.161556,0.273971,0.232598,0.231596,213.273
-1170.24,0.997693,0.079043,6,63,0,1173.57,5049.78,0.324119,0.0296419,0.159236,0.266978,0.114718,0.124679,197.701
-1170.55,0.964902,0.079043,6,63,0,1174.07,5038.81,0.32154,0.0282791,0.136522,0.235098,0.186498,0.215492,213.523
-1171.39,0.9864,0.079043,6,63,0,1172.92,4947.44,0.33188,0.0289657,0.160259,0.218939,0.224224,0.218013,201.501
-1171.04,0.965883,0.079043,5,31,0,1172.78,4934.45,0.325702,0.0114893,0.168326,0.233547,0.224252,0.219918,204.613
-1171.09,0.962833,0.079043,6,63,0,1173.56,5031.59,0.298857,0.0341691,0.151492,0.25081,0.17641,0.221144,209.638
-1171.12,0.988615,0.079043,6,63,0,1178.42,5096.89,0.328167,0.0447412,0.133466,0.237909,0.103937,0.14323,203.678
-1172.43,0.952289,0.079043,6,63,0,1174.21,5015.66,0.298918,0.0243282,0.172665,0.250156,0.168016,0.198862,220.256
-1175.06,0.927697,0.079043,5,63,0,1179.46,4981.54,0.296466,0.024442,0.180727,0.274406,0.212064,0.199474,223.742
