# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\xu9dt5zw.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120403_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0750645
# Diagonal elements of inverse mass matrix:
# 8840.99, 0.000111266, 0.00046166, 0.000436025, 0.00108807, 0.00128836, 0.00250683, 0.00176995
-1766.71,0.999714,0.0750645,6,63,0,1771.52,5232.57,0.30165,-0.0454554,0.167652,0.207243,0.223007,0.066137,207.021
-1764,0.999923,0.0750645,6,63,0,1770.31,5020.4,0.28216,0.0737149,0.200532,0.238825,0.194945,0.0564012,214.602
-1761.49,0.998128,0.0750645,5,31,0,1765.38,5017.2,0.292317,0.0636503,0.183624,0.23665,0.223972,0.0483406,213.019
-1760.67,0.984584,0.0750645,6,63,0,1764.67,5065.73,0.302449,0.00639505,0.170212,0.302531,0.149645,0.0708962,211.472
-1764.36,0.867497,0.0750645,6,63,0,1767,4933.86,0.279123,0.0538091,0.198089,0.306503,0.25146,0.0655838,211.954
-1768.9,0.962582,0.0750645,5,31,0,1771.39,4938.22,0.273492,0.0774706,0.194281,0.299474,0.26077,0.0385127,202.083
-1769.73,0.999663,0.0750645,6,63,0,1772.48,5283.85,0.308411,-0.0486626,0.145772,0.21308,0.147712,0.0937705,222.194
-1765.82,0.948481,0.0750645,5,63,0,1773.28,5030.26,0.26758,0.0550615,0.214234,0.268518,0.204141,0.0179873,208.919
-1761.68,0.998936,0.0750645,6,63,0,1768.6,5090.53,0.299665,-0.0129985,0.14106,0.30697,0.200472,0.110331,207.237
-1763.15,0.834093,0.0750645,6,63,0,1766.87,4988.33,0.29797,0.00581538,0.167262,0.333904,0.19809,0.0475557,203.546
-1763.51,0.96353,0.0750645,6,63,0,1766.76,5053.65,0.282915,0.0401161,0.166024,0.246387,0.245189,0.0528041,219.565
-1769.66,0.994189,0.0750645,5,31,0,1771.36,5044.43,0.30429,-0.0318897,0.136833,0.263967,0.277651,0.147613,213.292
-1768.17,0.950299,0.0750645,3,15,0,1772.46,5095.16,0.302678,-0.0173516,0.138515,0.269541,0.264084,0.14757,214.414
-1761.18,0.977188,0.0750645,5,63,0,1770.38,5002.65,0.307851,0.0227723,0.157378,0.247219,0.259284,0.100372,209.667
-1763.61,0.997546,0.0750645,6,63,0,1765.55,4960.45,0.27795,0.0540789,0.193615,0.266218,0.272393,0.0726478,223.21
-1761.29,0.897041,0.0750645,6,63,0,1766.65,5036.65,0.29704,0.0308432,0.150598,0.259898,0.222064,0.106608,203.483
-1763.27,0.834469,0.0750645,6,63,0,1768.7,5142.79,0.295272,0.0021289,0.141935,0.325597,0.135325,0.0695452,219.248
-1760.16,0.99495,0.0750645,5,63,0,1764.9,5003.91,0.284054,0.0169518,0.199698,0.27591,0.19941,0.113229,210.756
-1761.74,0.891055,0.0750645,6,63,0,1767.09,5095.47,0.301706,0.0271089,0.158468,0.220954,0.24345,0.0329711,213.099
-1763.38,0.998372,0.0750645,6,63,0,1765.53,5150.41,0.286375,0.00163496,0.200555,0.244401,0.122436,0.077727,206.007
-1762.35,0.982179,0.0750645,6,63,0,1767.71,5000.84,0.295732,0.0329227,0.140902,0.287986,0.290454,0.0702302,211.172
-1762.72,0.98969,0.0750645,6,63,0,1764.39,5001.72,0.295245,0.0108946,0.222015,0.280784,0.148449,0.0930562,210.513
-1762.06,0.987918,0.0750645,5,31,0,1765.91,4948.52,0.29566,0.0298028,0.215921,0.266585,0.198578,0.112625,221.421
-1764.92,0.827334,0.0750645,5,63,0,1767.22,4972.01,0.296812,0.0373359,0.176613,0.279496,0.191323,0.0945338,230.383
-1762.27,0.931041,0.0750645,6,63,0,1770.75,4956.16,0.289228,0.0150946,0.207767,0.250534,0.268153,0.12527,205.083
-1762.82,0.972314,0.0750645,6,63,0,1765.55,5029.13,0.303088,0.0219483,0.155185,0.338608,0.149341,0.0485871,215.016
-1761.21,0.993835,0.0750645,6,63,0,1765.64,5095.01,0.279988,0.010578,0.180538,0.22573,0.253732,0.114628,205.413
-1760.93,0.988838,0.0750645,6,63,0,1763.82,5045.97,0.285261,0.0318385,0.154761,0.274959,0.257796,0.069806,198.762
-1759.91,0.994457,0.0750645,6,63,0,1763.01,5116.78,0.287236,0.000941643,0.171538,0.26561,0.182362,0.12042,201.979
-1761.59,0.997469,0.0750645,5,63,0,1763.28,5035.25,0.291448,0.0534152,0.153011,0.275555,0.175886,0.137002,204.947
-1763.37,0.950676,0.0750645,6,63,0,1770.77,5071.82,0.296258,0.0240069,0.1616,0.31319,0.11466,0.0906494,204.032
-1761.69,0.994514,0.0750645,6,63,0,1767.94,5033.92,0.290268,0.0333695,0.141478,0.300274,0.212011,0.116888,196.511
-1764.45,0.705436,0.0750645,6,63,0,1768.32,4970.35,0.302508,0.0140736,0.183277,0.257497,0.220195,0.112471,196.623
-1760.56,0.999653,0.0750645,5,51,0,1765.63,5081.11,0.296012,0.00271239,0.176545,0.270073,0.205693,0.0763592,195.533
-1761.8,0.935099,0.0750645,6,63,0,1765.92,5098.33,0.290404,0.0233122,0.168877,0.25236,0.217989,0.0756157,229.235
-1761.42,0.995778,0.0750645,5,63,0,1763.49,5044.07,0.289084,0.0340213,0.16849,0.274792,0.225855,0.0792009,227.547
-1765.76,0.93442,0.0750645,5,63,0,1768.08,4981.96,0.289857,0.0681187,0.173604,0.298304,0.22325,0.04386,231.126
-1763.13,0.995893,0.0750645,6,63,0,1768.79,4940.73,0.306248,0.0465633,0.164404,0.258036,0.290299,0.0484487,217.744
-1763.36,0.995616,0.0750645,6,63,0,1767.88,5046.23,0.30674,0.0381667,0.206252,0.25296,0.159826,-0.00886372,214.464
-1763.79,0.937053,0.0750645,6,63,0,1769.53,5181.75,0.277109,-0.0299246,0.15877,0.287264,0.165171,0.121777,210.85
-1763.08,0.99517,0.0750645,6,63,0,1766.81,4921.04,0.30733,0.0596359,0.189263,0.245686,0.249969,0.0449646,209.413
-1763.63,0.952874,0.0750645,6,63,0,1769.4,4987.03,0.302679,0.0179307,0.142314,0.333109,0.167382,0.154305,221.79
-1761.05,0.978258,0.0750645,6,63,0,1765.95,5011.58,0.286793,0.0399678,0.17145,0.251231,0.280122,0.0805314,207.893
-1761.93,0.98968,0.0750645,6,63,0,1766.93,5041.27,0.29863,0.000580383,0.173068,0.32073,0.13548,0.106571,208.731
-1759.75,0.976569,0.0750645,5,63,0,1764.5,4994.74,0.30693,0.0121121,0.177925,0.293661,0.196636,0.0792855,206.063
-1760.44,0.970184,0.0750645,5,31,0,1761.41,4996.5,0.307218,0.00553323,0.194419,0.266647,0.202757,0.100123,209.849
-1761.83,0.721876,0.0750645,6,63,0,1771.49,5191.23,0.278154,0.0216803,0.148172,0.271991,0.206263,0.00200806,220.204
-1762.76,0.998687,0.0750645,5,31,0,1765.57,5255.24,0.273378,0.02138,0.140893,0.268417,0.181797,-0.00676571,209.933
