# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\xu9dt5zw.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120403_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0751719
# Diagonal elements of inverse mass matrix:
# 9156.56, 0.00012059, 0.000420264, 0.0004315, 0.00132022, 0.0014676, 0.00251006, 0.00178868
-1763.01,0.970236,0.0751719,6,63,0,1766.12,5159.25,0.285958,0.0474316,0.149615,0.193465,0.226448,0.091096,218.301
-1766.78,0.974166,0.0751719,5,31,0,1768.38,5190.94,0.27012,0.052473,0.134662,0.201232,0.237368,0.136141,221.263
-1766.03,0.98229,0.0751719,5,63,0,1772.08,5118.89,0.272216,0.0400578,0.133142,0.227351,0.263966,0.158383,220.665
-1764.78,0.99468,0.0751719,6,63,0,1769.8,4886.31,0.314435,0.00662292,0.202975,0.338305,0.179185,0.0569571,204.407
-1765.3,0.963505,0.0751719,6,63,0,1769.79,4873.93,0.286098,0.0237313,0.215171,0.283258,0.276398,0.142247,229.85
-1763.45,0.993205,0.0751719,6,63,0,1770.49,4840.43,0.301134,0.0128239,0.192284,0.352928,0.223863,0.135244,199.028
-1763.03,0.959395,0.0751719,6,63,0,1766.38,5257.08,0.291795,0.0254008,0.145036,0.210914,0.188997,-0.0190037,214.176
-1762.05,0.986246,0.0751719,6,63,0,1766.58,5062.88,0.2912,0.0455464,0.16321,0.227293,0.261491,0.0465232,221.567
-1760.12,0.992053,0.0751719,6,63,0,1763.83,5038.06,0.280173,0.00328211,0.17709,0.290084,0.223975,0.131294,206.291
-1761.95,0.820603,0.0751719,5,47,0,1763.56,5164.3,0.296074,0.022326,0.166114,0.236695,0.190985,0.0474228,217.897
-1762.23,0.992425,0.0751719,5,63,0,1767.99,5126.01,0.297325,0.00759242,0.167995,0.239079,0.177436,0.0695335,221.494
-1763.43,0.968734,0.0751719,6,63,0,1767.59,4886.8,0.30501,0.0473198,0.185702,0.274852,0.241176,0.143776,195.062
-1760.09,0.971268,0.0751719,6,63,0,1765.61,5012.84,0.301126,0.035751,0.16453,0.284912,0.171796,0.122986,207.229
-1760.3,0.960508,0.0751719,6,63,0,1764.12,5118.98,0.282407,-0.008666,0.177153,0.27513,0.231166,0.0515325,207.821
-1764.43,0.915439,0.0751719,6,63,0,1768.3,4921.31,0.317971,0.0482804,0.177969,0.255147,0.181866,0.149908,204.167
