# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\gpdja151.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120410_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0781099
# Diagonal elements of inverse mass matrix:
# 4810.75, 9.495e-005, 0.000305874, 0.000321834, 0.000714549, 0.00102558, 0.00195601, 0.00131072
-2326.35,0.967636,0.0781099,5,63,0,2330.14,4843.34,0.296476,0.0497059,0.254619,0.263196,0.179317,0.11258,191.094
-2323.96,0.999091,0.0781099,4,15,0,2326.87,4844.46,0.298514,0.0524211,0.252831,0.254692,0.168746,0.122276,194.584
-2324.23,0.963761,0.0781099,6,63,0,2328.18,5027.08,0.315207,0.061896,0.199427,0.214221,0.0873506,0.125405,204.035
-2323.9,0.998206,0.0781099,6,63,0,2326.78,5007.9,0.297392,0.0761772,0.236689,0.18799,0.104734,0.0948239,194.63
-2329.84,0.985688,0.0781099,5,31,0,2331.83,4997.62,0.322565,0.0782777,0.231741,0.162232,0.0852093,0.0843366,217.461
-2326.43,0.870275,0.0781099,5,63,0,2335.57,4891.06,0.294855,0.0542288,0.23457,0.215509,0.182594,0.157314,192.151
-2325.37,0.9443,0.0781099,6,63,0,2329.73,4924.7,0.294469,0.0524963,0.22773,0.221646,0.179757,0.170019,193.014
-2324.56,0.999895,0.0781099,6,63,0,2328.31,4918.25,0.305926,0.0424557,0.233137,0.246949,0.129144,0.150993,213.907
-2324.82,0.946294,0.0781099,5,63,0,2327.6,4944.77,0.315748,0.0809651,0.237482,0.195824,0.10326,0.116436,194.617
-2323.84,0.999294,0.0781099,6,63,0,2329.25,4856.52,0.315676,0.0813436,0.214207,0.248176,0.156703,0.0959165,198.186
-2324.9,0.952137,0.0781099,5,31,0,2326.26,4865.91,0.319135,0.0822713,0.20381,0.242257,0.164902,0.10318,201.431
-2325.74,0.990078,0.0781099,5,63,0,2332.62,4887.92,0.318076,0.0838735,0.197813,0.239594,0.169755,0.0962928,199.542
-2326.22,0.898745,0.0781099,6,63,0,2333.04,5059.25,0.300463,0.0403148,0.2471,0.211512,0.0523951,0.0856474,207.138
-2327.69,0.827348,0.0781099,6,63,0,2333.42,4983.75,0.292363,0.0559208,0.253587,0.249498,0.0720981,0.111251,202.161
-2326.93,0.998188,0.0781099,6,63,0,2333.47,4846.41,0.330548,0.0562334,0.221302,0.230385,0.176539,0.12513,203.165
-2326.43,0.999383,0.0781099,6,63,0,2331.69,4760.19,0.30805,0.0579216,0.273346,0.255368,0.174617,0.111581,205.883
-2326.4,0.997446,0.0781099,6,63,0,2330.1,4734.4,0.315067,0.0473362,0.237833,0.289644,0.165192,0.20788,203.142
-2333.97,0.973664,0.0781099,5,31,0,2337.99,4712.75,0.308091,0.0183907,0.261238,0.3217,0.152404,0.203431,191.584
-2328.61,0.977488,0.0781099,5,31,0,2338.58,4748.22,0.298645,0.0526237,0.270826,0.306978,0.125447,0.161343,195.07
-2326.54,0.933051,0.0781099,6,63,0,2333.72,4813.84,0.317221,0.0909388,0.210025,0.288706,0.107081,0.141676,199.183
-2323.98,0.996653,0.0781099,6,63,0,2330.54,4922.03,0.30114,0.0381231,0.258985,0.222273,0.15018,0.0958107,199.672
-2324.69,0.912707,0.0781099,6,63,0,2329.3,4957.03,0.304961,0.0798855,0.192945,0.239294,0.106435,0.162355,198.725
-2323.2,0.76418,0.0781099,5,31,0,2328.75,4961.15,0.316359,0.0424333,0.227799,0.205019,0.122139,0.112568,198.165
-2323.18,0.985559,0.0781099,5,63,0,2325.68,4901.35,0.315005,0.0614485,0.229913,0.240687,0.0959032,0.117809,197.123
-2326.41,0.998238,0.0781099,5,31,0,2327.81,4887.27,0.307944,0.0611,0.20976,0.27236,0.0963564,0.216971,195.66
-2327.41,0.992339,0.0781099,6,63,0,2332.97,4773.44,0.319824,0.0530725,0.252043,0.287625,0.153198,0.0908876,188.57
-2324.53,0.999973,0.0781099,5,31,0,2329.88,4825.5,0.321548,0.0474837,0.253573,0.257928,0.129883,0.0937787,202.311
-2321.93,0.996019,0.0781099,6,63,0,2328.59,4965.32,0.313389,0.0557611,0.221254,0.20578,0.112537,0.142672,202.435
-2322.49,0.935133,0.0781099,6,63,0,2323.97,4963.2,0.301093,0.056862,0.223649,0.234181,0.128338,0.086325,195.142
-2322.9,0.999681,0.0781099,5,63,0,2324.17,4963.37,0.300818,0.0503683,0.228789,0.238273,0.113611,0.133938,209.179
-2322.05,0.993493,0.0781099,5,31,0,2325.93,4938.51,0.308099,0.0582573,0.225943,0.230324,0.124645,0.108639,207.83
-2324.31,0.978904,0.0781099,5,31,0,2326.05,5005.56,0.315464,0.048207,0.198887,0.234982,0.0909129,0.139385,192.349
