# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\gpdja151.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120410_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.081132
# Diagonal elements of inverse mass matrix:
# 5777.7, 7.85416e-005, 0.000268977, 0.000311206, 0.000793886, 0.00100642, 0.00204617, 0.00126322
-2323.38,0.999957,0.081132,6,63,0,2327.19,4996.94,0.29718,0.0582441,0.234533,0.212567,0.113324,0.0839171,193.104
-2324.21,0.99071,0.081132,5,63,0,2326.77,4948.12,0.295977,0.0627157,0.207985,0.230622,0.151003,0.143106,197.622
-2322.82,0.997335,0.081132,6,63,0,2327.18,4881.56,0.318838,0.0551179,0.232534,0.244585,0.122306,0.0970775,201.232
-2322.08,0.983041,0.081132,6,63,0,2327.05,4887.84,0.298617,0.0691994,0.234586,0.237126,0.138258,0.156136,198.93
-2323.66,0.979437,0.081132,5,31,0,2324.74,4889.8,0.295072,0.068748,0.251624,0.23287,0.117256,0.159866,205.796
-2323.74,0.995808,0.081132,6,63,0,2327.29,4948.5,0.324442,0.0446625,0.228266,0.203164,0.11809,0.114397,196.775
-2326.29,0.995935,0.081132,5,31,0,2329.52,4956.53,0.328671,0.0508951,0.212637,0.180157,0.124198,0.166132,204.317
-2326.53,0.984598,0.081132,6,63,0,2330.25,5009.94,0.324264,0.0399083,0.186445,0.196593,0.141498,0.144133,198.692
-2322.1,0.999577,0.081132,5,63,0,2328.96,4985,0.298346,0.0458119,0.223475,0.228632,0.143565,0.0979126,198.118
-2323.28,0.992611,0.081132,5,63,0,2324.64,4908.4,0.299992,0.054545,0.211717,0.258156,0.156059,0.157295,195.241
-2323.92,0.971398,0.081132,5,63,0,2326.36,4883.93,0.297118,0.0818937,0.222258,0.232701,0.156337,0.148497,203.277
-2323.73,0.943156,0.081132,6,63,0,2328.04,4970.11,0.320104,0.0436242,0.228123,0.220419,0.0952918,0.0873678,198.371
-2324.24,0.936723,0.081132,6,63,0,2327.11,4957.58,0.289515,0.0764423,0.226104,0.220988,0.122651,0.140966,200.525
-2325.58,0.992929,0.081132,6,63,0,2327.28,4958.77,0.316636,0.0245587,0.230424,0.245122,0.0960893,0.102344,190.332
-2324.97,0.943294,0.081132,6,63,0,2328.83,4872.71,0.29854,0.0846959,0.224098,0.224657,0.171837,0.147142,208.494
-2323.66,0.924135,0.081132,6,63,0,2329.18,4999.43,0.310901,0.0536961,0.212038,0.229814,0.0965856,0.0811436,204.318
-2323.86,0.994806,0.081132,5,63,0,2326.28,4950.49,0.321716,0.0478882,0.214041,0.242643,0.0855706,0.12209,194.586
-2323.91,0.832815,0.081132,5,31,0,2328.49,4960.63,0.320391,0.0501725,0.207644,0.238756,0.103933,0.134906,196.759
-2325.56,0.865641,0.081132,5,31,0,2329.79,5001.88,0.305479,0.0622526,0.199956,0.273169,0.0938827,0.0660842,200.444
-2324.82,0.977913,0.081132,5,63,0,2329.77,5011.63,0.312167,0.044712,0.189094,0.227168,0.139754,0.137544,196.515
-2325.54,0.993418,0.081132,5,63,0,2329.48,4940.44,0.307174,0.0311751,0.231671,0.21969,0.115702,0.223505,198.192
-2328.95,0.926546,0.081132,6,63,0,2332.24,4908.11,0.308274,0.0753888,0.235808,0.211797,0.180652,0.0171473,211.09
-2328.63,0.990513,0.081132,5,63,0,2333.07,4878.74,0.3038,0.0843222,0.267172,0.207444,0.153135,0.0758279,213.017
-2328.62,0.903705,0.081132,6,63,0,2336.3,5099.55,0.30209,0.0393601,0.195858,0.239951,0.0633804,0.133568,192.162
-2324.66,0.963692,0.081132,5,63,0,2330.27,5076.06,0.300338,0.039886,0.20852,0.224695,0.120163,0.0791051,197.542
-2323.47,0.923996,0.081132,6,63,0,2327.98,4919.53,0.316254,0.0704692,0.225911,0.214117,0.0932584,0.141316,199.334
-2325.01,0.998695,0.081132,5,31,0,2327.21,4895.29,0.302136,0.0283024,0.241734,0.275579,0.134593,0.102143,205.391
-2323.21,0.998991,0.081132,5,63,0,2328.19,4941.82,0.295234,0.0436707,0.245141,0.249001,0.115548,0.109643,202.803
-2327.56,0.992951,0.081132,5,31,0,2328.8,4961.82,0.320435,0.0673136,0.213786,0.190989,0.142824,0.110272,180.927
-2323.52,0.981523,0.081132,5,63,0,2328.85,4899.21,0.304485,0.0672332,0.232047,0.255571,0.0970311,0.126511,209.595
-2322.67,0.987284,0.081132,6,63,0,2325.63,4879.2,0.312969,0.0591979,0.23491,0.220147,0.159842,0.128637,189.511
-2323.16,0.999782,0.081132,6,63,0,2324.03,4850.49,0.309898,0.0696426,0.231487,0.261524,0.118015,0.146163,209.631
-2323.9,0.997473,0.081132,6,63,0,2327.8,4838.98,0.309673,0.0489002,0.250874,0.242612,0.134507,0.167726,187.968
-2324,0.98875,0.081132,6,63,0,2326.51,4847.76,0.31651,0.057056,0.22088,0.244805,0.131173,0.198945,189.979
-2325.64,0.976991,0.081132,5,63,0,2329.53,4975.56,0.311,0.0267384,0.232425,0.193475,0.120994,0.197145,192.908
-2325.53,1,0.081132,6,63,0,2327.5,4893.88,0.302913,0.0769885,0.219255,0.264698,0.15684,0.0562129,209.757
-2322.67,0.971838,0.081132,5,63,0,2327.84,4981.76,0.305158,0.0616365,0.212397,0.217815,0.150279,0.0755788,196.108
