# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\srsco1az.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120417_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0669613
# Diagonal elements of inverse mass matrix:
# 5257.11, 8.13941e-005, 0.000286918, 0.00028211, 0.00090769, 0.000974373, 0.00173191, 0.00110876
-2931.01,0.98839,0.0669613,6,63,0,2934.95,5017.82,0.299548,0.0336801,0.209416,0.246233,0.151998,0.118493,216.981
-2930.2,0.991696,0.0669613,6,63,0,2932.44,4988.66,0.287456,0.0454827,0.208863,0.241664,0.169177,0.161285,201.239
-2933.91,0.895762,0.0669613,6,63,0,2936.2,5066.74,0.291269,0.0243318,0.223354,0.196732,0.1711,0.100301,204.664
-2933.6,0.997909,0.0669613,6,63,0,2938.79,4987.65,0.283934,0.0238114,0.178992,0.278628,0.225932,0.16333,218.855
-2932.39,0.971198,0.0669613,6,63,0,2938.93,4866.8,0.303643,0.0615012,0.206182,0.306431,0.174046,0.109209,201.713
-2933.86,0.999997,0.0669613,6,63,0,2935.06,4862.92,0.296506,0.0695932,0.204467,0.313726,0.181374,0.0849002,203.172
-2932.42,0.971973,0.0669613,6,63,0,2941.77,4973.73,0.28689,0.0287838,0.208275,0.251513,0.166575,0.218262,222.412
-2933.37,0.90764,0.0669613,6,63,0,2937.06,5069.42,0.283773,0.026463,0.210499,0.257024,0.143558,0.122431,214.997
-2931.7,0.995792,0.0669613,6,63,0,2934.92,4976.28,0.291247,0.0375999,0.191404,0.25207,0.194967,0.147894,203.403
