# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\srsco1az.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120417_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0818587
# Diagonal elements of inverse mass matrix:
# 5853.58, 8.48465e-005, 0.000263601, 0.000261594, 0.000894194, 0.000884495, 0.00156954, 0.00109211
-2934.24,0.930078,0.0818587,5,31,0,2939.07,4918.7,0.294514,0.0542809,0.245149,0.24768,0.146645,0.110506,198.192
-2932.29,0.999693,0.0818587,6,63,0,2937.44,4838.46,0.30445,0.0316018,0.2156,0.294539,0.190465,0.199946,222.388
-2932.48,0.996023,0.0818587,5,63,0,2937.51,4879.16,0.298757,0.0496698,0.197328,0.305589,0.225174,0.0885348,207.99
-2933.85,0.998581,0.0818587,5,31,0,2937.05,4869.72,0.30309,0.0462674,0.206894,0.282958,0.241133,0.0817511,199.69
-2933.05,0.996589,0.0818587,5,31,0,2936.41,4844.42,0.31109,0.0508723,0.211394,0.289622,0.21525,0.0855832,203.155
-2932.7,0.979856,0.0818587,5,31,0,2938.35,4813.62,0.303914,0.0679303,0.228038,0.233868,0.211479,0.202368,218.469
-2935.63,0.940809,0.0818587,5,63,0,2942.08,5060.44,0.296408,0.0504059,0.203869,0.233142,0.162176,0.0321817,224.126
-2937.43,0.994792,0.0818587,5,63,0,2938.63,5063.57,0.296785,0.0533953,0.193201,0.25361,0.162812,0.0106458,223.994
-2930.43,0.999043,0.0818587,5,31,0,2939.05,4922.76,0.302903,0.0594461,0.205697,0.25509,0.185953,0.112294,217.883
-2932.79,0.985451,0.0818587,5,31,0,2934.54,4972.94,0.28721,0.0165607,0.225239,0.238996,0.15981,0.219077,214.115
-2932.98,0.999108,0.0818587,6,63,0,2936.34,4915.71,0.310855,0.0577978,0.195485,0.271796,0.191138,0.089149,203.456
-2932.1,0.838109,0.0818587,5,63,0,2936.22,4901.27,0.312933,0.0574662,0.212061,0.266591,0.170811,0.0891868,206.778
-2933.02,0.967028,0.0818587,5,31,0,2938.29,4886.89,0.297179,0.0461677,0.225468,0.262631,0.24472,0.0705332,206.538
-2933.48,0.989594,0.0818587,6,63,0,2939.67,4833.06,0.302825,0.0473634,0.200472,0.251881,0.235306,0.231054,201.629
-2933.1,0.872421,0.0818587,5,31,0,2936.86,4850.72,0.299347,0.0448554,0.211964,0.245516,0.20289,0.241797,202.201
-2934.72,0.928292,0.0818587,5,31,0,2939.86,4929.42,0.285106,0.0334534,0.220939,0.299425,0.162914,0.150996,229.826
