# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\eubpgui4.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120426_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0766313
# Diagonal elements of inverse mass matrix:
# 4346.84, 5.65018e-005, 0.000224528, 0.000243556, 0.000556735, 0.000700653, 0.00116451, 0.000775057
-3507.31,0.930874,0.0766313,5,63,0,3513.16,4988.99,0.319783,0.0572206,0.179269,0.262833,0.153769,0.0266858,204.143
-3507.3,0.994466,0.0766313,6,63,0,3509.75,4931.47,0.30822,0.0582758,0.19988,0.27256,0.164718,0.0677931,207.521
-3507.63,0.828489,0.0766313,6,63,0,3513,5069.9,0.321357,0.0538194,0.174346,0.245927,0.108832,0.0236898,210.397
-3509.52,0.905192,0.0766313,5,63,0,3516.83,4969.74,0.30872,0.0317313,0.193313,0.280125,0.162007,0.0977927,211.357
-3511.66,0.955945,0.0766313,5,31,0,3513.57,4943.54,0.316929,0.0195774,0.190581,0.277436,0.160437,0.112852,207.833
-3508.66,0.954051,0.0766313,6,63,0,3514.46,5067.8,0.30844,0.0630913,0.189552,0.228071,0.116498,0.0192693,206.506
-3511.41,0.989117,0.0766313,5,63,0,3516.14,5051.27,0.310509,0.0277626,0.200717,0.248755,0.0972483,0.0879527,194.972
-3510.59,0.95418,0.0766313,6,63,0,3517.21,5013.46,0.315185,0.0527324,0.174924,0.276398,0.157217,0.00917303,221.902
-3509.92,0.99103,0.0766313,6,63,0,3518.55,5124.06,0.306446,0.0453474,0.170973,0.224513,0.110156,0.0901346,197.511
-3509.37,0.929926,0.0766313,5,31,0,3512.74,5123.75,0.308569,0.0492339,0.162959,0.237031,0.113807,0.0732733,199.622
-3509.35,0.999946,0.0766313,6,63,0,3512.02,4917.87,0.314567,0.0488235,0.220857,0.263993,0.155496,0.040177,214.094
-3516.43,0.989647,0.0766313,5,63,0,3518.96,4981.33,0.308078,0.0640008,0.229564,0.219733,0.180946,-0.0381113,216.636
-3510.66,0.999953,0.0766313,5,31,0,3519.84,4992.48,0.306451,0.0448358,0.215718,0.243223,0.181425,-0.00143823,211.06
-3508.04,0.995147,0.0766313,5,63,0,3514.11,4986.85,0.317877,0.0656804,0.206447,0.230046,0.13397,0.0296744,206.986
-3508.92,0.88592,0.0766313,6,63,0,3511.35,5024.2,0.311147,0.0391257,0.169874,0.291061,0.135827,0.0706769,205.221
-3507.82,0.982082,0.0766313,5,31,0,3511.36,5021.83,0.309513,0.0337777,0.191708,0.275575,0.112455,0.0600631,209.161
-3506.58,0.996082,0.0766313,6,63,0,3509.11,5027.9,0.317163,0.0622434,0.185111,0.238442,0.133092,0.0311623,204.729
-3509.23,0.998095,0.0766313,5,63,0,3510.57,5045.11,0.30315,0.0489605,0.197253,0.217467,0.142544,0.103823,208.124
-3510.4,0.999344,0.0766313,6,63,0,3514.53,4956.46,0.311768,0.0784353,0.168541,0.288763,0.155185,0.0425622,215.458
-3508.9,0.996138,0.0766313,5,63,0,3514.14,5065.73,0.322757,0.0510359,0.164687,0.250068,0.129884,0.0113229,211.927
-3507.75,0.99982,0.0766313,5,63,0,3511.02,4969.76,0.310295,0.0571819,0.210094,0.236198,0.155073,0.0602689,207.539
-3509.15,0.882528,0.0766313,6,63,0,3512.15,5065.87,0.315676,0.0476,0.186371,0.265942,0.0707176,0.0468412,215.443
-3508.07,0.995904,0.0766313,6,63,0,3511.17,5033.03,0.305267,0.0579133,0.182256,0.243263,0.169828,0.0366375,200.064
-3507.06,0.948772,0.0766313,5,31,0,3511.66,4996.16,0.315297,0.0540219,0.185179,0.28509,0.107824,0.0538667,207.585
-3510.94,0.896515,0.0766313,5,63,0,3513.16,4887.9,0.31316,0.0554609,0.195861,0.293515,0.15919,0.108146,220.017
-3509.69,0.999445,0.0766313,6,63,0,3514,4946.55,0.300375,0.0586768,0.191971,0.292797,0.167444,0.0568071,216.055
-3510.21,0.909058,0.0766313,6,63,0,3513.76,4942.23,0.326396,0.0481158,0.203769,0.257804,0.143173,0.043054,196.51
-3511.7,0.915839,0.0766313,5,31,0,3515.03,4907.33,0.31273,0.0619916,0.22338,0.260372,0.151424,0.0315954,198.155
-3509.67,0.973263,0.0766313,6,63,0,3515.23,5019.29,0.320665,0.0549747,0.17351,0.263595,0.0918868,0.0698082,212.794
-3509.43,0.997872,0.0766313,6,63,0,3511.17,5042.01,0.301876,0.0463558,0.197816,0.236511,0.161482,0.0242876,202.426
-3509.32,0.951857,0.0766313,6,63,0,3513.04,4971.4,0.324226,0.0479809,0.177287,0.274943,0.115884,0.0801575,214.01
-3513.55,0.986474,0.0766313,5,31,0,3515.8,5015.34,0.32648,0.0421218,0.195273,0.216884,0.107908,0.128463,216.907
-3510.79,0.998933,0.0766313,6,63,0,3518.53,4953.07,0.314524,0.0602195,0.190594,0.274928,0.182409,0.00977357,197.746
-3512.64,0.956491,0.0766313,6,63,0,3514.96,5101.12,0.314563,0.0414888,0.18408,0.224583,0.0691797,0.0970681,220.53
-3508.92,0.995718,0.0766313,6,63,0,3515.55,5068.59,0.309591,0.0683791,0.189073,0.248863,0.122117,-0.0171761,211.088
-3511.24,0.901989,0.0766313,6,63,0,3513.82,4919.17,0.315413,0.0429387,0.197089,0.278023,0.153103,0.132541,205.053
-3509.59,0.999962,0.0766313,5,63,0,3514.2,5019.52,0.305668,0.0520597,0.188979,0.266286,0.115843,0.105266,201.491
-3508.84,0.999082,0.0766313,5,63,0,3516.03,5008.71,0.30621,0.0760075,0.184375,0.239592,0.151072,0.0384513,211.035
-3511.37,0.985926,0.0766313,5,31,0,3514.18,5079.52,0.305136,0.0662624,0.171329,0.198757,0.170271,0.073379,212.958
-3513.9,0.984919,0.0766313,6,63,0,3519.06,5079.4,0.311509,0.0634742,0.144716,0.298927,0.107069,-0.000355856,213.803
-3510.75,0.99013,0.0766313,5,63,0,3517.75,5120.7,0.309208,0.0566441,0.180383,0.22266,0.110056,0.0338893,223.395
-3507.97,0.993595,0.0766313,6,63,0,3513.17,4962.78,0.311008,0.0351521,0.204179,0.284139,0.126591,0.0762886,204.084
-3507.61,0.995583,0.0766313,6,63,0,3510.96,5109.35,0.316955,0.0502785,0.180234,0.232247,0.106533,0.00289314,208.512
-3507.49,0.999512,0.0766313,6,63,0,3510.02,4930.92,0.308571,0.056405,0.201104,0.268961,0.156179,0.0917631,206.701
-3511.2,0.995562,0.0766313,5,31,0,3513.02,4990.83,0.303217,0.0406397,0.189381,0.243207,0.210456,0.0722143,210.097
-3511.37,0.894827,0.0766313,6,63,0,3515.3,5106.65,0.322378,0.0465039,0.181176,0.257891,0.0506683,0.0169784,208.153
-3509.08,0.916595,0.0766313,5,31,0,3513.81,5118.65,0.30664,0.0536928,0.179648,0.222656,0.14685,0.0113199,211.59
-3509,0.920868,0.0766313,6,63,0,3513.61,4957.57,0.312458,0.0605821,0.204761,0.257851,0.143383,0.0796286,208.224
-3507.09,0.999614,0.0766313,6,63,0,3509.51,4953.66,0.313332,0.0580139,0.18669,0.274235,0.159367,0.0677267,205.41
-3509.82,0.96284,0.0766313,6,63,0,3512.17,5073.73,0.321467,0.0396922,0.189533,0.214024,0.0970505,0.079401,212.173
-3507.4,0.978186,0.0766313,5,63,0,3512.12,5057.01,0.307803,0.0454302,0.175537,0.268229,0.106399,0.0630472,206.333
-3507.45,0.980814,0.0766313,5,63,0,3510.35,5059,0.310273,0.0417932,0.172588,0.279008,0.113224,0.0584376,206.871
-3507.97,0.763089,0.0766313,5,63,0,3513.95,5091.39,0.313148,0.0424177,0.179565,0.264436,0.0994512,0.0285973,205.429
-3507.39,0.995629,0.0766313,6,63,0,3510.34,4962.57,0.313623,0.0620003,0.198435,0.246798,0.159315,0.0650751,211.286
-3507.26,0.985701,0.0766313,5,31,0,3508.53,4954.25,0.318683,0.0629163,0.195374,0.246407,0.15511,0.0513688,209.759
-3507.81,0.935094,0.0766313,6,63,0,3510.48,5048.21,0.305714,0.0465409,0.182733,0.28864,0.114464,0.0300637,209.031
