# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\eubpgui4.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120426_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.083948
# Diagonal elements of inverse mass matrix:
# 4292.92, 6.53956e-005, 0.000237682, 0.0002255, 0.000566251, 0.000752061, 0.00135003, 0.000806727
-3511.5,0.998888,0.083948,5,31,0,3516,5016.04,0.313896,0.0382338,0.209698,0.260559,0.0830611,0.072135,195.132
-3513.26,0.57316,0.083948,5,63,0,3521.19,4977.14,0.322253,0.0180467,0.197148,0.284169,0.146217,0.0597798,198.564
-3509.98,0.980315,0.083948,6,63,0,3516.29,5062.1,0.307047,0.0640509,0.159917,0.238723,0.15124,0.0550244,213.771
-3509.67,0.996127,0.083948,6,63,0,3514.83,4979.58,0.316995,0.0419828,0.216913,0.256588,0.108863,0.0523002,198.227
-3509.64,0.951173,0.083948,5,63,0,3511.59,5037.75,0.308727,0.0635269,0.15438,0.26248,0.15949,0.063663,213.593
-3512.04,0.836356,0.083948,5,63,0,3517.86,4989.09,0.30418,0.0531363,0.214856,0.236005,0.191682,-0.00391279,213.937
-3511.78,0.978579,0.083948,5,31,0,3513.8,4986.48,0.306136,0.0556126,0.211678,0.233777,0.194614,0.000223663,215.151
-3510.04,0.986135,0.083948,5,63,0,3513.64,5036.92,0.309615,0.053963,0.170067,0.280691,0.0840589,0.10355,202.706
-3511.41,0.927649,0.083948,5,31,0,3515.97,5064.33,0.314023,0.0387848,0.168549,0.253596,0.115913,0.087219,192.01
-3512.02,0.892853,0.083948,6,63,0,3518.9,4963.55,0.292203,0.0626952,0.185627,0.289442,0.154362,0.0939451,207.484
-3510.87,0.997219,0.083948,5,31,0,3519.12,4970.01,0.311753,0.0246075,0.187948,0.305014,0.134644,0.101296,206.779
-3513.05,0.994809,0.083948,5,31,0,3516.16,5036.26,0.316259,0.0234425,0.167172,0.287226,0.10288,0.130736,208.248
