# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\djtb4bu3.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120436_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0757603
# Diagonal elements of inverse mass matrix:
# 3490.21, 6.63095e-005, 0.000188422, 0.000195592, 0.000555889, 0.00051936, 0.00107025, 0.000690206
-4079.64,0.973697,0.0757603,5,31,0,4083.35,4905.93,0.305134,0.0712718,0.19328,0.225029,0.177554,0.207205,200.695
-4080.09,0.948415,0.0757603,6,63,0,4083.57,4887.96,0.317717,0.0394823,0.217854,0.263971,0.169633,0.113629,206.638
-4080.89,0.963936,0.0757603,6,63,0,4084.23,4996,0.302355,0.0521483,0.194499,0.201613,0.163735,0.216715,196.877
-4081.58,0.99024,0.0757603,6,63,0,4085.54,4862.01,0.320596,0.050188,0.206419,0.270625,0.186502,0.103411,212.732
-4080.02,0.930943,0.0757603,5,31,0,4083.6,4903.4,0.31657,0.0478327,0.20719,0.26713,0.172405,0.103387,207.165
-4077.83,0.995475,0.0757603,6,63,0,4086.46,4985.95,0.30693,0.0473882,0.191761,0.220515,0.185828,0.136541,199.676
-4078.33,0.990462,0.0757603,6,63,0,4080.38,5020.38,0.308088,0.0372862,0.187766,0.219522,0.177786,0.139339,207.267
-4080.47,0.977004,0.0757603,5,31,0,4082.01,5092.07,0.309182,0.0350661,0.175029,0.200368,0.146196,0.157005,206.333
-4086.85,0.994814,0.0757603,5,31,0,4089.05,5144,0.3079,0.0167548,0.190207,0.170056,0.113314,0.188061,207.6
-4077.86,0.999203,0.0757603,5,63,0,4089.17,5020.18,0.30491,0.0361715,0.194684,0.224977,0.162767,0.134894,203.73
-4079.3,0.999214,0.0757603,6,63,0,4081.22,4833.25,0.314336,0.0757094,0.20622,0.25085,0.175159,0.18237,204.191
-4079.26,0.984349,0.0757603,6,63,0,4082.6,4951.01,0.305201,0.0535721,0.209705,0.199134,0.169012,0.20009,201.152
-4079.74,0.999938,0.0757603,6,63,0,4081.8,4942.02,0.30903,0.028178,0.202169,0.254746,0.178408,0.142101,212.15
-4083.07,0.890736,0.0757603,5,31,0,4086.61,4957.39,0.309252,0.0180199,0.208066,0.262204,0.182703,0.10907,214.542
-4082.51,0.97574,0.0757603,6,63,0,4086.45,4849.4,0.312158,0.0860676,0.209582,0.228989,0.176026,0.182436,194.634
-4083.19,0.905966,0.0757603,5,63,0,4092.39,4942.82,0.293684,0.0751616,0.183841,0.245785,0.178583,0.172205,197.802
-4083.56,0.988454,0.0757603,6,63,0,4090.26,4863.33,0.327773,0.0265309,0.211625,0.247122,0.174292,0.186963,199.684
-4082.2,0.916738,0.0757603,5,63,0,4089.21,4890.64,0.300081,0.0489759,0.194958,0.283951,0.188075,0.146003,210.539
-4078.75,0.999901,0.0757603,5,31,0,4083.16,4927.93,0.306727,0.0565231,0.185072,0.25949,0.174015,0.149209,205.023
-4080.61,0.97451,0.0757603,5,31,0,4082.98,4939.88,0.313981,0.0619872,0.214381,0.203471,0.187356,0.108184,209.798
-4080.65,0.996151,0.0757603,6,63,0,4085.07,4917.44,0.306006,0.0396486,0.187122,0.280088,0.15767,0.194622,199.917
-4077.47,0.998437,0.0757603,5,63,0,4083.35,4954.28,0.303527,0.054039,0.197257,0.233655,0.156707,0.188662,205.939
-4076.97,0.986813,0.0757603,5,31,0,4078.08,4920.61,0.312623,0.0563665,0.204969,0.241522,0.162746,0.140088,202.005
-4079.15,0.981067,0.0757603,5,47,0,4081.46,4983.68,0.317345,0.026585,0.197608,0.220086,0.168407,0.15164,205.233
