# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\djtb4bu3.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120436_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0733358
# Diagonal elements of inverse mass matrix:
# 3974.69, 5.41466e-005, 0.000160585, 0.000226244, 0.000500065, 0.000640355, 0.00123005, 0.000704809
-4083.05,0.934323,0.0733358,5,31,0,4085.08,4820.12,0.30596,0.0847871,0.209908,0.225866,0.21731,0.193068,206.004
-4080.85,0.995262,0.0733358,5,63,0,4088.3,4981.56,0.309899,0.0381658,0.167921,0.267042,0.157258,0.16867,206.29
-4080.44,0.999928,0.0733358,6,63,0,4082.53,4894.13,0.307853,0.065914,0.228197,0.208731,0.182989,0.152492,200.154
-4081.14,0.857985,0.0733358,6,63,0,4084.06,5011.47,0.310567,0.0282312,0.183468,0.24567,0.142511,0.188326,207.42
-4081.09,0.751161,0.0733358,3,15,0,4086.41,5007.2,0.309179,0.0240397,0.179755,0.245463,0.145256,0.190252,209.251
-4080.14,0.943221,0.0733358,5,63,0,4083.57,4956.71,0.308016,0.0651836,0.213241,0.231299,0.160842,0.0988628,200.322
-4080.5,0.986024,0.0733358,6,63,0,4083.44,4830.68,0.316547,0.0591178,0.194517,0.255866,0.189686,0.214201,210.106
-4081.43,0.969595,0.0733358,6,63,0,4085.38,5079.12,0.300424,0.0455563,0.201738,0.209775,0.142654,0.0925362,198.577
-4081.33,0.999993,0.0733358,6,63,0,4084.89,4829.22,0.317938,0.0550024,0.193335,0.247387,0.200184,0.233025,206.949
-4081.59,0.996693,0.0733358,5,31,0,4084.1,4844.77,0.311444,0.062676,0.189172,0.257822,0.205436,0.199223,214.853
-4078.49,0.998256,0.0733358,6,63,0,4084.16,4996.22,0.310105,0.0321758,0.202496,0.217344,0.154461,0.163555,198.68
-4080.28,0.98528,0.0733358,6,63,0,4082.51,4840.77,0.314659,0.0768277,0.20326,0.258228,0.188742,0.144466,209.277
-4078.96,0.997926,0.0733358,6,63,0,4084.04,5035.23,0.305182,0.0306263,0.194368,0.212743,0.149872,0.173447,200.397
-4079.77,0.924,0.0733358,6,63,0,4082.49,4970.44,0.31179,0.0442656,0.198285,0.209255,0.173856,0.166451,215.506
-4078.78,0.980265,0.0733358,5,63,0,4083.4,4872.23,0.317766,0.0443485,0.208079,0.238066,0.182739,0.189807,208.308
-4081.24,0.989817,0.0733358,5,63,0,4083.41,4887.23,0.299045,0.057249,0.209851,0.233733,0.178172,0.234626,207.264
-4080.45,0.898512,0.0733358,6,63,0,4086.08,4998.43,0.306345,0.0591622,0.171131,0.220294,0.150926,0.206565,202.665
-4079.57,0.872254,0.0733358,6,63,0,4083.72,4902.97,0.310439,0.0406849,0.226026,0.250924,0.172642,0.115691,206.707
-4080.54,0.952644,0.0733358,6,63,0,4085.77,5023.52,0.307606,0.0561336,0.171974,0.220172,0.147446,0.196708,199.697
-4079.66,0.945277,0.0733358,6,63,0,4085.2,4873.13,0.308602,0.0682882,0.198335,0.25269,0.185909,0.156174,212.667
-4086.72,0.966322,0.0733358,5,63,0,4088.68,5046.5,0.302472,0.0486845,0.206909,0.19623,0.110944,0.167681,188.736
-4080.05,0.976852,0.0733358,6,63,0,4092.62,5020.35,0.309054,0.0560806,0.206378,0.186872,0.134835,0.170387,204.287
-4081.64,0.965123,0.0733358,6,63,0,4085.55,4861.54,0.308958,0.0443314,0.189092,0.271079,0.218047,0.17015,210.7
-4079.27,0.999302,0.0733358,6,63,0,4087.65,4884.79,0.322211,0.058572,0.19959,0.246793,0.167296,0.149214,198.669
-4082.56,0.97113,0.0733358,5,63,0,4085.65,4933.27,0.319515,0.0359597,0.222273,0.224806,0.172562,0.101781,195.236
-4083.5,0.948264,0.0733358,5,63,0,4088.12,4939.39,0.32274,0.041225,0.222469,0.212538,0.160582,0.123046,195.048
-4083.42,0.967618,0.0733358,6,63,0,4087.92,4906.84,0.299612,0.0526436,0.180554,0.281688,0.191939,0.193162,212.089
-4081.73,0.998116,0.0733358,6,63,0,4088.46,4908.12,0.324397,0.0465159,0.218572,0.225592,0.155293,0.145167,198.22
-4079.6,0.906822,0.0733358,5,63,0,4085.75,5004.64,0.309577,0.0606078,0.188394,0.208547,0.15231,0.136422,201.3
-4079.98,0.995622,0.0733358,6,63,0,4082.03,4873.41,0.304132,0.0477665,0.215407,0.259899,0.175377,0.163315,208.932
-4081.46,0.964391,0.0733358,6,63,0,4085.91,4987.91,0.315971,0.0585651,0.173617,0.222732,0.142117,0.166658,203.341
-4081.35,0.893392,0.0733358,6,63,0,4087.74,4857.95,0.303078,0.0676912,0.223795,0.251045,0.179764,0.166832,197.793
-4082.42,0.935754,0.0733358,6,63,0,4086.1,5074.65,0.311717,0.0373806,0.173822,0.2061,0.141587,0.140829,211.339
