# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8yivg3mo.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120448_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0833673
# Diagonal elements of inverse mass matrix:
# 2945.45, 4.54733e-005, 0.000157848, 0.000145643, 0.000448493, 0.000576594, 0.000917441, 0.000750136
-4673.11,0.71993,0.0833673,5,31,0,4676.73,4918.96,0.307436,0.0426732,0.207039,0.244563,0.136417,0.170181,216.427
-4667.43,0.952683,0.0833673,5,63,0,4674.84,4926.23,0.311384,0.0424664,0.217448,0.247925,0.125856,0.141565,206.742
-4668.38,0.989434,0.0833673,5,31,0,4669.49,4955.45,0.288191,0.0569333,0.208427,0.237717,0.152233,0.192762,203.097
-4668.67,0.999237,0.0833673,6,63,0,4675.84,4857.38,0.311756,0.0522714,0.223136,0.28405,0.123123,0.135278,212.144
-4668.15,0.990984,0.0833673,6,63,0,4671.76,4878.73,0.294467,0.0531142,0.218835,0.292681,0.134523,0.169991,199.685
-4668.7,0.999488,0.0833673,6,63,0,4672.04,4838.89,0.311361,0.0658621,0.219254,0.237693,0.180784,0.166542,212.3
-4669.67,0.934816,0.0833673,6,63,0,4672.52,4801.43,0.298087,0.0621703,0.235862,0.290332,0.12959,0.213823,206.106
-4668.48,0.665498,0.0833673,6,63,0,4677.76,4974.44,0.305656,0.0512942,0.199422,0.244267,0.15298,0.128001,203.116
-4669.69,0.997696,0.0833673,5,63,0,4674.08,4916.09,0.293067,0.0499855,0.226027,0.27772,0.147188,0.1142,214.396
