# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:04:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8yivg3mo.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120448_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0879565
# Diagonal elements of inverse mass matrix:
# 3063.62, 5.50707e-005, 0.00016169, 0.000182729, 0.000436461, 0.000475698, 0.000951544, 0.000736017
-4667.44,0.999516,0.0879565,5,63,0,4670.16,4896.59,0.297612,0.0640679,0.205713,0.273175,0.135517,0.198629,206.836
-4666.93,0.999994,0.0879565,6,63,0,4670.8,4904.05,0.300547,0.0538537,0.215919,0.28191,0.114426,0.154713,201.088
-4667.33,0.875022,0.0879565,6,63,0,4669.61,4890.63,0.305812,0.0591097,0.214217,0.23101,0.172005,0.183991,210.286
-4668.47,0.991219,0.0879565,6,63,0,4671.12,4877.71,0.301602,0.0500792,0.211659,0.298963,0.134517,0.159001,198.609
-4668.96,0.886152,0.0879565,6,63,0,4672.11,4878.01,0.304429,0.0660685,0.220025,0.228162,0.165605,0.163537,213.609
-4668.06,0.995188,0.0879565,5,63,0,4671.78,4958.89,0.296282,0.075229,0.206733,0.237077,0.132176,0.155919,210.665
-4667.85,0.618164,0.0879565,5,31,0,4674.34,4897.18,0.306374,0.0563845,0.19594,0.270114,0.150286,0.153602,208.522
-4667.9,0.994379,0.0879565,6,63,0,4671.05,4835.66,0.298614,0.0590205,0.240726,0.25939,0.150453,0.184767,201.75
-4667.98,0.994224,0.0879565,5,63,0,4670.95,4787.99,0.303281,0.0656496,0.237018,0.267797,0.151325,0.202152,206.89
-4673.94,0.997512,0.0879565,5,31,0,4679.81,4805.87,0.300364,0.0840518,0.235562,0.24092,0.208264,0.125682,210.138
-4668.57,0.999501,0.0879565,6,63,0,4676.73,4840.03,0.302189,0.0614282,0.197061,0.298352,0.165017,0.180406,210.266
-4668.54,0.999362,0.0879565,5,63,0,4670.18,4830.52,0.300885,0.057492,0.200344,0.290982,0.180628,0.193067,209.041
-4667.37,0.999988,0.0879565,6,63,0,4670.92,4839.8,0.300517,0.0750212,0.212526,0.277852,0.13495,0.199234,205.244
-4670.07,0.958982,0.0879565,5,31,0,4671.67,4812.35,0.30399,0.0835442,0.23187,0.249088,0.139343,0.208669,211.365
-4670.61,0.999908,0.0879565,5,31,0,4671.74,4820.66,0.301038,0.0829647,0.237195,0.237688,0.13775,0.21316,209.164
-4668.84,0.974357,0.0879565,5,31,0,4675.78,4821.05,0.303468,0.0493215,0.212851,0.279647,0.204014,0.162912,209.042
-4670.56,0.923096,0.0879565,5,31,0,4676.32,4794.83,0.310947,0.0628656,0.231853,0.302202,0.147009,0.116302,209.739
-4666.53,1,0.0879565,6,63,0,4671.94,4876.37,0.302636,0.0532999,0.21119,0.253165,0.184819,0.16038,206.657
-4665.49,0.996338,0.0879565,5,63,0,4667.58,4944.81,0.297404,0.0520431,0.211671,0.239431,0.147164,0.172633,206.345
