# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4ku76eqc.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120501_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0877847
# Diagonal elements of inverse mass matrix:
# 2182.66, 4.11865e-005, 0.000124331, 0.000149971, 0.000343803, 0.000447435, 0.000668104, 0.000497733
-5195.59,0.999324,0.0877847,5,31,0,5200.5,5030.53,0.293744,0.0516793,0.220975,0.238358,0.145858,0.0497371,192.536
-5195.45,0.85159,0.0877847,5,31,0,5201.36,5037.12,0.286561,0.0554523,0.197569,0.247905,0.191866,0.0497182,190.13
-5195.38,0.935162,0.0877847,6,63,0,5197.78,4983.33,0.290388,0.0753922,0.206679,0.250377,0.156857,0.0957875,195.188
-5196.04,0.848845,0.0877847,5,31,0,5199.04,4962.75,0.293705,0.0517477,0.206142,0.264724,0.172084,0.0869568,193.327
-5196.62,0.994434,0.0877847,5,31,0,5198.05,4946.13,0.290469,0.061865,0.218923,0.25837,0.195802,0.074807,188.795
-5199.08,0.519807,0.0877847,2,3,0,5202.7,4948.71,0.290204,0.0603287,0.220474,0.26058,0.195847,0.0782681,188.861
-5198.89,1,0.0877847,6,63,0,5203.89,5039.48,0.290387,0.0563947,0.208426,0.245498,0.134375,0.0642799,204.884
-5195.86,0.998032,0.0877847,5,31,0,5199.97,5044.51,0.2906,0.070405,0.195784,0.247017,0.148043,0.0691093,195.392
-5200.16,0.991325,0.0877847,5,63,0,5202.88,5011.47,0.28574,0.0510592,0.212414,0.259392,0.151149,0.0778062,180.561
-5200.18,0.999933,0.0877847,5,31,0,5203.61,5013.88,0.281533,0.0553039,0.215324,0.268108,0.148572,0.0586071,182.725
-5195.91,1,0.0877847,5,63,0,5202.43,5013.15,0.291326,0.0601413,0.216509,0.238348,0.139904,0.0822874,197.611
-5194.59,0.99999,0.0877847,5,31,0,5196.94,5019.06,0.289698,0.0472951,0.208292,0.260856,0.172797,0.0430859,194.288
-5194.79,0.999035,0.0877847,5,63,0,5198,5065.46,0.292854,0.0578608,0.195381,0.229123,0.158882,0.0674988,195.739
-5195.39,0.966073,0.0877847,6,63,0,5196.38,5044.04,0.28434,0.0539128,0.202107,0.239295,0.176896,0.0696656,197.787
-5200.57,0.953927,0.0877847,5,63,0,5202.54,5035.31,0.289795,0.0583681,0.220587,0.246795,0.135959,0.0369503,180.672
-5196.87,0.927624,0.0877847,5,31,0,5203.59,5062.62,0.28773,0.0477194,0.196438,0.234604,0.158656,0.0967919,201.069
-5196.23,0.997547,0.0877847,6,63,0,5198.33,5080.97,0.288369,0.0395237,0.199367,0.240455,0.158181,0.060354,198.253
-5194.87,0.900845,0.0877847,6,63,0,5198.41,5034.03,0.289402,0.0520172,0.200661,0.262047,0.156819,0.0701523,190.124
-5195.14,0.999548,0.0877847,4,31,0,5202.3,5025.49,0.286108,0.0483721,0.212541,0.252033,0.171779,0.0696361,196.337
-5200.57,0.978283,0.0877847,5,31,0,5202.38,4936.98,0.301858,0.0505815,0.227036,0.250899,0.188154,0.0579595,204.514
-5199.7,0.994362,0.0877847,6,63,0,5205.31,4991.51,0.286544,0.0663658,0.19637,0.29637,0.164812,0.0202422,190.071
-5202.5,0.948431,0.0877847,5,31,0,5206.96,4979.08,0.298027,0.0668,0.232226,0.207768,0.17037,0.0555894,202.273
-5199.9,0.840829,0.0877847,5,63,0,5210.9,5080.92,0.288016,0.0642989,0.223949,0.225252,0.113967,0.0363706,192.292
-5195.07,0.991306,0.0877847,5,31,0,5201.89,5009.82,0.29569,0.0515607,0.199371,0.271543,0.159554,0.0486617,192.281
-5194.41,0.961996,0.0877847,5,31,0,5195.8,5008.83,0.286505,0.0566909,0.212735,0.253775,0.169635,0.0717255,195.4
-5194.2,0.923278,0.0877847,5,63,0,5197.18,5017.01,0.286452,0.0551362,0.213838,0.248957,0.163753,0.0644907,194.741
-5198.22,0.990593,0.0877847,5,31,0,5201.46,5137.43,0.290685,0.0561054,0.186702,0.221054,0.138354,0.0451788,189.176
-5198.4,0.940337,0.0877847,6,63,0,5201.35,5129.87,0.291138,0.0557388,0.191298,0.216034,0.138504,0.0433463,187.765
-5195.37,0.988787,0.0877847,5,31,0,5199.7,5076.42,0.294874,0.0545148,0.191602,0.239368,0.150291,0.0467541,192.854
-5198.83,0.99684,0.0877847,5,31,0,5199.9,5111.19,0.288528,0.0595441,0.177979,0.256063,0.145948,0.0227264,194.659
-5200.84,0.854306,0.0877847,6,63,0,5205.4,4989.47,0.29175,0.0504214,0.212705,0.22628,0.179046,0.151173,196.169
-5197.35,0.999446,0.0877847,6,63,0,5203.18,5033.49,0.289405,0.0473454,0.203163,0.219124,0.185118,0.114942,191.192
-5195.75,1,0.0877847,5,31,0,5198.92,5000.38,0.293129,0.0484135,0.20006,0.247228,0.173918,0.112193,188.851
-5196.78,0.88719,0.0877847,6,63,0,5200.62,4960.92,0.288462,0.0675059,0.221965,0.274453,0.162256,0.0466534,199.535
-5196.48,0.998665,0.0877847,6,63,0,5200.36,5065.73,0.293716,0.0448261,0.18962,0.229146,0.171364,0.0867518,189.536
-5196.5,0.970719,0.0877847,5,31,0,5198.16,5044.65,0.29398,0.0474279,0.191419,0.234547,0.187293,0.0664322,188.675
-5197.04,0.992318,0.0877847,6,63,0,5200.02,5057.66,0.285768,0.0717926,0.183644,0.248288,0.16438,0.0744264,194.717
-5196.39,0.995173,0.0877847,6,63,0,5199.29,5048.66,0.289214,0.0585472,0.187697,0.252042,0.142142,0.109208,194.028
-5196.49,0.97106,0.0877847,5,63,0,5202.82,5059.58,0.297081,0.0493246,0.191509,0.249523,0.134746,0.0827095,193.613
-5199.39,0.752882,0.0877847,6,63,0,5201.97,4954.72,0.283042,0.0684345,0.214947,0.254535,0.198972,0.0596571,194.413
-5196.98,0.823592,0.0877847,5,31,0,5203,4964.01,0.28194,0.0688318,0.21303,0.263879,0.177168,0.0783858,197.377
-5200.28,0.919196,0.0877847,5,31,0,5203.78,4984.86,0.282474,0.0710068,0.229269,0.251615,0.146039,0.0904022,202.535
-5197.94,0.999838,0.0877847,5,31,0,5202.25,4972.9,0.286513,0.076482,0.225534,0.255087,0.154071,0.0591489,201.137
-5200.47,0.593355,0.0877847,6,63,0,5206.22,5030.45,0.297568,0.0408556,0.200184,0.255999,0.173332,0.0718042,188.748
-5196.62,0.998239,0.0877847,5,31,0,5202.1,4989.43,0.290473,0.047894,0.196516,0.258311,0.177702,0.111286,191.509
-5195.57,0.989765,0.0877847,5,63,0,5199.68,5006.59,0.296509,0.054169,0.199606,0.269532,0.139274,0.071513,192.965
-5197.77,0.994197,0.0877847,5,63,0,5201.22,5006.82,0.295391,0.036949,0.192441,0.256136,0.18538,0.104836,189.75
-5197.94,0.872005,0.0877847,5,31,0,5206.01,5031.54,0.287432,0.0688958,0.220996,0.254049,0.134964,0.0325757,192.272
-5198.17,0.999881,0.0877847,6,63,0,5202.01,5070.2,0.291907,0.0439396,0.18134,0.236922,0.186144,0.0932243,195.122
-5195.06,0.988769,0.0877847,6,63,0,5200.7,4959.86,0.289329,0.0712236,0.211695,0.245558,0.180572,0.094024,192.482
-5195.79,0.99991,0.0877847,6,63,0,5197.92,5072.29,0.290666,0.0362944,0.203843,0.244764,0.162167,0.0528395,191.758
-5197.68,0.955538,0.0877847,5,63,0,5200.14,5027.06,0.281768,0.059742,0.222011,0.253685,0.135526,0.0619664,189.349
-5197.51,0.97487,0.0877847,5,63,0,5198.66,5033.59,0.282498,0.0607676,0.223291,0.254957,0.134725,0.0584147,190.205
-5199.59,0.952241,0.0877847,6,63,0,5203.64,5007.17,0.306697,0.0507406,0.191121,0.229757,0.189813,0.0740708,197.363
-5197.01,0.853928,0.0877847,5,31,0,5207.65,5062.08,0.282614,0.0527279,0.197258,0.243464,0.180753,0.0434932,195.715
-5196.93,0.990371,0.0877847,5,31,0,5200.28,5030.28,0.294274,0.0529681,0.211992,0.249851,0.17255,0.00747061,189.317
-5196.51,0.881013,0.0877847,4,15,0,5198.53,5044.46,0.294358,0.0501851,0.207466,0.253285,0.161667,0.0271136,190.078
-5195.93,0.888826,0.0877847,3,15,0,5199.78,5040.17,0.290124,0.0556473,0.204652,0.255181,0.164593,0.0474199,191.398
-5197.89,0.951312,0.0877847,5,31,0,5201.69,5009.91,0.295015,0.0574768,0.180228,0.262205,0.171854,0.094222,186.804
-5198.63,0.884179,0.0877847,5,31,0,5201.31,4971.54,0.297644,0.0577051,0.194361,0.257642,0.165281,0.107385,185.069
-5196.07,0.937812,0.0877847,5,63,0,5201.62,5031.41,0.29364,0.0483346,0.197553,0.241434,0.15622,0.0936795,196.692
-5201.74,0.932715,0.0877847,5,31,0,5202.82,5046.87,0.283434,0.0568754,0.206569,0.277668,0.159159,0.0171896,184.359
-5196.66,0.999753,0.0877847,5,31,0,5203.68,5033.67,0.293447,0.0395676,0.20442,0.244897,0.179199,0.0504193,199.45
-5200.22,0.987635,0.0877847,6,63,0,5204.13,5046.18,0.296216,0.0370206,0.191982,0.245952,0.151539,0.124031,186.932
-5199.72,0.903877,0.0877847,5,31,0,5203.66,5040.54,0.295788,0.0368876,0.191345,0.244946,0.152535,0.121702,187.665
-5196.99,0.913825,0.0877847,5,31,0,5202.77,5052.24,0.286944,0.0539301,0.199633,0.243699,0.14692,0.11307,191.092
-5194.36,0.99808,0.0877847,5,63,0,5197.48,5023.04,0.289631,0.0581998,0.202254,0.244623,0.172988,0.0812879,195.18
-5194.41,0.999915,0.0877847,4,31,0,5197.89,5017.04,0.287158,0.0569158,0.199648,0.2519,0.172168,0.0770851,193.644
-5197.47,0.979362,0.0877847,5,31,0,5199.6,5045.19,0.286406,0.0564572,0.208575,0.267731,0.130865,0.0591241,187.614
-5196.2,0.910282,0.0877847,5,31,0,5199.22,5043.79,0.287512,0.0601393,0.212123,0.256961,0.144875,0.0410897,191.048
-5198,0.98602,0.0877847,6,63,0,5200.37,5004.57,0.281355,0.0580361,0.193324,0.274505,0.165093,0.0983275,194.708
-5195.43,0.965151,0.0877847,5,31,0,5199.92,5033.37,0.284473,0.063664,0.191396,0.252448,0.164454,0.0932789,192.114
-5197.77,0.823052,0.0877847,6,63,0,5199.62,5034.05,0.296483,0.0449648,0.2131,0.235541,0.159379,0.0369152,196.441
-5195.77,0.990103,0.0877847,5,31,0,5198.64,5009.87,0.289882,0.0587668,0.200355,0.268814,0.159828,0.0796581,194.251
-5195.57,0.987515,0.0877847,5,31,0,5199.73,5022.65,0.289167,0.0591917,0.188791,0.272026,0.159148,0.0667582,195.716
-5197.1,0.979063,0.0877847,5,31,0,5199.96,4990.63,0.294553,0.0450757,0.193809,0.289938,0.157297,0.0780678,195.135
-5196.13,0.884572,0.0877847,6,63,0,5199.41,4974.9,0.289026,0.0694383,0.219792,0.232526,0.173047,0.0826985,192.552
-5198.93,0.992045,0.0877847,5,63,0,5202.87,4899.35,0.289168,0.0756878,0.226273,0.287856,0.169394,0.0625278,187.742
-5198.97,0.999978,0.0877847,5,31,0,5200.94,4918.03,0.288347,0.0735417,0.219804,0.289392,0.178439,0.0442127,186.883
-5199.38,0.998438,0.0877847,5,31,0,5200.83,4924.55,0.290957,0.0735987,0.216689,0.293853,0.165618,0.0399286,186.063
-5194.23,0.920302,0.0877847,5,31,0,5200.86,4978.65,0.292802,0.0674947,0.199387,0.261119,0.164593,0.0875132,192.85
-5196.68,0.982233,0.0877847,5,31,0,5197.95,5055.92,0.281208,0.0662888,0.198995,0.232509,0.162295,0.0875576,198.279
-5198.85,0.999164,0.0877847,6,63,0,5202.46,4998.18,0.297474,0.0637832,0.194644,0.2356,0.153025,0.139802,188.664
-5199.25,0.999843,0.0877847,6,63,0,5202.55,5077.15,0.282045,0.046906,0.211529,0.255014,0.1737,-0.00819692,196.097
-5195.3,0.917922,0.0877847,5,31,0,5201.44,4995.96,0.2989,0.0682079,0.205097,0.240138,0.157204,0.067008,196.271
-5196.1,0.978374,0.0877847,5,31,0,5198.99,5007.14,0.300361,0.0686505,0.200491,0.233903,0.160471,0.0714422,196.873
-5195.21,0.916036,0.0877847,5,31,0,5197.23,5008.07,0.299411,0.0643955,0.201826,0.243577,0.158526,0.0643597,195.246
-5197.29,0.997403,0.0877847,5,63,0,5198.35,5103.97,0.278385,0.0532149,0.206484,0.237632,0.153663,0.0349013,193.653
-5198.38,0.975357,0.0877847,6,63,0,5203.22,4899.46,0.304847,0.0638436,0.203943,0.272125,0.183294,0.10558,193.098
-5199.47,0.999096,0.0877847,6,63,0,5205,5131.36,0.27879,0.0470011,0.207973,0.219223,0.136651,0.0752056,197.84
-5200.66,0.588587,0.0877847,5,63,0,5210.94,5005.17,0.301752,0.0612057,0.195457,0.259291,0.165192,0.0571459,203.935
-5196.17,0.99912,0.0877847,5,31,0,5201.9,4994.81,0.295434,0.0509024,0.194491,0.260145,0.196002,0.061714,198.408
-5201.19,0.914764,0.0877847,5,31,0,5203.43,5054.33,0.285735,0.0415951,0.210286,0.254641,0.120976,0.12296,188.714
-5199.63,0.999905,0.0877847,5,31,0,5204.71,4962.97,0.297976,0.0787728,0.211384,0.250456,0.180222,0.0100749,192.883
-5202.19,0.993208,0.0877847,5,31,0,5207.38,4974.13,0.297089,0.0689414,0.232541,0.213446,0.192668,0.0279509,200.365
-5200.09,0.999905,0.0877847,5,63,0,5206.77,4988.59,0.287513,0.0392272,0.197943,0.298477,0.172857,0.0737232,186.253
-5196.09,0.999581,0.0877847,5,31,0,5201.41,4987.56,0.295012,0.0637994,0.222035,0.243695,0.152281,0.057216,199.693
-5197.52,0.83328,0.0877847,5,63,0,5200.43,5026.31,0.290751,0.0525022,0.20038,0.231702,0.165275,0.0998367,199.79
-5200.73,0.998084,0.0877847,5,31,0,5205.19,5135.37,0.294344,0.0500356,0.191025,0.207341,0.130768,0.0888315,194.442
