# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:05:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4ku76eqc.json
# init = 2 (Default)
# random
#   seed = 5594
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120501_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0724103
# Diagonal elements of inverse mass matrix:
# 2300, 3.74583e-005, 0.000125329, 0.000159821, 0.000366923, 0.000326239, 0.000769174, 0.00057499
-5199.79,0.994883,0.0724103,5,31,0,5201.35,4967.94,0.29254,0.0539842,0.218159,0.248097,0.143527,0.150161,199.366
-5199.75,0.997126,0.0724103,6,63,0,5203.35,5053.18,0.290907,0.0770995,0.201076,0.238203,0.170725,-0.00298714,189.865
-5198.89,0.992903,0.0724103,6,63,0,5202.78,5053.23,0.287865,0.0801995,0.200716,0.240924,0.162564,0.00510484,191.778
-5197.77,0.999766,0.0724103,6,63,0,5203.1,4975.68,0.290113,0.0752173,0.217224,0.271048,0.15559,0.021612,199.016
-5196.39,0.883538,0.0724103,6,63,0,5201.9,4968.02,0.298401,0.0579849,0.195473,0.25587,0.167368,0.117596,190.276
-5197.21,0.91908,0.0724103,6,63,0,5201.5,5072.96,0.283354,0.056819,0.212329,0.239377,0.168659,0.0171954,197.579
-5198.2,0.994276,0.0724103,6,63,0,5203.31,5113.63,0.282511,0.0600961,0.202693,0.224951,0.164854,0.0140558,197.591
-5199.18,0.959671,0.0724103,6,63,0,5203.14,5120.01,0.282174,0.0569553,0.201122,0.223171,0.157662,0.014474,199.316
-5197.4,0.999482,0.0724103,6,63,0,5199.98,4897,0.29925,0.0630311,0.214286,0.265567,0.173591,0.119526,192.184
-5199.05,0.952761,0.0724103,5,31,0,5200.51,4868.83,0.295902,0.0594218,0.217369,0.286564,0.18608,0.106653,191.103
-5197.01,0.999053,0.0724103,6,63,0,5201.2,4929.84,0.288978,0.0701626,0.204553,0.290018,0.168809,0.0841255,189.092
-5198.58,0.999455,0.0724103,5,31,0,5200.23,4916.75,0.286622,0.0675671,0.21335,0.297178,0.165102,0.0863726,187.068
-5195.1,0.985151,0.0724103,5,31,0,5199.49,4936.08,0.294196,0.0678936,0.210144,0.270548,0.173116,0.0846011,197.491
-5199.22,0.914379,0.0724103,6,63,0,5200.91,5099.06,0.289993,0.0455524,0.211539,0.216512,0.150837,0.0257902,188.914
-5196.07,0.997436,0.0724103,5,31,0,5200.72,5042.41,0.294244,0.0525619,0.201105,0.230892,0.171795,0.0479894,193.437
-5197.87,0.941543,0.0724103,5,63,0,5199.77,4986.07,0.301774,0.0596334,0.211205,0.248422,0.163157,0.0684395,193.606
-5197.05,0.9925,0.0724103,5,63,0,5201.1,5039.76,0.289456,0.0612011,0.198616,0.236063,0.192434,0.0581057,193.836
-5196.31,0.999936,0.0724103,5,63,0,5200.71,5038.93,0.289565,0.0680879,0.203089,0.236764,0.166637,0.06637,195.588
-5199.18,0.997139,0.0724103,6,63,0,5199.79,5090.52,0.289582,0.0405288,0.201553,0.255876,0.130936,0.0658762,189.196
-5198.96,0.997756,0.0724103,6,63,0,5203.99,5097.23,0.290513,0.0378182,0.205306,0.256298,0.131213,0.0393469,196.925
-5198.4,0.888304,0.0724103,5,31,0,5203.55,5053.5,0.297784,0.0557924,0.19672,0.255991,0.13171,0.0260395,195.608
-5198.33,0.999994,0.0724103,6,63,0,5203.63,4977.51,0.28433,0.0762473,0.209595,0.235485,0.171347,0.12957,197.592
-5194.88,0.99524,0.0724103,5,63,0,5199.33,5014.25,0.293579,0.0582005,0.20121,0.261799,0.160232,0.0508467,187.496
-5195.87,0.983743,0.0724103,6,63,0,5197.7,5070.86,0.29245,0.0515507,0.196505,0.224565,0.178892,0.0444781,196.908
-5195.9,0.977731,0.0724103,6,63,0,5199.25,5036.36,0.281462,0.061129,0.206964,0.250762,0.172955,0.0548046,187.893
-5194.39,0.779731,0.0724103,5,31,0,5199.6,5001.95,0.29664,0.0572918,0.199143,0.250189,0.171854,0.0680829,189.962
-5195.43,0.974389,0.0724103,5,63,0,5196.51,5038.54,0.291312,0.0513999,0.197965,0.250999,0.17696,0.0547681,187.261
-5197.4,0.999689,0.0724103,5,31,0,5199.39,5040.48,0.27734,0.0558726,0.208174,0.26102,0.177615,0.0456118,190.217
-5197.46,0.995058,0.0724103,5,63,0,5199.48,5017.58,0.302632,0.0631244,0.20713,0.229951,0.135741,0.0766249,193.084
-5199.24,0.908555,0.0724103,5,63,0,5201.08,5036.7,0.300424,0.0573535,0.211297,0.235836,0.121396,0.0852948,195.429
-5195.31,0.97395,0.0724103,5,31,0,5200.94,5044.21,0.28857,0.0488488,0.212326,0.250651,0.14139,0.0633534,197.786
-5195.8,0.993301,0.0724103,6,63,0,5197.03,4964.33,0.294412,0.053554,0.211092,0.248752,0.17694,0.104425,187.405
-5195.51,1,0.0724103,6,63,0,5196.48,5043.16,0.285805,0.061884,0.206395,0.253551,0.154988,0.0365264,198.729
-5194.57,0.927926,0.0724103,6,63,0,5197.85,4975.29,0.295441,0.0637791,0.200385,0.261271,0.166108,0.090043,196.117
-5194.49,0.922561,0.0724103,5,63,0,5198.11,4960.89,0.294744,0.0649738,0.202949,0.267306,0.169211,0.0846931,190.593
-5196.04,0.923267,0.0724103,5,63,0,5198.93,5090.52,0.29098,0.0498456,0.198927,0.248001,0.137236,0.0398947,191.71
-5195.93,0.988902,0.0724103,4,15,0,5196.49,5089.71,0.291243,0.0491117,0.197091,0.248521,0.137021,0.0400249,191.209
-5195.7,0.868407,0.0724103,6,63,0,5200.16,4981.42,0.288976,0.0635789,0.208658,0.234519,0.197544,0.0922631,195.727
-5198.54,0.997556,0.0724103,5,31,0,5199.11,4990.57,0.286829,0.0713257,0.201486,0.226979,0.215752,0.0808215,196.297
-5197.37,0.998653,0.0724103,6,63,0,5202.18,5074.06,0.294259,0.0439711,0.205901,0.247563,0.118731,0.0667144,192.569
-5196.98,0.994099,0.0724103,6,63,0,5200.84,5054.17,0.286942,0.0515581,0.215865,0.258858,0.141839,0.0203352,189.273
-5195.86,0.990569,0.0724103,6,63,0,5198.48,4977.81,0.290936,0.066901,0.198905,0.242192,0.196226,0.100522,195.892
-5196.67,0.99545,0.0724103,6,63,0,5199.01,4931.59,0.290524,0.0757051,0.208316,0.281927,0.154683,0.101871,194.783
