# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\448mh2rg.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120712_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0663563
# Diagonal elements of inverse mass matrix:
# 36041.1, 0.000315019, 0.00107854, 0.00122297, 0.00389784, 0.00364281, 0.00733285, 0.00529406
-581.42,0.898232,0.0663563,5,31,0,586.934,4154.95,0.346578,0.214016,0.271176,0.382067,0.100176,0.328157,212.526
-580.576,0.995151,0.0663563,6,63,0,585.731,4462.37,0.304135,0.139159,0.223238,0.366911,0.247886,0.21005,173.321
-585.697,0.936239,0.0663563,6,63,0,589.062,4393.32,0.307621,0.191569,0.241218,0.345169,0.0584086,0.479091,218.443
-583.736,0.996802,0.0663563,5,63,0,591.934,4325.72,0.338061,0.130887,0.22789,0.359931,0.130271,0.419824,228.155
-582.46,0.949121,0.0663563,5,63,0,588.77,4380.29,0.341063,0.134254,0.260131,0.390387,0.06605,0.327606,184.554
-582.773,0.998874,0.0663563,6,63,0,585.175,4043.67,0.317608,0.232866,0.243936,0.471572,0.250704,0.315301,205.108
-585.338,0.980252,0.0663563,6,63,0,590.226,4733.43,0.303366,0.120506,0.265659,0.212377,0.186112,0.163302,200.509
-584.462,0.946909,0.0663563,6,63,0,588.482,4596.16,0.309189,0.125172,0.287485,0.244041,0.175706,0.12714,209.338
-580.541,0.992442,0.0663563,6,63,0,587.99,4310.61,0.318488,0.173069,0.289425,0.396558,0.171895,0.132669,198.657
-582.627,0.990397,0.0663563,6,63,0,584.691,4493,0.315398,0.133511,0.186875,0.370229,0.0950754,0.433369,204.246
-585.93,0.96068,0.0663563,5,63,0,589.393,4649.67,0.312528,0.105397,0.138831,0.438233,0.0718391,0.297922,222.628
-583.87,0.97492,0.0663563,6,63,0,587.601,4335.75,0.333661,0.181802,0.282116,0.318164,0.214779,0.141252,166.98
-590.356,0.792922,0.0663563,6,63,0,592.545,4883.47,0.311139,0.0654684,0.12468,0.336416,0.0534633,0.291035,232.632
-582.642,0.986957,0.0663563,6,63,0,593.426,4724.44,0.311371,0.109838,0.244674,0.300265,0.134816,0.0871412,172.98
-579.137,0.915568,0.0663563,5,31,0,584.566,4550.74,0.329831,0.130177,0.214801,0.334551,0.166196,0.181615,208.311
-580.071,0.998734,0.0663563,6,63,0,582.816,4317.44,0.325519,0.194871,0.282765,0.337708,0.151552,0.21061,205.899
-580.531,0.862312,0.0663563,6,63,0,584.454,4381.22,0.345219,0.158705,0.193513,0.358498,0.203417,0.229077,179.006
-578.632,0.99107,0.0663563,5,63,0,581.608,4350.71,0.330722,0.16963,0.229263,0.345673,0.175543,0.269077,191.305
-583.756,0.777608,0.0663563,5,39,0,585.52,4475.97,0.313877,0.19228,0.184647,0.341525,0.168449,0.208928,193.721
-579.273,0.999719,0.0663563,5,63,0,584.237,4549.07,0.306195,0.171454,0.198774,0.319098,0.207209,0.250201,190.4
-578.862,0.991674,0.0663563,6,95,0,582.306,4225.07,0.313129,0.170359,0.256716,0.452926,0.176793,0.280882,194.844
-580.57,0.934982,0.0663563,6,63,0,581.871,4126.04,0.324944,0.221653,0.244524,0.379628,0.200851,0.367052,184.259
-582.054,0.999826,0.0663563,6,63,0,585.326,4463.77,0.297542,0.136078,0.231399,0.375843,0.213154,0.27107,224.073
-583.935,0.993792,0.0663563,5,31,0,585.324,4522.96,0.29187,0.150369,0.195631,0.330832,0.245158,0.26473,233.632
-582.009,0.99615,0.0663563,6,63,0,586.068,4443.04,0.338038,0.140406,0.244746,0.392351,0.102997,0.181419,159.969
-579.945,0.815959,0.0663563,5,31,0,587.67,4342.57,0.327135,0.171401,0.205513,0.350652,0.28153,0.233331,197.984
-581.144,0.999646,0.0663563,6,63,0,583.067,4501.46,0.319064,0.123506,0.241135,0.40255,0.0340767,0.290606,186.642
-581.821,0.987561,0.0663563,6,63,0,583.619,4484.12,0.324159,0.193556,0.18464,0.289953,0.276131,0.176955,188.514
-580.66,0.998453,0.0663563,6,63,0,584.747,4273.04,0.339923,0.104447,0.243816,0.477149,0.16935,0.227781,198.147
-580.324,0.996374,0.0663563,6,63,0,584.185,4298.51,0.317442,0.164422,0.227525,0.42048,0.208833,0.271325,221.966
-580.204,0.975354,0.0663563,6,63,0,581.995,4204.7,0.32174,0.150993,0.236694,0.45051,0.189848,0.31777,214.173
-583.36,0.998539,0.0663563,5,31,0,588.286,4391.91,0.342549,0.122744,0.283453,0.33284,0.0761457,0.324206,210.078
-579.883,0.992213,0.0663563,5,63,0,585.621,4393.32,0.339038,0.125917,0.223954,0.349271,0.146858,0.355865,197.412
-582.608,0.829581,0.0663563,5,63,0,586.063,4427.08,0.331616,0.114472,0.230263,0.354068,0.197326,0.319191,170.894
-581.517,0.962516,0.0663563,5,63,0,586.751,4357.48,0.301632,0.175273,0.237121,0.347459,0.200106,0.28559,209.767
-583.344,0.967883,0.0663563,6,63,0,586.928,4084.74,0.325664,0.224821,0.265412,0.491341,0.13424,0.318711,185.715
-579.717,0.996068,0.0663563,6,63,0,585.919,4166.86,0.338191,0.158779,0.255514,0.366709,0.231139,0.355084,193.962
-579.144,0.999098,0.0663563,5,63,0,582.731,4056.03,0.340111,0.186089,0.255753,0.427491,0.203827,0.378139,194.25
-582.749,0.999274,0.0663563,5,31,0,583.507,4020.94,0.332345,0.193976,0.221752,0.52907,0.13673,0.460039,191.766
