# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:07:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\448mh2rg.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120712_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0701189
# Diagonal elements of inverse mass matrix:
# 36141.3, 0.00029514, 0.00116057, 0.00110592, 0.00401043, 0.00325572, 0.00759861, 0.00478382
-578.766,0.955235,0.0701189,6,63,0,583.409,4619.51,0.31633,0.113842,0.211312,0.333228,0.161302,0.174483,186.927
-580.781,0.990321,0.0701189,5,31,0,582.298,4734.64,0.296892,0.165832,0.195839,0.303135,0.132496,0.134627,186.151
-579.752,0.907055,0.0701189,6,63,0,584.571,4451.47,0.337193,0.137807,0.184921,0.38268,0.127615,0.345472,192.801
-579.313,0.998813,0.0701189,6,63,0,584.696,4538.97,0.308725,0.179222,0.237265,0.287881,0.152843,0.238954,195.904
-578.986,0.980449,0.0701189,6,63,0,581.149,4326,0.323236,0.154954,0.198292,0.404164,0.239088,0.296945,191.157
-581.706,0.99811,0.0701189,5,31,0,582.86,4409.18,0.317203,0.167974,0.169338,0.323323,0.25682,0.40243,200.619
-580.746,0.993458,0.0701189,6,63,0,586.09,4275.2,0.299309,0.144582,0.244118,0.475989,0.177663,0.306172,197.301
-581.124,0.992587,0.0701189,6,63,0,585.165,4559.4,0.345719,0.170905,0.2022,0.271214,0.16148,0.176231,181.498
-584.285,0.938531,0.0701189,5,31,0,588.109,4626.42,0.333228,0.157744,0.1753,0.330202,0.1232,0.151931,157.445
-582.674,0.84448,0.0701189,5,31,0,590.376,4505.26,0.324435,0.167079,0.183135,0.347445,0.22895,0.149213,163.965
-582.017,0.999933,0.0701189,6,63,0,585.156,4580.72,0.308525,0.121177,0.237654,0.340533,0.0841518,0.273181,220.053
-582.441,0.996124,0.0701189,6,63,0,585.647,4361.37,0.357443,0.152804,0.206743,0.437603,0.149903,0.139872,173.575
-579.587,0.99978,0.0701189,6,63,0,585.266,4120.16,0.340241,0.187674,0.287153,0.430169,0.126475,0.312923,201.366
-580.968,0.99812,0.0701189,6,63,0,582.722,4251.52,0.336573,0.16234,0.264999,0.389666,0.21601,0.178464,221.68
-580.518,0.999762,0.0701189,6,63,0,583.162,4511.11,0.309108,0.162801,0.194138,0.34779,0.149712,0.324636,166.238
-579.037,0.998316,0.0701189,5,31,0,583.957,4453.57,0.314224,0.164726,0.212166,0.395124,0.134949,0.24388,169.541
-579.152,0.998592,0.0701189,6,63,0,580.517,4293.21,0.333493,0.177464,0.24305,0.382495,0.212367,0.193623,208.365
