# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\xy4xeuph.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120838_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0881205
# Diagonal elements of inverse mass matrix:
# 2276.95, 4.18067e-005, 0.000132041, 0.000126389, 0.000354332, 0.000428239, 0.000716478, 0.000574778
-5822.51,0.998937,0.0881205,5,63,0,5824.3,5021.53,0.315287,0.0592298,0.16733,0.25728,0.150569,0.0770022,208.783
-5819.51,1,0.0881205,5,31,0,5824.64,4976.43,0.308797,0.0586946,0.182964,0.259032,0.145839,0.116435,209.07
-5820.5,0.997308,0.0881205,5,31,0,5822.67,4992.86,0.304713,0.0546799,0.199824,0.226073,0.173288,0.0988025,203.465
-5818.47,0.996572,0.0881205,5,31,0,5823.32,5060.19,0.303114,0.0397541,0.184051,0.237191,0.149601,0.0959853,197.881
-5819.16,0.990022,0.0881205,5,31,0,5820.37,5052.13,0.304346,0.0505996,0.197714,0.222244,0.133228,0.104858,200.734
-5817.88,0.791137,0.0881205,5,31,0,5825,5007.05,0.308153,0.0409639,0.183993,0.245442,0.152003,0.133739,204.2
-5819.69,0.996422,0.0881205,5,63,0,5824.44,4969.65,0.306099,0.056574,0.183128,0.251111,0.160172,0.143326,198.153
-5820.3,0.999958,0.0881205,6,63,0,5822.23,5098.06,0.310639,0.0326647,0.173556,0.230425,0.14382,0.073582,207.853
-5820.14,0.986004,0.0881205,5,63,0,5821.96,5001.22,0.301871,0.0454375,0.19983,0.249027,0.131045,0.133172,197.105
-5820.55,0.955113,0.0881205,5,63,0,5824.25,5050.25,0.296953,0.0344794,0.194042,0.247818,0.15032,0.116483,202.736
-5821.62,0.963439,0.0881205,5,31,0,5827.12,5062.13,0.295736,0.0391904,0.203389,0.231094,0.128708,0.129353,203.136
-5819.51,0.985753,0.0881205,5,31,0,5825.05,5056.21,0.313938,0.0313538,0.177486,0.242566,0.132766,0.114153,197.671
-5819.22,0.999913,0.0881205,5,63,0,5821.72,5039.7,0.308661,0.0399652,0.19663,0.235681,0.13209,0.0935678,209.351
-5820.82,0.802389,0.0881205,6,63,0,5825.16,5082.77,0.301067,0.0522475,0.168139,0.239749,0.120195,0.131725,196.829
-5819.79,0.948463,0.0881205,5,63,0,5823.32,5076.49,0.3075,0.0289555,0.175504,0.239353,0.122666,0.135399,202.124
-5820.2,0.982014,0.0881205,6,63,0,5823.16,5008.08,0.303872,0.0408791,0.182677,0.269375,0.123872,0.139809,200.149
-5820.36,0.998551,0.0881205,5,63,0,5824.17,5045.6,0.298578,0.0438799,0.195868,0.244983,0.126705,0.128685,198.169
-5823.23,0.975926,0.0881205,5,31,0,5826.11,5105.63,0.312259,0.0588958,0.17238,0.204243,0.135259,0.0854191,208.739
-5819.36,0.999434,0.0881205,6,63,0,5826.08,4989.26,0.312068,0.0357074,0.190011,0.251891,0.144777,0.137746,196.972
-5819.25,0.993635,0.0881205,6,63,0,5821.66,5024.68,0.302305,0.0358352,0.188126,0.24187,0.151071,0.145458,198.621
-5822.25,0.959492,0.0881205,6,63,0,5824.75,5051.38,0.302159,0.0473088,0.157907,0.277868,0.141218,0.105675,201.817
-5821.2,0.993004,0.0881205,6,63,0,5826.15,5010.65,0.307386,0.0671898,0.192169,0.232343,0.112678,0.14056,201.978
-5820.84,0.991413,0.0881205,5,63,0,5825.73,5041.69,0.303001,0.0404721,0.207167,0.218198,0.155215,0.0905774,204.045
-5821.68,0.907167,0.0881205,6,63,0,5826.22,5026.33,0.312362,0.0509188,0.162891,0.267558,0.122091,0.138664,202.568
-5820.74,0.875269,0.0881205,5,63,0,5826.18,4972.52,0.304671,0.0457362,0.192718,0.241077,0.153122,0.169204,202.378
-5821.5,0.9388,0.0881205,5,31,0,5828.23,4944.47,0.311735,0.0584495,0.189355,0.263695,0.14894,0.124009,193.509
-5818.34,0.987988,0.0881205,5,31,0,5824.21,4986.16,0.307947,0.0480566,0.194155,0.249125,0.153847,0.107077,198.44
-5819.15,0.999552,0.0881205,5,63,0,5822.53,5021.07,0.305477,0.0454311,0.174647,0.249917,0.17501,0.105141,200.796
-5820.97,0.78474,0.0881205,5,63,0,5823.89,5021.89,0.310881,0.0590151,0.167811,0.226633,0.171123,0.114922,201.133
-5820.1,0.958512,0.0881205,5,31,0,5824.2,5039.27,0.312216,0.0545857,0.187513,0.236375,0.124241,0.0719356,200.492
-5819.49,1,0.0881205,6,63,0,5823.14,5028.9,0.3121,0.0481021,0.18848,0.233588,0.157952,0.0704614,198.913
-5819.56,0.956696,0.0881205,5,63,0,5822.47,4975.42,0.308323,0.0617933,0.194005,0.256035,0.148892,0.0837127,200.771
-5818.16,0.999869,0.0881205,5,63,0,5821.11,5044.42,0.305723,0.042086,0.187078,0.237589,0.130222,0.129828,197.923
-5821.53,0.798045,0.0881205,5,31,0,5823.56,5035.06,0.301299,0.0392432,0.182997,0.239768,0.175314,0.116508,212.412
-5819.03,0.981662,0.0881205,5,63,0,5823.93,5082,0.30747,0.0390817,0.177207,0.23057,0.153841,0.0863942,199.788
-5819.71,0.711484,0.0881205,5,63,0,5825.67,5046.64,0.299021,0.0561348,0.19458,0.240667,0.12697,0.0943575,199.952
-5818.45,0.991645,0.0881205,5,31,0,5821.08,5054.36,0.305673,0.0555476,0.187594,0.22602,0.12385,0.114089,201.877
-5819.92,0.933539,0.0881205,5,31,0,5821.05,5054.26,0.300876,0.0602238,0.190351,0.223393,0.130067,0.106173,200.34
-5819.87,0.995475,0.0881205,6,63,0,5821.57,5027.92,0.313093,0.0279659,0.177805,0.260497,0.150222,0.10933,204.115
-5824.9,0.978918,0.0881205,5,31,0,5827.13,5053.7,0.299744,0.0181544,0.188295,0.267966,0.173006,0.0612954,205.567
-5824.48,0.752189,0.0881205,5,31,0,5832.77,5004.59,0.308587,0.0220172,0.187583,0.281141,0.159025,0.0916056,213.196
-5821.61,0.999985,0.0881205,5,31,0,5827.62,5061.14,0.305394,0.0306977,0.185403,0.248491,0.157409,0.0593808,210.324
-5819.94,0.999988,0.0881205,5,31,0,5822.78,5005.17,0.31229,0.0528063,0.182318,0.241023,0.132355,0.145903,196.479
-5818.16,0.90059,0.0881205,5,31,0,5823.42,4974.57,0.30711,0.0527076,0.188207,0.256195,0.150393,0.129009,204.344
-5822.14,0.943718,0.0881205,4,31,0,5826.86,5020.08,0.296205,0.0596326,0.181785,0.238627,0.169017,0.136939,207.852
-5818.16,0.983064,0.0881205,5,31,0,5823,5013.48,0.306111,0.0445687,0.188542,0.250658,0.15052,0.116144,200.089
-5820.42,0.993733,0.0881205,5,31,0,5821.4,5064.73,0.313334,0.048718,0.191764,0.217,0.118151,0.0949622,207.924
-5821.84,0.835107,0.0881205,5,63,0,5824.62,5084.71,0.298567,0.0553433,0.177746,0.228706,0.129616,0.0972439,208.464
-5820.12,0.98531,0.0881205,5,63,0,5824.22,5064.71,0.308232,0.0417027,0.165155,0.229476,0.149922,0.149312,203.906
-5817.87,0.999888,0.0881205,5,31,0,5820.82,5078.2,0.304589,0.0433984,0.174032,0.233935,0.136734,0.115294,202.399
-5822.12,0.885987,0.0881205,5,31,0,5823.54,5030.77,0.305943,0.0423103,0.193286,0.242056,0.121359,0.148061,193.535
-5822.62,0.998357,0.0881205,5,31,0,5825.72,4984.89,0.312062,0.0417861,0.190939,0.260719,0.163741,0.073691,214.674
-5822.2,0.99858,0.0881205,4,15,0,5823.8,5009.06,0.311754,0.0351171,0.187892,0.260141,0.162393,0.0705846,213.333
-5820.93,0.999814,0.0881205,5,63,0,5825.1,5066.6,0.313072,0.0261435,0.1834,0.229662,0.15676,0.0828812,208.993
-5820.04,0.98282,0.0881205,6,63,0,5823.32,5036.33,0.301924,0.0628425,0.18256,0.240923,0.123432,0.131737,198.227
-5819.43,1,0.0881205,5,31,0,5821.15,5027.1,0.300725,0.0582269,0.178996,0.252798,0.135053,0.126218,198.021
-5819.2,0.986479,0.0881205,5,31,0,5822.11,5079.72,0.309196,0.0435698,0.171641,0.231358,0.138634,0.103678,209.304
-5821.17,0.858118,0.0881205,5,31,0,5823.78,5098.52,0.304517,0.0307292,0.179238,0.213619,0.126689,0.154987,204.701
-5822.13,0.928959,0.0881205,6,63,0,5825.65,4961.59,0.305111,0.0692907,0.190033,0.270944,0.153035,0.0714935,203.815
-5822.8,0.856278,0.0881205,5,63,0,5829.57,5098.95,0.293591,0.0320357,0.188178,0.225525,0.139206,0.115772,201.264
-5822.62,0.931028,0.0881205,6,63,0,5828.67,4938.21,0.318445,0.0581646,0.185787,0.272595,0.146599,0.116612,205.904
-5821.82,0.962424,0.0881205,6,63,0,5826.74,5006.04,0.297486,0.0463544,0.184936,0.268165,0.164756,0.087754,204.492
