# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:08:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\xy4xeuph.json
# init = 2 (Default)
# random
#   seed = 568
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120838_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0644935
# Diagonal elements of inverse mass matrix:
# 2068.72, 4.43701e-005, 0.000159902, 0.000131219, 0.000355438, 0.000426516, 0.000739263, 0.000529947
-5820.27,0.97348,0.0644935,6,63,0,5823.7,5035.95,0.309812,0.0284875,0.188838,0.266174,0.137507,0.0757719,199.463
-5817.89,0.964315,0.0644935,5,31,0,5822.78,5060.51,0.305193,0.0388828,0.181479,0.250316,0.124252,0.114617,201.91
-5822.13,0.99739,0.0644935,6,63,0,5823.55,4942.86,0.308007,0.0493942,0.18838,0.260574,0.199235,0.0960166,201.667
-5821.55,0.976277,0.0644935,6,63,0,5826.56,4992.32,0.304759,0.0508743,0.175687,0.251314,0.137855,0.184073,204.243
-5820.9,0.962874,0.0644935,6,63,0,5824.89,5013.7,0.305897,0.0553526,0.18108,0.226318,0.158838,0.159771,201.127
-5821.67,0.999061,0.0644935,6,63,0,5825.95,5099.29,0.305311,0.0493754,0.188829,0.242093,0.107832,0.0465033,202.726
-5822.6,0.992428,0.0644935,6,63,0,5826.29,5087.6,0.300252,0.0449837,0.203065,0.231935,0.0921136,0.106755,204.337
-5820.94,0.999299,0.0644935,6,63,0,5825.32,5091.53,0.313002,0.0264622,0.167504,0.250203,0.127313,0.101319,202.757
-5821.74,0.984904,0.0644935,6,63,0,5824.23,5064.75,0.294834,0.0486899,0.2022,0.222362,0.14669,0.0891606,204.416
-5822.23,0.999077,0.0644935,6,63,0,5827.18,5117.16,0.308375,0.028729,0.1701,0.202941,0.159795,0.121995,205.015
-5818.33,0.961547,0.0644935,5,63,0,5825.21,5017.26,0.30794,0.03944,0.185231,0.259564,0.12457,0.126347,202.543
-5818.86,0.955737,0.0644935,6,63,0,5822.54,4996.97,0.30493,0.0561486,0.187316,0.241637,0.166636,0.1011,204.048
-5823.01,0.842868,0.0644935,6,63,0,5824.18,4987.79,0.304881,0.0514966,0.184378,0.228482,0.170766,0.140917,203.994
-5819.78,0.993576,0.0644935,6,63,0,5825.58,5030.19,0.30321,0.0455104,0.176688,0.261113,0.119598,0.15141,201.012
-5819.36,0.996099,0.0644935,6,63,0,5822.69,5020.62,0.308572,0.0383217,0.173853,0.263065,0.16319,0.0955099,199.391
-5820.28,0.966868,0.0644935,6,63,0,5824.02,4980.5,0.309049,0.0553704,0.201792,0.232629,0.132413,0.138568,206.973
-5822.43,0.922037,0.0644935,6,63,0,5826.06,4957.93,0.31183,0.0450086,0.185275,0.283175,0.161962,0.0687469,205.217
-5819.9,0.970761,0.0644935,6,63,0,5827.39,4965.25,0.306477,0.0538196,0.193951,0.262029,0.129964,0.143507,207.741
-5823.35,0.988328,0.0644935,5,31,0,5824.77,4973.59,0.312869,0.058841,0.191444,0.267745,0.112876,0.102965,213.831
-5823.16,0.953001,0.0644935,5,31,0,5825.14,4981.19,0.310287,0.0560627,0.189231,0.262053,0.121977,0.106392,214.226
-5819.48,0.998494,0.0644935,5,31,0,5825.75,5005.29,0.30679,0.0517544,0.188588,0.261124,0.123874,0.109096,209.684
-5817.61,0.996177,0.0644935,6,63,0,5821.45,5018.56,0.30954,0.0440642,0.186877,0.238579,0.154649,0.10589,200.357
-5820.81,0.997792,0.0644935,5,31,0,5822.28,5027.13,0.311016,0.0416377,0.208285,0.232406,0.121857,0.0870797,199.143
-5819.97,0.970329,0.0644935,6,63,0,5823.21,5012.64,0.304822,0.0417864,0.179152,0.249823,0.162198,0.125265,210.909
-5819.59,0.998323,0.0644935,6,63,0,5821.68,5022.45,0.311645,0.0527384,0.193382,0.232261,0.128186,0.106937,195.974
-5818.9,0.999437,0.0644935,5,63,0,5824.55,4995.1,0.309789,0.0466402,0.187733,0.271291,0.12956,0.0967763,205.543
-5821.38,0.957728,0.0644935,6,63,0,5823.53,5004.13,0.312147,0.05673,0.177553,0.25775,0.162876,0.0544548,200.132
-5819.99,0.960026,0.0644935,6,63,0,5824.41,4984.61,0.313926,0.0554433,0.192848,0.243031,0.161345,0.0728251,204.32
-5821.84,0.999502,0.0644935,6,63,0,5823.84,4977.22,0.308846,0.0428955,0.206974,0.269582,0.144026,0.0606055,200.765
-5821.31,0.987203,0.0644935,6,63,0,5824.95,5037.27,0.305696,0.0563753,0.167681,0.227733,0.144539,0.167972,205.62
-5821.24,0.910283,0.0644935,6,63,0,5829.58,5054.81,0.314998,0.0465721,0.184509,0.21094,0.146557,0.11624,204.309
-5821.44,0.953112,0.0644935,6,63,0,5825.69,4969.17,0.300686,0.0458384,0.18726,0.288059,0.141266,0.124394,202.49
-5819.59,0.979026,0.0644935,6,63,0,5823.72,4987.71,0.314231,0.0333281,0.183293,0.267008,0.137741,0.135594,201.728
-5819.81,0.997995,0.0644935,6,63,0,5822.14,5072.95,0.302594,0.0588798,0.186068,0.226586,0.138609,0.0738425,199.641
-5819.59,0.958357,0.0644935,6,63,0,5822.9,5085.87,0.301189,0.0482951,0.189777,0.216852,0.143224,0.0817926,200.45
-5822.43,0.999144,0.0644935,5,31,0,5824.01,5037.5,0.300584,0.0619108,0.193387,0.22174,0.162159,0.077207,196.308
-5820.73,0.993163,0.0644935,5,31,0,5823.63,5042.78,0.30269,0.057746,0.195164,0.227485,0.152039,0.0666163,198.803
-5819.57,0.953915,0.0644935,6,63,0,5823.88,5031.25,0.312662,0.036995,0.195334,0.231998,0.116982,0.129473,204.834
-5821.69,0.985759,0.0644935,6,63,0,5823.94,4981.94,0.297474,0.0618295,0.201906,0.247168,0.161291,0.110629,203.343
-5821.94,0.999484,0.0644935,5,31,0,5827.27,5010.72,0.296117,0.0539959,0.190008,0.229175,0.175333,0.136316,206.351
-5821.93,0.986497,0.0644935,6,63,0,5826.27,5092.31,0.315758,0.0318088,0.170494,0.247197,0.101953,0.102338,200.209
-5820,0.999701,0.0644935,6,63,0,5823.52,5067.97,0.312425,0.0398598,0.172049,0.25728,0.107586,0.101474,202.491
-5820.83,0.999702,0.0644935,5,63,0,5822.84,5112.46,0.301593,0.0468484,0.185806,0.201122,0.136788,0.103132,207.713
-5822.29,0.979168,0.0644935,5,31,0,5823.67,5113.66,0.300912,0.0479486,0.191763,0.19563,0.142358,0.0945061,207.728
-5821.57,0.997442,0.0644935,6,63,0,5825.37,5122.51,0.302276,0.0413318,0.183503,0.202921,0.120616,0.136198,200.332
-5824.71,0.918337,0.0644935,6,63,0,5827.62,5167.19,0.305047,0.019345,0.182304,0.198678,0.115897,0.12729,205.049
-5819.11,0.999867,0.0644935,6,63,0,5829.55,5033.04,0.309817,0.0440495,0.195302,0.235497,0.130277,0.10437,196.028
